id,optimizer,name,type,default,file_type,category,explanation
1,differential_evolution,population_size,int,100,null,normal,Number of parameter sets generated by differential evolution in each iteration.
2,differential_evolution,loss_threshold,float,1e-4,null,normal,The optimization is stopped when this loss value is reached.
3,differential_evolution,maximum_number_of_iterations,int,1000,null,normal,null
4,differential_evolution,maximum_number_of_iterations_without_improvement,int,100,null,normal,null
5,differential_evolution,initial_population,file,Select file,.csv;.json,normal,null
6,differential_evolution,muation_factor_1,float,0.8,null,advanced,null
7,differential_evolution,muation_factor_2,float,0.8,null,advanced,null
8,differential_evolution,muation_factor_3,float,0.8,null,advanced,null
9,differential_evolution,recombination_factor,float,0.9,null,advanced,null
10,nelder–mead,alpha,float,1,null,normal,Reflection coeficient
11,nelder–mead,beta,float,0.5,null,normal,Contraction coeficient
12,nelder–mead,gamma,float,2,null,normal,Expansion coeficient
13,nelder–mead,delta,float,0.5,null,normal,Shrinkage coeficient
