 v-sweep         v(g_15_3)       i(v_s_13_0)     v(g_14_4)       i(v_s_10_0)     v(g_17_4)       i(v_s_17_4)     i(v_s_11_4)     i(v_s_18_2)     i(v_s_10_2)     v(g_16_1)       i(v_s_14_3)     i(v_s_11_2)     v(g_13_2)       i(v_s_17_3)     i(v_s_15_1)     v(g_14_2)       v(g_12_0)       v(g_13_4)       v(g_13_0)       i(v_s_13_2)     i(v_s_16_2)     v(g_18_1)       i(v_s_13_1)     i(v_s_14_1)     v(g_15_0)       i(v_s_11_3)     i(v_s_12_4)     v(g_14_3)       v(g_17_3)       i(v_s_19_3)     v(g_19_0)       v(g_13_3)       v(g_17_1)       v(g_12_2)       i(v_s_17_1)     i(v_s_14_4)     i(v_s_13_3)     v(g_10_3)       i(v_s_14_0)     i(v_s_12_1)     v(g_11_0)       i(v_s_10_1)     v(g_13_1)       i(v_s_19_2)     i(v_s_12_0)     v(g_12_1)       v(g_14_0)       i(v_s_15_2)     v(g_16_2)       v(g_10_1)       v(g_17_0)       i(v_s_14_2)     i(v_s_11_0)     v(g_12_4)       v(g_10_2)       i(v_s_15_3)     v(g_18_2)       v(g_15_4)       v(g_16_0)       v(g_19_4)       i(v_s_18_3)     v(g_19_3)       v(g_15_2)       i(v_s_12_3)     i(v_s_19_0)     v(g_18_0)       i(v_s_17_2)     i(v_s_16_3)     v(g_18_4)       i(v_s_16_1)     v(g_19_2)       v(g_11_2)       i(v_s_13_4)     i(v_s_15_4)     i(v_s_19_1)     v(g_11_1)       v(g_18_3)       v(g_16_3)       v(g_16_4)       i(v_s_19_4)     v(g_11_4)       i(v_s_16_0)     v(g_19_1)       i(v_s_18_0)     v(g_14_1)       v(g_11_3)       i(v_s_18_1)     i(v_s_15_0)     v(g_15_1)       v(g_10_4)       v(g_12_3)       v(g_10_0)       i(v_s_12_2)     i(v_s_10_4)     i(v_s_10_3)     i(v_s_11_1)     i(v_s_18_4)     i(v_s_17_0)     v(g_17_2)       i(v_s_16_4)    
-5.00000000e-01 -5.00000000e-01  3.95684908e-07 -5.00000000e-01  2.53202660e-07 -5.00000000e-01  9.45056345e-05  4.97258438e-05  8.04996646e-07  1.64160766e-06 -5.00000000e-01  4.99423931e-06  5.93725907e-06 -5.00000000e-01  3.05004253e-05  2.25044763e-05 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  5.56676859e-06  3.18869011e-06 -5.00000000e-01  1.83108153e-06  2.43398891e-06 -5.00000000e-01  1.59765657e-05  7.43278055e-06 -5.00000000e-01 -5.00000000e-01  7.81932499e-06 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  3.59760256e-06  1.01615380e-05  1.49351264e-05 -5.00000000e-01  1.92117891e-06  7.30824293e-07 -5.00000000e-01  7.69442618e-07 -5.00000000e-01  2.94397948e-06  2.40033805e-07 -5.00000000e-01 -5.00000000e-01  3.09819429e-05 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  3.28684296e-06  4.21092718e-07 -5.00000000e-01 -5.00000000e-01  4.76062493e-05 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  1.60236703e-06 -5.00000000e-01 -5.00000000e-01  3.13812081e-06  2.25278730e-07 -5.00000000e-01  1.12169781e-05  6.45093003e-06 -5.00000000e-01  1.46257306e-06 -5.00000000e-01 -5.00000000e-01  4.58860086e-05  9.45536161e-05  9.94374238e-07 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  2.41328702e-05 -5.00000000e-01  4.58547391e-07 -5.00000000e-01  1.32066146e-07 -5.00000000e-01 -5.00000000e-01  3.83829533e-07  1.73612372e-05 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  1.56483613e-06  7.87602101e-06  3.29564958e-06  1.95745051e-06  3.80916951e-06  7.37547610e-07 -5.00000000e-01  1.53591016e-05 
-4.00000000e-01 -4.00000000e-01  1.55810179e-06 -4.00000000e-01  6.64998170e-07 -4.00000000e-01  1.27308999e-04  6.69497247e-05  1.12642213e-06  2.30987029e-06 -4.00000000e-01  5.38497740e-06  1.06377194e-05 -4.00000000e-01  4.69449825e-05  2.77442912e-05 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  1.00134060e-05  4.52738847e-06 -4.00000000e-01  4.30204756e-06  2.71688548e-06 -4.00000000e-01  2.44794666e-05  8.47835074e-06 -4.00000000e-01 -4.00000000e-01  1.19309762e-05 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  8.60109664e-06  1.04040570e-05  2.28906033e-05 -4.00000000e-01  2.16706174e-06  1.25318390e-06 -4.00000000e-01  1.30958774e-06 -4.00000000e-01  5.23521341e-06  6.35418482e-07 -4.00000000e-01 -4.00000000e-01  3.75560162e-05 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  3.61985621e-06  1.64980231e-06 -4.00000000e-01 -4.00000000e-01  5.62846778e-05 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  2.01285101e-06 -4.00000000e-01 -4.00000000e-01  3.95774022e-06  8.47627714e-07 -4.00000000e-01  2.03342778e-05  8.16183169e-06 -4.00000000e-01  2.54213220e-06 -4.00000000e-01 -4.00000000e-01  6.16410028e-05  1.05796053e-04  2.27744464e-06 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  3.24005842e-05 -4.00000000e-01  1.26200305e-06 -4.00000000e-01  3.34120755e-07 -4.00000000e-01 -4.00000000e-01  6.44964712e-07  2.17021355e-05 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  2.20909284e-06  8.98900238e-06  4.15309504e-06  4.55847131e-06  4.33755506e-06  3.02537403e-06 -4.00000000e-01  1.75587004e-05 
-3.00000000e-01 -3.00000000e-01  3.81660982e-06 -3.00000000e-01  1.17372068e-06 -3.00000000e-01  1.64700373e-04  8.66824657e-05  1.46549604e-06  3.01721452e-06 -3.00000000e-01  5.74471949e-06  1.70193053e-05 -3.00000000e-01  6.74855489e-05  3.35046592e-05 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  1.60289977e-05  5.94329147e-06 -3.00000000e-01  8.06377516e-06  2.99777213e-06 -3.00000000e-01  3.51248964e-05  9.44192926e-06 -3.00000000e-01 -3.00000000e-01  1.70597920e-05 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  1.62865077e-05  1.05716971e-05  3.27912555e-05 -3.00000000e-01  2.41507973e-06  1.82861088e-06 -3.00000000e-01  1.90536014e-06 -3.00000000e-01  8.33072367e-06  1.12777549e-06 -3.00000000e-01 -3.00000000e-01  4.46343308e-05 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  3.94234234e-06  4.01615034e-06 -3.00000000e-01 -3.00000000e-01  6.53130278e-05 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  2.42742235e-06 -3.00000000e-01 -3.00000000e-01  4.78397556e-06  2.02046913e-06 -3.00000000e-01  3.27301714e-05  9.89229314e-06 -3.00000000e-01  3.73706052e-06 -3.00000000e-01 -3.00000000e-01  7.95404219e-05  1.16660896e-04  4.21303994e-06 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  4.18410217e-05 -3.00000000e-01  2.27867418e-06 -3.00000000e-01  5.80240703e-07 -3.00000000e-01 -3.00000000e-01  9.31703596e-07  2.65464316e-05 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  2.88821830e-06  1.00216663e-05  5.02204341e-06  8.51550815e-06  4.82552645e-06  7.57586182e-06 -3.00000000e-01  1.95949478e-05 
-2.00000000e-01 -2.00000000e-01  7.35945295e-06 -2.00000000e-01  1.75107650e-06 -2.00000000e-01  2.06640778e-04  1.08946223e-04  1.82195190e-06  3.76321855e-06 -2.00000000e-01  6.07316151e-06  2.52991799e-05 -2.00000000e-01  9.23952506e-05  3.97614370e-05 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  2.37930148e-05  7.43442039e-06 -2.00000000e-01  1.33098169e-05  3.27617259e-06 -2.00000000e-01  4.80812617e-05  1.03300600e-05 -2.00000000e-01 -2.00000000e-01  2.32807340e-05 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  2.70680882e-05  1.06735454e-05  4.47572615e-05 -2.00000000e-01  2.66515376e-06  2.45356930e-06 -2.00000000e-01  2.55479668e-06 -2.00000000e-01  1.23305268e-05  1.68599733e-06 -2.00000000e-01 -2.00000000e-01  5.21595088e-05 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  4.25343094e-06  7.72746694e-06 -2.00000000e-01 -2.00000000e-01  7.45820140e-05 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  2.84489309e-06 -2.00000000e-01 -2.00000000e-01  5.61432517e-06  3.84119514e-06 -2.00000000e-01  4.87952924e-05  1.16371250e-05 -2.00000000e-01  5.03935385e-06 -2.00000000e-01 -2.00000000e-01  9.95528342e-05  1.27048400e-04  6.90580310e-06 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  5.24575957e-05 -2.00000000e-01  3.43770200e-06 -2.00000000e-01  8.58152790e-07 -2.00000000e-01 -2.00000000e-01  1.24319273e-06  3.18900004e-05 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  3.60117015e-06  1.09800151e-05  5.90005286e-06  1.40522934e-05  5.27616700e-06  1.47922389e-05 -2.00000000e-01  2.14806481e-05 
-1.00000000e-01 -1.00000000e-01  1.23802935e-05 -1.00000000e-01  2.39312858e-06 -1.00000000e-01  2.52689719e-04  1.33550256e-04  2.19271026e-06  4.54157230e-06 -1.00000000e-01  6.36768946e-06  3.56163347e-05 -1.00000000e-01  1.21672358e-04  4.64225961e-05 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  3.34073560e-05  8.98757736e-06 -1.00000000e-01  2.02027585e-05  3.54927521e-06 -1.00000000e-01  6.33778416e-05  1.11421328e-05 -1.00000000e-01 -1.00000000e-01  3.06016484e-05 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  4.13007646e-05  1.07171532e-05  5.87764056e-05 -1.00000000e-01  2.91507773e-06  3.12441414e-06 -1.00000000e-01  3.25485032e-06 -1.00000000e-01  1.72962392e-05  2.30465081e-06 -1.00000000e-01 -1.00000000e-01  5.99948239e-05 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  4.54976525e-06  1.30054293e-05 -1.00000000e-01 -1.00000000e-01  8.38959194e-05 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  3.26068161e-06 -1.00000000e-01 -1.00000000e-01  6.43963229e-06  6.41333387e-06 -1.00000000e-01  6.87620115e-05  1.33770472e-05 -1.00000000e-01  6.44164595e-06 -1.00000000e-01 -1.00000000e-01  1.21456278e-04  1.36785648e-04  1.04451452e-05 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  6.41525846e-05 -1.00000000e-01  4.72689363e-06 -1.00000000e-01  1.16609578e-06 -1.00000000e-01 -1.00000000e-01  1.57789430e-06  3.76710438e-05 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  4.34153247e-06  1.18623709e-05  6.77748801e-06  2.13635591e-05  5.68895468e-06  2.50895786e-05 -1.00000000e-01  2.32134018e-05 
-2.77555756e-17 -2.77555756e-17  1.91275282e-05 -2.77555756e-17  3.10588542e-06 -2.77555756e-17  3.02661162e-04  1.60434926e-04  2.57735394e-06  5.35150164e-06 -2.77555756e-17  6.62877736e-06  4.81531616e-05 -2.77555756e-17  1.55422292e-04  5.34276311e-05 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  4.50103882e-05  1.06007833e-05 -2.77555756e-17  2.89443310e-05  3.81647264e-06 -2.77555756e-17  8.11025170e-05  1.18846993e-05 -2.77555756e-17 -2.77555756e-17  3.90584894e-05 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  5.94228174e-05  1.07103778e-05  7.48881633e-05 -2.77555756e-17  3.16457662e-06  3.84316397e-06 -2.77555756e-17  4.00812936e-06 -2.77555756e-17  2.33100245e-05  2.98873322e-06 -2.77555756e-17 -2.77555756e-17  6.80459593e-05 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  4.83060549e-06  2.01334359e-05 -2.77555756e-17 -2.77555756e-17  9.31256070e-05 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  3.67352247e-06 -2.77555756e-17 -2.77555756e-17  7.25739657e-06  9.86911495e-06 -2.77555756e-17  9.29393895e-05  1.51066470e-05 -2.77555756e-17  7.94848236e-06 -2.77555756e-17 -2.77555756e-17  1.45151759e-04  1.45795997e-04  1.49420062e-05 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  7.68914102e-05 -2.77555756e-17  6.15698883e-06 -2.77555756e-17  1.50684718e-06 -2.77555756e-17 -2.77555756e-17  1.93696476e-06  4.38540203e-05 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  5.10828629e-06  1.26748323e-05  7.65162437e-06  3.06899409e-05  6.06702876e-06  3.90004938e-05 -2.77555756e-17  2.48060041e-05 
 1.00000000e-01  1.00000000e-01  2.79149722e-05  1.00000000e-01  3.89986374e-06  1.00000000e-01  3.56448467e-04  1.89565036e-04  2.97650062e-06  6.19440494e-06  1.00000000e-01  6.85762232e-06  6.31304836e-05  1.00000000e-01  1.93808965e-04  6.07202895e-05  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  5.87709134e-05  1.22764131e-05  1.00000000e-01  3.97801093e-05  4.07783883e-06  1.00000000e-01  1.01376818e-04  1.25653781e-05  1.00000000e-01  1.00000000e-01  4.87029679e-05  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  8.19666975e-05  1.06598863e-05  9.31596702e-05  1.00000000e-01  3.41402906e-06  4.61445055e-06  1.00000000e-01  4.81997195e-06  1.00000000e-01  3.04718823e-05  3.74769256e-06  1.00000000e-01  1.00000000e-01  7.62263481e-05  1.00000000e-01  1.00000000e-01  1.00000000e-01  5.09595350e-06  2.94699788e-05  1.00000000e-01  1.00000000e-01  1.02160927e-04  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  4.08326482e-06  1.00000000e-01  1.00000000e-01  8.06734820e-06  1.43757601e-05  1.00000000e-01  1.21701822e-04  1.68251951e-05  1.00000000e-01  9.56993424e-06  1.00000000e-01  1.00000000e-01  1.70578383e-04  1.54029681e-04  2.05318985e-05  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  9.06509471e-05  1.00000000e-01  7.74832297e-06  1.00000000e-01  1.88527985e-06  1.00000000e-01  1.00000000e-01  2.32285020e-06  5.04075324e-05  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  5.90248971e-06  1.34248124e-05  8.52207878e-06  4.23249258e-05  6.41410914e-06  5.71979371e-05  1.00000000e-01  2.62736756e-05 
 2.00000000e-01  2.00000000e-01  3.91299361e-05  2.00000000e-01  4.78867066e-06  2.00000000e-01  4.13772221e-04  2.20701454e-04  3.39091022e-06  7.07198822e-06  2.00000000e-01  7.05530666e-06  8.07908848e-05  2.00000000e-01  2.36986493e-04  6.82266146e-05  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  7.48717190e-05  1.40174325e-05  2.00000000e-01  5.29946436e-05  4.33343962e-06  2.00000000e-01  1.24317321e-04  1.31907642e-05  2.00000000e-01  2.00000000e-01  5.95838706e-05  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.09549894e-04  1.05711604e-05  1.13652770e-04  2.00000000e-01  3.66386144e-06  5.44395301e-06  2.00000000e-01  5.69688450e-06  2.00000000e-01  3.88914565e-05  4.59383270e-06  2.00000000e-01  2.00000000e-01  8.44323693e-05  2.00000000e-01  2.00000000e-01  2.00000000e-01  5.34577046e-06  4.14602148e-05  2.00000000e-01  2.00000000e-01  1.10881644e-04  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  4.48981827e-06  2.00000000e-01  2.00000000e-01  8.86934343e-06  2.01406453e-05  2.00000000e-01  1.55455397e-04  1.85322317e-05  2.00000000e-01  1.13183308e-05  2.00000000e-01  2.00000000e-01  1.97592769e-04  1.61430800e-04  2.73730856e-05  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.05310221e-04  2.00000000e-01  9.52739871e-06  2.00000000e-01  2.30769493e-06  2.00000000e-01  2.00000000e-01  2.73853600e-06  5.72848743e-05  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  6.72547657e-06  1.41187585e-05  9.38859672e-06  5.66116611e-05  6.73342775e-06  8.05133929e-05  2.00000000e-01  2.76296037e-05 
 3.00000000e-01  3.00000000e-01  5.32553954e-05  3.00000000e-01  5.78967546e-06  3.00000000e-01  4.73628030e-04  2.52826604e-04  3.82146704e-06  7.98622851e-06  3.00000000e-01  7.22280336e-06  1.01396494e-04  3.00000000e-01  2.85054218e-04  7.58477374e-05  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  9.35076659e-05  1.58273086e-05  3.00000000e-01  6.89185079e-05  4.58332914e-06  3.00000000e-01  1.49992658e-04  1.37665817e-05  3.00000000e-01  3.00000000e-01  7.17260775e-05  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.42890483e-04  1.04487439e-05  1.36402170e-04  3.00000000e-01  3.91455431e-06  6.33847344e-06  3.00000000e-01  6.64665625e-06  3.00000000e-01  4.86867956e-05  5.54285109e-06  3.00000000e-01  3.00000000e-01  9.25366050e-05  3.00000000e-01  3.00000000e-01  3.00000000e-01  5.57997154e-06  5.66631821e-05  3.00000000e-01  3.00000000e-01  1.19149697e-04  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  4.89313232e-06  3.00000000e-01  3.00000000e-01  9.66332075e-06  2.74238484e-05  3.00000000e-01  1.94634343e-04  2.02274754e-05  3.00000000e-01  1.32084253e-05  3.00000000e-01  3.00000000e-01  2.25707239e-04  1.67927793e-04  3.56509473e-05  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.20379509e-04  3.00000000e-01  1.15280372e-05  3.00000000e-01  2.78213198e-06  3.00000000e-01  3.00000000e-01  3.18759843e-06  6.44162198e-05  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  7.57881346e-06  1.47622913e-05  1.02510093e-05  7.39526143e-05  7.02779953e-06  1.09984869e-04  3.00000000e-01  2.88852442e-05 
 4.00000000e-01  4.00000000e-01  7.09004479e-05  4.00000000e-01  6.92513784e-06  4.00000000e-01  5.33453741e-04  2.84168691e-04  4.26917386e-06  8.93936274e-06  4.00000000e-01  7.36098185e-06  1.25212843e-04  4.00000000e-01  3.37888921e-04  8.34649464e-05  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.14876223e-04  1.77099761e-05  4.00000000e-01  8.79354923e-05  4.82754665e-06  4.00000000e-01  1.78239458e-04  1.42978152e-05  4.00000000e-01  4.00000000e-01  8.50416885e-05  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.82823279e-04  1.02964316e-05  1.61334394e-04  4.00000000e-01  4.16665145e-06  7.30610342e-06  4.00000000e-01  7.67856848e-06  4.00000000e-01  5.99762232e-05  6.61481376e-06  4.00000000e-01  4.00000000e-01  1.00392542e-04  4.00000000e-01  4.00000000e-01  4.00000000e-01  5.79842095e-06  7.57893377e-05  4.00000000e-01  4.00000000e-01  1.26808111e-04  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  5.29318365e-06  4.00000000e-01  4.00000000e-01  1.04492741e-05  3.65553988e-05  4.00000000e-01  2.39682114e-04  2.19107669e-05  4.00000000e-01  1.52577569e-05  4.00000000e-01  4.00000000e-01  2.53704810e-04  1.73422090e-04  4.55823239e-05  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.35022620e-04  4.00000000e-01  1.37934867e-05  4.00000000e-01  3.31888764e-06  4.00000000e-01  4.00000000e-01  3.67429993e-06  7.17117220e-05  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  8.46428283e-06  1.53603251e-05  1.11092069e-05  9.48194184e-05  7.29968370e-06  1.46923025e-04  4.00000000e-01  3.00505808e-05 
