vgs,cgd_20_2,cgd_20_1,cgd_20_0
-2,9.69039E-05,9.69039E-05,9.69039E-05
-1.95,9.69822E-05,9.69821E-05,9.69822E-05
-1.9,9.70634E-05,9.70633E-05,9.70634E-05
-1.85,9.71477E-05,9.71477E-05,9.71477E-05
-1.8,9.72355E-05,9.72354E-05,9.72355E-05
-1.75,9.73268E-05,9.73268E-05,9.73268E-05
-1.7,9.7422E-05,9.7422E-05,9.7422E-05
-1.65,9.75214E-05,9.75213E-05,9.75214E-05
-1.6,9.76252E-05,9.76252E-05,9.76252E-05
-1.55,9.77338E-05,9.77337E-05,9.77338E-05
-1.5,9.78476E-05,9.78475E-05,9.78476E-05
-1.45,9.79669E-05,9.79669E-05,9.79669E-05
-1.4,9.80924E-05,9.80923E-05,9.80923E-05
-1.35,9.82244E-05,9.82243E-05,9.82244E-05
-1.3,9.83636E-05,9.83635E-05,9.83636E-05
-1.25,9.85106E-05,9.85106E-05,9.85106E-05
-1.2,9.86663E-05,9.86662E-05,9.86663E-05
-1.15,9.88314E-05,9.88314E-05,9.88314E-05
-1.1,9.9007E-05,9.9007E-05,9.9007E-05
-1.05,9.91942E-05,9.91942E-05,9.91942E-05
-1,9.93944E-05,9.93943E-05,9.93943E-05
-0.95,9.96089E-05,9.96089E-05,9.96089E-05
-0.9,9.98397E-05,9.98396E-05,9.98397E-05
-0.85,0.000100089,0.000100089,0.000100089
-0.8,0.000100359,0.000100358,0.000100359
-0.75,0.000100652,0.000100652,0.000100652
-0.7,0.000100973,0.000100973,0.000100973
-0.65,0.000101324,0.000101324,0.000101324
-0.6,0.000101713,0.000101712,0.000101712
-0.55,0.000102143,0.000102143,0.000102143
-0.5,0.000102623,0.000102623,0.000102623
-0.45,0.00010316,0.00010316,0.00010316
-0.4,0.000103766,0.000103766,0.000103766
-0.35,0.00010445,0.00010445,0.00010445
-0.3,0.000105223,0.000105223,0.000105223
-0.25,0.000106094,0.000106094,0.000106094
-0.2,0.000107062,0.000107062,0.000107062
-0.15,0.000108103,0.000108103,0.000108103
-0.1,0.000108265,0.000108265,0.000108265
-0.05,0.000108433,0.000108433,0.000108433
1.20737E-15,0.000108528,0.000108528,0.000108528
0.05,0.000108486,0.000108486,0.000108486
0.1,0.000108285,0.000108285,0.000108285
0.15,0.000107939,0.000107939,0.000107939
0.2,0.000107484,0.000107484,0.000107484
0.25,0.000106954,0.000106954,0.000106954
0.3,0.000106378,0.000106378,0.000106378
0.35,0.000105778,0.000105778,0.000105778
0.4,0.000105167,0.000105167,0.000105167
0.45,0.000104554,0.000104554,0.000104554
0.5,0.000103946,0.000103946,0.000103946
0.55,0.000103345,0.000103345,0.000103345
0.6,0.000102754,0.000102754,0.000102754
0.65,0.000102174,0.000102174,0.000102174
0.7,0.000101606,0.000101606,0.000101606
0.75,0.000101051,0.000101051,0.000101051
0.8,0.000100509,0.000100509,0.000100509
0.85,9.99791E-05,9.99791E-05,9.99791E-05
0.9,9.94623E-05,9.94622E-05,9.94623E-05
0.95,9.89581E-05,9.8958E-05,9.89581E-05
1,9.84663E-05,9.84663E-05,9.84663E-05
1.05,9.79868E-05,9.79867E-05,9.79868E-05
1.1,9.75193E-05,9.75193E-05,9.75193E-05
1.15,9.70637E-05,9.70636E-05,9.70637E-05
1.2,9.66197E-05,9.66197E-05,9.66197E-05
1.25,9.61873E-05,9.61872E-05,9.61873E-05
1.3,9.57661E-05,9.57661E-05,9.57661E-05
1.35,9.53561E-05,9.5356E-05,9.53561E-05
1.4,9.4957E-05,9.4957E-05,9.4957E-05
1.45,9.45689E-05,9.45688E-05,9.45689E-05
1.5,9.41915E-05,9.41915E-05,9.41915E-05
1.55,9.38248E-05,9.38247E-05,9.38248E-05
1.6,9.34687E-05,9.34686E-05,9.34687E-05
1.65,9.31231E-05,9.31231E-05,9.31231E-05
1.7,9.27881E-05,9.27881E-05,9.27881E-05
1.75,9.24637E-05,9.24636E-05,9.24636E-05
1.8,9.21497E-05,9.21497E-05,9.21497E-05
1.85,9.18465E-05,9.18464E-05,9.18465E-05
1.9,9.15539E-05,9.15538E-05,9.15539E-05
1.95,9.1272E-05,9.1272E-05,9.1272E-05
2,9.10012E-05,9.10011E-05,9.10012E-05
