 v-sweep         v(g_11_0)       v(g_13_1)       i(v_s_13_2)     i(v_s_16_0)     v(g_11_3)       i(v_s_16_3)     v(g_14_3)       v(g_15_4)       v(g_14_1)       i(v_s_15_4)     v(g_17_2)       i(v_s_13_0)     i(v_s_18_1)     i(v_s_11_0)     i(v_s_17_1)     i(v_s_10_1)     v(g_19_3)       v(g_13_2)       i(v_s_12_2)     v(g_17_1)       i(v_s_19_2)     v(g_18_1)       v(g_18_0)       v(g_10_0)       v(g_12_2)       i(v_s_19_3)     v(g_16_3)       v(g_17_4)       i(v_s_13_1)     i(v_s_18_3)     i(v_s_14_3)     i(v_s_10_2)     v(g_11_1)       v(g_12_4)       i(v_s_15_0)     i(v_s_11_1)     v(g_11_2)       i(v_s_18_4)     i(v_s_17_0)     v(g_16_4)       i(v_s_16_2)     v(g_15_1)       v(g_19_1)       v(g_17_3)       i(v_s_10_0)     v(g_14_0)       v(g_18_3)       v(g_15_0)       v(g_13_0)       v(g_13_4)       i(v_s_13_3)     i(v_s_17_3)     i(v_s_19_4)     v(g_16_0)       i(v_s_18_2)     v(g_10_2)       i(v_s_11_2)     i(v_s_10_3)     i(v_s_19_0)     v(g_16_1)       i(v_s_19_1)     i(v_s_14_0)     v(g_12_0)       i(v_s_14_2)     i(v_s_11_4)     v(g_18_2)       v(g_19_0)       v(g_12_1)       v(g_12_3)       i(v_s_10_4)     i(v_s_12_0)     i(v_s_17_2)     i(v_s_12_1)     i(v_s_14_4)     i(v_s_15_1)     v(g_13_3)       v(g_10_1)       i(v_s_11_3)     i(v_s_17_4)     v(g_10_3)       v(g_14_2)       v(g_16_2)       i(v_s_12_4)     v(g_15_2)       v(g_19_4)       i(v_s_14_1)     i(v_s_15_2)     v(g_18_4)       i(v_s_13_4)     i(v_s_16_1)     v(g_19_2)       i(v_s_12_3)     v(g_14_4)       i(v_s_15_3)     v(g_10_4)       v(g_17_0)       v(g_11_4)       i(v_s_16_4)     i(v_s_18_0)     v(g_15_3)      
-5.00000000e-01 -5.00000000e-01 -5.00000000e-01  1.45318552e-13 -9.30494251e-13 -5.00000000e-01 -1.58179719e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  8.84484959e-15 -5.00000000e-01 -4.55493314e-13 -7.13702056e-13  3.40006192e-12  1.65948538e-12 -6.01173566e-13 -5.00000000e-01 -5.00000000e-01 -4.79931174e-13 -5.00000000e-01  7.75591572e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  1.17169778e-12 -5.00000000e-01 -5.00000000e-01 -1.60811143e-13 -2.05669297e-13 -2.49858634e-13 -3.36988178e-13 -5.00000000e-01 -5.00000000e-01 -9.94247353e-13  4.01537504e-12 -5.00000000e-01  5.08486773e-14  1.22488734e-12 -5.00000000e-01 -4.17625699e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -8.62438581e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  4.69239262e-13  2.69137972e-12  1.62715763e-12 -5.00000000e-01 -4.60235122e-13 -5.00000000e-01  4.71950951e-12 -6.83069724e-14  7.63222476e-14 -5.00000000e-01  4.14649699e-13 -9.99917244e-13 -5.00000000e-01 -4.99883451e-13  6.65764401e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  2.08051380e-13 -9.83077513e-13  2.13910857e-12 -7.31685225e-13  2.76334071e-16 -7.43768763e-13 -5.00000000e-01 -5.00000000e-01  5.56730879e-12  3.36633742e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  2.57261917e-14 -5.00000000e-01 -5.00000000e-01 -7.49902291e-13 -4.93165748e-13 -5.00000000e-01  8.23238919e-13 -6.74798384e-13 -5.00000000e-01 -2.27621148e-13 -5.00000000e-01 -2.42371594e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  1.05198045e-13 -9.66454003e-13 -5.00000000e-01 
-4.00000000e-01 -4.00000000e-01 -4.00000000e-01  1.45318558e-13 -9.30494249e-13 -4.00000000e-01 -1.58179716e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  8.84484959e-15 -4.00000000e-01 -4.55493310e-13 -7.13702055e-13  3.40006244e-12  1.65948546e-12 -6.01173546e-13 -4.00000000e-01 -4.00000000e-01 -4.79931174e-13 -4.00000000e-01  7.75591616e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  1.17169784e-12 -4.00000000e-01 -4.00000000e-01 -1.60811138e-13 -2.05669295e-13 -2.49858634e-13 -3.36988155e-13 -4.00000000e-01 -4.00000000e-01 -9.94247353e-13  4.01537565e-12 -4.00000000e-01  5.08486796e-14  1.22488741e-12 -4.00000000e-01 -4.17625696e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -8.62438565e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  4.69239269e-13  2.69137984e-12  1.62715770e-12 -4.00000000e-01 -4.60235121e-13 -4.00000000e-01  4.71951024e-12 -6.83069438e-14  7.63222789e-14 -4.00000000e-01  4.14649735e-13 -9.99917244e-13 -4.00000000e-01 -4.99883451e-13  6.65764520e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  2.08051417e-13 -9.83077513e-13  2.13910867e-12 -7.31685225e-13  2.76334071e-16 -7.43768763e-13 -4.00000000e-01 -4.00000000e-01  5.56730971e-12  3.36633757e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  2.57261920e-14 -4.00000000e-01 -4.00000000e-01 -7.49902291e-13 -4.93165748e-13 -4.00000000e-01  8.23238929e-13 -6.74798382e-13 -4.00000000e-01 -2.27621148e-13 -4.00000000e-01 -2.42371594e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  1.05198050e-13 -9.66454002e-13 -4.00000000e-01 
-3.00000000e-01 -3.00000000e-01 -3.00000000e-01  1.45318563e-13 -9.30494247e-13 -3.00000000e-01 -1.58179712e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  8.84484959e-15 -3.00000000e-01 -4.55493306e-13 -7.13702054e-13  3.40006296e-12  1.65948553e-12 -6.01173527e-13 -3.00000000e-01 -3.00000000e-01 -4.79931173e-13 -3.00000000e-01  7.75591636e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  1.17169792e-12 -3.00000000e-01 -3.00000000e-01 -1.60811133e-13 -2.05669293e-13 -2.49858634e-13 -3.36988157e-13 -3.00000000e-01 -3.00000000e-01 -9.94247353e-13  4.01537626e-12 -3.00000000e-01  5.08486818e-14  1.22488748e-12 -3.00000000e-01 -4.17625693e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -8.62438548e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  4.69239276e-13  2.69137995e-12  1.62715780e-12 -3.00000000e-01 -4.60235120e-13 -3.00000000e-01  4.71951098e-12 -6.83069153e-14  7.63223102e-14 -3.00000000e-01  4.14649772e-13 -9.99917244e-13 -3.00000000e-01 -4.99883451e-13  6.65764640e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  2.08051455e-13 -9.83077513e-13  2.13910876e-12 -7.31685225e-13  2.76401550e-16 -7.43768763e-13 -3.00000000e-01 -3.00000000e-01  5.56731062e-12  3.36633773e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  2.57262168e-14 -3.00000000e-01 -3.00000000e-01 -7.49902291e-13 -4.93165748e-13 -3.00000000e-01  8.23238938e-13 -6.74798379e-13 -3.00000000e-01 -2.27621148e-13 -3.00000000e-01 -2.42371594e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  1.05198049e-13 -9.66454001e-13 -3.00000000e-01 
-2.00000000e-01 -2.00000000e-01 -2.00000000e-01  1.45318569e-13 -9.30494245e-13 -2.00000000e-01 -1.58179708e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  8.84484960e-15 -2.00000000e-01 -4.55493302e-13 -7.13702066e-13  3.40006349e-12  1.65948561e-12 -6.01173508e-13 -2.00000000e-01 -2.00000000e-01 -4.79931173e-13 -2.00000000e-01  7.75591703e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  1.17169797e-12 -2.00000000e-01 -2.00000000e-01 -1.60811129e-13 -2.05669307e-13 -2.49858634e-13 -3.36988109e-13 -2.00000000e-01 -2.00000000e-01 -9.94247264e-13  4.01537688e-12 -2.00000000e-01  5.08486659e-14  1.22488754e-12 -2.00000000e-01 -4.17625719e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -8.62438532e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  4.69239283e-13  2.69138007e-12  1.62715787e-12 -2.00000000e-01 -4.60235118e-13 -2.00000000e-01  4.71951169e-12 -6.83068867e-14  7.63223414e-14 -2.00000000e-01  4.14649809e-13 -9.99917244e-13 -2.00000000e-01 -4.99883451e-13  6.65764760e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  2.08051492e-13 -9.83077513e-13  2.13910891e-12 -7.31685225e-13  2.76334071e-16 -7.43768763e-13 -2.00000000e-01 -2.00000000e-01  5.56731153e-12  3.36633790e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  2.57262171e-14 -2.00000000e-01 -2.00000000e-01 -7.49902291e-13 -4.93165748e-13 -2.00000000e-01  8.23238947e-13 -6.74798377e-13 -2.00000000e-01 -2.27621147e-13 -2.00000000e-01 -2.42371594e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  1.05198054e-13 -9.66454000e-13 -2.00000000e-01 
-1.00000000e-01 -1.00000000e-01 -1.00000000e-01  1.45318575e-13 -9.30494242e-13 -1.00000000e-01 -1.58179737e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  8.84484960e-15 -1.00000000e-01 -4.55493298e-13 -7.13702064e-13  3.40006401e-12  1.65948569e-12 -6.01173489e-13 -1.00000000e-01 -1.00000000e-01 -4.79931173e-13 -1.00000000e-01  7.75591724e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  1.17169803e-12 -1.00000000e-01 -1.00000000e-01 -1.60811124e-13 -2.05669306e-13 -2.49858634e-13 -3.36988087e-13 -1.00000000e-01 -1.00000000e-01 -9.94247264e-13  4.01537749e-12 -1.00000000e-01  5.08486863e-14  1.22488761e-12 -1.00000000e-01 -4.17625687e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -8.62438516e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  4.69239290e-13  2.69138025e-12  1.62715795e-12 -1.00000000e-01 -4.60235117e-13 -1.00000000e-01  4.71951243e-12 -6.83068582e-14  7.63223727e-14 -1.00000000e-01  4.14649845e-13 -9.99917244e-13 -1.00000000e-01 -4.99883451e-13  6.65764879e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  2.08051530e-13 -9.83077513e-13  2.13910895e-12 -7.31685225e-13  2.76401550e-16 -7.43768763e-13 -1.00000000e-01 -1.00000000e-01  5.56731245e-12  3.36633804e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  2.57262174e-14 -1.00000000e-01 -1.00000000e-01 -7.49902291e-13 -4.93165748e-13 -1.00000000e-01  8.23238956e-13 -6.74798374e-13 -1.00000000e-01 -2.27621147e-13 -1.00000000e-01 -2.42371476e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  1.05198065e-13 -9.66453999e-13 -1.00000000e-01 
-2.77555756e-17 -2.77555756e-17 -2.77555756e-17  1.45318580e-13 -9.30494240e-13 -2.77555756e-17 -1.58179701e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  8.84484960e-15 -2.77555756e-17 -4.55493294e-13 -7.13702050e-13  3.40006452e-12  1.65948577e-12 -6.01173470e-13 -2.77555756e-17 -2.77555756e-17 -4.79931173e-13 -2.77555756e-17  7.75591767e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  1.17169806e-12 -2.77555756e-17 -2.77555756e-17 -1.60811119e-13 -2.05669288e-13 -2.49858634e-13 -3.36988064e-13 -2.77555756e-17 -2.77555756e-17 -9.94247264e-13  4.01537809e-12 -2.77555756e-17  5.08486703e-14  1.22488768e-12 -2.77555756e-17 -4.17625713e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -8.62438500e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  4.69239297e-13  2.69138031e-12  1.62715802e-12 -2.77555756e-17 -4.60235116e-13 -2.77555756e-17  4.71951315e-12 -6.83068032e-14  7.63224033e-14 -2.77555756e-17  4.14649881e-13 -9.99917244e-13 -2.77555756e-17 -4.99883451e-13  6.65764996e-12 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  2.08051566e-13 -9.83077513e-13  2.13910910e-12 -7.31685224e-13  2.76401550e-16 -7.43768763e-13 -2.77555756e-17 -2.77555756e-17  5.56731334e-12  3.36633819e-12 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  2.57262177e-14 -2.77555756e-17 -2.77555756e-17 -7.49902291e-13 -4.93165748e-13 -2.77555756e-17  8.23238965e-13 -6.74798372e-13 -2.77555756e-17 -2.27621147e-13 -2.77555756e-17 -2.42371594e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  1.05198069e-13 -9.66453998e-13 -2.77555756e-17 
 1.00000000e-01  1.00000000e-01  1.00000000e-01  1.45318586e-13 -9.30494238e-13  1.00000000e-01 -1.58179730e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  8.84484960e-15  1.00000000e-01 -4.55493290e-13 -7.13702049e-13  3.40006502e-12  1.65948585e-12 -6.01173452e-13  1.00000000e-01  1.00000000e-01 -4.79931173e-13  1.00000000e-01  7.75591809e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.17169811e-12  1.00000000e-01  1.00000000e-01 -1.60811115e-13 -2.05669286e-13 -2.49858634e-13 -3.36988042e-13  1.00000000e-01  1.00000000e-01 -9.94247353e-13  4.01537868e-12  1.00000000e-01  5.08486906e-14  1.22488774e-12  1.00000000e-01 -4.17625681e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -8.62438484e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  4.69239304e-13  2.69138047e-12  1.62715808e-12  1.00000000e-01 -4.60235114e-13  1.00000000e-01  4.71951385e-12 -6.83067758e-14  7.63224333e-14  1.00000000e-01  4.14649916e-13 -9.99917244e-13  1.00000000e-01 -4.99883451e-13  6.65765111e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  2.08051602e-13 -9.83077513e-13  2.13910914e-12 -7.31685224e-13  2.76334071e-16 -7.43768763e-13  1.00000000e-01  1.00000000e-01  5.56731420e-12  3.36633834e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01  2.57262180e-14  1.00000000e-01  1.00000000e-01 -7.49902291e-13 -4.93165748e-13  1.00000000e-01  8.23238974e-13 -6.74798369e-13  1.00000000e-01 -2.27621147e-13  1.00000000e-01 -2.42371476e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.05198068e-13 -9.66453997e-13  1.00000000e-01 
 2.00000000e-01  2.00000000e-01  2.00000000e-01  1.45318591e-13 -9.30494236e-13  2.00000000e-01 -1.58179694e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  8.84484960e-15  2.00000000e-01 -4.55493286e-13 -7.13702048e-13  3.40006552e-12  1.65948592e-12 -6.01173434e-13  2.00000000e-01  2.00000000e-01 -4.79931173e-13  2.00000000e-01  7.75591874e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.17169816e-12  2.00000000e-01  2.00000000e-01 -1.60811110e-13 -2.05669285e-13 -2.49858634e-13 -3.36988020e-13  2.00000000e-01  2.00000000e-01 -9.94247264e-13  4.01537926e-12  2.00000000e-01  5.08486745e-14  1.22488781e-12  2.00000000e-01 -4.17625678e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01 -8.62438468e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  4.69239311e-13  2.69138053e-12  1.62715815e-12  2.00000000e-01 -4.60235127e-13  2.00000000e-01  4.71951455e-12 -6.83067760e-14  7.63224628e-14  2.00000000e-01  4.14649951e-13 -9.99917244e-13  2.00000000e-01 -4.99883451e-13  6.65765224e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.08051637e-13 -9.83077512e-13  2.13910923e-12 -7.31685224e-13  2.76334071e-16 -7.43768763e-13  2.00000000e-01  2.00000000e-01  5.56731508e-12  3.36633848e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.57262183e-14  2.00000000e-01  2.00000000e-01 -7.49902291e-13 -4.93165748e-13  2.00000000e-01  8.23238983e-13 -6.74798367e-13  2.00000000e-01 -2.27621147e-13  2.00000000e-01 -2.42371476e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.05198079e-13 -9.66453996e-13  2.00000000e-01 
 3.00000000e-01  3.00000000e-01  3.00000000e-01  1.45318596e-13 -9.30494234e-13  3.00000000e-01 -1.58179690e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  8.84484960e-15  3.00000000e-01 -4.55493282e-13 -7.13702047e-13  3.40006600e-12  1.65948599e-12 -6.01173416e-13  3.00000000e-01  3.00000000e-01 -4.79931172e-13  3.00000000e-01  7.75591914e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.17169821e-12  3.00000000e-01  3.00000000e-01 -1.60811106e-13 -2.05669283e-13 -2.49858634e-13 -3.36987999e-13  3.00000000e-01  3.00000000e-01 -9.94247353e-13  4.01537982e-12  3.00000000e-01  5.08486948e-14  1.22488787e-12  3.00000000e-01 -4.17625675e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01 -8.62438453e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  4.69239317e-13  2.69138064e-12  1.62715822e-12  3.00000000e-01 -4.60235112e-13  3.00000000e-01  4.71951523e-12 -6.83067225e-14  7.63224917e-14  3.00000000e-01  4.14649985e-13 -9.99917244e-13  3.00000000e-01 -4.99883451e-13  6.65765335e-12  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.08051672e-13 -9.83077512e-13  2.13910932e-12 -7.31685224e-13  2.76334071e-16 -7.43768763e-13  3.00000000e-01  3.00000000e-01  5.56731590e-12  3.36633864e-12  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.57262185e-14  3.00000000e-01  3.00000000e-01 -7.49902291e-13 -4.93165748e-13  3.00000000e-01  8.23238991e-13 -6.74798365e-13  3.00000000e-01 -2.27621146e-13  3.00000000e-01 -2.42371594e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.05198077e-13 -9.66453996e-13  3.00000000e-01 
 4.00000000e-01  4.00000000e-01  4.00000000e-01  1.45318601e-13 -9.30494232e-13  4.00000000e-01 -1.58179720e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  8.84484960e-15  4.00000000e-01 -4.55493279e-13 -7.13702046e-13  3.40006648e-12  1.65948607e-12 -6.01173399e-13  4.00000000e-01  4.00000000e-01 -4.79931172e-13  4.00000000e-01  7.75591954e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.17169829e-12  4.00000000e-01  4.00000000e-01 -1.60811102e-13 -2.05669298e-13 -2.49858634e-13 -3.36987978e-13  4.00000000e-01  4.00000000e-01 -9.94247353e-13  4.01538038e-12  4.00000000e-01  5.08486968e-14  1.22488793e-12  4.00000000e-01 -4.17625673e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01 -8.62438438e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.69239323e-13  2.69138080e-12  1.62715825e-12  4.00000000e-01 -4.60235125e-13  4.00000000e-01  4.71951590e-12 -6.83066965e-14  7.63225202e-14  4.00000000e-01  4.14650018e-13 -9.99917244e-13  4.00000000e-01 -4.99883451e-13  6.65765443e-12  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.08051706e-13 -9.83077512e-13  2.13910940e-12 -7.31685224e-13  2.76334071e-16 -7.43768763e-13  4.00000000e-01  4.00000000e-01  5.56731673e-12  3.36633878e-12  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.57262188e-14  4.00000000e-01  4.00000000e-01 -7.49902291e-13 -4.93165748e-13  4.00000000e-01  8.23239000e-13 -6.74798363e-13  4.00000000e-01 -2.27621146e-13  4.00000000e-01 -2.42371594e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.05198081e-13 -9.66453995e-13  4.00000000e-01 
