 v-sweep         v(g_16_3)       v(g_15_0)       v(g_19_1)       i(v_s_18_3)     i(v_s_15_4)     i(v_s_19_0)     v(g_15_2)       i(v_s_14_4)     i(v_s_19_2)     v(g_19_4)       v(g_17_2)       v(g_15_3)       v(g_19_3)       v(g_11_3)       v(g_11_2)       v(g_17_0)       v(g_16_0)       i(v_s_15_0)     i(v_s_16_2)     v(g_13_4)       i(v_s_18_1)     i(v_s_17_3)     v(g_18_2)       v(g_16_2)       v(g_18_3)       v(g_18_4)       v(g_11_0)       v(g_19_0)       i(v_s_13_0)     v(g_12_4)       v(g_17_1)       i(v_s_12_0)     i(v_s_14_1)     v(g_11_1)       i(v_s_17_1)     v(g_10_3)       i(v_s_11_4)     v(g_13_2)       i(v_s_10_0)     v(g_12_0)       i(v_s_16_4)     i(v_s_19_3)     v(g_12_3)       i(v_s_14_3)     i(v_s_11_1)     i(v_s_11_2)     i(v_s_13_3)     i(v_s_19_1)     i(v_s_11_3)     v(g_13_1)       i(v_s_12_1)     v(g_10_2)       i(v_s_18_2)     v(g_10_0)       v(g_13_0)       i(v_s_16_1)     v(g_11_4)       v(g_16_1)       v(g_17_4)       i(v_s_12_2)     i(v_s_13_4)     i(v_s_15_2)     i(v_s_17_2)     v(g_15_1)       i(v_s_16_0)     v(g_14_1)       i(v_s_12_3)     i(v_s_10_4)     i(v_s_13_2)     v(g_14_4)       v(g_16_4)       v(g_18_1)       i(v_s_10_1)     i(v_s_14_2)     v(g_17_3)       v(g_14_3)       i(v_s_10_3)     i(v_s_15_1)     i(v_s_14_0)     v(g_18_0)       v(g_10_1)       i(v_s_17_4)     v(g_12_1)       v(g_14_0)       v(g_19_2)       v(g_14_2)       i(v_s_13_1)     i(v_s_17_0)     v(g_15_4)       i(v_s_15_3)     i(v_s_19_4)     v(g_13_3)       i(v_s_18_4)     i(v_s_18_0)     i(v_s_11_0)     v(g_12_2)       i(v_s_16_3)     v(g_10_4)       i(v_s_10_2)     i(v_s_12_4)    
-5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  2.27040640e-08  5.74748006e-09  3.24956037e-07 -5.00000000e-01  1.79608717e-10  5.12034347e-07 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  3.75668598e-09  3.12049309e-08 -5.00000000e-01  1.24047970e-08  1.40898695e-06 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  2.82096593e-07 -5.00000000e-01 -5.00000000e-01  8.81460698e-09  1.26264888e-10 -5.00000000e-01  7.76522134e-07 -5.00000000e-01  1.85504249e-03 -5.00000000e-01  1.50567648e-08 -5.00000000e-01  7.61526471e-08  7.26505018e-07 -5.00000000e-01  1.55499908e-10  6.48891545e-07  6.43773218e-05  4.54653089e-07  3.96964739e-07  2.69558661e-04 -5.00000000e-01  1.00350741e-08 -5.00000000e-01  1.60011614e-08 -5.00000000e-01 -5.00000000e-01  2.42664603e-08 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  1.17164734e-08  5.87337076e-07  4.45629922e-09  9.98529481e-07 -5.00000000e-01  1.99040538e-08 -5.00000000e-01  1.42078064e-08  5.80142541e-05  3.74939533e-07 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  2.02798125e-08  1.38774872e-10 -5.00000000e-01 -5.00000000e-01  8.42576058e-06  4.06372973e-09  1.16427592e-10 -5.00000000e-01 -5.00000000e-01  2.43665811e-06 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  3.21143288e-07  6.36941195e-07 -5.00000000e-01  4.98375038e-09  1.27335546e-06 -5.00000000e-01  3.97950036e-08  1.01541768e-08  4.81793580e-07 -5.00000000e-01  4.40331630e-08 -5.00000000e-01  2.01212511e-06  1.83545092e-08 
-4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  2.27087512e-08  5.74748075e-09  3.25001101e-07 -4.00000000e-01  1.79608739e-10  5.12123504e-07 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  3.75668627e-09  3.12101912e-08 -4.00000000e-01  1.24067008e-08  1.40926831e-06 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  2.82107732e-07 -4.00000000e-01 -4.00000000e-01  8.81495508e-09  1.26264899e-10 -4.00000000e-01  7.76637527e-07 -4.00000000e-01  1.85562004e-03 -4.00000000e-01  1.50635753e-08 -4.00000000e-01  7.61725497e-08  7.26655003e-07 -4.00000000e-01  1.55499924e-10  6.48919666e-07  6.41975282e-05  4.54678298e-07  3.97025659e-07  2.69366869e-04 -4.00000000e-01  1.00355088e-08 -4.00000000e-01  1.60039476e-08 -4.00000000e-01 -4.00000000e-01  2.42700665e-08 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  1.17170402e-08  5.87376045e-07  4.45629963e-09  9.98697804e-07 -4.00000000e-01  1.99067269e-08 -4.00000000e-01  1.42085942e-08  5.80323448e-05  3.74957670e-07 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  2.02806912e-08  1.38774885e-10 -4.00000000e-01 -4.00000000e-01  8.41976582e-06  4.06373007e-09  1.16427601e-10 -4.00000000e-01 -4.00000000e-01  2.43729491e-06 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  3.21157201e-07  6.37026731e-07 -4.00000000e-01  4.98375089e-09  1.27370087e-06 -4.00000000e-01  3.98057987e-08  1.01555851e-08  4.82011494e-07 -4.00000000e-01  4.40419563e-08 -4.00000000e-01  2.00650562e-06  1.83557270e-08 
-3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  2.27134406e-08  5.74748143e-09  3.25046178e-07 -3.00000000e-01  1.79608760e-10  5.12212694e-07 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  3.75668657e-09  3.12154534e-08 -3.00000000e-01  1.24086051e-08  1.40954980e-06 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  2.82118873e-07 -3.00000000e-01 -3.00000000e-01  8.81530321e-09  1.26264917e-10 -3.00000000e-01  7.76752957e-07 -3.00000000e-01  1.85619632e-03 -3.00000000e-01  1.50703948e-08 -3.00000000e-01  7.61924641e-08  7.26805055e-07 -3.00000000e-01  1.55499941e-10  6.48960906e-07  6.40172633e-05  4.54703510e-07  3.97086598e-07  2.69174280e-04 -3.00000000e-01  1.00359437e-08 -3.00000000e-01  1.60067349e-08 -3.00000000e-01 -3.00000000e-01  2.42736738e-08 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  1.17176070e-08  5.87415021e-07  4.45630004e-09  9.98866187e-07 -3.00000000e-01  1.99094007e-08 -3.00000000e-01  1.42093821e-08  5.80503960e-05  3.74975810e-07 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  2.02819800e-08  1.38774877e-10 -3.00000000e-01 -3.00000000e-01  8.41374614e-06  4.06373040e-09  1.16427610e-10 -3.00000000e-01 -3.00000000e-01  2.43793209e-06 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  3.21171115e-07  6.37112290e-07 -3.00000000e-01  4.98375141e-09  1.27404650e-06 -3.00000000e-01  3.98166003e-08  1.01569937e-08  4.82229698e-07 -3.00000000e-01  4.40507534e-08 -3.00000000e-01  2.00087140e-06  1.83569450e-08 
-2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  2.27181196e-08  5.74748212e-09  3.25091155e-07 -2.00000000e-01  1.79608808e-10  5.12301687e-07 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  3.75668688e-09  3.12207040e-08 -2.00000000e-01  1.24105053e-08  1.40983067e-06 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  2.82129987e-07 -2.00000000e-01 -2.00000000e-01  8.81565054e-09  1.26264921e-10 -2.00000000e-01  7.76868130e-07 -2.00000000e-01  1.85677096e-03 -2.00000000e-01  1.50772009e-08 -2.00000000e-01  7.62123356e-08  7.26954779e-07 -2.00000000e-01  1.55499933e-10  6.49005009e-07  6.38372942e-05  4.54728665e-07  3.97147402e-07  2.68981933e-04 -2.00000000e-01  1.00363775e-08 -2.00000000e-01  1.60095160e-08 -2.00000000e-01 -2.00000000e-01  2.42772731e-08 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  1.17181726e-08  5.87453909e-07  4.45630044e-09  9.99034198e-07 -2.00000000e-01  1.99120685e-08 -2.00000000e-01  1.42101682e-08  5.80683959e-05  3.74993908e-07 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  2.02833582e-08  1.38774890e-10 -2.00000000e-01 -2.00000000e-01  8.40773404e-06  4.06373074e-09  1.16427612e-10 -2.00000000e-01 -2.00000000e-01  2.43856790e-06 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  3.21184997e-07  6.37197658e-07 -2.00000000e-01  4.98375195e-09  1.27439138e-06 -2.00000000e-01  3.98273788e-08  1.01583993e-08  4.82447474e-07 -2.00000000e-01  4.40595312e-08 -2.00000000e-01  1.99524643e-06  1.83581603e-08 
-1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  2.27225938e-08  5.74748277e-09  3.25134158e-07 -1.00000000e-01  1.79608829e-10  5.12386779e-07 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  3.75668716e-09  3.12257244e-08 -1.00000000e-01  1.24123221e-08  1.41009924e-06 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  2.82140613e-07 -1.00000000e-01 -1.00000000e-01  8.81598261e-09  1.26264938e-10 -1.00000000e-01  7.76978252e-07 -1.00000000e-01  1.85731971e-03 -1.00000000e-01  1.50837117e-08 -1.00000000e-01  7.62313382e-08  7.27097945e-07 -1.00000000e-01  1.55499972e-10  6.49052844e-07  6.36650251e-05  4.54752715e-07  3.97205539e-07  2.68797678e-04 -1.00000000e-01  1.00367922e-08 -1.00000000e-01  1.60121752e-08 -1.00000000e-01 -1.00000000e-01  2.42807145e-08 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  1.17187133e-08  5.87491088e-07  4.45630083e-09  9.99194843e-07 -1.00000000e-01  1.99146193e-08 -1.00000000e-01  1.42109197e-08  5.80855851e-05  3.75011210e-07 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  2.02848531e-08  1.38774902e-10 -1.00000000e-01 -1.00000000e-01  8.40197488e-06  4.06373107e-09  1.16427621e-10 -1.00000000e-01 -1.00000000e-01  2.43917591e-06 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  3.21198269e-07  6.37279282e-07 -1.00000000e-01  4.98375244e-09  1.27472119e-06 -1.00000000e-01  3.98376861e-08  1.01597432e-08  4.82655801e-07 -1.00000000e-01  4.40679245e-08 -1.00000000e-01  1.98986212e-06  1.83593221e-08 
-2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  2.27268261e-08  5.74748339e-09  3.25174835e-07 -2.77555756e-17  1.79608848e-10  5.12467269e-07 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  3.75668741e-09  3.12304733e-08 -2.77555756e-17  1.24140407e-08  1.41035329e-06 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  2.82150663e-07 -2.77555756e-17 -2.77555756e-17  8.81629668e-09  1.26264940e-10 -2.77555756e-17  7.77082415e-07 -2.77555756e-17  1.85783817e-03 -2.77555756e-17  1.50898731e-08 -2.77555756e-17  7.62493148e-08  7.27233373e-07 -2.77555756e-17  1.55499987e-10  6.49103037e-07  6.35019032e-05  4.54775461e-07  3.97260531e-07  2.68623084e-04 -2.77555756e-17  1.00371845e-08 -2.77555756e-17  1.60146906e-08 -2.77555756e-17 -2.77555756e-17  2.42839697e-08 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  1.17192247e-08  5.87526253e-07  4.45630121e-09  9.99346799e-07 -2.77555756e-17  1.99170321e-08 -2.77555756e-17  1.42116306e-08  5.81018251e-05  3.75027575e-07 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  2.02864216e-08  1.38774914e-10 -2.77555756e-17 -2.77555756e-17  8.39651766e-06  4.06373138e-09  1.16427636e-10 -2.77555756e-17 -2.77555756e-17  2.43975109e-06 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  3.21210821e-07  6.37356487e-07 -2.77555756e-17  4.98375290e-09  1.27503319e-06 -2.77555756e-17  3.98474370e-08  1.01610144e-08  4.82852948e-07 -2.77555756e-17  4.40758641e-08 -2.77555756e-17  1.98476371e-06  1.83604210e-08 
 1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  2.27308542e-08  5.74748398e-09  3.25213545e-07  1.00000000e-01  1.79608840e-10  5.12543873e-07  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  3.75668766e-09  3.12349928e-08  1.00000000e-01  1.24156762e-08  1.41059508e-06  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  2.82160227e-07  1.00000000e-01  1.00000000e-01  8.81659554e-09  1.26264950e-10  1.00000000e-01  7.77181546e-07  1.00000000e-01  1.85833102e-03  1.00000000e-01  1.50957394e-08  1.00000000e-01  7.62664252e-08  7.27362266e-07  1.00000000e-01  1.55500000e-10  6.49155148e-07  6.33465034e-05  4.54797107e-07  3.97312866e-07  2.68456643e-04  1.00000000e-01  1.00375578e-08  1.00000000e-01  1.60170845e-08  1.00000000e-01  1.00000000e-01  2.42870677e-08  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.17197113e-08  5.87559716e-07  4.45630158e-09  9.99491418e-07  1.00000000e-01  1.99193282e-08  1.00000000e-01  1.42123070e-08  5.81172634e-05  3.75043147e-07  1.00000000e-01  1.00000000e-01  1.00000000e-01  2.02880502e-08  1.38774946e-10  1.00000000e-01  1.00000000e-01  8.39131530e-06  4.06373169e-09  1.16427637e-10  1.00000000e-01  1.00000000e-01  2.44029856e-06  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  3.21222766e-07  6.37429961e-07  1.00000000e-01  4.98375335e-09  1.27533016e-06  1.00000000e-01  3.98567181e-08  1.01622241e-08  4.83040655e-07  1.00000000e-01  4.40834205e-08  1.00000000e-01  1.97990666e-06  1.83614668e-08 
 2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.27347072e-08  5.74748452e-09  3.25250572e-07  2.00000000e-01  1.79608884e-10  5.12617145e-07  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  3.75668790e-09  3.12393158e-08  2.00000000e-01  1.24172406e-08  1.41082636e-06  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.82169374e-07  2.00000000e-01  2.00000000e-01  8.81688138e-09  1.26264966e-10  2.00000000e-01  7.77276363e-07  2.00000000e-01  1.85880193e-03  2.00000000e-01  1.51013529e-08  2.00000000e-01  7.62827930e-08  7.27485558e-07  2.00000000e-01  1.55499990e-10  6.49208849e-07  6.31977217e-05  4.54817809e-07  3.97362924e-07  2.68297189e-04  2.00000000e-01  1.00379148e-08  2.00000000e-01  1.60193744e-08  2.00000000e-01  2.00000000e-01  2.42900308e-08  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.17201768e-08  5.87591721e-07  4.45630192e-09  9.99629746e-07  2.00000000e-01  1.99215244e-08  2.00000000e-01  1.42129539e-08  5.81320142e-05  3.75058041e-07  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.02897284e-08  1.38774956e-10  2.00000000e-01  2.00000000e-01  8.38633131e-06  4.06373196e-09  1.16427644e-10  2.00000000e-01  2.00000000e-01  2.44082226e-06  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  3.21234190e-07  6.37500238e-07  2.00000000e-01  4.98375377e-09  1.27561425e-06  2.00000000e-01  3.98655965e-08  1.01633812e-08  4.83220270e-07  2.00000000e-01  4.40906485e-08  2.00000000e-01  1.97525645e-06  1.83624670e-08 
 3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.27384084e-08  5.74748507e-09  3.25286136e-07  3.00000000e-01  1.79608901e-10  5.12687527e-07  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.75668815e-09  3.12434682e-08  3.00000000e-01  1.24187432e-08  1.41104852e-06  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.82178158e-07  3.00000000e-01  3.00000000e-01  8.81715590e-09  1.26264967e-10  3.00000000e-01  7.77367439e-07  3.00000000e-01  1.85925378e-03  3.00000000e-01  1.51067471e-08  3.00000000e-01  7.62985166e-08  7.27603990e-07  3.00000000e-01  1.55500003e-10  6.49263894e-07  6.30546791e-05  4.54837692e-07  3.97411007e-07  2.68143792e-04  3.00000000e-01  1.00382577e-08  3.00000000e-01  1.60215739e-08  3.00000000e-01  3.00000000e-01  2.42928770e-08  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.17206238e-08  5.87622462e-07  4.45630224e-09  9.99762618e-07  3.00000000e-01  1.99236339e-08  3.00000000e-01  1.42135753e-08  5.81461683e-05  3.75072346e-07  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.02914487e-08  1.38774966e-10  3.00000000e-01  3.00000000e-01  8.38153666e-06  4.06373223e-09  1.16427652e-10  3.00000000e-01  3.00000000e-01  2.44132535e-06  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.21245163e-07  6.37567740e-07  3.00000000e-01  4.98375418e-09  1.27588716e-06  3.00000000e-01  3.98741255e-08  1.01644926e-08  4.83392867e-07  3.00000000e-01  4.40975916e-08  3.00000000e-01  1.97078563e-06  1.83634276e-08 
 4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.27419766e-08  5.74748561e-09  3.25320421e-07  4.00000000e-01  1.79608917e-10  5.12755378e-07  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  3.75668837e-09  3.12474713e-08  4.00000000e-01  1.24201918e-08  1.41126271e-06  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.82186626e-07  4.00000000e-01  4.00000000e-01  8.81742053e-09  1.26264975e-10  4.00000000e-01  7.77455238e-07  4.00000000e-01  1.85968894e-03  4.00000000e-01  1.51119492e-08  4.00000000e-01  7.63136761e-08  7.27718167e-07  4.00000000e-01  1.55500039e-10  6.49320096e-07  6.29166593e-05  4.54856859e-07  3.97457361e-07  2.67995695e-04  4.00000000e-01  1.00385882e-08  4.00000000e-01  1.60236943e-08  4.00000000e-01  4.00000000e-01  2.42956208e-08  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.17210547e-08  5.87652094e-07  4.45630256e-09  9.99890711e-07  4.00000000e-01  1.99256675e-08  4.00000000e-01  1.42141743e-08  5.81597996e-05  3.75086135e-07  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.02932051e-08  1.38774976e-10  4.00000000e-01  4.00000000e-01  8.37690765e-06  4.06373249e-09  1.16427666e-10  4.00000000e-01  4.00000000e-01  2.44181040e-06  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  3.21255739e-07  6.37632813e-07  4.00000000e-01  4.98375455e-09  1.27615028e-06  4.00000000e-01  3.98823486e-08  1.01655640e-08  4.83559320e-07  4.00000000e-01  4.41042852e-08  4.00000000e-01  1.96647179e-06  1.83643536e-08 
