vgs,cgg_23_1,cgg_23_2
-2,0.000133695,0.00013163
-1.9,0.000133928,0.000130947
-1.85,0.000134047,0.000130548
-1.8,0.000134168,0.000130106
-1.75,0.000134291,0.00012962
-1.7,0.000134415,0.000129086
-1.65,0.000134541,0.000128501
-1.6,0.000134668,0.000127863
-1.55,0.000134797,0.000127169
-1.5,0.000134926,0.000126415
-1.45,0.000135057,0.000125599
-1.4,0.000135189,0.000124718
-1.35,0.000135322,0.000123769
-1.3,0.000135455,0.000122749
-1.25,0.000135589,0.000121658
-1.2,0.000135724,0.000120497
-1.15,0.000135859,0.00011928
-1.1,0.000135995,0.000117916
-1.05,0.000136131,0.000111366
-1,0.000136268,0.000100389
-0.95,0.000136407,9.10343E-05
-0.9,0.000136546,8.39179E-05
-0.85,0.000136688,7.842E-05
-0.8,0.000136832,7.40577E-05
-0.75,0.000136981,7.05175E-05
-0.7,0.000137134,6.75951E-05
-0.65,0.000137295,6.51532E-05
-0.6,0.000137465,6.30974E-05
-0.55,0.000137648,6.13612E-05
-0.5,0.000137847,5.98975E-05
-0.45,0.000138069,5.8673E-05
-0.4,0.000138318,5.76645E-05
-0.35,0.000138601,5.68562E-05
-0.3,0.000138925,5.62371E-05
-0.25,0.000139294,5.57978E-05
-0.2,0.000139705,5.55254E-05
-0.15,0.000140144,5.53965E-05
-0.1,0.000140576,5.537E-05
-0.05,0.000140945,5.53845E-05
1.20737E-15,0.000141183,5.53702E-05
0.05,0.00014124,5.52722E-05
0.1,0.000141096,5.50685E-05
0.15,0.000140761,5.47681E-05
0.2,0.00014026,5.43959E-05
0.25,0.000139611,5.39785E-05
0.3,0.000138801,5.35371E-05
0.35,0.00013779,5.30867E-05
0.4,0.000136536,5.26371E-05
0.45,0.000135046,5.21942E-05
0.5,0.000133544,5.17615E-05
0.55,0.000132634,5.1341E-05
0.6,0.000132762,5.09334E-05
0.65,0.000133542,5.05393E-05
0.7,0.000134192,5.01584E-05
0.75,0.00013447,4.97906E-05
0.8,0.000134861,4.94354E-05
0.85,0.000135383,4.90926E-05
0.9,0.000135904,4.87624E-05
0.95,0.00013638,4.84465E-05
1,0.000136806,4.81527E-05
1.05,0.000137186,4.79091E-05
1.1,0.000137527,4.78106E-05
1.15,0.000137834,4.81567E-05
1.2,0.000138112,4.98813E-05
1.25,0.000138365,5.58279E-05
1.3,0.000138596,7.14782E-05
1.35,0.000138809,9.65015E-05
1.4,0.000139005,0.000117131
1.45,0.000139187,0.000127286
1.5,0.000139356,0.000131471
1.55,0.000139514,0.00013338
1.6,0.000139661,0.000134477
1.65,0.0001398,0.000135249
1.7,0.00013993,0.00013586
1.75,0.000140053,0.000136372
1.8,0.000140169,0.000136815
1.85,0.000140279,0.000137203
1.9,0.000140384,0.000137548
1.95,0.000140483,0.000137856
2,0.000140578,0.000138135
