 v-sweep         i(v_s_18_1)     v(g_19_2)       i(v_s_11_3)     v(g_17_3)       i(v_s_11_2)     i(v_s_12_0)     v(g_12_2)       i(v_s_19_2)     i(v_s_14_4)     i(v_s_16_1)     v(g_14_1)       v(g_15_1)       v(g_17_0)       i(v_s_19_0)     v(g_15_2)       v(g_10_3)       v(g_19_3)       v(g_17_1)       i(v_s_15_1)     i(v_s_15_0)     i(v_s_18_0)     i(v_s_19_1)     i(v_s_17_4)     i(v_s_13_2)     i(v_s_16_4)     v(g_16_3)       i(v_s_18_2)     i(v_s_17_2)     i(v_s_14_1)     i(v_s_13_1)     v(g_11_4)       i(v_s_15_3)     v(g_12_4)       i(v_s_11_1)     v(g_12_0)       i(v_s_12_2)     i(v_s_15_2)     i(v_s_10_0)     v(g_15_4)       v(g_14_4)       v(g_12_3)       v(g_16_0)       v(g_16_1)       i(v_s_11_0)     v(g_19_4)       i(v_s_13_0)     v(g_13_3)       v(g_18_3)       v(g_17_2)       i(v_s_17_0)     v(g_15_0)       i(v_s_18_3)     v(g_19_1)       i(v_s_12_4)     v(g_15_3)       v(g_17_4)       v(g_18_0)       i(v_s_19_4)     i(v_s_12_1)     v(g_14_3)       i(v_s_18_4)     v(g_13_0)       v(g_10_0)       v(g_11_3)       i(v_s_10_3)     i(v_s_13_3)     v(g_19_0)       i(v_s_10_1)     v(g_12_1)       i(v_s_11_4)     i(v_s_13_4)     i(v_s_19_3)     v(g_11_0)       v(g_14_0)       i(v_s_16_2)     i(v_s_17_3)     v(g_13_4)       i(v_s_10_2)     v(g_13_1)       v(g_16_4)       i(v_s_14_3)     i(v_s_15_4)     v(g_16_2)       i(v_s_14_0)     v(g_18_4)       i(v_s_14_2)     v(g_10_4)       v(g_13_2)       v(g_18_2)       i(v_s_12_3)     v(g_11_1)       v(g_11_2)       i(v_s_16_3)     v(g_10_1)       i(v_s_16_0)     v(g_10_2)       i(v_s_17_1)     v(g_18_1)       i(v_s_10_4)     v(g_14_2)      
-5.00000000e-01 -7.50100500e-13 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01 -5.00101000e-13 -1.00010050e-12 -5.00000000e-01 -5.00100500e-13  1.43812902e-36 -7.50101000e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -1.00010050e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -7.50100100e-13 -1.00010010e-12 -1.00010050e-12 -7.50100500e-13  2.24054011e-37 -5.00100500e-13  2.06309470e-37 -5.00000000e-01 -5.00100500e-13 -5.00101000e-13 -7.50100100e-13 -7.50100500e-13 -5.00000000e-01 -2.50100094e-13 -5.00000000e-01 -7.50101000e-13 -5.00000000e-01 -5.00100500e-13 -5.00100100e-13 -1.00010100e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -1.00010100e-12 -5.00000000e-01 -1.00010050e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -1.00010100e-12 -5.00000000e-01 -2.50100494e-13 -5.00000000e-01  1.74071357e-37 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  1.28212936e-37 -7.50100500e-13 -5.00000000e-01  1.18409502e-37 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100994e-13 -2.50100494e-13 -5.00000000e-01 -7.50101000e-13 -5.00000000e-01  1.57049697e-37  1.89081515e-37 -2.50100494e-13 -5.00000000e-01 -5.00000000e-01 -5.00101000e-13 -2.50100994e-13 -5.00000000e-01 -5.00101000e-13 -5.00000000e-01 -5.00000000e-01 -2.50100094e-13  1.59834948e-36 -5.00000000e-01 -1.00010010e-12 -5.00000000e-01 -5.00100100e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100494e-13 -5.00000000e-01 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01 -1.00010100e-12 -5.00000000e-01 -7.50101000e-13 -5.00000000e-01  1.45067192e-37 -5.00000000e-01 
-4.00000000e-01 -7.50100500e-13 -4.00000000e-01 -2.50100994e-13 -4.00000000e-01 -5.00101000e-13 -1.00010050e-12 -4.00000000e-01 -5.00100500e-13  6.38008180e-36 -7.50101000e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -1.00010050e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -7.50100100e-13 -1.00010010e-12 -1.00010050e-12 -7.50100500e-13  9.93243979e-37 -5.00100500e-13  9.14581434e-37 -4.00000000e-01 -5.00100500e-13 -5.00101000e-13 -7.50100100e-13 -7.50100500e-13 -4.00000000e-01 -2.50100094e-13 -4.00000000e-01 -7.50101000e-13 -4.00000000e-01 -5.00100500e-13 -5.00100100e-13 -1.00010100e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -1.00010100e-12 -4.00000000e-01 -1.00010050e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -1.00010100e-12 -4.00000000e-01 -2.50100494e-13 -4.00000000e-01  7.78460362e-37 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  5.75222871e-37 -7.50100500e-13 -4.00000000e-01  5.31240106e-37 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100994e-13 -2.50100494e-13 -4.00000000e-01 -7.50101000e-13 -4.00000000e-01  6.89546208e-37  8.45586930e-37 -2.50100494e-13 -4.00000000e-01 -4.00000000e-01 -5.00101000e-13 -2.50100994e-13 -4.00000000e-01 -5.00101000e-13 -4.00000000e-01 -4.00000000e-01 -2.50100094e-13  7.09088007e-36 -4.00000000e-01 -1.00010010e-12 -4.00000000e-01 -5.00100100e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100494e-13 -4.00000000e-01 -4.00000000e-01 -2.50100994e-13 -4.00000000e-01 -1.00010100e-12 -4.00000000e-01 -7.50101000e-13 -4.00000000e-01  6.36935532e-37 -4.00000000e-01 
-3.00000000e-01 -7.50100500e-13 -3.00000000e-01 -2.50100994e-13 -3.00000000e-01 -5.00101000e-13 -1.00010050e-12 -3.00000000e-01 -5.00100500e-13  1.40808669e-33 -7.50101000e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -1.00010050e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -7.50100100e-13 -1.00010010e-12 -1.00010050e-12 -7.50100500e-13  2.19245711e-34 -5.00100500e-13  2.01881976e-34 -3.00000000e-01 -5.00100500e-13 -5.00101000e-13 -7.50100100e-13 -7.50100500e-13 -3.00000000e-01 -2.50100094e-13 -3.00000000e-01 -7.50101000e-13 -3.00000000e-01 -5.00100500e-13 -5.00100100e-13 -1.00010100e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -1.00010100e-12 -3.00000000e-01 -1.00010050e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -1.00010100e-12 -3.00000000e-01 -2.50100494e-13 -3.00000000e-01  1.74024778e-34 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  1.29256363e-34 -7.50100500e-13 -3.00000000e-01  1.19373147e-34 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50100994e-13 -2.50100494e-13 -3.00000000e-01 -7.50101000e-13 -3.00000000e-01  1.49750333e-34  1.89030919e-34 -2.50100494e-13 -3.00000000e-01 -3.00000000e-01 -5.00101000e-13 -2.50100994e-13 -3.00000000e-01 -5.00101000e-13 -3.00000000e-01 -3.00000000e-01 -2.50100094e-13  1.56496017e-33 -3.00000000e-01 -1.00010010e-12 -3.00000000e-01 -5.00100100e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50100494e-13 -3.00000000e-01 -3.00000000e-01 -2.50100994e-13 -3.00000000e-01 -1.00010100e-12 -3.00000000e-01 -7.50101000e-13 -3.00000000e-01  1.38324751e-34 -3.00000000e-01 
-2.00000000e-01 -7.50100500e-13 -2.00000000e-01 -2.50100994e-13 -2.00000000e-01 -5.00101000e-13 -1.00010050e-12 -2.00000000e-01 -5.00100500e-13  4.41931241e-32 -7.50101000e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -1.00010050e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -7.50100100e-13 -1.00010010e-12 -1.00010050e-12 -7.50100500e-13  6.87148237e-33 -5.00100500e-13  6.32727742e-33 -2.00000000e-01 -5.00100500e-13 -5.00101000e-13 -7.50100100e-13 -7.50100500e-13 -2.00000000e-01 -2.50100094e-13 -2.00000000e-01 -7.50101000e-13 -2.00000000e-01 -5.00100500e-13 -5.00100100e-13 -1.00010100e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -1.00010100e-12 -2.00000000e-01 -1.00010050e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -1.00010100e-12 -2.00000000e-01 -2.50100494e-13 -2.00000000e-01  5.46018225e-33 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  4.05432051e-33 -7.50100500e-13 -2.00000000e-01  3.74431853e-33 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50100994e-13 -2.50100494e-13 -2.00000000e-01 -7.50101000e-13 -2.00000000e-01  4.69779755e-33  5.93101328e-33 -2.50100494e-13 -2.00000000e-01 -2.00000000e-01 -5.00101000e-13 -2.50100994e-13 -2.00000000e-01 -5.00101000e-13 -2.00000000e-01 -2.00000000e-01 -2.50100094e-13  4.91166340e-32 -2.00000000e-01 -1.00010010e-12 -2.00000000e-01 -5.00100100e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50100494e-13 -2.00000000e-01 -2.00000000e-01 -2.50100994e-13 -2.00000000e-01 -1.00010100e-12 -2.00000000e-01 -7.50101000e-13 -2.00000000e-01  4.33936719e-33 -2.00000000e-01 
-1.00000000e-01 -7.50100500e-13 -1.00000000e-01 -2.50100994e-13 -1.00000000e-01 -5.00101000e-13 -1.00010050e-12 -1.00000000e-01 -5.00100500e-13  1.38679698e-30 -7.50101000e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00010050e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -7.50100100e-13 -1.00010010e-12 -1.00010050e-12 -7.50100500e-13  2.15636359e-31 -5.00100500e-13  1.98558476e-31 -1.00000000e-01 -5.00100500e-13 -5.00101000e-13 -7.50100100e-13 -7.50100500e-13 -1.00000000e-01 -2.50100094e-13 -1.00000000e-01 -7.50101000e-13 -1.00000000e-01 -5.00100500e-13 -5.00100100e-13 -1.00010100e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00010100e-12 -1.00000000e-01 -1.00010050e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00010100e-12 -1.00000000e-01 -2.50100494e-13 -1.00000000e-01  1.71354154e-31 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  1.27252134e-31 -7.50100500e-13 -1.00000000e-01  1.17522165e-31 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.50100994e-13 -2.50100494e-13 -1.00000000e-01 -7.50101000e-13 -1.00000000e-01  1.47395251e-31  1.86130008e-31 -2.50100494e-13 -1.00000000e-01 -1.00000000e-01 -5.00101000e-13 -2.50100994e-13 -1.00000000e-01 -5.00101000e-13 -1.00000000e-01 -1.00000000e-01 -2.50100094e-13  1.54129859e-30 -1.00000000e-01 -1.00010010e-12 -1.00000000e-01 -5.00100100e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.50100494e-13 -1.00000000e-01 -1.00000000e-01 -2.50100994e-13 -1.00000000e-01 -1.00010100e-12 -1.00000000e-01 -7.50101000e-13 -1.00000000e-01  1.36149357e-31 -1.00000000e-01 
-2.77555756e-17 -7.50100500e-13 -2.77555756e-17 -2.50100994e-13 -2.77555756e-17 -5.00101000e-13 -1.00010050e-12 -2.77555756e-17 -5.00100500e-13  4.35200653e-29 -7.50101000e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -1.00010050e-12 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -7.50100100e-13 -1.00010010e-12 -1.00010050e-12 -7.50100500e-13  6.76703501e-30 -5.00100500e-13  6.23110204e-30 -2.77555756e-17 -5.00100500e-13 -5.00101000e-13 -7.50100100e-13 -7.50100500e-13 -2.77555756e-17 -2.50100094e-13 -2.77555756e-17 -7.50101000e-13 -2.77555756e-17 -5.00100500e-13 -5.00100100e-13 -1.00010100e-12 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -1.00010100e-12 -2.77555756e-17 -1.00010050e-12 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -1.00010100e-12 -2.77555756e-17 -2.50100494e-13 -2.77555756e-17  5.37740229e-30 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  3.99336590e-30 -7.50100500e-13 -2.77555756e-17  3.68802464e-30 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.50100994e-13 -2.50100494e-13 -2.77555756e-17 -7.50101000e-13 -2.77555756e-17  4.62567304e-30  5.84109521e-30 -2.50100494e-13 -2.77555756e-17 -2.77555756e-17 -5.00101000e-13 -2.50100994e-13 -2.77555756e-17 -5.00101000e-13 -2.77555756e-17 -2.77555756e-17 -2.50100094e-13  4.83685904e-29 -2.77555756e-17 -1.00010010e-12 -2.77555756e-17 -5.00100100e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.50100494e-13 -2.77555756e-17 -2.77555756e-17 -2.50100994e-13 -2.77555756e-17 -1.00010100e-12 -2.77555756e-17 -7.50101000e-13 -2.77555756e-17  4.27274559e-30 -2.77555756e-17 
 1.00000000e-01 -7.50100500e-13  1.00000000e-01 -2.50100994e-13  1.00000000e-01 -5.00101000e-13 -1.00010050e-12  1.00000000e-01 -5.00100500e-13  1.36571651e-27 -7.50101000e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -1.00010050e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -7.50100100e-13 -1.00010010e-12 -1.00010050e-12 -7.50100500e-13  2.12360337e-28 -5.00100500e-13  1.95541906e-28  1.00000000e-01 -5.00100500e-13 -5.00101000e-13 -7.50100100e-13 -7.50100500e-13  1.00000000e-01 -2.50100094e-13  1.00000000e-01 -7.50101000e-13  1.00000000e-01 -5.00100500e-13 -5.00100100e-13 -1.00010100e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -1.00010100e-12  1.00000000e-01 -1.00010050e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01 -1.00010100e-12  1.00000000e-01 -2.50100494e-13  1.00000000e-01  1.68750976e-28  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.25316771e-28 -7.50100500e-13  1.00000000e-01  1.15734784e-28  1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.50100994e-13 -2.50100494e-13  1.00000000e-01 -7.50101000e-13  1.00000000e-01  1.45159007e-28  1.83302358e-28 -2.50100494e-13  1.00000000e-01  1.00000000e-01 -5.00101000e-13 -2.50100994e-13  1.00000000e-01 -5.00101000e-13  1.00000000e-01  1.00000000e-01 -2.50100094e-13  1.51786956e-27  1.00000000e-01 -1.00010010e-12  1.00000000e-01 -5.00100100e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.50100494e-13  1.00000000e-01  1.00000000e-01 -2.50100994e-13  1.00000000e-01 -1.00010100e-12  1.00000000e-01 -7.50101000e-13  1.00000000e-01  1.34083733e-28  1.00000000e-01 
 2.00000000e-01 -7.50100500e-13  2.00000000e-01 -2.50100994e-13  2.00000000e-01 -5.00101000e-13 -1.00010050e-12  2.00000000e-01 -5.00100500e-13  4.28578101e-26 -7.50101000e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01 -1.00010050e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -7.50100100e-13 -1.00010010e-12 -1.00010050e-12 -7.50100500e-13  6.66411166e-27 -5.00100500e-13  6.13632997e-27  2.00000000e-01 -5.00100500e-13 -5.00101000e-13 -7.50100100e-13 -7.50100500e-13  2.00000000e-01 -2.50100094e-13  2.00000000e-01 -7.50101000e-13  2.00000000e-01 -5.00100500e-13 -5.00100100e-13 -1.00010100e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -1.00010100e-12  2.00000000e-01 -1.00010050e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01 -1.00010100e-12  2.00000000e-01 -2.50100494e-13  2.00000000e-01  5.29560897e-27  2.00000000e-01  2.00000000e-01  2.00000000e-01  3.93259222e-27 -7.50100500e-13  2.00000000e-01  3.63189785e-27  2.00000000e-01  2.00000000e-01  2.00000000e-01 -2.50100994e-13 -2.50100494e-13  2.00000000e-01 -7.50101000e-13  2.00000000e-01  4.55526754e-27  5.75224887e-27 -2.50100494e-13  2.00000000e-01  2.00000000e-01 -5.00101000e-13 -2.50100994e-13  2.00000000e-01 -5.00101000e-13  2.00000000e-01  2.00000000e-01 -2.50100094e-13  4.76325541e-26  2.00000000e-01 -1.00010010e-12  2.00000000e-01 -5.00100100e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01 -2.50100494e-13  2.00000000e-01  2.00000000e-01 -2.50100994e-13  2.00000000e-01 -1.00010100e-12  2.00000000e-01 -7.50101000e-13  2.00000000e-01  4.20771186e-27  2.00000000e-01 
 3.00000000e-01 -7.50100500e-13  3.00000000e-01 -2.50100994e-13  3.00000000e-01 -5.00101000e-13 -1.00010050e-12  3.00000000e-01 -5.00100500e-13  1.34492168e-24 -7.50101000e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01 -1.00010050e-12  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01 -7.50100100e-13 -1.00010010e-12 -1.00010050e-12 -7.50100500e-13  2.09126640e-25 -5.00100500e-13  1.92564311e-25  3.00000000e-01 -5.00100500e-13 -5.00101000e-13 -7.50100100e-13 -7.50100500e-13  3.00000000e-01 -2.50100094e-13  3.00000000e-01 -7.50101000e-13  3.00000000e-01 -5.00100500e-13 -5.00100100e-13 -1.00010100e-12  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01 -1.00010100e-12  3.00000000e-01 -1.00010050e-12  3.00000000e-01  3.00000000e-01  3.00000000e-01 -1.00010100e-12  3.00000000e-01 -2.50100494e-13  3.00000000e-01  1.66181609e-25  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.23408729e-25 -7.50100500e-13  3.00000000e-01  1.13972635e-25  3.00000000e-01  3.00000000e-01  3.00000000e-01 -2.50100994e-13 -2.50100494e-13  3.00000000e-01 -7.50101000e-13  3.00000000e-01  1.42948910e-25  1.80511435e-25 -2.50100494e-13  3.00000000e-01  3.00000000e-01 -5.00101000e-13 -2.50100994e-13  3.00000000e-01 -5.00101000e-13  3.00000000e-01  3.00000000e-01 -2.50100094e-13  1.49475801e-24  3.00000000e-01 -1.00010010e-12  3.00000000e-01 -5.00100100e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01 -2.50100494e-13  3.00000000e-01  3.00000000e-01 -2.50100994e-13  3.00000000e-01 -1.00010100e-12  3.00000000e-01 -7.50101000e-13  3.00000000e-01  1.32042261e-25  3.00000000e-01 
 4.00000000e-01 -7.50100500e-13  4.00000000e-01 -2.50100994e-13  4.00000000e-01 -5.00101000e-13 -1.00010050e-12  4.00000000e-01 -5.00100500e-13  4.22047875e-23 -7.50101000e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01 -1.00010050e-12  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01 -7.50100100e-13 -1.00010010e-12 -1.00010050e-12 -7.50100500e-13  6.56257191e-24 -5.00100500e-13  6.04283193e-24  4.00000000e-01 -5.00100500e-13 -5.00101000e-13 -7.50100100e-13 -7.50100500e-13  4.00000000e-01 -2.50100094e-13  4.00000000e-01 -7.50101000e-13  4.00000000e-01 -5.00100500e-13 -5.00100100e-13 -1.00010100e-12  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01 -1.00010100e-12  4.00000000e-01 -1.00010050e-12  4.00000000e-01  4.00000000e-01  4.00000000e-01 -1.00010100e-12  4.00000000e-01 -2.50100494e-13  4.00000000e-01  5.21492048e-24  4.00000000e-01  4.00000000e-01  4.00000000e-01  3.87267111e-24 -7.50100500e-13  4.00000000e-01  3.57655844e-24  4.00000000e-01  4.00000000e-01  4.00000000e-01 -2.50100994e-13 -2.50100494e-13  4.00000000e-01 -7.50101000e-13  4.00000000e-01  4.48585876e-24  5.66460261e-24 -2.50100494e-13  4.00000000e-01  4.00000000e-01 -5.00101000e-13 -2.50100994e-13  4.00000000e-01 -5.00101000e-13  4.00000000e-01  4.00000000e-01 -2.50100094e-13  4.69067789e-23  4.00000000e-01 -1.00010010e-12  4.00000000e-01 -5.00100100e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01 -2.50100494e-13  4.00000000e-01  4.00000000e-01 -2.50100994e-13  4.00000000e-01 -1.00010100e-12  4.00000000e-01 -7.50101000e-13  4.00000000e-01  4.14359880e-24  4.00000000e-01 
