vgs,cgs_21_1
-2,9.18559E-05
-1.95,9.20704E-05
-1.8,9.26356E-05
-1.75,9.28021E-05
-1.7,9.29594E-05
-1.65,9.31082E-05
-1.6,9.32492E-05
-1.55,9.33832E-05
-1.5,9.35107E-05
-1.45,9.36322E-05
-1.4,9.37481E-05
-1.35,9.3859E-05
-1.3,9.3965E-05
-1.25,9.40667E-05
-1.2,9.41642E-05
-1.15,9.42579E-05
-1.1,9.4348E-05
-1.05,9.44347E-05
-1,9.45183E-05
-0.95,9.4599E-05
-0.9,9.46769E-05
-0.85,9.47522E-05
-0.8,9.4825E-05
-0.75,9.48955E-05
-0.7,9.49638E-05
-0.65,9.50301E-05
-0.6,9.50945E-05
-0.55,9.5157E-05
-0.5,9.52177E-05
-0.45,9.52769E-05
-0.4,9.53344E-05
-0.35,9.53904E-05
-0.3,9.5445E-05
-0.25,9.54981E-05
-0.2,9.55497E-05
-0.15,9.55999E-05
-0.1,9.56484E-05
-0.05,9.55695E-05
1.20737E-15,9.54877E-05
0.05,9.54045E-05
0.1,9.53199E-05
0.15,9.52343E-05
0.2,9.51477E-05
0.25,9.50604E-05
0.3,9.49724E-05
0.35,9.48839E-05
0.4,9.47948E-05
0.45,9.47053E-05
0.5,9.46155E-05
0.55,9.45253E-05
0.6,9.44347E-05
0.65,9.4344E-05
0.7,9.42529E-05
0.75,9.41616E-05
0.8,9.40702E-05
0.85,9.39786E-05
0.9,9.38868E-05
0.95,9.37949E-05
1,9.37029E-05
1.05,9.36108E-05
1.1,9.35186E-05
1.15,9.34264E-05
1.2,9.33342E-05
1.25,9.32419E-05
1.3,9.31496E-05
1.35,9.30574E-05
1.4,9.29652E-05
1.45,9.2873E-05
1.5,9.27808E-05
1.55,9.26888E-05
1.6,9.25968E-05
1.65,9.25049E-05
1.7,9.24131E-05
1.75,9.23214E-05
1.8,9.22299E-05
1.85,9.21384E-05
1.9,9.20471E-05
1.95,9.1956E-05
2,9.1865E-05
