vgs,cgb_22_0,cgb_22_2,cgb_22_1
-2,2.15377E-05,6.10269E-05,1.50146E-06
-1.95,2.53562E-06,6.05084E-05,1.3217E-06
-1.9,2.3217E-06,6.0003E-05,1.16849E-06
-1.85,2.20637E-06,5.951E-05,1.03732E-06
-1.8,2.09956E-06,5.90289E-05,9.24498E-07
-1.75,2.00022E-06,5.85594E-05,8.27052E-07
-1.7,1.90767E-06,5.81009E-05,7.42531E-07
-1.65,1.82132E-06,5.76531E-05,6.68925E-07
-1.6,1.74064E-06,5.72154E-05,6.04576E-07
-1.55,1.66514E-06,5.67775E-05,5.4811E-07
-1.5,1.5944E-06,5.21039E-05,4.98384E-07
-1.45,1.52804E-06,2.26559E-06,4.54443E-07
-1.4,1.4657E-06,8.44567E-07,4.15488E-07
-1.35,1.40707E-06,8.17397E-07,3.80843E-07
-1.3,1.35187E-06,7.94341E-07,3.4994E-07
-1.25,1.29983E-06,7.72255E-07,3.22296E-07
-1.2,1.25072E-06,7.51082E-07,2.97497E-07
-1.15,1.20433E-06,7.30771E-07,2.75193E-07
-1.1,1.16046E-06,7.11276E-07,2.55082E-07
-1.05,1.11893E-06,6.92555E-07,2.36904E-07
-1,1.07959E-06,6.74568E-07,2.20436E-07
-0.95,1.04228E-06,6.57277E-07,2.05483E-07
-0.9,1.00687E-06,6.40646E-07,1.91877E-07
-0.85,9.73228E-07,6.24642E-07,1.7947E-07
-0.8,9.41243E-07,6.09235E-07,1.68136E-07
-0.75,9.10807E-07,5.94396E-07,1.57761E-07
-0.7,8.81824E-07,5.80096E-07,1.48247E-07
-0.65,8.54203E-07,5.6631E-07,1.39508E-07
-0.6,8.2786E-07,5.53015E-07,1.31466E-07
-0.55,8.02719E-07,5.40186E-07,1.24054E-07
-0.5,7.78707E-07,5.27802E-07,1.17212E-07
-0.45,7.5576E-07,5.15844E-07,1.10886E-07
-0.4,7.33814E-07,5.04292E-07,1.05029E-07
-0.35,7.12813E-07,4.93128E-07,9.95991E-08
-0.3,6.92704E-07,4.82334E-07,9.45575E-08
-0.25,6.73438E-07,4.71896E-07,8.98705E-08
-0.2,6.54968E-07,4.61796E-07,8.55077E-08
-0.15,6.3725E-07,4.52021E-07,8.14416E-08
-0.1,6.20246E-07,4.42557E-07,7.76475E-08
-0.05,6.03131E-07,4.32827E-07,7.40145E-08
1.20737E-15,5.86711E-07,4.23414E-07,7.06234E-08
0.05,5.7096E-07,4.1431E-07,6.74553E-08
0.1,5.5584E-07,4.05502E-07,6.44921E-08
0.15,5.4132E-07,3.96978E-07,6.17176E-08
0.2,5.27367E-07,3.88724E-07,5.9117E-08
0.25,5.13952E-07,3.8073E-07,5.66768E-08
0.3,5.0105E-07,3.72985E-07,5.43849E-08
0.35,4.88633E-07,3.6548E-07,5.22301E-08
0.4,4.76677E-07,3.58203E-07,5.02024E-08
0.45,4.65161E-07,3.51146E-07,4.82925E-08
0.5,4.54064E-07,3.44301E-07,4.6492E-08
0.55,4.43364E-07,3.37658E-07,4.47931E-08
0.6,4.33044E-07,3.31211E-07,4.31887E-08
0.65,4.23085E-07,3.2495E-07,4.16725E-08
0.7,4.13472E-07,3.1887E-07,4.02382E-08
0.75,4.04188E-07,3.12964E-07,3.88806E-08
0.8,3.95218E-07,3.07224E-07,3.75945E-08
0.85,3.86549E-07,3.01644E-07,3.63753E-08
0.9,3.78167E-07,2.9622E-07,3.52186E-08
0.95,3.7006E-07,2.90945E-07,3.41205E-08
1,3.62216E-07,2.85813E-07,3.30774E-08
1.05,3.54624E-07,2.80819E-07,3.20857E-08
1.1,3.47273E-07,2.7596E-07,3.11425E-08
1.15,3.40152E-07,2.71229E-07,3.02446E-08
1.2,3.33253E-07,2.66622E-07,2.93895E-08
1.25,3.26567E-07,2.62136E-07,2.85746E-08
1.3,3.20084E-07,2.57765E-07,2.77976E-08
1.35,3.13797E-07,2.53506E-07,2.70562E-08
1.4,3.07698E-07,2.49356E-07,2.63485E-08
1.45,3.01779E-07,2.4531E-07,2.56726E-08
1.5,2.96034E-07,2.41365E-07,2.50266E-08
1.55,2.90455E-07,2.37517E-07,2.44089E-08
1.6,2.85036E-07,2.33765E-07,2.38181E-08
1.65,2.79772E-07,2.30103E-07,2.32526E-08
1.7,2.74657E-07,2.2653E-07,2.2711E-08
1.75,2.69684E-07,2.23043E-07,2.21922E-08
1.8,2.64849E-07,2.19639E-07,2.1695E-08
1.85,2.60146E-07,2.16315E-07,2.12181E-08
1.9,2.55572E-07,2.1307E-07,2.07607E-08
1.95,2.51121E-07,2.09899E-07,2.03217E-08
2,2.46788E-07,2.06802E-07,1.99001E-08
