vgs,cgs_21_2,cgs_21_0
-2,1.28298E-06,5.99058E-05
-1.95,1.28518E-06,8.24306E-05
-1.9,1.28742E-06,8.40895E-05
-1.85,1.2897E-06,8.53004E-05
-1.8,1.29202E-06,8.62832E-05
-1.75,1.29439E-06,8.71041E-05
-1.7,1.29681E-06,8.78039E-05
-1.65,1.29927E-06,8.84102E-05
-1.6,1.30182E-06,8.89423E-05
-1.55,1.32008E-06,8.94142E-05
-1.5,7.60136E-06,8.98365E-05
-1.45,7.93543E-05,9.02174E-05
-1.4,8.32456E-05,9.05631E-05
-1.35,8.46462E-05,9.08789E-05
-1.3,8.57536E-05,9.11687E-05
-1.25,8.66644E-05,9.1436E-05
-1.2,8.74323E-05,9.16834E-05
-1.15,8.80916E-05,9.19134E-05
-1.1,8.86662E-05,9.2128E-05
-1.05,8.91728E-05,9.23286E-05
-1,8.96239E-05,9.25169E-05
-0.95,9.00291E-05,9.2694E-05
-0.9,9.03956E-05,9.28609E-05
-0.85,9.07293E-05,9.30187E-05
-0.8,9.10348E-05,9.31682E-05
-0.75,9.13158E-05,9.331E-05
-0.7,9.15755E-05,9.34448E-05
-0.65,9.18165E-05,9.35732E-05
-0.6,9.20408E-05,9.36956E-05
-0.55,9.22504E-05,9.38126E-05
-0.5,9.24468E-05,9.39245E-05
-0.45,9.26313E-05,9.40318E-05
-0.4,9.28052E-05,9.41346E-05
-0.35,9.29693E-05,9.42334E-05
-0.3,9.31245E-05,9.43283E-05
-0.25,9.32716E-05,9.44196E-05
-0.2,9.34112E-05,9.45074E-05
-0.15,9.35438E-05,9.45919E-05
-0.1,9.36697E-05,9.46729E-05
-0.05,9.3666E-05,9.46261E-05
1.20737E-15,9.36549E-05,9.45748E-05
0.05,9.36383E-05,9.45206E-05
0.1,9.36166E-05,9.44636E-05
0.15,9.35903E-05,9.44042E-05
0.2,9.35598E-05,9.43427E-05
0.25,9.35255E-05,9.42792E-05
0.3,9.34878E-05,9.42139E-05
0.35,9.3447E-05,9.41471E-05
0.4,9.34032E-05,9.40788E-05
0.45,9.33568E-05,9.40092E-05
0.5,9.3308E-05,9.39383E-05
0.55,9.32568E-05,9.38663E-05
0.6,9.32036E-05,9.37933E-05
0.65,9.31483E-05,9.37192E-05
0.7,9.30912E-05,9.36443E-05
0.75,9.30324E-05,9.35684E-05
0.8,9.2972E-05,9.34918E-05
0.85,9.29101E-05,9.34145E-05
0.9,9.28468E-05,9.33364E-05
0.95,9.27822E-05,9.32577E-05
1,9.27163E-05,9.31784E-05
1.05,9.26494E-05,9.30986E-05
1.1,9.25814E-05,9.30183E-05
1.15,9.25124E-05,9.29374E-05
1.2,9.24424E-05,9.28562E-05
1.25,9.23716E-05,9.27746E-05
1.3,9.23E-05,9.26926E-05
1.35,9.22277E-05,9.26102E-05
1.4,9.21547E-05,9.25276E-05
1.45,9.2081E-05,9.24447E-05
1.5,9.20067E-05,9.23615E-05
1.55,9.19319E-05,9.22781E-05
1.6,9.18565E-05,9.21945E-05
1.65,9.17807E-05,9.21108E-05
1.7,9.17045E-05,9.20269E-05
1.75,9.16278E-05,9.19428E-05
1.8,9.15508E-05,9.18587E-05
1.85,9.14734E-05,9.17744E-05
1.9,9.13957E-05,9.16901E-05
1.95,9.13178E-05,9.16057E-05
2,9.12395E-05,9.15213E-05
