 v-sweep         i(v_s_13_2)     i(v_s_13_3)     v(g_18_4)       v(g_11_1)       v(g_10_2)       i(v_s_14_2)     i(v_s_11_3)     i(v_s_16_3)     v(g_11_0)       i(v_s_11_0)     i(v_s_16_1)     i(v_s_15_4)     v(g_10_1)       i(v_s_12_3)     v(g_13_4)       v(g_19_2)       v(g_19_3)       i(v_s_10_4)     v(g_15_3)       v(g_12_0)       v(g_19_4)       v(g_17_1)       i(v_s_15_3)     v(g_17_4)       v(g_19_0)       v(g_11_3)       v(g_12_2)       v(g_14_4)       v(g_14_0)       v(g_13_3)       i(v_s_16_2)     v(g_15_2)       i(v_s_11_2)     i(v_s_17_2)     i(v_s_15_1)     i(v_s_15_0)     v(g_13_1)       v(g_18_0)       v(g_13_0)       i(v_s_18_2)     i(v_s_12_2)     i(v_s_14_1)     v(g_12_1)       v(g_16_4)       i(v_s_11_1)     i(v_s_10_2)     v(g_10_4)       v(g_16_0)       v(g_15_1)       v(g_11_4)       v(g_18_2)       v(g_12_4)       i(v_s_14_3)     v(g_14_2)       i(v_s_16_4)     i(v_s_19_3)     i(v_s_19_4)     i(v_s_13_4)     i(v_s_18_4)     i(v_s_10_3)     i(v_s_12_4)     i(v_s_12_1)     i(v_s_15_2)     i(v_s_16_0)     v(g_15_4)       i(v_s_10_1)     i(v_s_19_2)     i(v_s_13_0)     i(v_s_14_4)     v(g_17_0)       i(v_s_18_1)     v(g_16_3)       v(g_10_0)       i(v_s_18_0)     v(g_13_2)       i(v_s_17_0)     i(v_s_10_0)     v(g_18_3)       v(g_16_1)       i(v_s_14_0)     v(g_15_0)       v(g_17_3)       i(v_s_18_3)     i(v_s_19_0)     i(v_s_13_1)     v(g_10_3)       v(g_11_2)       i(v_s_11_4)     i(v_s_17_4)     i(v_s_17_1)     i(v_s_17_3)     v(g_16_2)       v(g_17_2)       v(g_18_1)       i(v_s_19_1)     v(g_14_1)       i(v_s_12_0)     v(g_14_3)       v(g_19_1)       v(g_12_3)      
-5.00000000e-01  4.89269285e-05  6.27670052e-05 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  4.45657962e-06  7.04727875e-05  1.46069804e-05 -5.00000000e-01  3.18743367e-05  1.10677513e-05  4.58539893e-05 -5.00000000e-01  7.09083667e-06 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  8.77201188e-06 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  3.60049060e-05 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  1.27736245e-05 -5.00000000e-01  5.50152696e-05  1.02627404e-04  2.05237633e-05  1.45639767e-05 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  3.25887667e-06  6.19461674e-06  3.80520705e-06 -5.00000000e-01 -5.00000000e-01  4.23158941e-05  6.72497226e-06 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  5.11169038e-06 -5.00000000e-01  1.66104454e-05  3.36698259e-05  4.28032314e-05  7.96228076e-05  4.25554717e-06  7.70004663e-06  8.06617682e-06  5.35762704e-06  2.76277135e-05  9.46294212e-06 -5.00000000e-01  5.82262920e-06  2.62093204e-05  2.80727282e-05  5.77740908e-06 -5.00000000e-01  2.81686360e-06 -5.00000000e-01 -5.00000000e-01  2.40168494e-06 -5.00000000e-01  5.94840213e-05  4.97798628e-06 -5.00000000e-01 -5.00000000e-01  3.15380525e-06 -5.00000000e-01 -5.00000000e-01  3.73469217e-06  1.50369654e-05  3.74997539e-05 -5.00000000e-01 -5.00000000e-01  8.94227199e-05  1.66188473e-04  7.89923232e-05  1.31265151e-04 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  2.00769331e-05 -5.00000000e-01  4.56758905e-06 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 
-4.00000000e-01  5.95180065e-05  7.47236507e-05 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  4.90245526e-06  8.39644751e-05  1.58762280e-05 -4.00000000e-01  4.09422326e-05  1.23576270e-05  5.32346108e-05 -4.00000000e-01  7.70610185e-06 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  9.44726409e-06 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  4.28069627e-05 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  1.40540373e-05 -4.00000000e-01  6.69014125e-05  1.24656576e-04  2.61158799e-05  1.95072783e-05 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  3.58922747e-06  6.81753943e-06  4.28315617e-06 -4.00000000e-01 -4.00000000e-01  5.27387050e-05  7.40520122e-06 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  5.52509968e-06 -4.00000000e-01  1.78667197e-05  4.01444405e-05  5.01349867e-05  9.30865903e-05  4.58087677e-06  8.37810743e-06  8.67270793e-06  5.98722106e-06  3.38367515e-05  1.07605798e-05 -4.00000000e-01  6.50437281e-06  3.19164698e-05  3.62073370e-05  6.15775643e-06 -4.00000000e-01  3.14908099e-06 -4.00000000e-01 -4.00000000e-01  2.73534646e-06 -4.00000000e-01  7.64255096e-05  5.66055759e-06 -4.00000000e-01 -4.00000000e-01  3.66338333e-06 -4.00000000e-01 -4.00000000e-01  4.06275404e-06  1.93860841e-05  4.68250920e-05 -4.00000000e-01 -4.00000000e-01  1.04718457e-04  1.94236463e-04  9.83932925e-05  1.56146087e-04 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  2.50806818e-05 -4.00000000e-01  5.20288993e-06 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 
-3.00000000e-01  7.11068473e-05  8.77045291e-05 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  5.31502756e-06  9.86861319e-05  1.71165306e-05 -3.00000000e-01  5.11195559e-05  1.36141335e-05  6.09739003e-05 -3.00000000e-01  8.30541685e-06 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  1.01106901e-05 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  4.99930420e-05 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  1.53033702e-05 -3.00000000e-01  7.99675785e-05  1.48782595e-04  3.21597526e-05  2.49451654e-05 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  3.91179533e-06  7.42337147e-06  4.72411211e-06 -3.00000000e-01 -3.00000000e-01  6.43025868e-05  8.07164026e-06 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  5.90863608e-06 -3.00000000e-01  1.90960717e-05  4.72008288e-05  5.80776944e-05  1.07613920e-04  4.89945513e-06  9.04339011e-06  9.26437015e-06  6.59850202e-06  4.04609438e-05  1.20223619e-05 -3.00000000e-01  7.17123387e-06  3.81841876e-05  4.53078271e-05  6.51143823e-06 -3.00000000e-01  3.47294035e-06 -3.00000000e-01 -3.00000000e-01  3.06001772e-06 -3.00000000e-01  9.53792095e-05  6.32704871e-06 -3.00000000e-01 -3.00000000e-01  4.13202684e-06 -3.00000000e-01 -3.00000000e-01  4.38356479e-06  2.42666929e-05  5.71296682e-05 -3.00000000e-01 -3.00000000e-01  1.21311311e-04  2.24539500e-04  1.19843091e-04  1.83189162e-04 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  3.06288184e-05 -3.00000000e-01  5.81854898e-06 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 
-2.00000000e-01  8.36580497e-05  1.01682603e-04 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  5.69396908e-06  1.14622634e-04  1.83241848e-05 -2.00000000e-01  6.23623621e-05  1.48310694e-05  6.90332190e-05 -2.00000000e-01  8.88696210e-06 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  1.07606380e-05 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  5.75161072e-05 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  1.65168230e-05 -2.00000000e-01  9.41898164e-05  1.74943463e-04  3.85853304e-05  3.07910550e-05 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  4.22524306e-06  8.00972827e-06  5.12699579e-06 -2.00000000e-01 -2.00000000e-01  7.69738919e-05  8.72160594e-06 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  6.26242069e-06 -2.00000000e-01  2.02956717e-05  5.48288660e-05  6.66247023e-05  1.23184831e-04  5.21047476e-06  9.69378236e-06  9.83979016e-06  7.18835726e-06  4.74430564e-05  1.32402728e-05 -2.00000000e-01  7.81980736e-06  4.49978625e-05  5.53195623e-05  6.83883293e-06 -2.00000000e-01  3.78672974e-06 -2.00000000e-01 -2.00000000e-01  3.37350466e-06 -2.00000000e-01  1.16245492e-04  6.97313235e-06 -2.00000000e-01 -2.00000000e-01  4.55739992e-06 -2.00000000e-01 -2.00000000e-01  4.69608158e-06  2.96540680e-05  6.83688796e-05 -2.00000000e-01 -2.00000000e-01  1.39192583e-04  2.57065404e-04  1.43261685e-04  2.12348736e-04 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  3.67018344e-05 -2.00000000e-01  6.41050380e-06 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 
-1.00000000e-01  9.71170275e-05  1.16614058e-04 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  6.03801224e-06  1.31738184e-04  1.94943562e-05 -1.00000000e-01  7.45938710e-05  1.59999689e-05  7.73696601e-05 -1.00000000e-01  9.44834486e-06 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  1.13950152e-05 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  6.53232133e-05 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  1.76879965e-05 -1.00000000e-01  1.09522129e-04  2.03038707e-04  4.53100056e-05  3.69393018e-05 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  4.52779395e-06  8.57340852e-06  5.48928519e-06 -1.00000000e-01 -1.00000000e-01  9.06926753e-05  9.35154872e-06 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  6.58594869e-06 -1.00000000e-01  2.14618956e-05  6.30084094e-05  7.57574901e-05  1.39761765e-04  5.51290832e-06  1.03265521e-05  1.03971949e-05  7.75250744e-06  5.47173602e-05  1.44030593e-05 -1.00000000e-01  8.44547568e-06  5.23319189e-05  6.61576391e-05  7.13989603e-06 -1.00000000e-01  4.08811593e-06 -1.00000000e-01 -1.00000000e-01  3.67272421e-06 -1.00000000e-01  1.38865445e-04  7.59276557e-06 -1.00000000e-01 -1.00000000e-01  4.93489597e-06 -1.00000000e-01 -1.00000000e-01  4.99894977e-06  3.55067465e-05  8.04744622e-05 -1.00000000e-01 -1.00000000e-01  1.58327873e-04  2.91744702e-04  1.68522205e-04  2.43544836e-04 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  4.32669554e-05 -1.00000000e-01  6.97300639e-06 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 
-2.77555756e-17  1.11379794e-04  1.32407206e-04 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  6.34400754e-06  1.49937692e-04  2.06190542e-05 -2.77555756e-17  8.76652647e-05  1.71072548e-05  8.59215168e-05 -2.77555756e-17  9.98561358e-06 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  1.20102921e-05 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  7.33399013e-05 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  1.88065523e-05 -2.77555756e-17  1.25861272e-04  2.32867087e-04  5.22159084e-05  4.32331973e-05 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  4.81661442e-06  9.10923979e-06  5.80554338e-06 -2.77555756e-17 -2.77555756e-17  1.05336953e-04  9.95579704e-06 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  6.87742822e-06 -2.77555756e-17  2.25885011e-05  7.16910291e-05  8.54218806e-05  1.57253565e-04  5.80503050e-06  1.09372501e-05  1.09335335e-05  8.28407866e-06  6.21916458e-05  1.54925464e-05 -2.77555756e-17  9.04089840e-06  6.01328323e-05  7.76709298e-05  7.41365941e-06 -2.77555756e-17  4.37338999e-06 -2.77555756e-17 -2.77555756e-17  3.95272429e-06 -2.77555756e-17  1.62948949e-04  8.17626393e-06 -2.77555756e-17 -2.77555756e-17  5.25508499e-06 -2.77555756e-17 -2.77555756e-17  5.28997062e-06  4.17469998e-05  9.33226973e-05 -2.77555756e-17 -2.77555756e-17  1.78605217e-04  3.28393800e-04  1.95386314e-04  2.76598109e-04 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  5.02606230e-05 -2.77555756e-17  7.49673968e-06 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 
 1.00000000e-01  1.26290565e-04  1.48923520e-04  1.00000000e-01  1.00000000e-01  1.00000000e-01  6.60651895e-06  1.69060124e-04  2.16880181e-05  1.00000000e-01  1.01330506e-04  1.81336515e-05  9.46143143e-05  1.00000000e-01  1.04936604e-05  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.26021435e-05  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  8.14724112e-05  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.98585663e-05  1.00000000e-01  1.43042020e-04  2.64122864e-04  5.91328695e-05  4.94220561e-05  1.00000000e-01  1.00000000e-01  1.00000000e-01  5.08788516e-06  9.61019963e-06  6.06597573e-06  1.00000000e-01  1.00000000e-01  1.20711067e-04  1.05267560e-05  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  7.13383028e-06  1.00000000e-01  2.36678198e-05  8.07974297e-05  9.55158152e-05  1.75511677e-04  6.08472000e-06  1.15201872e-05  1.14450385e-05  8.77321716e-06  6.97427570e-05  1.64813428e-05  1.00000000e-01  9.59572952e-06  6.83166879e-05  8.96167911e-05  7.65847909e-06  1.00000000e-01  4.63728065e-06  1.00000000e-01  1.00000000e-01  4.20602871e-06  1.00000000e-01  1.88028597e-04  8.70916137e-06  1.00000000e-01  1.00000000e-01  5.49978881e-06  1.00000000e-01  1.00000000e-01  5.56631875e-06  4.82471487e-05  1.06723577e-04  1.00000000e-01  1.00000000e-01  1.99804944e-04  3.66703414e-04  2.23484907e-04  3.11231429e-04  1.00000000e-01  1.00000000e-01  1.00000000e-01  5.75821460e-05  1.00000000e-01  7.96749428e-06  1.00000000e-01  1.00000000e-01  1.00000000e-01 
 2.00000000e-01  1.41633216e-04  1.65973904e-04  2.00000000e-01  2.00000000e-01  2.00000000e-01  6.81617234e-06  1.88855771e-04  2.26888200e-05  2.00000000e-01  1.15190329e-04  1.90511873e-05  1.03366451e-04  2.00000000e-01  1.09662061e-05  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.31658497e-05  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  8.96063020e-05  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.08255498e-05  2.00000000e-01  1.60823415e-04  2.96381010e-04  6.57919229e-05  5.50376005e-05  2.00000000e-01  2.00000000e-01  2.00000000e-01  5.33651126e-06  1.00668224e-05  6.25210752e-06  2.00000000e-01  2.00000000e-01  1.36519628e-04  1.10544322e-05  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  7.35031489e-06  2.00000000e-01  2.46914622e-05  9.02078769e-05  1.05862220e-04  1.94313460e-04  6.34963107e-06  1.20685168e-05  1.19275254e-05  9.20539551e-06  7.72011125e-05  1.73258758e-05  2.00000000e-01  1.00951226e-05  7.67622240e-05  1.01602364e-04  7.87192395e-06  2.00000000e-01  4.87211132e-06  2.00000000e-01  2.00000000e-01  4.42070463e-06  2.00000000e-01  2.13354017e-04  9.16875134e-06  2.00000000e-01  2.00000000e-01  5.63041634e-06  2.00000000e-01  2.00000000e-01  5.82454846e-06  5.47987044e-05  1.20395311e-04  2.00000000e-01  2.00000000e-01  2.21539678e-04  4.06197389e-04  2.52272775e-04  3.47061182e-04  2.00000000e-01  2.00000000e-01  2.00000000e-01  6.50794098e-05  2.00000000e-01  8.36226330e-06  2.00000000e-01  2.00000000e-01  2.00000000e-01 
 3.00000000e-01  1.57052343e-04  1.83242836e-04  3.00000000e-01  3.00000000e-01  3.00000000e-01  6.95480886e-06  2.08865462e-04  2.36028950e-05  3.00000000e-01  1.28502738e-04  1.98126070e-05  1.12064921e-04  3.00000000e-01  1.13937903e-05  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.36947526e-05  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  9.75690907e-05  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.16783178e-05  3.00000000e-01  1.78787898e-04  3.28938533e-04  7.16660117e-05  5.89448944e-05  3.00000000e-01  3.00000000e-01  3.00000000e-01  5.55446832e-06  1.04640149e-05  6.32429411e-06  3.00000000e-01  3.00000000e-01  1.52247307e-04  1.15232317e-05  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  7.51803162e-06  3.00000000e-01  2.56474597e-05  9.97056213e-05  1.16161646e-04  2.13262992e-04  6.59643309e-06  1.25721237e-05  1.23749784e-05  9.55575498e-06  8.42806761e-05  1.79459098e-05  3.00000000e-01  1.05143190e-05  8.52619982e-05  1.12890014e-04  8.04961803e-06  3.00000000e-01  5.06492489e-06  3.00000000e-01  3.00000000e-01  4.57476029e-06  3.00000000e-01  2.37531404e-04  9.51386845e-06  3.00000000e-01  3.00000000e-01  5.54903326e-06  3.00000000e-01  3.00000000e-01  6.05953037e-06  6.10109346e-05  1.33851984e-04  3.00000000e-01  3.00000000e-01  2.43176091e-04  4.46022645e-04  2.80812639e-04  3.83436528e-04  3.00000000e-01  3.00000000e-01  3.00000000e-01  7.24871842e-05  3.00000000e-01  8.63794071e-06  3.00000000e-01  3.00000000e-01  3.00000000e-01 
 4.00000000e-01  1.71927285e-04  2.00184315e-04  4.00000000e-01  4.00000000e-01  4.00000000e-01  6.98452419e-06  2.28315699e-04  2.44012584e-05  4.00000000e-01  1.39743682e-04  2.03312845e-05  1.20540479e-04  4.00000000e-01  1.17615068e-05  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.41791427e-05  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.05072191e-04  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.23679736e-05  4.00000000e-01  1.96181117e-04  3.60566496e-04  7.54839045e-05  5.72528144e-05  4.00000000e-01  4.00000000e-01  4.00000000e-01  5.72833295e-06  1.07761886e-05  6.18407411e-06  4.00000000e-01  4.00000000e-01  1.66932363e-04  1.19073592e-05  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  7.62037990e-06  4.00000000e-01  2.65181676e-05  1.08918619e-04  1.26057246e-04  2.31726485e-04  6.82023505e-06  1.30153926e-05  1.27784598e-05  9.77797516e-06  9.04250290e-05  1.81755908e-05  4.00000000e-01  1.08086341e-05  9.34428616e-05  1.21914211e-04  8.18384710e-06  4.00000000e-01  5.19197064e-06  4.00000000e-01  4.00000000e-01  4.62263984e-06  4.00000000e-01  2.57662522e-04  9.66116472e-06  4.00000000e-01  4.00000000e-01  4.92584960e-06  4.00000000e-01  4.00000000e-01  6.26327805e-06  6.60668665e-05  1.46182868e-04  4.00000000e-01  4.00000000e-01  2.64007720e-04  4.84851254e-04  3.07364632e-04  4.19224766e-04  4.00000000e-01  4.00000000e-01  4.00000000e-01  7.93076177e-05  4.00000000e-01  8.70324857e-06  4.00000000e-01  4.00000000e-01  4.00000000e-01 
