 v-sweep         i(v_meas_0_2)   v(p_0_2)       
-2.00000000e-01 -2.00000215e-13 -2.00000000e-01 
-1.00000000e-01 -1.00000206e-13 -1.00000000e-01 
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-01  1.19965579e-13  1.00000000e-01 
 2.00000000e-01  5.63348950e-13  2.00000000e-01 
 3.00000000e-01  5.46599011e-12  3.00000000e-01 
 4.00000000e-01  4.77711451e-11  4.00000000e-01 
 5.00000000e-01  2.75867065e-10  5.00000000e-01 
 6.00000000e-01  1.27965339e-09  6.00000000e-01 
 7.00000000e-01  5.51229254e-09  7.00000000e-01 
 8.00000000e-01  2.29499276e-08  8.00000000e-01 
 9.00000000e-01  9.40093800e-08  9.00000000e-01 
 1.00000000e+00  4.33983705e-07  1.00000000e+00 
 1.10000000e+00  2.01472520e-06  1.10000000e+00 
 1.20000000e+00  9.16335812e-06  1.20000000e+00 
 1.30000000e+00  4.11884697e-05  1.30000000e+00 
 1.40000000e+00  1.83092735e-04  1.40000000e+00 
 1.50000000e+00  7.93778897e-04  1.50000000e+00 
 1.60000000e+00  3.17382843e-03  1.60000000e+00 
 1.70000000e+00  1.02727432e-02  1.70000000e+00 
 1.80000000e+00  2.43600836e-02  1.80000000e+00 
 1.90000000e+00  4.43888742e-02  1.90000000e+00 
 2.00000000e+00  6.82497576e-02  2.00000000e+00 
 2.10000000e+00  9.44757498e-02  2.10000000e+00 
 2.20000000e+00  1.22184642e-01  2.20000000e+00 
 2.30000000e+00  1.50992784e-01  2.30000000e+00 
 2.40000000e+00  1.80537623e-01  2.40000000e+00 
 2.50000000e+00  2.10627098e-01  2.50000000e+00 
 2.60000000e+00  2.41139489e-01  2.60000000e+00 
 2.70000000e+00  2.71987248e-01  2.70000000e+00 
 2.80000000e+00  3.03106458e-01  2.80000000e+00 
 2.90000000e+00  3.34449470e-01  2.90000000e+00 
 3.00000000e+00  3.65979906e-01  3.00000000e+00 
 3.10000000e+00  3.97669420e-01  3.10000000e+00 
 3.20000000e+00  4.29495536e-01  3.20000000e+00 
 3.30000000e+00  4.61440147e-01  3.30000000e+00 
 3.40000000e+00  4.93488473e-01  3.40000000e+00 
 3.50000000e+00  5.25628297e-01  3.50000000e+00 
