 v-sweep         v(p_0_2)        i(v_meas_0_2)  
-2.00000000e-01 -2.00000000e-01 -2.00001106e-13 
-1.00000000e-01 -1.00000000e-01 -1.00001050e-13 
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-01  1.00000000e-01  1.20042879e-13 
 2.00000000e-01  2.00000000e-01  5.68917190e-13 
 3.00000000e-01  3.00000000e-01  5.73527218e-12 
 4.00000000e-01  4.00000000e-01  5.33678655e-11 
 5.00000000e-01  5.00000000e-01  3.21978834e-10 
 6.00000000e-01  6.00000000e-01  1.51692583e-09 
 7.00000000e-01  7.00000000e-01  6.56120478e-09 
 8.00000000e-01  8.00000000e-01  2.73442066e-08 
 9.00000000e-01  9.00000000e-01  1.12036587e-07 
 1.00000000e+00  1.00000000e+00  5.17234121e-07 
 1.10000000e+00  1.10000000e+00  2.40119774e-06 
 1.20000000e+00  1.20000000e+00  1.09202987e-05 
 1.30000000e+00  1.30000000e+00  4.90689105e-05 
 1.40000000e+00  1.40000000e+00  2.17793907e-04 
 1.50000000e+00  1.50000000e+00  9.38281108e-04 
 1.60000000e+00  1.60000000e+00  3.67452377e-03 
 1.70000000e+00  1.70000000e+00  1.14023417e-02 
 1.80000000e+00  1.80000000e+00  2.58776494e-02 
 1.90000000e+00  1.90000000e+00  4.57590392e-02 
 2.00000000e+00  2.00000000e+00  6.90671225e-02 
 2.10000000e+00  2.10000000e+00  9.44160544e-02 
 2.20000000e+00  2.20000000e+00  1.21263738e-01 
 2.30000000e+00  2.30000000e+00  1.49048713e-01 
 2.40000000e+00  2.40000000e+00  1.77496203e-01 
 2.50000000e+00  2.50000000e+00  2.06448393e-01 
 2.60000000e+00  2.60000000e+00  2.35792938e-01 
 2.70000000e+00  2.70000000e+00  2.65449247e-01 
 2.80000000e+00  2.80000000e+00  2.95358637e-01 
 2.90000000e+00  2.90000000e+00  3.25477197e-01 
 3.00000000e+00  3.00000000e+00  3.55771289e-01 
 3.10000000e+00  3.10000000e+00  3.86214637e-01 
 3.20000000e+00  3.20000000e+00  4.16786350e-01 
 3.30000000e+00  3.30000000e+00  4.47469567e-01 
 3.40000000e+00  3.40000000e+00  4.78250499e-01 
 3.50000000e+00  3.50000000e+00  5.09117727e-01 
