vds,crss_25_0
0,0.0274308
0.05,0.0269838
0.1,0.026523
0.15,0.0260542
0.2,0.025604
0.25,0.0251892
0.3,0.0248164
0.35,0.0244853
0.4,0.0241925
0.45,0.0239333
0.5,0.0237031
0.55,0.0234977
0.6,0.0233135
0.65,0.0231474
0.7,0.0229967
0.75,0.0228595
0.8,0.0227339
0.85,0.0226184
0.9,0.0225118
0.95,0.022413
1,0.0223211
1.05,0.0222354
1.1,0.0221553
1.15,0.0220801
1.2,0.0220094
1.25,0.0219428
1.3,0.0218798
1.35,0.0218203
1.4,0.0217638
1.45,0.0217101
1.5,0.021659
1.55,0.0216103
1.6,0.0215638
1.65,0.0215193
1.7,0.0214768
1.75,0.021436
1.8,0.0213969
1.85,0.0213594
1.9,0.0213233
1.95,0.0212885
2,0.021255
