 v-sweep         v(g_15_0)       i(v_s_15_0)     i(v_s_12_0)     i(v_s_10_4)     v(g_14_3)       v(g_16_4)       i(v_s_11_2)     v(g_18_1)       i(v_s_10_0)     v(g_12_1)       i(v_s_19_0)     i(v_s_14_0)     v(g_19_0)       i(v_s_16_4)     i(v_s_16_0)     i(v_s_13_1)     v(g_10_3)       v(g_18_0)       v(g_12_3)       v(g_17_3)       i(v_s_15_3)     i(v_s_19_1)     i(v_s_11_1)     v(g_11_2)       i(v_s_14_3)     v(g_12_0)       i(v_s_10_2)     v(g_18_2)       v(g_17_4)       v(g_10_2)       v(g_11_1)       i(v_s_12_2)     i(v_s_14_2)     i(v_s_12_3)     v(g_15_4)       i(v_s_11_0)     i(v_s_15_1)     v(g_11_0)       i(v_s_13_4)     v(g_16_1)       v(g_13_0)       i(v_s_17_3)     v(g_18_4)       i(v_s_11_4)     v(g_17_2)       i(v_s_19_3)     v(g_19_2)       i(v_s_19_4)     i(v_s_17_0)     i(v_s_18_0)     v(g_13_4)       v(g_13_3)       v(g_16_3)       v(g_17_0)       i(v_s_11_3)     v(g_10_0)       v(g_10_4)       v(g_19_1)       v(g_14_0)       i(v_s_15_4)     v(g_10_1)       v(g_11_3)       i(v_s_18_2)     i(v_s_18_4)     i(v_s_16_1)     i(v_s_14_4)     v(g_16_0)       i(v_s_19_2)     v(g_12_2)       v(g_12_4)       i(v_s_18_3)     v(g_13_2)       v(g_19_3)       v(g_17_1)       i(v_s_10_3)     v(g_13_1)       i(v_s_13_3)     i(v_s_13_2)     i(v_s_10_1)     v(g_14_2)       i(v_s_14_1)     v(g_18_3)       i(v_s_18_1)     v(g_15_3)       i(v_s_12_1)     i(v_s_12_4)     i(v_s_17_4)     v(g_19_4)       v(g_14_4)       i(v_s_17_2)     i(v_s_13_0)     i(v_s_17_1)     i(v_s_15_2)     v(g_11_4)       i(v_s_16_3)     v(g_16_2)       v(g_14_1)       v(g_15_2)       i(v_s_16_2)     v(g_15_1)      
-5.00000000e-01 -5.00000000e-01 -1.00010010e-12 -1.00010050e-12  5.31849010e-23 -5.00000000e-01 -5.00000000e-01 -5.00101000e-13 -5.00000000e-01 -1.00010100e-12 -5.00000000e-01 -1.00010050e-12 -1.00010010e-12 -5.00000000e-01  1.09622757e-22 -1.00010100e-12 -7.50100500e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100093e-13 -7.50100500e-13 -7.50101000e-13 -5.00000000e-01 -2.50100094e-13 -5.00000000e-01 -5.00101000e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00100500e-13 -5.00100100e-13 -2.50100494e-13 -5.00000000e-01 -1.00010100e-12 -7.50100100e-13 -5.00000000e-01  4.19717882e-22 -5.00000000e-01 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01  2.08469879e-22 -5.00000000e-01 -2.50100494e-13 -5.00000000e-01  2.03502193e-22 -1.00010100e-12 -1.00010050e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  1.17522219e-20 -5.00000000e-01 -5.00000000e-01 -5.00100500e-13  5.19060944e-23 -7.50101000e-13  2.98616091e-21 -5.00000000e-01 -5.00100500e-13 -5.00000000e-01 -5.00000000e-01 -2.50100494e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01 -2.50100494e-13 -5.00100500e-13 -7.50101000e-13 -5.00000000e-01 -7.50100100e-13 -5.00000000e-01 -7.50100500e-13 -5.00000000e-01 -7.50100500e-13  1.07015796e-22  4.29848903e-22 -5.00000000e-01 -5.00000000e-01 -5.00101000e-13 -1.00010050e-12 -7.50101000e-13 -5.00100100e-13 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00101000e-13 -5.00000000e-01 
-4.00000000e-01 -4.00000000e-01 -1.00010010e-12 -1.00010050e-12  2.54231138e-22 -4.00000000e-01 -4.00000000e-01 -5.00101000e-13 -4.00000000e-01 -1.00010100e-12 -4.00000000e-01 -1.00010050e-12 -1.00010010e-12 -4.00000000e-01  5.24011847e-22 -1.00010100e-12 -7.50100500e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100089e-13 -7.50100500e-13 -7.50101000e-13 -4.00000000e-01 -2.50100093e-13 -4.00000000e-01 -5.00101000e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -5.00100500e-13 -5.00100100e-13 -2.50100494e-13 -4.00000000e-01 -1.00010100e-12 -7.50100100e-13 -4.00000000e-01  2.00630914e-21 -4.00000000e-01 -4.00000000e-01 -2.50100994e-13 -4.00000000e-01  9.96514678e-22 -4.00000000e-01 -2.50100494e-13 -4.00000000e-01  9.72768448e-22 -1.00010100e-12 -1.00010050e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100994e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  5.61772029e-20 -4.00000000e-01 -4.00000000e-01 -5.00100500e-13  2.48118264e-22 -7.50101000e-13  1.42742511e-20 -4.00000000e-01 -5.00100500e-13 -4.00000000e-01 -4.00000000e-01 -2.50100494e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100994e-13 -4.00000000e-01 -2.50100494e-13 -5.00100500e-13 -7.50101000e-13 -4.00000000e-01 -7.50100100e-13 -4.00000000e-01 -7.50100500e-13 -4.00000000e-01 -7.50100500e-13  5.11550207e-22  2.05473683e-21 -4.00000000e-01 -4.00000000e-01 -5.00101000e-13 -1.00010050e-12 -7.50101000e-13 -5.00100099e-13 -4.00000000e-01 -2.50100994e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -5.00101000e-13 -4.00000000e-01 
-3.00000000e-01 -3.00000000e-01 -1.00010010e-12 -1.00010050e-12  1.02134595e-19 -3.00000000e-01 -3.00000000e-01 -5.00100997e-13 -3.00000000e-01 -1.00010100e-12 -3.00000000e-01 -1.00010050e-12 -1.00010010e-12 -3.00000000e-01  2.10515969e-19 -1.00010100e-12 -7.50100499e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50098135e-13 -7.50100500e-13 -7.50101000e-13 -3.00000000e-01 -2.50099583e-13 -3.00000000e-01 -5.00100999e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -5.00100498e-13 -5.00100042e-13 -2.50100478e-13 -3.00000000e-01 -1.00010100e-12 -7.50100071e-13 -3.00000000e-01  8.06011497e-19 -3.00000000e-01 -3.00000000e-01 -2.50100932e-13 -3.00000000e-01  4.00338935e-19 -3.00000000e-01 -2.50100464e-13 -3.00000000e-01  3.90798712e-19 -1.00010100e-12 -1.00010050e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50100964e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  2.25671435e-17 -3.00000000e-01 -3.00000000e-01 -5.00100499e-13  9.96787038e-20 -7.50101000e-13  5.73416007e-18 -3.00000000e-01 -5.00100497e-13 -3.00000000e-01 -3.00000000e-01 -2.50100486e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50100986e-13 -3.00000000e-01 -2.50100431e-13 -5.00100494e-13 -7.50101000e-13 -3.00000000e-01 -7.50100092e-13 -3.00000000e-01 -7.50100500e-13 -3.00000000e-01 -7.50100500e-13  2.05509380e-19  8.25467817e-19 -3.00000000e-01 -3.00000000e-01 -5.00100994e-13 -1.00010050e-12 -7.50100999e-13 -5.00099882e-13 -3.00000000e-01 -2.50100978e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -5.00100998e-13 -3.00000000e-01 
-2.00000000e-01 -2.00000000e-01 -1.00009990e-12 -1.00010050e-12  4.47567365e-18 -2.00000000e-01 -2.00000000e-01 -5.00100868e-13 -2.00000000e-01 -1.00010100e-12 -2.00000000e-01 -1.00010050e-12 -1.00010004e-12 -2.00000000e-01  9.22506601e-18 -1.00010100e-12 -7.50100466e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50013090e-13 -7.50100484e-13 -7.50100984e-13 -2.00000000e-01 -2.50077401e-13 -2.00000000e-01 -5.00100964e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -5.00100425e-13 -5.00097478e-13 -2.50099767e-13 -2.00000000e-01 -1.00010100e-12 -7.50098785e-13 -2.00000000e-01  3.53201427e-17 -2.00000000e-01 -2.00000000e-01 -2.50098219e-13 -2.00000000e-01  1.75433841e-17 -2.00000000e-01 -2.50099148e-13 -2.00000000e-01  1.71252084e-17 -1.00010100e-12 -1.00010050e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50099649e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  9.88556907e-16 -2.00000000e-01 -2.00000000e-01 -5.00100463e-13  4.36802510e-18 -7.50100991e-13  2.51185692e-16 -2.00000000e-01 -5.00100364e-13 -2.00000000e-01 -2.00000000e-01 -2.50100142e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50100642e-13 -2.00000000e-01 -2.50097716e-13 -5.00100220e-13 -7.50100996e-13 -2.00000000e-01 -7.50099737e-13 -2.00000000e-01 -7.50100495e-13 -2.00000000e-01 -7.50100491e-13  9.00560434e-18  3.61730045e-17 -2.00000000e-01 -2.00000000e-01 -5.00100727e-13 -1.00010050e-12 -7.50100968e-13 -5.00090325e-13 -2.00000000e-01 -2.50100267e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -5.00100926e-13 -2.00000000e-01 
-1.00000000e-01 -1.00000000e-01 -1.00009087e-12 -1.00010044e-12  1.96089239e-16 -1.00000000e-01 -1.00000000e-01 -5.00095072e-13 -1.00000000e-01 -1.00010097e-12 -1.00000000e-01 -1.00010040e-12 -1.00009747e-12 -1.00000000e-01  4.04163901e-16 -1.00010094e-12 -7.50098970e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.46240110e-13 -7.50099760e-13 -7.50100295e-13 -1.00000000e-01 -2.49093284e-13 -1.00000000e-01 -5.00099403e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -5.00097121e-13 -4.99982614e-13 -2.50068211e-13 -1.00000000e-01 -1.00010090e-12 -7.50040750e-13 -1.00000000e-01  1.54735211e-15 -1.00000000e-01 -1.00000000e-01 -2.49977784e-13 -1.00000000e-01  7.68614761e-16 -1.00000000e-01 -2.50040737e-13 -1.00000000e-01  7.50261557e-16 -1.00010080e-12 -1.00010047e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.50041281e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  4.32052485e-14 -1.00000000e-01 -1.00000000e-01 -5.00098863e-13  1.91364755e-16 -7.50100596e-13  1.09781652e-14 -1.00000000e-01 -5.00094422e-13 -1.00000000e-01 -1.00000000e-01 -2.50084847e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.50085355e-13 -1.00000000e-01 -2.49977157e-13 -5.00087948e-13 -7.50100804e-13 -1.00000000e-01 -7.50083704e-13 -1.00000000e-01 -7.50100295e-13 -1.00000000e-01 -7.50100076e-13  3.94529576e-16  1.58479328e-15 -1.00000000e-01 -1.00000000e-01 -5.00088763e-13 -1.00010029e-12 -7.50099544e-13 -4.99662089e-13 -1.00000000e-01 -2.50068737e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -5.00097705e-13 -1.00000000e-01 
-2.77555756e-17 -2.77555756e-17 -9.99681290e-13 -1.00009772e-12  8.58006849e-15 -2.77555756e-17 -2.77555756e-17 -4.99835500e-13 -2.77555756e-17 -1.00009975e-12 -2.77555756e-17 -1.00009579e-12 -9.99980761e-13 -2.77555756e-17  1.76826024e-14 -1.00009841e-12 -7.50031483e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -7.97703480e-14 -7.50067097e-13 -7.50069197e-13 -2.77555756e-17 -2.05672496e-13 -2.77555756e-17 -5.00029488e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -4.99949165e-13 -4.94848196e-13 -2.48668485e-13 -2.77555756e-17 -1.00009662e-12 -7.47424683e-13 -2.77555756e-17  6.76763252e-14 -2.77555756e-17 -2.77555756e-17 -2.44635150e-13 -2.77555756e-17  3.36314575e-14 -2.77555756e-17 -2.47449689e-13 -2.77555756e-17  3.28191421e-14 -1.00009196e-12 -1.00009915e-12 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.47451894e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  1.86048379e-12 -2.77555756e-17 -2.77555756e-17 -5.00027192e-13  8.37098434e-15 -7.50082784e-13  4.72738102e-13 -2.77555756e-17 -4.99828267e-13 -2.77555756e-17 -2.77555756e-17 -2.49406390e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.49407176e-13 -2.77555756e-17 -2.44629579e-13 -4.99538297e-13 -7.50092177e-13 -2.77555756e-17 -7.49360992e-13 -2.77555756e-17 -7.50091235e-13 -2.77555756e-17 -7.50081365e-13  1.72554874e-14  6.93363949e-14 -2.77555756e-17 -2.77555756e-17 -4.99552880e-13 -1.00009077e-12 -7.50035313e-13 -4.80520055e-13 -2.77555756e-17 -2.48669986e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -4.99953421e-13 -2.77555756e-17 
 1.00000000e-01  1.00000000e-01 -9.81156687e-13 -9.99974334e-13  3.73602946e-13  1.00000000e-01  1.00000000e-01 -4.88222986e-13  1.00000000e-01 -1.00004422e-12  1.00000000e-01 -9.99887071e-13 -9.94702209e-13  1.00000000e-01  7.69392562e-13 -9.99983717e-13 -7.46990034e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  7.03294032e-12 -7.48595026e-13 -7.48667510e-13  1.00000000e-01  1.64958486e-12  1.00000000e-01 -4.96901688e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -4.93332273e-13 -2.68211117e-13 -1.86757935e-13  1.00000000e-01 -9.99902570e-13 -6.30149744e-13  1.00000000e-01  2.93840354e-12  1.00000000e-01  1.00000000e-01 -8.16072034e-15  1.00000000e-01  1.46441503e-12  1.00000000e-01 -1.32808932e-13  1.00000000e-01  1.42639849e-12 -9.99690995e-13 -1.00003944e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -1.32814316e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  7.33498025e-11  1.00000000e-01  1.00000000e-01 -4.96821554e-13  3.63824691e-13 -7.49279938e-13  1.86402225e-11  1.00000000e-01 -4.87923920e-13  1.00000000e-01  1.00000000e-01 -2.19388099e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.19382791e-13  1.00000000e-01 -8.10374196e-15 -4.74956849e-13 -7.49703314e-13  1.00000000e-01 -7.16962721e-13  1.00000000e-01 -7.49682946e-13  1.00000000e-01 -7.49238116e-13  7.49210754e-13  3.01690721e-12  1.00000000e-01  1.00000000e-01 -4.75581043e-13 -9.99659332e-13 -7.47140292e-13  3.64422046e-13  1.00000000e-01 -1.86758802e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -4.93499105e-13  1.00000000e-01 
 2.00000000e-01  2.00000000e-01 -1.55333115e-13 -9.94389555e-13  1.58260504e-11  2.00000000e-01  2.00000000e-01  2.93331755e-14  2.00000000e-01 -9.97529778e-13  2.00000000e-01 -9.90438388e-13 -7.59384672e-13  2.00000000e-01  3.24407602e-11 -9.94790686e-13 -6.10279735e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.60436016e-10 -6.82407267e-13 -6.85607738e-13  2.00000000e-01  6.77828098e-11  2.00000000e-01 -3.57499154e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -1.99085227e-13  9.00816096e-12  2.51180202e-12  2.00000000e-01 -9.91115767e-13  4.46070379e-12  2.00000000e-01  1.22226555e-10  2.00000000e-01  2.00000000e-01  1.03470294e-11  2.00000000e-01  6.20271792e-11  2.00000000e-01  4.87476818e-12  2.00000000e-01  5.97100429e-11 -9.81536817e-13 -9.97336274e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  4.89486709e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.93535596e-09  2.00000000e-01  2.00000000e-01 -3.54160445e-13  1.52328800e-11 -7.13168540e-13  4.93511179e-10  2.00000000e-01  4.18561583e-14  2.00000000e-01  2.00000000e-01  1.09185421e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.09741531e-12  2.00000000e-01  1.03013858e-11  6.18154634e-13 -7.32208964e-13  2.00000000e-01  6.89451798e-13  2.00000000e-01 -7.31325313e-13  2.00000000e-01 -7.11334843e-13  3.11706178e-11  1.27191601e-10  2.00000000e-01  2.00000000e-01  5.92237575e-13 -9.80130827e-13 -6.16924443e-13  3.49453974e-11  2.00000000e-01  2.52435377e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01 -2.05993085e-13  2.00000000e-01 
 3.00000000e-01  3.00000000e-01  3.35884481e-11 -7.43088099e-13  5.74208981e-10  3.00000000e-01  3.00000000e-01  2.26228796e-11  3.00000000e-01 -8.84110290e-13  3.00000000e-01 -5.64928730e-13  8.85687648e-12  3.00000000e-01  1.14875751e-09 -7.60677377e-13  5.45343028e-12  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  5.04120083e-09  2.25904499e-12  2.12766597e-12  3.00000000e-01  1.32846519e-09  3.00000000e-01  5.72832883e-12  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.24623201e-11  2.72743921e-10  1.10349629e-10  3.00000000e-01 -5.94767548e-13  1.88448720e-10  3.00000000e-01  4.02948812e-09  3.00000000e-01  3.00000000e-01  4.35603104e-10  3.00000000e-01  2.24230301e-09  3.00000000e-01  2.07398313e-10  3.00000000e-01  2.03005520e-09 -1.63107358e-13 -8.75602254e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.13327743e-10  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.29157248e-08  3.00000000e-01  3.00000000e-01  5.81483266e-12  5.21217340e-10  8.95678135e-13  6.05251044e-09  3.00000000e-01  2.29484565e-11  3.00000000e-01  3.00000000e-01  5.41644279e-11  3.00000000e-01  3.00000000e-01  3.00000000e-01  5.57105035e-11  3.00000000e-01  4.21946856e-10  4.76496079e-11  4.82687725e-14  3.00000000e-01  5.15445095e-11  3.00000000e-01  8.45187498e-14  3.00000000e-01  9.69869786e-13  1.03429909e-09  4.48719458e-09  3.00000000e-01  3.00000000e-01  4.70433512e-11 -1.01397927e-13  5.18445046e-12  1.01573683e-09  3.00000000e-01  1.13909385e-10  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.23014573e-11  3.00000000e-01 
 4.00000000e-01  4.00000000e-01  9.50251029e-10  1.01807403e-11  1.20868698e-08  4.00000000e-01  4.00000000e-01  8.94763165e-10  4.00000000e-01  4.12451937e-12  4.00000000e-01  1.80260807e-11  2.70833448e-10  4.00000000e-01  2.27426775e-08  9.54035673e-12  2.53638087e-10  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.50570887e-08  1.24088077e-10  1.21482336e-10  4.00000000e-01  1.26941594e-08  4.00000000e-01  2.41109812e-10  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.65541128e-10  3.64023246e-09  3.01661640e-09  4.00000000e-01  1.69071835e-11  3.68812992e-09  4.00000000e-01  6.42954653e-08  4.00000000e-01  4.00000000e-01  1.30273393e-08  4.00000000e-01  4.44373892e-08  4.00000000e-01  5.82183968e-09  4.00000000e-01  3.44046589e-08  3.58460682e-11  4.44364834e-12  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  6.64350790e-09  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.51896209e-07  4.00000000e-01  4.00000000e-01  2.32370864e-10  9.59864349e-09  6.85929931e-11  4.54514150e-08  4.00000000e-01  8.61118171e-10  4.00000000e-01  4.00000000e-01  1.55640788e-09  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.76163078e-09  4.00000000e-01  1.12892056e-08  1.72434026e-09  3.31705131e-11  4.00000000e-01  1.02829511e-09  4.00000000e-01  3.38955592e-11  4.00000000e-01  6.98240652e-11  1.78757731e-08  8.38072025e-08  4.00000000e-01  4.00000000e-01  1.80496769e-09  3.80921111e-11  2.49218251e-10  1.31810256e-08  4.00000000e-01  3.45339625e-09  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.86597566e-10  4.00000000e-01 
