vds,ciss_24_0
0,0.251755
0.05,0.239428
0.1,0.228077
0.15,0.216628
0.2,0.205657
0.25,0.195556
0.3,0.186479
0.35,0.178419
0.4,0.171291
0.45,0.164983
0.5,0.15938
0.55,0.154382
0.6,0.149898
0.65,0.145855
0.7,0.142189
0.75,0.138849
0.8,0.135792
0.85,0.132981
0.9,0.130387
0.95,0.127983
1,0.125747
1.05,0.123663
1.1,0.121712
1.15,0.119883
1.2,0.118163
1.25,0.116541
1.3,0.115009
1.35,0.113559
1.4,0.112184
1.45,0.110877
1.5,0.109634
1.55,0.108449
1.6,0.107318
1.65,0.106236
1.7,0.105201
1.75,0.104209
1.8,0.103258
1.85,0.102344
1.9,0.101465
1.95,0.100619
2,0.0998039
