 v-sweep         i(v_s_13_2)     v(g_17_4)       i(v_s_15_1)     v(g_14_0)       v(g_13_2)       i(v_s_19_2)     i(v_s_15_2)     v(g_13_1)       i(v_s_18_2)     v(g_13_3)       v(g_18_2)       v(g_10_1)       i(v_s_11_1)     v(g_11_2)       i(v_s_13_0)     i(v_s_13_1)     i(v_s_19_0)     v(g_15_3)       v(g_16_3)       v(g_15_0)       i(v_s_10_2)     v(g_12_3)       v(g_17_2)       v(g_12_2)       i(v_s_14_4)     v(g_11_4)       i(v_s_18_0)     v(g_18_0)       v(g_11_1)       i(v_s_10_0)     v(g_18_3)       i(v_s_16_3)     v(g_13_4)       i(v_s_18_1)     i(v_s_14_2)     v(g_19_1)       i(v_s_10_1)     v(g_15_2)       i(v_s_12_3)     v(g_12_1)       i(v_s_14_1)     i(v_s_12_4)     i(v_s_12_1)     i(v_s_16_2)     i(v_s_12_0)     v(g_11_0)       i(v_s_19_1)     v(g_16_0)       v(g_10_4)       i(v_s_17_0)     v(g_14_2)       i(v_s_19_3)     v(g_19_4)       i(v_s_14_3)     v(g_15_1)       v(g_14_4)       i(v_s_14_0)     i(v_s_10_4)     i(v_s_17_4)     v(g_13_0)       i(v_s_13_3)     i(v_s_18_4)     v(g_14_3)       i(v_s_16_1)     v(g_15_4)       v(g_12_0)       i(v_s_16_0)     v(g_17_0)       v(g_14_1)       v(g_10_2)       i(v_s_11_3)     v(g_16_4)       i(v_s_10_3)     v(g_17_1)       i(v_s_13_4)     v(g_12_4)       i(v_s_18_3)     v(g_16_1)       i(v_s_17_1)     v(g_19_3)       i(v_s_11_4)     i(v_s_17_2)     i(v_s_15_4)     v(g_18_1)       v(g_18_4)       v(g_10_3)       i(v_s_19_4)     v(g_17_3)       i(v_s_17_3)     v(g_19_2)       v(g_10_0)       v(g_11_3)       v(g_16_2)       i(v_s_15_0)     i(v_s_15_3)     i(v_s_16_4)     i(v_s_12_2)     v(g_19_0)       i(v_s_11_0)     i(v_s_11_2)    
-5.00000000e-01 -5.00100444e-13 -5.00000000e-01 -7.50100095e-13 -5.00000000e-01 -5.00000000e-01 -5.00100469e-13 -5.00100072e-13 -5.00000000e-01 -5.00100473e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -7.50100990e-13 -5.00000000e-01 -1.00010050e-12 -7.50100491e-13 -1.00010050e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00100941e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  1.62849081e-18 -5.00000000e-01 -1.00010050e-12 -5.00000000e-01 -5.00000000e-01 -1.00010100e-12 -5.00000000e-01 -2.50100155e-13 -5.00000000e-01 -7.50100496e-13 -5.00100076e-13 -5.00000000e-01 -7.50100991e-13 -5.00000000e-01 -2.50100110e-13 -5.00000000e-01 -7.50100096e-13  3.96644166e-18 -7.50100492e-13 -5.00100893e-13 -1.00010050e-12 -5.00000000e-01 -7.50100495e-13 -5.00000000e-01 -5.00000000e-01 -1.00010100e-12 -5.00000000e-01 -2.50100258e-13 -5.00000000e-01 -2.50099924e-13 -5.00000000e-01 -5.00000000e-01 -1.00010010e-12  4.83509320e-18  9.77696722e-18 -5.00000000e-01 -2.50100065e-13  2.18376110e-18 -5.00000000e-01 -7.50100983e-13 -5.00000000e-01 -5.00000000e-01 -1.00010100e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100479e-13 -5.00000000e-01 -2.50100532e-13 -5.00000000e-01  4.42040278e-18 -5.00000000e-01 -2.50100283e-13 -5.00000000e-01 -7.50100981e-13 -5.00000000e-01  5.37157830e-18 -5.00100880e-13  1.84974850e-18 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  2.42773470e-18 -5.00000000e-01 -2.50100056e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -1.00010010e-12 -2.50099900e-13  8.77890005e-18 -5.00100450e-13 -5.00000000e-01 -1.00010100e-12 -5.00100934e-13 
-4.00000000e-01 -5.00100327e-13 -4.00000000e-01 -7.50100084e-13 -4.00000000e-01 -4.00000000e-01 -5.00100405e-13 -5.00100015e-13 -4.00000000e-01 -5.00100415e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -7.50100967e-13 -4.00000000e-01 -1.00010049e-12 -7.50100472e-13 -1.00010050e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -5.00100818e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  4.67330908e-18 -4.00000000e-01 -1.00010050e-12 -4.00000000e-01 -4.00000000e-01 -1.00010099e-12 -4.00000000e-01 -2.50098488e-13 -4.00000000e-01 -7.50100486e-13 -5.00100025e-13 -4.00000000e-01 -7.50100971e-13 -4.00000000e-01 -2.50099347e-13 -4.00000000e-01 -7.50100086e-13  1.13825641e-17 -7.50100475e-13 -5.00100669e-13 -1.00010050e-12 -4.00000000e-01 -7.50100484e-13 -4.00000000e-01 -4.00000000e-01 -1.00010099e-12 -4.00000000e-01 -2.50099790e-13 -4.00000000e-01 -2.50099586e-13 -4.00000000e-01 -4.00000000e-01 -1.00010010e-12  1.38753468e-17  2.80571252e-17 -4.00000000e-01 -2.50099211e-13  6.26677565e-18 -4.00000000e-01 -7.50100947e-13 -4.00000000e-01 -4.00000000e-01 -1.00010099e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50099456e-13 -4.00000000e-01 -2.50099615e-13 -4.00000000e-01  1.26853040e-17 -4.00000000e-01 -2.50099863e-13 -4.00000000e-01 -7.50100940e-13 -4.00000000e-01  1.54149069e-17 -5.00100629e-13  5.30825621e-18 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  6.96691078e-18 -4.00000000e-01 -2.50098193e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -1.00010010e-12 -2.50099515e-13  2.51929552e-17 -5.00100346e-13 -4.00000000e-01 -1.00010099e-12 -5.00100797e-13 
-3.00000000e-01 -5.00096905e-13 -3.00000000e-01 -7.50099730e-13 -3.00000000e-01 -3.00000000e-01 -5.00098528e-13 -5.00098323e-13 -3.00000000e-01 -5.00098738e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -7.50100218e-13 -3.00000000e-01 -1.00010035e-12 -7.50099824e-13 -1.00010042e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -5.00097210e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  6.85169122e-17 -3.00000000e-01 -1.00010043e-12 -3.00000000e-01 -3.00000000e-01 -1.00010085e-12 -3.00000000e-01 -2.50056367e-13 -3.00000000e-01 -7.50100170e-13 -5.00098544e-13 -3.00000000e-01 -7.50100303e-13 -3.00000000e-01 -2.50080068e-13 -3.00000000e-01 -7.50099777e-13  1.66882545e-16 -7.50099899e-13 -5.00094109e-13 -1.00010037e-12 -3.00000000e-01 -7.50100129e-13 -3.00000000e-01 -3.00000000e-01 -1.00010070e-12 -3.00000000e-01 -2.50087955e-13 -3.00000000e-01 -2.50091045e-13 -3.00000000e-01 -3.00000000e-01 -1.00010002e-12  2.03429547e-16  4.11351969e-16 -3.00000000e-01 -2.50077650e-13  9.18786784e-17 -3.00000000e-01 -7.50099731e-13 -3.00000000e-01 -3.00000000e-01 -1.00010073e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50073610e-13 -3.00000000e-01 -2.50076435e-13 -3.00000000e-01  1.85982331e-16 -3.00000000e-01 -2.50089257e-13 -3.00000000e-01 -7.50099574e-13 -3.00000000e-01  2.26001380e-16 -5.00093276e-13  7.78260796e-17 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  1.02143525e-16 -3.00000000e-01 -2.50051121e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -1.00010001e-12 -2.50089786e-13  3.69359714e-16 -5.00097295e-13 -3.00000000e-01 -1.00010084e-12 -5.00096761e-13 
-2.00000000e-01 -5.00071689e-13 -2.00000000e-01 -7.50096893e-13 -2.00000000e-01 -2.00000000e-01 -5.00084695e-13 -5.00085862e-13 -2.00000000e-01 -5.00086381e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -7.50094220e-13 -2.00000000e-01 -1.00009915e-12 -7.50094640e-13 -1.00009976e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -5.00070632e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  4.44422872e-16 -2.00000000e-01 -1.00009984e-12 -2.00000000e-01 -2.00000000e-01 -1.00009964e-12 -2.00000000e-01 -2.49775534e-13 -2.00000000e-01 -7.50097638e-13 -5.00087630e-13 -2.00000000e-01 -7.50094956e-13 -2.00000000e-01 -2.49951530e-13 -2.00000000e-01 -7.50097297e-13  1.08244223e-15 -7.50095290e-13 -5.00045778e-13 -1.00009930e-12 -2.00000000e-01 -7.50097287e-13 -2.00000000e-01 -2.00000000e-01 -1.00009821e-12 -2.00000000e-01 -2.50009052e-13 -2.00000000e-01 -2.50034100e-13 -2.00000000e-01 -2.00000000e-01 -1.00009938e-12  1.31949162e-15  2.66812778e-15 -2.00000000e-01 -2.49933896e-13  5.95947684e-16 -2.00000000e-01 -7.50090001e-13 -2.00000000e-01 -2.00000000e-01 -1.00009853e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.49901286e-13 -2.00000000e-01 -2.49921887e-13 -2.00000000e-01  1.20632825e-15 -2.00000000e-01 -2.50018546e-13 -2.00000000e-01 -7.50088639e-13 -2.00000000e-01  1.46589781e-15 -5.00039104e-13  5.04805145e-16 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  6.62528001e-16 -2.00000000e-01 -2.49737277e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -1.00009928e-12 -2.50024921e-13  2.39575592e-15 -5.00074816e-13 -2.00000000e-01 -1.00009947e-12 -5.00067033e-13 
-1.00000000e-01 -4.99869627e-13 -1.00000000e-01 -7.50072302e-13 -1.00000000e-01 -1.00000000e-01 -4.99973847e-13 -4.99986005e-13 -1.00000000e-01 -4.99987357e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -7.50042239e-13 -1.00000000e-01 -1.00008800e-12 -7.50049711e-13 -1.00009365e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -4.99857653e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  2.88256299e-15 -1.00000000e-01 -1.00009442e-12 -1.00000000e-01 -1.00000000e-01 -1.00008840e-12 -1.00000000e-01 -2.47727522e-13 -1.00000000e-01 -7.50075693e-13 -5.00000173e-13 -1.00000000e-01 -7.50048613e-13 -1.00000000e-01 -2.49014143e-13 -1.00000000e-01 -7.50075806e-13  7.02061082e-15 -7.50055345e-13 -4.99658484e-13 -1.00008942e-12 -1.00000000e-01 -7.50072652e-13 -1.00000000e-01 -1.00000000e-01 -1.00007516e-12 -1.00000000e-01 -2.49433633e-13 -1.00000000e-01 -2.49618811e-13 -1.00000000e-01 -1.00000000e-01 -1.00009344e-12  8.55802853e-15  1.73051288e-14 -1.00000000e-01 -2.48885547e-13  3.86524695e-15 -1.00000000e-01 -7.50005673e-13 -1.00000000e-01 -1.00000000e-01 -1.00007807e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.48644588e-13 -1.00000000e-01 -2.48794827e-13 -1.00000000e-01  7.82412306e-15 -1.00000000e-01 -2.49502870e-13 -1.00000000e-01 -7.49993867e-13 -1.00000000e-01  9.50759757e-15 -4.99605002e-13  3.27420734e-15 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  4.29707910e-15 -1.00000000e-01 -2.47448523e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00009246e-12 -2.49551875e-13  1.55385604e-14 -4.99894683e-13 -1.00000000e-01 -1.00008684e-12 -4.99828812e-13 
-2.77555756e-17 -4.98250513e-13 -2.77555756e-17 -7.49859179e-13 -2.77555756e-17 -2.77555756e-17 -4.99085635e-13 -4.99185842e-13 -2.77555756e-17 -4.99193889e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -7.49591728e-13 -2.77555756e-17 -9.99984702e-13 -7.49660315e-13 -1.00003704e-12 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -4.98151073e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  1.86946084e-14 -2.77555756e-17 -1.00004412e-12 -2.77555756e-17 -2.77555756e-17 -9.99984285e-13 -2.77555756e-17 -2.32793489e-13 -2.77555756e-17 -7.49885502e-13 -4.99299376e-13 -2.77555756e-17 -7.49646967e-13 -2.77555756e-17 -2.42178716e-13 -2.77555756e-17 -7.49889546e-13  4.55282886e-14 -7.49709145e-13 -4.96555133e-13 -9.99997805e-13 -2.77555756e-17 -7.49859143e-13 -2.77555756e-17 -2.77555756e-17 -9.99861584e-13 -2.77555756e-17 -2.45237695e-13 -2.77555756e-17 -2.46590419e-13 -2.77555756e-17 -2.77555756e-17 -1.00003836e-12  5.54973597e-14  1.12221553e-13 -2.77555756e-17 -2.41240984e-13  2.50657654e-14 -2.77555756e-17 -7.49274811e-13 -2.77555756e-17 -2.77555756e-17 -9.99888489e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.39480827e-13 -2.77555756e-17 -2.40576372e-13 -2.77555756e-17  5.07390233e-14 -2.77555756e-17 -2.45742571e-13 -2.77555756e-17 -7.49172495e-13 -2.77555756e-17  6.16551542e-14 -4.96126578e-13  2.12345835e-14 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  2.78661568e-14 -2.77555756e-17 -2.30759015e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -1.00002931e-12 -2.46102301e-13  1.00765581e-13 -4.98451289e-13 -2.77555756e-17 -9.99969745e-13 -4.97919970e-13 
 1.00000000e-01 -4.85278619e-13  1.00000000e-01 -7.48012224e-13  1.00000000e-01  1.00000000e-01 -4.91969552e-13 -4.92774873e-13  1.00000000e-01 -4.92836866e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -7.45687642e-13  1.00000000e-01 -9.99027521e-13 -7.46285830e-13 -9.99512444e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -4.84478579e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.21210089e-13  1.00000000e-01 -9.99578043e-13  1.00000000e-01  1.00000000e-01 -9.99019522e-13  1.00000000e-01 -1.23922466e-13  1.00000000e-01 -7.48237319e-13 -4.93684534e-13  1.00000000e-01 -7.46166347e-13  1.00000000e-01 -1.92346827e-13  1.00000000e-01 -7.48275395e-13  2.95137584e-13 -7.46708993e-13 -4.71692108e-13 -9.99148927e-13  1.00000000e-01 -7.48008894e-13  1.00000000e-01  1.00000000e-01 -9.97882574e-13  1.00000000e-01 -2.14648562e-13  1.00000000e-01 -2.24510638e-13  1.00000000e-01  1.00000000e-01 -9.99528015e-13  3.59745686e-13  7.27456111e-13  1.00000000e-01 -1.85510299e-13  1.62486504e-13  1.00000000e-01 -7.42941219e-13  1.00000000e-01  1.00000000e-01 -9.98131882e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -1.72676417e-13  1.00000000e-01 -1.80663311e-13  1.00000000e-01  3.28916244e-13  1.00000000e-01 -2.18329331e-13  1.00000000e-01 -7.42054542e-13  1.00000000e-01  3.99661848e-13 -4.68258594e-13  1.37678509e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.80639794e-13  1.00000000e-01 -1.09090343e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -9.99444201e-13 -2.20951705e-13  6.53194782e-13 -4.86887218e-13  1.00000000e-01 -9.98884795e-13 -4.82627023e-13 
 2.00000000e-01 -3.81390248e-13  2.00000000e-01 -7.32009491e-13  2.00000000e-01  2.00000000e-01 -4.34979490e-13 -4.41424687e-13  2.00000000e-01 -4.41925833e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01 -7.11863702e-13  2.00000000e-01 -9.90159798e-13 -7.17049751e-13 -9.94652429e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01 -3.74982808e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  7.85386971e-13  2.00000000e-01 -9.95260170e-13  2.00000000e-01  2.00000000e-01 -9.90081626e-13  2.00000000e-01  6.69261244e-13  2.00000000e-01 -7.33957785e-13 -4.48711118e-13  2.00000000e-01 -7.16011202e-13  2.00000000e-01  1.70719794e-13  2.00000000e-01 -7.34289761e-13  1.91147407e-12 -7.20716086e-13 -2.72574724e-13 -9.91284575e-13  2.00000000e-01 -7.31978698e-13  2.00000000e-01  2.00000000e-01 -9.79548271e-13  2.00000000e-01  8.21354294e-15  2.00000000e-01 -6.36001383e-14  2.00000000e-01  2.00000000e-01 -9.94799837e-13  2.32964083e-12  4.71106023e-12  2.00000000e-01  2.20533989e-13  1.05231020e-12  2.00000000e-01 -6.88068314e-13  2.00000000e-01  2.00000000e-01 -9.81858003e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  3.14017891e-13  2.00000000e-01  2.55824969e-13  2.00000000e-01  2.13024419e-12  2.00000000e-01 -1.86057337e-14  2.00000000e-01 -6.80386101e-13  2.00000000e-01  2.58813109e-12 -2.45075774e-13  8.92095083e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.16987672e-12  2.00000000e-01  7.77331197e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -9.94023315e-13 -3.76620749e-14  4.23013645e-12 -3.94273716e-13  2.00000000e-01 -9.88833444e-13 -3.60153899e-13 
 3.00000000e-01  4.49784459e-13  3.00000000e-01 -5.93430094e-13  3.00000000e-01  3.00000000e-01  2.09621834e-14 -3.04434221e-14  3.00000000e-01 -3.46187640e-14  3.00000000e-01  3.00000000e-01  3.00000000e-01 -4.19023247e-13  3.00000000e-01 -9.08041283e-13 -4.63918287e-13 -9.49647383e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  5.00975279e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  5.08089504e-12  3.00000000e-01 -9.55275511e-13  3.00000000e-01  3.00000000e-01 -9.07315162e-13  3.00000000e-01  6.43848010e-12  3.00000000e-01 -6.10325455e-13 -8.87663777e-14  3.00000000e-01 -4.54934413e-13  3.00000000e-01  2.81176945e-12  3.00000000e-01 -6.13177903e-13  1.23514335e-11 -4.95664638e-13  1.32040754e-12 -9.18457663e-13  3.00000000e-01 -5.93189106e-13  3.00000000e-01  3.00000000e-01 -8.09767306e-13  3.00000000e-01  1.62927749e-12  3.00000000e-01  1.10771016e-12  3.00000000e-01  3.00000000e-01 -9.51011496e-13  1.50491040e-11  3.04359970e-11  3.00000000e-01  3.17421791e-12  6.79906132e-12  3.00000000e-01 -2.12980405e-13  3.00000000e-01  3.00000000e-01 -8.31157161e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.85376325e-12  3.00000000e-01  3.43041694e-12  3.00000000e-01  1.37651031e-11  3.00000000e-01  1.43415102e-12  3.00000000e-01 -1.46462601e-13  3.00000000e-01  1.67189600e-11  1.54043571e-12  5.77122658e-12  3.00000000e-01  3.00000000e-01  3.00000000e-01  7.55868912e-12  3.00000000e-01  7.22472100e-12  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01 -9.43819699e-13  1.29655234e-12  2.73288919e-11  3.46694493e-13  3.00000000e-01 -8.95756191e-13  6.19622348e-13 
 4.00000000e-01  7.08118042e-12  4.00000000e-01  6.04800400e-13  4.00000000e-01  4.00000000e-01  3.65826397e-12  3.25178322e-12  4.00000000e-01  3.21469015e-12  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.11136421e-12  4.00000000e-01 -1.48552851e-13  1.72364662e-12 -5.33425431e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  7.48788017e-12  4.00000000e-01  4.00000000e-01  4.00000000e-01  3.27397284e-11  4.00000000e-01 -5.85483921e-13  4.00000000e-01  4.00000000e-01 -1.41886815e-13  4.00000000e-01  4.82173335e-11  4.00000000e-01  4.58041315e-13  2.78586359e-12  4.00000000e-01  1.80098633e-12  4.00000000e-01  2.19429320e-11  4.00000000e-01  4.34018626e-13  7.93574393e-11  1.44923095e-12  1.40278056e-11 -2.44904561e-13  4.00000000e-01  6.06159895e-13  4.00000000e-01  4.00000000e-01  7.60435904e-13  4.00000000e-01  1.33700579e-11  4.00000000e-01  9.60791660e-12  4.00000000e-01  4.00000000e-01 -5.45925734e-13  9.66196687e-11  1.95462504e-10  4.00000000e-01  2.45701638e-11  4.36728294e-11  4.00000000e-01  3.89242847e-12  4.00000000e-01  4.00000000e-01  5.62584906e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.94832965e-11  4.00000000e-01  2.64158927e-11  4.00000000e-01  8.84416776e-11  4.00000000e-01  1.19558737e-11  4.00000000e-01  4.46736993e-12  4.00000000e-01  1.07342718e-10  1.57836932e-11  3.71882606e-11  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.85530567e-11  4.00000000e-01  5.39149837e-11  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01 -4.79386176e-13  1.09789804e-11  1.75505230e-10  6.25837959e-12  4.00000000e-01 -3.49728724e-14  8.43463102e-12 
