vgs,cgg_23_0
-2,0.000490475
-1.95,0.000489714
-1.9,0.000488861
-1.85,0.000487901
-1.8,0.000486744
-1.75,0.000485442
-1.7,0.000483974
-1.65,0.000482317
-1.6,0.000480439
-1.55,0.000478302
-1.5,0.000475852
-1.45,0.000473013
-1.4,0.000469679
-1.35,0.000465698
-1.3,0.000460843
-1.25,0.000454778
-1.2,0.000447009
-1.15,0.000436841
-1.1,0.000423372
-1.05,0.00040565
-1,0.000383111
-0.95,0.000356343
-0.9,0.000327549
-0.85,0.000299221
-0.8,0.000272899
-0.75,0.00024948
-0.7,0.000229252
-0.65,0.000212039
-0.6,0.000197452
-0.55,0.000185061
-0.5,0.000174469
-0.45,0.000165347
-0.4,0.000157426
-0.35,0.000150491
-0.3,0.000144375
-0.25,0.000138941
-0.2,0.000134082
-0.15,0.000129711
-0.1,0.000125753
-0.05,0.000122147
1.20737E-15,0.00011884
0.05,0.000115789
0.1,0.000112959
0.15,0.000110324
0.2,0.000107864
0.25,0.000105561
0.3,0.0001034
0.35,0.000101368
0.4,9.94543E-05
0.45,9.76472E-05
0.5,9.59378E-05
0.55,9.43178E-05
0.6,9.27799E-05
0.65,9.13174E-05
0.7,8.99245E-05
0.75,8.8623E-05
0.8,0.0002768
0.85,0.000388268
0.9,0.000400836
0.95,0.000409611
1,0.000416163
1.05,0.000421298
1.1,0.000425468
1.15,0.000428948
1.2,0.000431915
1.25,0.000434489
1.3,0.000436754
1.35,0.00043877
1.4,0.000440582
1.45,0.000442224
1.5,0.000443724
1.55,0.000445101
1.6,0.000446373
1.65,0.000447553
1.7,0.000448653
1.75,0.000449681
1.8,0.000450647
1.85,0.000451555
1.9,0.000452412
1.95,0.000453223
2,0.000453992
