 v-sweep         v(g_17_0)       i(v_s_12_3)     i(v_s_13_2)     v(g_17_1)       v(g_15_4)       i(v_s_19_3)     i(v_s_10_1)     v(g_14_4)       v(g_12_2)       i(v_s_11_0)     i(v_s_18_4)     i(v_s_14_1)     v(g_11_3)       i(v_s_14_2)     v(g_16_0)       v(g_13_4)       v(g_16_2)       i(v_s_10_3)     i(v_s_18_0)     v(g_12_0)       i(v_s_15_2)     v(g_12_4)       v(g_10_1)       i(v_s_17_2)     i(v_s_15_1)     i(v_s_18_3)     v(g_18_1)       v(g_16_3)       v(g_14_1)       i(v_s_15_0)     i(v_s_16_3)     v(g_15_2)       v(g_11_4)       i(v_s_10_0)     i(v_s_17_4)     i(v_s_16_1)     i(v_s_10_4)     i(v_s_16_2)     i(v_s_19_0)     v(g_13_3)       i(v_s_12_4)     i(v_s_16_0)     v(g_10_2)       v(g_17_3)       v(g_18_2)       i(v_s_11_2)     v(g_17_4)       i(v_s_17_3)     i(v_s_15_4)     v(g_14_3)       v(g_19_1)       v(g_10_4)       i(v_s_19_1)     v(g_11_0)       v(g_14_2)       i(v_s_13_3)     i(v_s_18_2)     v(g_11_1)       v(g_14_0)       v(g_13_2)       v(g_15_0)       i(v_s_11_3)     i(v_s_19_2)     i(v_s_15_3)     v(g_19_4)       v(g_10_0)       i(v_s_12_1)     i(v_s_11_4)     v(g_16_1)       v(g_19_0)       v(g_11_2)       i(v_s_14_0)     v(g_12_1)       v(g_13_1)       v(g_15_1)       v(g_12_3)       i(v_s_13_0)     v(g_18_4)       i(v_s_17_1)     i(v_s_12_2)     v(g_19_2)       i(v_s_16_4)     v(g_18_3)       v(g_17_2)       i(v_s_10_2)     i(v_s_12_0)     v(g_15_3)       i(v_s_11_1)     i(v_s_19_4)     i(v_s_14_4)     i(v_s_17_0)     v(g_10_3)       i(v_s_18_1)     i(v_s_13_4)     v(g_16_4)       v(g_19_3)       v(g_13_0)       i(v_s_14_3)     v(g_18_0)       i(v_s_13_1)    
-5.00000000e-01 -5.00000000e-01 -2.50100494e-13 -5.00100500e-13 -5.00000000e-01 -5.00000000e-01 -2.50100494e-13 -7.50101000e-13 -5.00000000e-01 -5.00000000e-01 -1.00010100e-12  4.44147965e-23 -7.50100100e-13 -5.00000000e-01 -5.00100100e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100994e-13 -1.00010050e-12 -5.00000000e-01 -5.00100100e-13 -5.00000000e-01 -5.00000000e-01 -5.00101000e-13 -7.50100100e-13 -2.50100494e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -1.00010010e-12 -2.50100994e-13 -5.00000000e-01 -5.00000000e-01 -1.00010100e-12  1.02814441e-22 -7.50101000e-13  5.03189081e-23 -5.00101000e-13 -1.00010050e-12 -5.00000000e-01  8.09812693e-23 -1.00010100e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00101000e-13 -5.00000000e-01 -2.50100994e-13  2.60763797e-21 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -7.50100500e-13 -5.00000000e-01 -5.00000000e-01 -2.50100494e-13 -5.00100500e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100994e-13 -5.00100500e-13 -2.50100094e-13 -5.00000000e-01 -5.00000000e-01 -7.50100500e-13  5.63236410e-23 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -1.00010010e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -1.00010050e-12 -5.00000000e-01 -7.50101000e-13 -5.00100500e-13 -5.00000000e-01  9.17844205e-23 -5.00000000e-01 -5.00000000e-01 -5.00101000e-13 -1.00010050e-12 -5.00000000e-01 -7.50101000e-13  4.96884224e-23  2.32540398e-21 -1.00010100e-12 -5.00000000e-01 -7.50100500e-13  9.06649789e-23 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100094e-13 -5.00000000e-01 -7.50100500e-13 
-4.00000000e-01 -4.00000000e-01 -2.50100494e-13 -5.00100500e-13 -4.00000000e-01 -4.00000000e-01 -2.50100494e-13 -7.50101000e-13 -4.00000000e-01 -4.00000000e-01 -1.00010100e-12  2.07045679e-22 -7.50100100e-13 -4.00000000e-01 -5.00100100e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100994e-13 -1.00010050e-12 -4.00000000e-01 -5.00100100e-13 -4.00000000e-01 -4.00000000e-01 -5.00101000e-13 -7.50100100e-13 -2.50100494e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -1.00010010e-12 -2.50100994e-13 -4.00000000e-01 -4.00000000e-01 -1.00010100e-12  4.79283657e-22 -7.50101000e-13  2.34568511e-22 -5.00101000e-13 -1.00010050e-12 -4.00000000e-01  3.77505324e-22 -1.00010100e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -5.00101000e-13 -4.00000000e-01 -2.50100994e-13  1.21558611e-20 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -7.50100500e-13 -4.00000000e-01 -4.00000000e-01 -2.50100494e-13 -5.00100500e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100994e-13 -5.00100500e-13 -2.50100092e-13 -4.00000000e-01 -4.00000000e-01 -7.50100500e-13  2.62560400e-22 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -1.00010010e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -1.00010050e-12 -4.00000000e-01 -7.50101000e-13 -5.00100500e-13 -4.00000000e-01  4.27865699e-22 -4.00000000e-01 -4.00000000e-01 -5.00101000e-13 -1.00010050e-12 -4.00000000e-01 -7.50101000e-13  2.31629411e-22  1.08401888e-20 -1.00010100e-12 -4.00000000e-01 -7.50100500e-13  4.22647268e-22 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100092e-13 -4.00000000e-01 -7.50100500e-13 
-3.00000000e-01 -3.00000000e-01 -2.50100469e-13 -5.00100493e-13 -3.00000000e-01 -3.00000000e-01 -2.50100479e-13 -7.50100999e-13 -3.00000000e-01 -3.00000000e-01 -1.00010100e-12  6.72952922e-20 -7.50100071e-13 -3.00000000e-01 -5.00099977e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50100978e-13 -1.00010050e-12 -3.00000000e-01 -5.00099961e-13 -3.00000000e-01 -3.00000000e-01 -5.00100992e-13 -7.50100067e-13 -2.50100481e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -1.00010009e-12 -2.50100966e-13 -3.00000000e-01 -3.00000000e-01 -1.00010100e-12  1.55779888e-19 -7.50100998e-13  7.62409815e-20 -5.00100993e-13 -1.00010050e-12 -3.00000000e-01  1.22699165e-19 -1.00010100e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -5.00100996e-13 -3.00000000e-01 -2.50100962e-13  3.95091925e-18 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -7.50100499e-13 -3.00000000e-01 -3.00000000e-01 -2.50100466e-13 -5.00100497e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50100976e-13 -5.00100496e-13 -2.50099418e-13 -3.00000000e-01 -3.00000000e-01 -7.50100498e-13  8.53390869e-20 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -1.00010009e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -1.00010050e-12 -3.00000000e-01 -7.50100998e-13 -5.00100494e-13 -3.00000000e-01  1.39067690e-19 -3.00000000e-01 -3.00000000e-01 -5.00100996e-13 -1.00010050e-12 -3.00000000e-01 -7.50100999e-13  7.52856517e-20  3.52329712e-18 -1.00010100e-12 -3.00000000e-01 -7.50100499e-13  1.37371485e-19 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50099495e-13 -3.00000000e-01 -7.50100498e-13 
-2.00000000e-01 -2.00000000e-01 -2.50099513e-13 -5.00100225e-13 -2.00000000e-01 -2.00000000e-01 -2.50099888e-13 -7.50100954e-13 -2.00000000e-01 -2.00000000e-01 -1.00010098e-12  2.61943904e-18 -7.50098915e-13 -2.00000000e-01 -5.00095105e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50100369e-13 -1.00010049e-12 -2.00000000e-01 -5.00094443e-13 -2.00000000e-01 -2.00000000e-01 -5.00100672e-13 -7.50098752e-13 -2.50099956e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -1.00009974e-12 -2.50099855e-13 -2.00000000e-01 -2.00000000e-01 -1.00010098e-12  6.06368132e-18 -7.50100915e-13  2.96765514e-18 -5.00100710e-13 -1.00010049e-12 -2.00000000e-01  4.77601032e-18 -1.00010097e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -5.00100820e-13 -2.00000000e-01 -2.50099711e-13  1.53776038e-16 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -7.50100457e-13 -2.00000000e-01 -2.00000000e-01 -2.50099389e-13 -5.00100366e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50100291e-13 -5.00100349e-13 -2.50073081e-13 -2.00000000e-01 -2.00000000e-01 -7.50100431e-13  3.32179590e-18 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -1.00009979e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -1.00010048e-12 -2.00000000e-01 -7.50100904e-13 -5.00100257e-13 -2.00000000e-01  5.41316443e-18 -2.00000000e-01 -2.00000000e-01 -5.00100841e-13 -1.00010048e-12 -2.00000000e-01 -7.50100947e-13  2.93046019e-18  1.37132307e-16 -1.00010097e-12 -2.00000000e-01 -7.50100462e-13  5.34712383e-18 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50076132e-13 -2.00000000e-01 -7.50100421e-13 
-1.00000000e-01 -1.00000000e-01 -2.50061299e-13 -5.00089292e-13 -1.00000000e-01 -1.00000000e-01 -2.50076289e-13 -7.50099081e-13 -1.00000000e-01 -1.00000000e-01 -1.00010028e-12  1.01921540e-16 -7.50051129e-13 -1.00000000e-01 -4.99896727e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.50076035e-13 -1.00010000e-12 -1.00000000e-01 -4.99869768e-13 -1.00000000e-01 -1.00000000e-01 -5.00087641e-13 -7.50044402e-13 -2.50078984e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00008525e-12 -2.50055495e-13 -1.00000000e-01 -1.00000000e-01 -1.00010037e-12  2.35940546e-16 -7.50097504e-13  1.15472742e-16 -5.00089204e-13 -1.00009993e-12 -1.00000000e-01  1.85833139e-16 -1.00009985e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -5.00093673e-13 -1.00000000e-01 -2.50049728e-13  5.98053385e-15 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -7.50098718e-13 -1.00000000e-01 -1.00000000e-01 -2.50056356e-13 -5.00095063e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.50072891e-13 -5.00094351e-13 -2.49021057e-13 -1.00000000e-01 -1.00000000e-01 -7.50097644e-13  1.29252511e-16 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00008709e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00009946e-12 -1.00000000e-01 -7.50097023e-13 -5.00090598e-13 -1.00000000e-01  2.10628644e-16 -1.00000000e-01 -1.00000000e-01 -5.00094526e-13 -1.00009959e-12 -1.00000000e-01 -7.50098818e-13  1.14023274e-16  5.33323925e-15 -1.00009969e-12 -1.00000000e-01 -7.50098931e-13  2.08054995e-16 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.49142933e-13 -1.00000000e-01 -7.50097252e-13 
-2.77555756e-17 -2.77555756e-17 -2.48538150e-13 -4.99645163e-13 -2.77555756e-17 -2.77555756e-17 -2.49135684e-13 -7.50021895e-13 -2.77555756e-17 -2.77555756e-17 -1.00007095e-12  3.95570050e-15 -7.48082214e-13 -2.77555756e-17 -4.91843075e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.49106056e-13 -1.00007959e-12 -2.77555756e-17 -4.90748534e-13 -2.77555756e-17 -2.77555756e-17 -4.99558240e-13 -7.47805043e-13 -2.49243095e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -9.99480980e-13 -2.48287278e-13 -2.77555756e-17 -2.77555756e-17 -1.00007469e-12  9.15826333e-15 -7.49956915e-13  4.48217677e-15 -4.99621762e-13 -1.00007663e-12 -2.77555756e-17  7.21243617e-15 -1.00005309e-12 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -4.99803329e-13 -2.77555756e-17 -2.48057388e-13  2.31427287e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -7.50027027e-13 -2.77555756e-17 -2.77555756e-17 -2.48341151e-13 -4.99879619e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.48980754e-13 -4.99850674e-13 -2.07146324e-13 -2.77555756e-17 -2.77555756e-17 -7.49982779e-13  5.01705075e-15 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -9.99557911e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -1.00005703e-12 -2.77555756e-17 -7.49937050e-13 -4.99698199e-13 -2.77555756e-17  8.17575704e-15 -2.77555756e-17 -2.77555756e-17 -4.99837986e-13 -1.00006244e-12 -2.77555756e-17 -7.50011048e-13  4.42538373e-15  2.06379063e-13 -1.00004624e-12 -2.77555756e-17 -7.50035843e-13  8.07489659e-15 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.11997914e-13 -2.77555756e-17 -7.49966638e-13 
 1.00000000e-01  1.00000000e-01 -1.88053737e-13 -4.81659374e-13  1.00000000e-01  1.00000000e-01 -2.11784498e-13 -7.46849295e-13  1.00000000e-01  1.00000000e-01 -9.98851268e-13  1.52771046e-13 -6.67333575e-13  1.00000000e-01 -1.67046456e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.10574403e-13 -9.99230888e-13  1.00000000e-01 -1.22897165e-13  1.00000000e-01  1.00000000e-01 -4.78115217e-13 -6.55965004e-13 -2.16050155e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -9.74383518e-13 -1.78045681e-13  1.00000000e-01  1.00000000e-01 -9.99006823e-13  3.53964956e-13 -7.44178194e-13  1.73232604e-13 -4.80688317e-13 -9.99107978e-13  1.00000000e-01  2.78553275e-13 -9.98108576e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -4.88043172e-13  1.00000000e-01 -1.68912635e-13  8.77740045e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01 -7.47080616e-13  1.00000000e-01  1.00000000e-01 -1.80230156e-13 -4.91154867e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.05596425e-13 -4.89982609e-13  1.44164737e-12  1.00000000e-01  1.00000000e-01 -7.45261892e-13  1.93905078e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -9.77579021e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -9.98292745e-13  1.00000000e-01 -7.43361604e-13 -4.83807325e-13  1.00000000e-01  3.15991271e-13  1.00000000e-01  1.00000000e-01 -4.89447009e-13 -9.98517634e-13  1.00000000e-01 -7.46403425e-13  1.70910460e-13  7.82736150e-12 -9.97823871e-13  1.00000000e-01 -7.47442950e-13  3.11862611e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.25056481e-12  1.00000000e-01 -7.44598499e-13 
 2.00000000e-01  2.00000000e-01  2.18887451e-12  2.41758190e-13  2.00000000e-01  2.00000000e-01  1.25596484e-12 -6.17022084e-13  2.00000000e-01  2.00000000e-01 -9.48318684e-13  5.79580889e-12  2.59061737e-12  2.00000000e-01  1.25636564e-11  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.30701293e-12 -9.64081589e-13  2.00000000e-01  1.42954920e-11  2.00000000e-01  2.00000000e-01  3.85381288e-13  3.04949722e-12  1.08829516e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01  5.74920824e-14  2.58857716e-12  2.00000000e-01  2.00000000e-01 -9.54764042e-13  1.34909159e-11 -5.07701685e-13  6.60192213e-12  2.81748951e-13 -9.58990721e-13  2.00000000e-01  1.05689855e-11 -9.17544781e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01 -1.44806034e-14  2.00000000e-01  2.94838344e-12  3.00325236e-10  2.00000000e-01  2.00000000e-01  2.00000000e-01 -6.26588447e-13  2.00000000e-01  2.00000000e-01  2.49641257e-12 -1.40242249e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.50311729e-12 -9.30853318e-14  6.29957615e-11  2.00000000e-01  2.00000000e-01 -5.52200058e-13  7.38977590e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01 -7.39233506e-14  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -9.25223420e-13  2.00000000e-01 -4.74281533e-13  1.55349113e-13  2.00000000e-01  1.20435645e-11  2.00000000e-01  2.00000000e-01 -7.10192451e-14 -9.34538316e-13  2.00000000e-01 -5.98774446e-13  6.48401423e-12  2.67785456e-10 -9.05747996e-13  2.00000000e-01 -6.41407807e-13  1.18328799e-11  2.00000000e-01  2.00000000e-01  2.00000000e-01  5.58504821e-11  2.00000000e-01 -5.25067067e-13 
 3.00000000e-01  3.00000000e-01  9.09728558e-11  2.84894182e-11  3.00000000e-01  3.00000000e-01  5.60643371e-11  4.61632742e-12  3.00000000e-01  3.00000000e-01  1.12398808e-12  2.00774288e-10  1.23260480e-10  3.00000000e-01  4.42522040e-10  3.00000000e-01  3.00000000e-01  3.00000000e-01  5.87421905e-11  4.73930638e-13  3.00000000e-01  5.01385227e-10  3.00000000e-01  3.00000000e-01  3.43489493e-11  1.40306281e-10  4.97922375e-11  3.00000000e-01  3.00000000e-01  3.00000000e-01  4.04133894e-11  1.07322745e-10  3.00000000e-01  3.00000000e-01  8.59599510e-13  4.79450745e-10  9.02549379e-12  2.34487307e-10  3.02701072e-11  6.82272103e-13  3.00000000e-01  3.66348513e-10  2.38648366e-12  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.86092799e-11  3.00000000e-01  1.20961216e-10  6.82170144e-09  3.00000000e-01  3.00000000e-01  3.00000000e-01  4.21054369e-12  3.00000000e-01  3.00000000e-01  1.02480399e-10  1.35592457e-11  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  6.61738093e-11  1.54018928e-11  1.84034751e-09  3.00000000e-01  3.00000000e-01  7.19901050e-12  2.62498635e-10  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.52663983e-11  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.06435303e-12  3.00000000e-01  1.03733148e-11  2.51124270e-11  3.00000000e-01  4.27971321e-10  3.00000000e-01  3.00000000e-01  1.63842869e-11  1.68312187e-12  3.00000000e-01  5.35218863e-12  2.24655856e-10  6.06573071e-09  2.87041120e-12  3.00000000e-01  3.61532445e-12  4.10227448e-10  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.63100368e-09  3.00000000e-01  8.28891619e-12 
 4.00000000e-01  4.00000000e-01  2.68368172e-09  9.74586297e-10  4.00000000e-01  4.00000000e-01  1.65721557e-09  1.99727329e-10  4.00000000e-01  4.00000000e-01  8.19254998e-11  4.78526331e-09  3.18752338e-09  4.00000000e-01  8.94510475e-09  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.83878654e-09  5.57494908e-11  4.00000000e-01  1.01863480e-08  4.00000000e-01  4.00000000e-01  1.21562742e-09  3.63341902e-09  1.47035889e-09  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.27128844e-09  3.35671706e-09  4.00000000e-01  4.00000000e-01  7.15996009e-11  1.25179631e-08  3.64608692e-10  6.09875816e-09  1.07294035e-09  6.37761152e-11  4.00000000e-01  8.74268128e-09  1.31245019e-10  4.00000000e-01  4.00000000e-01  4.00000000e-01  6.65913334e-10  4.00000000e-01  3.78567912e-09  7.87697181e-08  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.80436816e-10  4.00000000e-01  4.00000000e-01  3.02650140e-09  4.71757654e-10  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.07246408e-09  5.33953296e-10  2.81363206e-08  4.00000000e-01  4.00000000e-01  2.89688746e-10  6.84618202e-09  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.11224033e-09  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.17031577e-10  4.00000000e-01  4.15034790e-10  8.60554641e-10  4.00000000e-01  1.11455906e-08  4.00000000e-01  4.00000000e-01  5.88111525e-10  1.02339812e-10  4.00000000e-01  2.27248491e-10  5.37744672e-09  6.80777140e-08  1.50149905e-10  4.00000000e-01  1.58662247e-10  9.82843099e-09  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.46318854e-08  4.00000000e-01  3.29575880e-10 
