 v-sweep         i(v_meas_0_0)   v(p_0_0)       
-2.00000000e-01 -2.00000032e-13 -2.00000000e-01 
-1.00000000e-01 -1.00000032e-13 -1.00000000e-01 
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-01  1.00003499e-13  1.00000000e-01 
 2.00000000e-01  2.00256396e-13  2.00000000e-01 
 3.00000000e-01  3.19030002e-13  3.00000000e-01 
 4.00000000e-01  1.66935129e-12  4.00000000e-01 
 5.00000000e-01  4.46188899e-11  5.00000000e-01 
 6.00000000e-01  5.87009110e-10  6.00000000e-01 
 7.00000000e-01  5.57437451e-09  7.00000000e-01 
 8.00000000e-01  5.05392673e-08  8.00000000e-01 
 9.00000000e-01  4.56183573e-07  9.00000000e-01 
 1.00000000e+00  4.11788046e-06  1.00000000e+00 
 1.10000000e+00  3.71747487e-05  1.10000000e+00 
 1.20000000e+00  3.34659021e-04  1.20000000e+00 
 1.30000000e+00  2.93749690e-03  1.30000000e+00 
 1.40000000e+00  2.16075209e-02  1.40000000e+00 
 1.50000000e+00  9.10450770e-02  1.50000000e+00 
 1.60000000e+00  2.13504680e-01  1.60000000e+00 
 1.70000000e+00  3.65202200e-01  1.70000000e+00 
 1.80000000e+00  5.31453281e-01  1.80000000e+00 
 1.90000000e+00  7.05624449e-01  1.90000000e+00 
 2.00000000e+00  8.85473890e-01  2.00000000e+00 
 2.10000000e+00  1.06879742e+00  2.10000000e+00 
 2.20000000e+00  1.25457806e+00  2.20000000e+00 
 2.30000000e+00  1.44223806e+00  2.30000000e+00 
 2.40000000e+00  1.63136413e+00  2.40000000e+00 
 2.50000000e+00  1.82166000e+00  2.50000000e+00 
 2.60000000e+00  2.01290967e+00  2.60000000e+00 
 2.70000000e+00  2.20495108e+00  2.70000000e+00 
 2.80000000e+00  2.39765970e+00  2.80000000e+00 
 2.90000000e+00  2.59093789e+00  2.90000000e+00 
 3.00000000e+00  2.78470773e+00  3.00000000e+00 
 3.10000000e+00  2.97890613e+00  3.10000000e+00 
 3.20000000e+00  3.17348130e+00  3.20000000e+00 
 3.30000000e+00  3.36839021e+00  3.30000000e+00 
 3.40000000e+00  3.56359676e+00  3.40000000e+00 
 3.50000000e+00  3.75907035e+00  3.50000000e+00 
