 v-sweep         v(p_0_1)        i(v_meas_0_1)  
-2.00000000e-01 -2.00000000e-01 -2.00000281e-13 
-1.00000000e-01 -1.00000000e-01 -1.00000280e-13 
 0.00000000e+00  0.00000000e+00  0.00000000e+00 
 1.00000000e-01  1.00000000e-01  1.00024085e-13 
 2.00000000e-01  2.00000000e-01  2.01505092e-13 
 3.00000000e-01  3.00000000e-01  3.92377357e-13 
 4.00000000e-01  4.00000000e-01  4.94364762e-12 
 5.00000000e-01  5.00000000e-01  1.00121751e-10 
 6.00000000e-01  6.00000000e-01  1.02992698e-09 
 7.00000000e-01  7.00000000e-01  8.73303292e-09 
 8.00000000e-01  8.00000000e-01  7.21217286e-08 
 9.00000000e-01  9.00000000e-01  5.94116193e-07 
 1.00000000e+00  1.00000000e+00  4.89498157e-06 
 1.10000000e+00  1.10000000e+00  4.03300624e-05 
 1.20000000e+00  1.20000000e+00  3.31280294e-04 
 1.30000000e+00  1.30000000e+00  2.65520451e-03 
 1.40000000e+00  1.40000000e+00  1.81449892e-02 
 1.50000000e+00  1.50000000e+00  7.51043431e-02 
 1.60000000e+00  1.60000000e+00  1.78017998e-01 
 1.70000000e+00  1.70000000e+00  3.07283092e-01 
 1.80000000e+00  1.80000000e+00  4.50126325e-01 
 1.90000000e+00  1.90000000e+00  6.00324034e-01 
 2.00000000e+00  2.00000000e+00  7.55799762e-01 
 2.10000000e+00  2.10000000e+00  9.14496810e-01 
 2.20000000e+00  2.20000000e+00  1.07546696e+00 
 2.30000000e+00  2.30000000e+00  1.23817423e+00 
 2.40000000e+00  2.40000000e+00  1.40223522e+00 
 2.50000000e+00  2.50000000e+00  1.56737520e+00 
 2.60000000e+00  2.60000000e+00  1.73339408e+00 
 2.70000000e+00  2.70000000e+00  1.90014192e+00 
 2.80000000e+00  2.80000000e+00  2.06750357e+00 
 2.90000000e+00  2.90000000e+00  2.23538886e+00 
 3.00000000e+00  3.00000000e+00  2.40372588e+00 
 3.10000000e+00  3.10000000e+00  2.57245644e+00 
 3.20000000e+00  3.20000000e+00  2.74153280e+00 
 3.30000000e+00  3.30000000e+00  2.91091533e+00 
 3.40000000e+00  3.40000000e+00  3.08057080e+00 
 3.50000000e+00  3.50000000e+00  3.25047104e+00 
