name,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10
bv,3.7685818645340346e+17,298513301.0973907,78137086.43315554,4.84468022352878e+18,45051936436493.27,3.4963681310781254e+17,1476822119869179.8,5285839484.380228,3630856106274654.0,4.423751409809119e+19
ibv,0.0034076640293860404,0.04834637237715983,0.060373965960931496,0.000928594010855637,0.027921097316031405,4.501164772176435e-05,0.00010075091248126906,0.0025989343687999266,0.0038016142626694865,0.001439788206604202
ikf,1.6920371225240103e-05,6.122694007241275e-06,2.4856457907739296e-07,6.6652285428640114e-06,5.58498819488367e-06,1.0556939550019013e-06,1.3320263118052031e-08,2.8695599262582965e-06,5.34001628248648e-07,2.4637105704443538e-05
ikr,8.754925107633831e-08,7.600602837029047e-07,4.51894983075252e-09,0.00034294029462719614,0.01702668823703278,0.0002918753762058248,0.052844389500170154,0.026039391883972175,0.005024119071029055,0.06491992742083183
is,5.206803272679157e-12,3.6576679839537214e-13,2.690882141339304e-12,3.983073846756857e-12,6.748016186195967e-13,9.423233521228009e-11,4.320761529058178e-12,3.3248744507800825e-12,1.549843557035497e-11,1.5046046485439485e-15
jsw,1.7059925117191258e-17,1.1908924983114209e-18,2.8234526335505585e-13,1.1191328001888972e-16,1.9011436108525002e-16,1.0458177091994051e-13,1.5998164912757252e-15,6.220441515843128e-18,8.745814117385762e-15,3.983724578674193e-19
n,1.1103763924671592,1.1376595515670296,0.7986862766317744,1.2612447082280878,1.198744604189168,1.0936930979396418,0.7270611378298073,1.8409372310978542,1.4108153108728654,1.3120648912917114
nbv,0.17963819398151015,1.9592549377543156,1.16092320237994,1.1500795591897188,0.8778378340121058,1.3666757245238659,1.8880048827355604,1.767860793081269,0.9820714975890875,1.668926998151158
rs,1.0287065318020825e-06,9.74575825913478e-07,1.5442878842046693e-06,9.398899304350765e-07,9.720099113082612e-07,9.745962935859418e-07,0.0010936899839114058,9.044739284168574e-07,9.078855379698114e-07,1.0060781746354647e-06
trs1,0.0023143000202654504,0.002166821101186156,0.007333336783287176,0.007582147397407684,0.0027572978638875922,0.00726107877493861,0.006984372490174226,0.007501385932177102,0.008572624017775254,0.008641499522865803
trs2,0.0005184347825657462,0.0005078826418059994,0.0007398841242296287,0.0006617446497129672,0.000716203361162818,0.0005016611042274249,1.157841505759422e-05,0.0006733036948081017,0.00046471938761885124,0.0003575705107115353
