vgs,cgs_21_1
-2,1.14259E-06
-1.95,1.145E-06
-1.8,1.15269E-06
-1.75,1.15541E-06
-1.7,1.15821E-06
-1.65,1.16111E-06
-1.6,1.16409E-06
-1.55,1.16718E-06
-1.5,1.17037E-06
-1.45,1.17368E-06
-1.4,1.1771E-06
-1.35,1.18064E-06
-1.3,1.18432E-06
-1.25,1.18814E-06
-1.2,1.19211E-06
-1.15,1.19624E-06
-1.1,1.20054E-06
-1.05,1.20503E-06
-1,1.20971E-06
-0.95,1.2146E-06
-0.9,1.21973E-06
-0.85,1.22511E-06
-0.8,1.23078E-06
-0.75,1.23679E-06
-0.7,1.24323E-06
-0.65,1.25032E-06
-0.6,1.25844E-06
-0.55,1.2685E-06
-0.5,1.28246E-06
-0.45,1.30464E-06
-0.4,1.34417E-06
-0.35,1.41928E-06
-0.3,1.56354E-06
-0.25,1.83762E-06
-0.2,2.36564E-06
-0.15,3.43395E-06
-0.1,5.68594E-06
-0.05,1.03348E-05
1.20737E-15,1.88144E-05
0.05,3.09462E-05
0.1,4.35986E-05
0.15,5.34844E-05
0.2,5.99017E-05
0.25,6.37758E-05
0.3,6.61401E-05
0.35,6.76698E-05
0.4,6.87372E-05
0.45,6.95367E-05
0.5,7.01702E-05
0.55,7.06932E-05
0.6,7.11373E-05
0.65,7.15222E-05
0.7,7.18607E-05
0.75,7.21615E-05
0.8,7.24314E-05
0.85,7.26752E-05
0.9,7.28969E-05
0.95,7.30996E-05
1,7.32857E-05
1.05,7.34574E-05
1.1,7.36164E-05
1.15,7.37642E-05
1.2,7.39019E-05
1.25,7.40307E-05
1.3,7.41515E-05
1.35,7.4265E-05
1.4,7.43719E-05
1.45,7.44728E-05
1.5,7.45682E-05
1.55,7.46587E-05
1.6,7.47445E-05
1.65,7.48261E-05
1.7,7.49038E-05
1.75,7.49779E-05
1.8,7.50486E-05
1.85,7.51162E-05
1.9,7.51809E-05
1.95,7.52428E-05
2,7.53023E-05
