vgs,cgg_23_1,cgg_23_2
-2,0.000156743,0.000126818
-1.9,0.000155862,0.000121227
-1.85,0.000155398,0.000117231
-1.8,0.000154918,0.000111919
-1.75,0.000154422,0.000104793
-1.7,0.00015391,9.55084E-05
-1.65,0.00015338,8.43272E-05
-1.6,0.000152834,7.242E-05
-1.55,0.00015227,6.13251E-05
-1.5,0.000151689,5.20239E-05
-1.45,0.00015109,4.47045E-05
-1.4,0.000150473,3.90981E-05
-1.35,0.000149838,3.4817E-05
-1.3,0.000149185,3.15154E-05
-1.25,0.000148513,2.89293E-05
-1.2,0.000147823,2.68684E-05
-1.15,0.000147114,2.51983E-05
-1.1,0.000146387,2.38237E-05
-1.05,0.00014564,2.26766E-05
-1,0.000144875,2.17079E-05
-0.95,0.000144092,2.08814E-05
-0.9,0.000143289,2.01702E-05
-0.85,0.000142469,1.95539E-05
-0.8,0.00014163,1.90171E-05
-0.75,0.000140774,1.85479E-05
-0.7,0.0001399,1.81371E-05
-0.65,0.000139011,1.77775E-05
-0.6,0.000138106,1.74638E-05
-0.55,0.000137186,1.71919E-05
-0.5,0.000136255,1.69588E-05
-0.45,0.000135031,1.67626E-05
-0.4,0.000133685,1.66024E-05
-0.35,0.000132233,1.64776E-05
-0.3,0.000130642,1.63888E-05
-0.25,0.000128857,1.63372E-05
-0.2,0.000126808,1.63255E-05
-0.15,0.000124507,1.63625E-05
-0.1,0.000122307,1.64759E-05
-0.05,0.000121307,1.67432E-05
1.20737E-15,0.000123144,1.73478E-05
0.05,0.000127425,1.87256E-05
0.1,0.000128402,2.2133E-05
0.15,0.000127317,3.09581E-05
0.2,0.000131893,5.06313E-05
0.25,0.000135577,8.00031E-05
0.3,0.000138422,0.000106289
0.35,0.000140632,0.00012247
0.4,0.000142387,0.000131195
0.45,0.000143818,0.000136107
0.5,0.000145009,0.000139208
0.55,0.000146022,0.000141397
0.6,0.000146895,0.000143072
0.65,0.000147657,0.000144422
0.7,0.000148331,0.000145546
0.75,0.000148931,0.000146504
0.8,0.000149469,0.000147332
0.85,0.000149957,0.000148058
0.9,0.0001504,0.0001487
0.95,0.000150805,0.000149273
1,0.000151177,0.000149788
1.05,0.00015152,0.000150254
1.1,0.000151838,0.000150679
1.15,0.000152133,0.000151068
1.2,0.000152408,0.000151425
1.25,0.000152666,0.000151755
1.3,0.000152907,0.000152061
1.35,0.000153134,0.000152345
1.4,0.000153348,0.00015261
1.45,0.00015355,0.000152858
1.5,0.00015374,0.00015309
1.55,0.000153921,0.000153309
1.6,0.000154093,0.000153515
1.65,0.000154256,0.00015371
1.7,0.000154411,0.000153894
1.75,0.000154559,0.000154069
1.8,0.000154701,0.000154234
1.85,0.000154836,0.000154392
1.9,0.000154965,0.000154542
1.95,0.000155089,0.000154685
2,0.000155208,0.000154822
