vgs,cgb_22_1,cgb_22_0,cgb_22_2
-2,0.00015292,0.000144408,0.000122995
-1.95,0.00015247,0.000143686,0.000120484
-1.9,0.000152004,0.000142944,0.000117369
-1.85,0.000151522,0.000142181,0.000113355
-1.8,0.000151022,0.000141396,0.000108023
-1.75,0.000150506,0.00014059,0.000100877
-1.7,0.000149973,0.000139763,9.15716E-05
-1.65,0.000149422,0.000138914,8.03686E-05
-1.6,0.000148852,0.000138042,6.84386E-05
-1.55,0.000148265,0.000137149,5.732E-05
-1.5,0.000147659,0.000136233,4.79939E-05
-1.45,0.000147034,0.000135294,4.06485E-05
-1.4,0.00014639,0.000134333,3.50148E-05
-1.35,0.000145726,0.000133349,3.0705E-05
-1.3,0.000145043,0.000132342,2.73732E-05
-1.25,0.000144339,0.000131312,2.47553E-05
-1.2,0.000143616,0.000130004,2.26608E-05
-1.15,0.000142871,0.000128523,2.09551E-05
-1.1,0.000142106,0.000126898,1.95427E-05
-1.05,0.000141319,0.000125073,1.83555E-05
-1,0.000140511,0.000122966,1.7344E-05
-0.95,0.000139682,0.000120448,1.64718E-05
-0.9,0.000138831,0.000117323,1.57115E-05
-0.85,0.000137957,0.000113295,1.50424E-05
-0.8,0.000137061,0.000107942,1.44487E-05
-0.75,0.000136143,0.00010077,1.39177E-05
-0.7,0.000135202,9.14361E-05,1.34396E-05
-0.65,0.000134238,8.02143E-05,1.30065E-05
-0.6,0.000133249,6.82854E-05,1.2612E-05
-0.55,0.000132235,5.71856E-05,1.22508E-05
-0.5,0.000131193,4.78856E-05,1.19187E-05
-0.45,0.00012983,4.05648E-05,1.16119E-05
-0.4,0.000128298,3.49507E-05,1.13276E-05
-0.35,0.000126575,3.06554E-05,1.10632E-05
-0.3,0.000124558,2.73336E-05,1.08163E-05
-0.25,0.000122068,2.47213E-05,1.05851E-05
-0.2,0.000118789,2.26261E-05,1.03676E-05
-0.15,0.000114161,2.09069E-05,1.01613E-05
-0.1,0.000107258,1.94503E-05,9.96263E-06
-0.05,9.67653E-05,1.81376E-05,9.76294E-06
1.20737E-15,8.14667E-05,1.67877E-05,9.53962E-06
0.05,6.13364E-05,1.50619E-05,9.23142E-06
0.1,3.68945E-05,1.24492E-05,8.68225E-06
0.15,1.59553E-05,8.82878E-06,7.57568E-06
0.2,7.63909E-06,5.31229E-06,5.62774E-06
0.25,3.5343E-06,3.06057E-06,3.31155E-06
0.3,1.62274E-06,1.96161E-06,1.63889E-06
0.35,7.53643E-07,1.46241E-06,8.20523E-07
0.4,3.60714E-07,1.2149E-06,4.91315E-07
0.45,1.82032E-07,1.06845E-06,3.64525E-07
0.5,9.9478E-08,9.65093E-07,3.12024E-07
0.55,6.02564E-08,8.82949E-07,2.85949E-07
0.6,4.07906E-08,8.13386E-07,2.69457E-07
0.65,3.05077E-08,7.5264E-07,2.56713E-07
0.7,2.46249E-08,6.98783E-07,2.45688E-07
0.75,2.09468E-08,6.50631E-07,2.35655E-07
0.8,1.84426E-08,6.07343E-07,2.26335E-07
0.85,1.6612E-08,5.68266E-07,2.17602E-07
0.9,1.52004E-08,5.32864E-07,2.09389E-07
0.95,1.40703E-08,5.00689E-07,2.01648E-07
1,1.31417E-08,4.71363E-07,1.94342E-07
1.05,1.23645E-08,4.44558E-07,1.87437E-07
1.1,1.17052E-08,4.19995E-07,1.80904E-07
1.15,1.11401E-08,3.97432E-07,1.74718E-07
1.2,1.06517E-08,3.76658E-07,1.68853E-07
1.25,1.02264E-08,3.57489E-07,1.63289E-07
1.3,9.85372E-09,3.39765E-07,1.58005E-07
1.35,9.52536E-09,3.23345E-07,1.52983E-07
1.4,9.23454E-09,3.08103E-07,1.48205E-07
1.45,8.97574E-09,2.93931E-07,1.43656E-07
1.5,8.74446E-09,2.8073E-07,1.39321E-07
1.55,8.53692E-09,2.68415E-07,1.35188E-07
1.6,8.35E-09,2.56907E-07,1.31244E-07
1.65,8.18106E-09,2.46138E-07,1.27478E-07
1.7,8.02788E-09,2.36047E-07,1.23878E-07
1.75,7.88855E-09,2.26577E-07,1.20437E-07
1.8,7.76146E-09,2.17678E-07,1.17143E-07
1.85,7.64523E-09,2.09307E-07,1.1399E-07
1.9,7.53866E-09,2.01421E-07,1.10969E-07
1.95,7.4407E-09,1.93984E-07,1.08073E-07
2,7.35046E-09,1.86963E-07,1.05295E-07
