vgs,cgd_20_0,cgd_20_1,cgd_20_2
-2,2.67992E-06,2.67992E-06,2.67992E-06
-1.95,2.69482E-06,2.69482E-06,2.69482E-06
-1.9,2.71028E-06,2.71028E-06,2.71028E-06
-1.85,2.72635E-06,2.72635E-06,2.72635E-06
-1.8,2.74306E-06,2.74306E-06,2.74306E-06
-1.75,2.76045E-06,2.76045E-06,2.76045E-06
-1.7,2.77858E-06,2.77858E-06,2.77858E-06
-1.65,2.7975E-06,2.7975E-06,2.7975E-06
-1.6,2.81727E-06,2.81727E-06,2.81727E-06
-1.55,2.83795E-06,2.83795E-06,2.83795E-06
-1.5,2.85961E-06,2.85961E-06,2.85961E-06
-1.45,2.88234E-06,2.88234E-06,2.88234E-06
-1.4,2.90623E-06,2.90623E-06,2.90623E-06
-1.35,2.93136E-06,2.93136E-06,2.93136E-06
-1.3,2.95787E-06,2.95787E-06,2.95787E-06
-1.25,2.98587E-06,2.98587E-06,2.98587E-06
-1.2,3.01551E-06,3.01551E-06,3.01551E-06
-1.15,3.04696E-06,3.04696E-06,3.04696E-06
-1.1,3.0804E-06,3.0804E-06,3.0804E-06
-1.05,3.11605E-06,3.11605E-06,3.11605E-06
-1,3.15416E-06,3.15416E-06,3.15416E-06
-0.95,3.19502E-06,3.19502E-06,3.19502E-06
-0.9,3.23896E-06,3.23898E-06,3.23896E-06
-0.85,3.28639E-06,3.28642E-06,3.28639E-06
-0.8,3.33776E-06,3.33785E-06,3.33776E-06
-0.75,3.39364E-06,3.39383E-06,3.39364E-06
-0.7,3.45469E-06,3.45511E-06,3.45469E-06
-0.65,3.52169E-06,3.52265E-06,3.52169E-06
-0.6,3.5956E-06,3.59778E-06,3.59559E-06
-0.55,3.67756E-06,3.6825E-06,3.67754E-06
-0.5,3.76897E-06,3.78013E-06,3.7689E-06
-0.45,3.87151E-06,3.89656E-06,3.87131E-06
-0.4,3.98723E-06,4.04278E-06,3.98667E-06
-0.35,4.11874E-06,4.2391E-06,4.11714E-06
-0.3,4.26958E-06,4.52114E-06,4.26505E-06
-0.25,4.44554E-06,4.95119E-06,4.43281E-06
-0.2,4.65833E-06,5.65358E-06,4.62293E-06
-0.15,4.93497E-06,6.91203E-06,4.83964E-06
-0.1,5.33668E-06,9.36272E-06,5.09501E-06
-0.05,5.99778E-06,1.42067E-05,5.42605E-06
1.20737E-15,7.26756E-06,2.28633E-05,5.92851E-06
0.05,1.01447E-05,3.51424E-05,6.8452E-06
0.1,1.68854E-05,4.79085E-05,8.88031E-06
0.15,2.96794E-05,5.78771E-05,1.38875E-05
0.2,4.54252E-05,6.43524E-05,2.47272E-05
0.25,5.76059E-05,6.82668E-05,4.05913E-05
0.3,6.46707E-05,7.0659E-05,5.45843E-05
0.35,6.84839E-05,7.22083E-05,6.30939E-05
0.4,7.06833E-05,7.32895E-05,6.7628E-05
0.45,7.2107E-05,7.40989E-05,7.01524E-05
0.5,7.31306E-05,7.47398E-05,7.17327E-05
0.55,7.39238E-05,7.52682E-05,7.28429E-05
0.6,7.45686E-05,7.57165E-05,7.36907E-05
0.65,7.51091E-05,7.61045E-05,7.43737E-05
0.7,7.55718E-05,7.64454E-05,7.49427E-05
0.75,7.59738E-05,7.67482E-05,7.54274E-05
0.8,7.63273E-05,7.70196E-05,7.5847E-05
0.85,7.66412E-05,7.72647E-05,7.62147E-05
0.9,7.69221E-05,7.74874E-05,7.65404E-05
0.95,7.71755E-05,7.76909E-05,7.68312E-05
1,7.74054E-05,7.78777E-05,7.70929E-05
1.05,7.76151E-05,7.805E-05,7.73298E-05
1.1,7.78074E-05,7.82095E-05,7.75457E-05
1.15,7.79844E-05,7.83577E-05,7.77433E-05
1.2,7.81482E-05,7.84958E-05,7.79251E-05
1.25,7.83001E-05,7.86249E-05,7.80929E-05
1.3,7.84416E-05,7.87459E-05,7.82485E-05
1.35,7.85738E-05,7.88597E-05,7.83932E-05
1.4,7.86975E-05,7.89668E-05,7.85283E-05
1.45,7.88137E-05,7.90678E-05,7.86546E-05
1.5,7.8923E-05,7.91634E-05,7.87732E-05
1.55,7.90262E-05,7.9254E-05,7.88847E-05
1.6,7.91237E-05,7.934E-05,7.89897E-05
1.65,7.92159E-05,7.94217E-05,7.9089E-05
1.7,7.93035E-05,7.94995E-05,7.91829E-05
1.75,7.93867E-05,7.95736E-05,7.92719E-05
1.8,7.94658E-05,7.96444E-05,7.93565E-05
1.85,7.95412E-05,7.97121E-05,7.94369E-05
1.9,7.96132E-05,7.97768E-05,7.95135E-05
1.95,7.96819E-05,7.98388E-05,7.95865E-05
2,7.97477E-05,7.98983E-05,7.96563E-05
