vgs,cgg_23_0
-2,0.000148231
-1.95,0.000147526
-1.9,0.000146802
-1.85,0.000146057
-1.8,0.000145292
-1.75,0.000144506
-1.7,0.0001437
-1.65,0.000142872
-1.6,0.000142024
-1.55,0.000141154
-1.5,0.000140263
-1.45,0.000139351
-1.4,0.000138417
-1.35,0.000137461
-1.3,0.000136484
-1.25,0.000135486
-1.2,0.000134211
-1.15,0.000132766
-1.1,0.000131179
-1.05,0.000129394
-1,0.00012733
-0.95,0.000124858
-0.9,0.000121782
-0.85,0.000117806
-0.8,0.000112511
-0.75,0.000105401
-0.7,9.61336E-05
-0.65,8.49854E-05
-0.6,7.31372E-05
-0.55,6.21267E-05
-0.5,5.29259E-05
-0.45,4.57159E-05
-0.4,4.02265E-05
-0.35,3.6073E-05
-0.3,3.29151E-05
-0.25,3.04988E-05
-0.2,2.86548E-05
-0.15,2.72988E-05
-0.1,2.64469E-05
-0.05,2.62613E-05
1.20737E-15,2.7274E-05
0.05,3.11551E-05
0.1,4.191E-05
0.15,6.3795E-05
0.2,9.17119E-05
0.25,0.000113781
0.3,0.000126784
0.35,0.000133892
0.4,0.000138029
0.45,0.00014072
0.5,0.000142657
0.55,0.000144156
0.6,0.000145371
0.65,0.000146389
0.7,0.000147258
0.75,0.000148012
0.8,0.000148674
0.85,0.000149261
0.9,0.000149787
0.95,0.00015026
1,0.00015069
1.05,0.000151082
1.1,0.000151442
1.15,0.000151773
1.2,0.000152079
1.25,0.000152364
1.3,0.000152629
1.35,0.000152876
1.4,0.000153108
1.45,0.000153326
1.5,0.000153532
1.55,0.000153725
1.6,0.000153909
1.65,0.000154082
1.7,0.000154247
1.75,0.000154404
1.8,0.000154553
1.85,0.000154696
1.9,0.000154832
1.95,0.000154962
2,0.000155086
