vgs,cgs_21_0,cgs_21_2
-2,1.14259E-06,1.14259E-06
-1.95,1.145E-06,1.145E-06
-1.9,1.14749E-06,1.14749E-06
-1.85,1.15005E-06,1.15005E-06
-1.8,1.15269E-06,1.15269E-06
-1.75,1.15541E-06,1.15541E-06
-1.7,1.15821E-06,1.15821E-06
-1.65,1.16111E-06,1.16111E-06
-1.6,1.16409E-06,1.16409E-06
-1.55,1.16718E-06,1.16718E-06
-1.5,1.17037E-06,1.17037E-06
-1.45,1.17368E-06,1.17368E-06
-1.4,1.1771E-06,1.1771E-06
-1.35,1.18064E-06,1.18064E-06
-1.3,1.18432E-06,1.18432E-06
-1.25,1.18814E-06,1.18814E-06
-1.2,1.19211E-06,1.19211E-06
-1.15,1.19624E-06,1.19624E-06
-1.1,1.20054E-06,1.20054E-06
-1.05,1.20502E-06,1.20502E-06
-1,1.2097E-06,1.2097E-06
-0.95,1.21459E-06,1.21459E-06
-0.9,1.21971E-06,1.21971E-06
-0.85,1.22507E-06,1.22507E-06
-0.8,1.23069E-06,1.23069E-06
-0.75,1.2366E-06,1.2366E-06
-0.7,1.24281E-06,1.24281E-06
-0.65,1.24936E-06,1.24935E-06
-0.6,1.25626E-06,1.25625E-06
-0.55,1.26356E-06,1.26354E-06
-0.5,1.27131E-06,1.27124E-06
-0.45,1.27959E-06,1.2794E-06
-0.4,1.28862E-06,1.28806E-06
-0.35,1.29892E-06,1.29732E-06
-0.3,1.31198E-06,1.30746E-06
-0.25,1.33197E-06,1.31924E-06
-0.2,1.37038E-06,1.33499E-06
-0.15,1.45689E-06,1.36155E-06
-0.1,1.6599E-06,1.41823E-06
-0.05,2.1259E-06,1.55418E-06
1.20737E-15,3.2187E-06,1.87966E-06
0.05,5.94843E-06,2.64894E-06
0.1,1.25754E-05,4.5704E-06
0.15,2.52868E-05,9.49489E-06
0.2,4.09744E-05,2.02764E-05
0.25,5.31148E-05,3.61003E-05
0.3,6.01518E-05,5.00654E-05
0.35,6.39455E-05,5.85555E-05
0.4,6.61311E-05,6.30757E-05
0.45,6.75447E-05,6.55902E-05
0.5,6.85611E-05,6.71632E-05
0.55,6.93488E-05,6.82679E-05
0.6,6.99895E-05,6.91116E-05
0.65,7.05269E-05,6.97914E-05
0.7,7.0987E-05,7.0358E-05
0.75,7.13871E-05,7.08407E-05
0.8,7.17391E-05,7.12587E-05
0.85,7.20517E-05,7.16252E-05
0.9,7.23316E-05,7.19498E-05
0.95,7.25841E-05,7.22398E-05
1,7.28133E-05,7.25008E-05
1.05,7.30224E-05,7.27372E-05
1.1,7.32142E-05,7.29526E-05
1.15,7.33909E-05,7.31498E-05
1.2,7.35543E-05,7.33312E-05
1.25,7.37059E-05,7.34987E-05
1.3,7.38472E-05,7.3654E-05
1.35,7.39791E-05,7.37985E-05
1.4,7.41026E-05,7.39334E-05
1.45,7.42186E-05,7.40596E-05
1.5,7.43278E-05,7.41779E-05
1.55,7.44308E-05,7.42893E-05
1.6,7.45282E-05,7.43943E-05
1.65,7.46204E-05,7.44934E-05
1.7,7.47078E-05,7.45872E-05
1.75,7.47909E-05,7.46762E-05
1.8,7.487E-05,7.47607E-05
1.85,7.49453E-05,7.4841E-05
1.9,7.50172E-05,7.49175E-05
1.95,7.50859E-05,7.49905E-05
2,7.51516E-05,7.50602E-05
