vds,ciss_24_0
0,0.104863
0.05,0.0922749
0.1,0.0892098
0.15,0.0868349
0.2,0.0847116
0.25,0.0828049
0.3,0.0811108
0.35,0.0796154
0.4,0.0782977
0.45,0.0771342
0.5,0.0761025
0.55,0.0751831
0.6,0.0743591
0.65,0.0736165
0.7,0.0729437
0.75,0.0723309
0.8,0.0717702
0.85,0.0712548
0.9,0.0707792
0.95,0.0703386
1,0.0699291
1.05,0.0695471
1.1,0.0691899
1.15,0.0688548
1.2,0.0685398
1.25,0.0682429
1.3,0.0679624
1.35,0.0676969
1.4,0.0674452
1.45,0.0672061
1.5,0.0669785
1.55,0.0667616
1.6,0.0665545
1.65,0.0663566
1.7,0.0661672
1.75,0.0659857
1.8,0.0658116
1.85,0.0656444
1.9,0.0654836
1.95,0.0653288
2,0.0651797
