vds,crss_25_0
0,0.0726756
0.05,0.0634015
0.1,0.0605986
0.15,0.0582932
0.2,0.0561978
0.25,0.0543051
0.3,0.0526188
0.35,0.0511284
0.4,0.049814
0.45,0.0486527
0.5,0.0476228
0.55,0.0467046
0.6,0.0458815
0.65,0.0451397
0.7,0.0444674
0.75,0.0438551
0.8,0.0432948
0.85,0.0427798
0.9,0.0423044
0.95,0.0418641
1,0.0414547
1.05,0.041073
1.1,0.0407159
1.15,0.040381
1.2,0.0400661
1.25,0.0397692
1.3,0.0394889
1.35,0.0392235
1.4,0.0389718
1.45,0.0387327
1.5,0.0385052
1.55,0.0382884
1.6,0.0380814
1.65,0.0378835
1.7,0.0376942
1.75,0.0375127
1.8,0.0373386
1.85,0.0371714
1.9,0.0370106
1.95,0.0368559
2,0.0367068
