 v-sweep         i(v_s_17_2)     v(g_17_4)       v(g_17_0)       i(v_s_16_4)     i(v_s_17_3)     i(v_s_13_3)     v(g_11_4)       i(v_s_10_3)     v(g_16_1)       i(v_s_18_2)     v(g_11_3)       i(v_s_12_0)     i(v_s_15_1)     i(v_s_15_2)     i(v_s_10_0)     v(g_11_2)       i(v_s_19_1)     v(g_13_3)       v(g_16_4)       i(v_s_15_0)     v(g_12_1)       v(g_10_1)       v(g_15_2)       i(v_s_13_0)     i(v_s_18_4)     v(g_18_2)       i(v_s_17_4)     i(v_s_13_2)     v(g_12_4)       v(g_18_4)       i(v_s_11_1)     v(g_10_3)       i(v_s_14_0)     i(v_s_10_4)     i(v_s_14_1)     v(g_19_4)       i(v_s_19_0)     i(v_s_14_4)     i(v_s_18_3)     v(g_18_1)       v(g_15_0)       v(g_15_4)       i(v_s_19_2)     v(g_13_4)       v(g_19_0)       v(g_12_0)       v(g_18_0)       i(v_s_11_0)     i(v_s_11_3)     i(v_s_17_1)     i(v_s_12_1)     v(g_12_3)       v(g_15_3)       v(g_10_2)       v(g_12_2)       v(g_16_0)       i(v_s_19_3)     i(v_s_16_1)     i(v_s_13_4)     v(g_17_2)       v(g_16_2)       i(v_s_14_3)     i(v_s_15_3)     v(g_13_1)       v(g_15_1)       v(g_16_3)       i(v_s_12_2)     i(v_s_18_1)     v(g_11_0)       i(v_s_12_3)     v(g_19_3)       v(g_17_3)       i(v_s_14_2)     v(g_14_2)       i(v_s_16_3)     v(g_13_0)       i(v_s_10_1)     v(g_14_3)       i(v_s_16_0)     i(v_s_12_4)     v(g_14_1)       v(g_14_4)       v(g_11_1)       v(g_14_0)       i(v_s_19_4)     i(v_s_11_2)     i(v_s_17_0)     v(g_19_1)       i(v_s_18_0)     v(g_13_2)       i(v_s_13_1)     v(g_10_4)       i(v_s_10_2)     v(g_18_3)       v(g_19_2)       v(g_10_0)       i(v_s_11_4)     v(g_17_1)       i(v_s_16_2)     i(v_s_15_4)    
-5.00000000e-01 -5.00100987e-13 -5.00000000e-01 -5.00000000e-01  6.90775504e-20 -2.50100965e-13 -2.50100485e-13 -5.00000000e-01 -2.50100982e-13 -5.00000000e-01 -5.00100498e-13 -5.00000000e-01 -1.00010050e-12 -7.50100100e-13 -5.00100099e-13 -1.00010100e-12 -5.00000000e-01 -7.50100499e-13 -5.00000000e-01 -5.00000000e-01 -1.00010010e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -1.00010050e-12  1.05511653e-20 -5.00000000e-01  7.75408129e-20 -5.00100496e-13 -5.00000000e-01 -5.00000000e-01 -7.50100997e-13 -5.00000000e-01 -1.00010010e-12  3.28548940e-20 -7.50100100e-13 -5.00000000e-01 -1.00010050e-12  3.01769880e-21 -2.50100490e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00100498e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -1.00010100e-12 -2.50100980e-13 -7.50100993e-13 -7.50100498e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100490e-13 -7.50100994e-13  2.49074466e-20 -5.00000000e-01 -5.00000000e-01 -2.50100093e-13 -2.50100093e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00100496e-13 -7.50100499e-13 -5.00000000e-01 -2.50100486e-13 -5.00000000e-01 -5.00000000e-01 -5.00100100e-13 -5.00000000e-01 -2.50100968e-13 -5.00000000e-01 -7.50100997e-13 -5.00000000e-01 -1.00010100e-12  2.21933954e-20 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  1.18277927e-20 -5.00100994e-13 -1.00010100e-12 -5.00000000e-01 -1.00010050e-12 -5.00000000e-01 -7.50100498e-13 -5.00000000e-01 -5.00100995e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  3.68376513e-20 -5.00000000e-01 -5.00100988e-13  3.40893264e-21 
-4.00000000e-01 -5.00100940e-13 -4.00000000e-01 -4.00000000e-01  3.15481963e-19 -2.50100860e-13 -2.50100451e-13 -4.00000000e-01 -2.50100937e-13 -4.00000000e-01 -5.00100492e-13 -4.00000000e-01 -1.00010050e-12 -7.50100099e-13 -5.00100098e-13 -1.00010099e-12 -4.00000000e-01 -7.50100495e-13 -4.00000000e-01 -4.00000000e-01 -1.00010010e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -1.00010049e-12  4.81879071e-20 -4.00000000e-01  3.54134269e-19 -5.00100481e-13 -4.00000000e-01 -4.00000000e-01 -7.50100986e-13 -4.00000000e-01 -1.00010010e-12  1.50050582e-19 -7.50100099e-13 -4.00000000e-01 -1.00010050e-12  1.37820399e-20 -2.50100476e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -5.00100491e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -1.00010099e-12 -2.50100930e-13 -7.50100969e-13 -7.50100492e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100474e-13 -7.50100973e-13  1.13754042e-19 -4.00000000e-01 -4.00000000e-01 -2.50100089e-13 -2.50100089e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -5.00100483e-13 -7.50100496e-13 -4.00000000e-01 -2.50100456e-13 -4.00000000e-01 -4.00000000e-01 -5.00100098e-13 -4.00000000e-01 -2.50100875e-13 -4.00000000e-01 -7.50100987e-13 -4.00000000e-01 -1.00010099e-12  1.01358782e-19 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  5.40183532e-20 -5.00100971e-13 -1.00010098e-12 -4.00000000e-01 -1.00010050e-12 -4.00000000e-01 -7.50100490e-13 -4.00000000e-01 -5.00100975e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  1.68240111e-19 -4.00000000e-01 -5.00100947e-13  1.55688320e-20 
-3.00000000e-01 -5.00082320e-13 -3.00000000e-01 -3.00000000e-01  8.66251463e-17 -2.50061451e-13 -2.50087941e-13 -3.00000000e-01 -2.50084348e-13 -3.00000000e-01 -5.00098043e-13 -3.00000000e-01 -1.00009900e-12 -7.50099747e-13 -5.00099384e-13 -1.00009870e-12 -3.00000000e-01 -7.50099057e-13 -3.00000000e-01 -3.00000000e-01 -1.00009991e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -1.00009879e-12  1.32315389e-17 -3.00000000e-01  9.72383100e-17 -5.00094632e-13 -3.00000000e-01 -3.00000000e-01 -7.50096361e-13 -3.00000000e-01 -1.00009994e-12  4.12010151e-17 -7.50099792e-13 -3.00000000e-01 -1.00009969e-12  3.78432604e-18 -2.50095211e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -5.00097718e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -1.00009838e-12 -2.50082229e-13 -7.50091212e-13 -7.50097823e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50094540e-13 -7.50092400e-13  3.12347838e-17 -3.00000000e-01 -3.00000000e-01 -2.50098669e-13 -2.50098476e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -5.00095322e-13 -7.50099231e-13 -3.00000000e-01 -2.50089369e-13 -3.00000000e-01 -3.00000000e-01 -5.00099472e-13 -3.00000000e-01 -2.50065958e-13 -3.00000000e-01 -7.50096919e-13 -3.00000000e-01 -1.00009615e-12  2.78312715e-17 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  1.48324753e-17 -5.00092142e-13 -1.00009546e-12 -3.00000000e-01 -1.00009979e-12 -3.00000000e-01 -7.50097455e-13 -3.00000000e-01 -5.00093178e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  4.61955112e-17 -3.00000000e-01 -5.00084523e-13  4.27495034e-18 
-2.00000000e-01 -4.99394340e-13 -2.00000000e-01 -2.00000000e-01  3.06722305e-15 -2.48645460e-13 -2.49638419e-13 -2.00000000e-01 -2.49488275e-13 -2.00000000e-01 -5.00007551e-13 -2.00000000e-01 -1.00004178e-12 -7.50086467e-13 -5.00073012e-13 -1.00001069e-12 -2.00000000e-01 -7.50044781e-13 -2.00000000e-01 -2.00000000e-01 -1.00009270e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -1.00003346e-12  4.68518135e-16 -2.00000000e-01  3.44301394e-15 -4.99878496e-13 -2.00000000e-01 -2.00000000e-01 -7.49921834e-13 -2.00000000e-01 -1.00009366e-12  1.45885906e-15 -7.50088189e-13 -2.00000000e-01 -1.00006875e-12  1.34005029e-16 -2.49906023e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -4.99995271e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -9.99997972e-13 -2.49410253e-13 -7.49722986e-13 -7.49997129e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.49881309e-13 -7.49768845e-13  1.10599030e-15 -2.00000000e-01 -2.00000000e-01 -2.50047654e-13 -2.50040545e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -4.99904626e-13 -7.50051474e-13 -2.00000000e-01 -2.49690990e-13 -2.00000000e-01 -2.00000000e-01 -5.00076347e-13 -2.00000000e-01 -2.48811343e-13 -2.00000000e-01 -7.49943394e-13 -2.00000000e-01 -9.99910584e-13  9.85475564e-16 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  5.25206005e-16 -4.99765891e-13 -9.99883540e-13 -2.00000000e-01 -1.00007266e-12 -2.00000000e-01 -7.49982886e-13 -2.00000000e-01 -4.99805070e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  1.63570582e-15 -2.00000000e-01 -4.99477662e-13  1.51378300e-16 
-1.00000000e-01 -4.73380064e-13 -1.00000000e-01 -1.00000000e-01  1.08517145e-13 -1.96555759e-13 -2.33100153e-13 -1.00000000e-01 -2.27559817e-13 -1.00000000e-01 -4.96585468e-13 -1.00000000e-01 -9.97796033e-13 -7.49573706e-13 -4.99075611e-13 -9.96556720e-13 -1.00000000e-01 -7.47949285e-13 -1.00000000e-01 -1.00000000e-01 -9.99809694e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -9.97469430e-13  1.65793160e-14 -1.00000000e-01  1.21812485e-13 -4.91705200e-13 -1.00000000e-01 -1.00000000e-01 -7.43184050e-13 -1.00000000e-01 -9.99847219e-13  5.16167152e-14 -7.49640207e-13 -1.00000000e-01 -9.98854539e-13  4.74308415e-15 -2.42945438e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -4.96121064e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -9.96057786e-13 -2.24689490e-13 -7.35507569e-13 -7.46109551e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.42036143e-13 -7.37277971e-13  3.91356268e-14 -1.00000000e-01 -1.00000000e-01 -2.48170385e-13 -2.47908820e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -4.92693331e-13 -7.48207670e-13 -1.00000000e-01 -2.35034297e-13 -1.00000000e-01 -1.00000000e-01 -4.99201734e-13 -1.00000000e-01 -2.02658176e-13 -1.00000000e-01 -7.44016405e-13 -1.00000000e-01 -9.92628485e-13  3.48711944e-14 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  1.85853138e-14 -4.87429163e-13 -9.91567192e-13 -1.00000000e-01 -9.99008000e-13 -1.00000000e-01 -7.45559683e-13 -1.00000000e-01 -4.88910671e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  5.78738328e-14 -1.00000000e-01 -4.76530730e-13  5.35800799e-15 
-2.77555756e-17  5.08109871e-13 -2.77555756e-17 -2.77555756e-17  3.82362920e-12  1.71399696e-12  3.73895389e-13 -2.77555756e-17  5.76926536e-13 -2.77555756e-17 -3.67392725e-13 -2.77555756e-17 -9.09764345e-13 -7.29792672e-13 -4.61394636e-13 -8.61189162e-13 -2.77555756e-17 -6.67153349e-13 -2.77555756e-17 -2.77555756e-17 -9.88710457e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -8.96961330e-13  5.84870558e-13 -2.77555756e-17  4.29210117e-12 -1.83184820e-13 -2.77555756e-17 -2.77555756e-17 -4.83485514e-13 -2.77555756e-17 -9.90182187e-13  1.81932356e-12 -7.32358166e-13 -2.77555756e-17 -9.51254259e-13  1.67550112e-13  1.25738486e-14 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -3.49859422e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -8.41634281e-13  6.82238494e-13 -1.87668509e-13 -5.96232536e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  4.59557798e-14 -2.55900105e-13  1.38023155e-12 -2.77555756e-17 -2.77555756e-17 -1.79190654e-13 -1.69579145e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.20486017e-13 -6.77116252e-13 -2.77555756e-17  3.02902542e-13 -2.77555756e-17 -2.77555756e-17 -4.66159616e-13 -2.77555756e-17  1.49015221e-12 -2.77555756e-17 -5.15568874e-13 -2.77555756e-17 -7.07259508e-13  1.22983262e-12 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  6.55637061e-13 -2.18954744e-14 -6.65668297e-13 -2.77555756e-17 -9.57270463e-13 -2.77555756e-17 -5.75032777e-13 -2.77555756e-17 -7.78043152e-14 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  2.03987016e-12 -2.77555756e-17  3.89231331e-13  1.89272401e-13 
 1.00000000e-01  3.70921864e-11  1.00000000e-01  1.00000000e-01  1.31724403e-10  7.06534401e-11  2.23623927e-11  1.00000000e-01  2.96459368e-11  1.00000000e-01  4.46643979e-12  1.00000000e-01  2.52094701e-12  3.01977790e-14  9.54497018e-13  4.40812167e-12  1.00000000e-01  2.42682826e-12  1.00000000e-01  1.00000000e-01 -5.54796151e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  3.01998667e-12  2.02867892e-11  1.00000000e-01  1.47871954e-10  1.13505848e-11  1.00000000e-01  1.00000000e-01  9.44032063e-12  1.00000000e-01 -6.12336906e-13  6.27942288e-11 -6.83797911e-14  1.00000000e-01  9.04766035e-13  5.85754104e-12  9.27912773e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01  5.12267067e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  5.16948155e-12  3.34537714e-11  2.07293432e-11  5.13930838e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.04903367e-11  1.81233828e-11  4.78036308e-11  1.00000000e-01  1.00000000e-01  2.33676095e-12  2.68740614e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01  9.95564606e-12  2.04522730e-12  1.00000000e-01  1.97893683e-11  1.00000000e-01  1.00000000e-01  7.75422179e-13  1.00000000e-01  6.25708517e-11  1.00000000e-01  8.21396908e-12  1.00000000e-01  1.03936328e-11  4.25930427e-11  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  2.27422013e-11  1.73490364e-11  1.20119195e-11  1.00000000e-01  6.70145262e-13  1.00000000e-01  5.95078372e-12  1.00000000e-01  1.52619856e-11  1.00000000e-01  1.00000000e-01  1.00000000e-01  7.04103389e-11  1.00000000e-01  3.26591331e-11  6.61698028e-12 
 2.00000000e-01  1.31128432e-09  2.00000000e-01  2.00000000e-01  4.04109532e-09  2.34826692e-09  7.63663545e-10  2.00000000e-01  9.96395517e-10  2.00000000e-01  1.76330464e-10  2.00000000e-01  1.31745784e-10  2.85490237e-11  5.25326266e-11  2.01540311e-10  2.00000000e-01  1.16327972e-10  2.00000000e-01  2.00000000e-01  1.61005517e-11  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.50580394e-10  6.43550543e-10  2.00000000e-01  4.54456436e-09  4.19583854e-10  2.00000000e-01  2.00000000e-01  3.70396334e-10  2.00000000e-01  1.38906654e-11  1.94474394e-09  2.48470044e-11  2.00000000e-01  7.10434905e-11  1.93346193e-10  3.23434474e-10  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.99762742e-10  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.30101508e-10  1.12437356e-09  7.77891084e-10  2.15427110e-10  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  3.64793040e-10  6.83190395e-10  1.50633282e-09  2.00000000e-01  2.00000000e-01  9.03236269e-11  1.02608387e-10  2.00000000e-01  2.00000000e-01  2.00000000e-01  3.70004558e-10  1.02244055e-10  2.00000000e-01  6.76318126e-10  2.00000000e-01  2.00000000e-01  4.60019653e-11  2.00000000e-01  2.07854469e-09  2.00000000e-01  3.25625276e-10  2.00000000e-01  4.24067075e-10  1.34056872e-09  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  7.22253175e-10  6.25996539e-10  4.84546536e-10  2.00000000e-01  6.21618414e-11  2.00000000e-01  2.45265791e-10  2.00000000e-01  5.52447697e-10  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.18434506e-09  2.00000000e-01  1.15594738e-09  2.18446988e-10 
 3.00000000e-01  3.48463854e-08  3.00000000e-01  3.00000000e-01  8.38420742e-08  5.67552041e-08  1.95374406e-08  3.00000000e-01  2.41975953e-08  3.00000000e-01  5.00516404e-09  3.00000000e-01  4.21530597e-09  9.69402597e-10  1.64997563e-09  6.25246968e-09  3.00000000e-01  3.58512576e-09  3.00000000e-01  3.00000000e-01  5.92635951e-10  3.00000000e-01  3.00000000e-01  3.00000000e-01  4.83400185e-09  1.46940820e-08  3.00000000e-01  9.76179957e-08  1.17657264e-08  3.00000000e-01  3.00000000e-01  1.08604668e-08  3.00000000e-01  5.15680593e-10  4.15623923e-08  8.46191344e-10  3.00000000e-01  2.33117650e-09  4.92358052e-09  8.34669792e-09  3.00000000e-01  3.00000000e-01  3.00000000e-01  5.72172380e-09  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  7.17944355e-09  2.78967569e-08  2.23321637e-08  6.46678723e-09  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  9.55385904e-09  1.94309081e-08  3.43269541e-08  3.00000000e-01  3.00000000e-01  2.58845636e-09  2.94580278e-09  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.02777394e-08  3.13460093e-09  3.00000000e-01  1.70430015e-08  3.00000000e-01  3.00000000e-01  1.44495130e-09  3.00000000e-01  4.91526451e-08  3.00000000e-01  9.46264440e-09  3.00000000e-01  1.28922924e-08  2.98007366e-08  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.68986905e-08  1.70287650e-08  1.48229760e-08  3.00000000e-01  2.03531511e-09  3.00000000e-01  7.40597337e-09  3.00000000e-01  1.48228601e-08  3.00000000e-01  3.00000000e-01  3.00000000e-01  4.83142972e-08  3.00000000e-01  3.02876696e-08  5.58411009e-09 
 4.00000000e-01  5.28563118e-07  4.00000000e-01  4.00000000e-01  7.35352398e-07  7.54026215e-07  2.85897215e-07  4.00000000e-01  2.73225595e-07  4.00000000e-01  7.63658469e-08  4.00000000e-01  7.88020288e-08  2.05291553e-08  3.12576095e-08  1.09309912e-07  4.00000000e-01  6.86936082e-08  4.00000000e-01  4.00000000e-01  1.38420803e-08  4.00000000e-01  4.00000000e-01  4.00000000e-01  9.71335069e-08  1.53876836e-07  4.00000000e-01  1.09633684e-06  1.95230047e-07  4.00000000e-01  4.00000000e-01  1.91410944e-07  4.00000000e-01  1.19217895e-08  3.76062019e-07  1.76556280e-08  4.00000000e-01  4.87035373e-08  6.81347980e-08  1.07931917e-07  4.00000000e-01  4.00000000e-01  4.00000000e-01  9.89427785e-08  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.38507187e-07  3.85772642e-07  3.77449926e-07  1.08284562e-07  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.45633047e-07  2.90135591e-07  4.28286107e-07  4.00000000e-01  4.00000000e-01  4.18910094e-08  4.92270997e-08  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.50708839e-07  5.46141289e-08  4.00000000e-01  2.12139213e-07  4.00000000e-01  4.00000000e-01  2.67871783e-08  4.00000000e-01  5.35326735e-07  4.00000000e-01  1.47087718e-07  4.00000000e-01  2.16517475e-07  3.01519039e-07  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.19114706e-07  2.69296366e-07  2.74452806e-07  4.00000000e-01  3.95514898e-08  4.00000000e-01  1.36274020e-07  4.00000000e-01  1.99731016e-07  4.00000000e-01  4.00000000e-01  4.00000000e-01  5.62748895e-07  4.00000000e-01  3.92507201e-07  8.11139630e-08 
