vgs,cgd_20_1,cgd_20_0,cgd_20_2
-2,0.000201985,0.000201997,0.000201999
-1.95,0.000201987,0.000201999,0.000202001
-1.9,0.000201988,0.000202001,0.000202002
-1.85,0.00020199,0.000202002,0.000202004
-1.8,0.000201992,0.000202004,0.000202006
-1.75,0.000201994,0.000202006,0.000202008
-1.7,0.000201996,0.000202008,0.00020201
-1.65,0.000201998,0.00020201,0.000202012
-1.6,0.000202,0.000202012,0.000202014
-1.55,0.000202002,0.000202014,0.000202016
-1.5,0.000202004,0.000202017,0.000202018
-1.45,0.000202007,0.000202019,0.000202021
-1.4,0.000202009,0.000202022,0.000202023
-1.35,0.000202012,0.000202024,0.000202026
-1.3,0.000202015,0.000202027,0.000202029
-1.25,0.000202018,0.00020203,0.000202032
-1.2,0.000202021,0.000202033,0.000202035
-1.15,0.000202025,0.000202037,0.000202039
-1.1,0.000202028,0.00020204,0.000202042
-1.05,0.000202032,0.000202044,0.000202046
-1,0.000202036,0.000202048,0.00020205
-0.95,0.000202041,0.000202053,0.000202055
-0.9,0.000202045,0.000202058,0.000202059
-0.85,0.00020205,0.000202063,0.000202064
-0.8,0.000202056,0.000202068,0.00020207
-0.75,0.000202062,0.000202074,0.000202076
-0.7,0.000202069,0.000202081,0.000202083
-0.65,0.000202076,0.000202088,0.00020209
-0.6,0.000202084,0.000202096,0.000202098
-0.55,0.000202093,0.000202105,0.000202107
-0.5,0.000202102,0.000202115,0.000202116
-0.45,0.000202113,0.000202126,0.000202127
-0.4,0.000202126,0.000202138,0.00020214
-0.35,0.00020214,0.000202152,0.000202154
-0.3,0.000202156,0.000202168,0.00020217
-0.25,0.000202174,0.000202186,0.000202188
-0.2,0.000202193,0.000202205,0.000202207
-0.15,0.000202212,0.000202224,0.000202226
-0.1,0.000202232,0.000202244,0.000202246
-0.05,0.000202252,0.000202264,0.000202266
1.20737E-15,0.00020227,0.000202282,0.000202284
0.05,0.000202284,0.000202296,0.000202298
0.1,0.000202294,0.000202307,0.000202308
0.15,0.000202302,0.000202314,0.000202315
0.2,0.000202306,0.000202318,0.00020232
0.25,0.000202308,0.00020232,0.000202322
0.3,0.000202309,0.000202321,0.000202323
0.35,0.000202309,0.000202321,0.000202323
0.4,0.000202308,0.000202321,0.000202322
0.45,0.000202307,0.00020232,0.000202321
0.5,0.000202306,0.000202318,0.00020232
0.55,0.000202304,0.000202317,0.000202318
0.6,0.000202303,0.000202315,0.000202317
0.65,0.000202301,0.000202313,0.000202315
0.7,0.000202299,0.000202311,0.000202313
0.75,0.000202297,0.000202309,0.000202311
0.8,0.000202295,0.000202307,0.000202309
0.85,0.000202293,0.000202305,0.000202307
0.9,0.000202291,0.000202303,0.000202305
0.95,0.000202289,0.000202301,0.000202303
1,0.000202287,0.000202299,0.000202301
1.05,0.000202285,0.000202297,0.000202299
1.1,0.000202282,0.000202295,0.000202296
1.15,0.00020228,0.000202293,0.000202294
1.2,0.000202278,0.00020229,0.000202292
1.25,0.000202276,0.000202288,0.00020229
1.3,0.000202274,0.000202286,0.000202288
1.35,0.000202272,0.000202284,0.000202286
1.4,0.00020227,0.000202282,0.000202284
1.45,0.000202268,0.00020228,0.000202281
1.5,0.000202265,0.000202278,0.000202279
1.55,0.000202263,0.000202275,0.000202277
1.6,0.000202261,0.000202273,0.000202275
1.65,0.000202259,0.000202271,0.000202273
1.7,0.000202257,0.000202269,0.000202271
1.75,0.000202255,0.000202267,0.000202269
1.8,0.000202252,0.000202265,0.000202266
1.85,0.00020225,0.000202262,0.000202264
1.9,0.000202248,0.00020226,0.000202262
1.95,0.000202246,0.000202258,0.00020226
2,0.000202244,0.000202256,0.000202258
