vgs,cgg_23_0
-2,0.000403504
-1.95,0.000403508
-1.9,0.000403512
-1.85,0.000403516
-1.8,0.000403521
-1.75,0.000403525
-1.7,0.00040353
-1.65,0.000403535
-1.6,0.00040354
-1.55,0.000403545
-1.5,0.000403551
-1.45,0.000403557
-1.4,0.000403563
-1.35,0.000403569
-1.3,0.000403575
-1.25,0.000403582
-1.2,0.000403589
-1.15,0.000403597
-1.1,0.000403605
-1.05,0.000403613
-1,0.000403622
-0.95,0.000403631
-0.9,0.000403641
-0.85,0.000403652
-0.8,0.000403663
-0.75,0.000403675
-0.7,0.000403687
-0.65,0.000403701
-0.6,0.000403716
-0.55,0.000403732
-0.5,0.00040375
-0.45,0.000403769
-0.4,0.00040379
-0.35,0.000403813
-0.3,0.000403838
-0.25,0.000403866
-0.2,0.000403894
-0.15,0.000403921
-0.1,0.000403948
-0.05,0.000403974
1.20737E-15,0.000403997
0.05,0.000404015
0.1,0.000404027
0.15,0.000404035
0.2,0.000404038
0.25,0.00040404
0.3,0.000404039
0.35,0.000404038
0.4,0.000404035
0.45,0.000404032
0.5,0.000404029
0.55,0.000404025
0.6,0.000404022
0.65,0.000404018
0.7,0.000404014
0.75,0.00040401
0.8,0.000404006
0.85,0.000404001
0.9,0.000403997
0.95,0.000403993
1,0.000403989
1.05,0.000403984
1.1,0.00040398
1.15,0.000403976
1.2,0.000403972
1.25,0.000403967
1.3,0.000403963
1.35,0.000403959
1.4,0.000403954
1.45,0.00040395
1.5,0.000403946
1.55,0.000403941
1.6,0.000403937
1.65,0.000403933
1.7,0.000403928
1.75,0.000403924
1.8,0.00040392
1.85,0.000403915
1.9,0.000403911
1.95,0.000403907
2,0.000403902
