vgs,cgg_23_1,cgg_23_2
-2,0.000149929,0.000156277
-1.9,0.000150087,0.000156654
-1.85,0.000150174,0.000156789
-1.8,0.000150267,0.000156879
-1.75,0.000150366,0.000156913
-1.7,0.000150472,0.000156883
-1.65,0.000150584,0.000156775
-1.6,0.000150703,0.000156577
-1.55,0.00015083,0.000156275
-1.5,0.000150965,0.000155854
-1.45,0.000151107,0.000155297
-1.4,0.000151259,0.000154586
-1.35,0.000151419,0.000153702
-1.3,0.000151588,0.000152625
-1.25,0.000151766,0.000151336
-1.2,0.000151954,0.000149811
-1.15,0.000152152,0.000148031
-1.1,0.00015236,0.000145973
-1.05,0.000152578,0.000143617
-1,0.000152806,0.000140945
-0.95,0.000153044,0.000137895
-0.9,0.000153292,0.000134461
-0.85,0.000153549,0.000130605
-0.8,0.000153816,0.000126262
-0.75,0.00015409,0.000121318
-0.7,0.000154372,0.000115566
-0.65,0.000154661,0.000108675
-0.6,0.000154954,0.00010033
-0.55,0.000155252,9.19495E-05
-0.5,0.00015555,8.62693E-05
-0.45,0.000155848,8.08118E-05
-0.4,0.000156142,7.57778E-05
-0.35,0.000156429,7.13421E-05
-0.3,0.000156705,6.75012E-05
-0.25,0.000156965,6.41843E-05
-0.2,0.000157114,6.1275E-05
-0.15,0.00015719,5.87205E-05
-0.1,0.000157228,5.6472E-05
-0.05,0.000157213,5.44744E-05
1.20737E-15,0.000157133,5.26823E-05
0.05,0.000156973,5.10594E-05
0.1,0.000156721,4.95782E-05
0.15,0.000156365,4.82182E-05
0.2,0.000155893,4.69638E-05
0.25,0.000155293,4.58027E-05
0.3,0.000154549,4.47245E-05
0.35,0.000153646,4.37203E-05
0.4,0.000152567,4.27823E-05
0.45,0.000151295,4.19039E-05
0.5,0.00014981,4.10792E-05
0.55,0.000148093,4.03029E-05
0.6,0.000146125,3.95707E-05
0.65,0.000143888,3.88784E-05
0.7,0.000141365,3.82227E-05
0.75,0.000138526,3.76005E-05
0.8,0.000135332,3.70089E-05
0.85,0.000131771,3.64456E-05
0.9,0.000127802,3.59083E-05
0.95,0.000123357,3.53952E-05
1,0.000118315,3.49044E-05
1.05,0.000112457,3.44344E-05
1.1,0.000105463,3.39837E-05
1.15,9.71156E-05,3.35511E-05
1.2,8.95373E-05,3.31353E-05
1.25,8.41148E-05,3.27354E-05
1.3,7.88659E-05,3.23502E-05
1.35,7.40597E-05,3.1979E-05
1.4,6.99122E-05,3.16208E-05
1.45,6.71372E-05,3.1275E-05
1.5,7.10411E-05,3.09408E-05
1.55,9.96627E-05,3.06176E-05
1.6,0.000127013,3.03048E-05
1.65,0.000133074,3.00019E-05
1.7,0.000134215,2.97083E-05
1.75,0.000134692,2.94235E-05
1.8,0.000135044,2.91472E-05
1.85,0.000135341,2.88789E-05
1.9,0.000135597,2.86183E-05
1.95,0.000135818,2.83649E-05
2,0.00013601,2.81184E-05
