vgs,cgb_22_0,cgb_22_2,cgb_22_1
-2,0.000149348,0.000154061,0.000147712
-1.95,0.000149521,0.000154258,0.000147782
-1.9,0.000149703,0.000154425,0.000147858
-1.85,0.000149894,0.000154554,0.000147939
-1.8,0.000150095,0.000154637,0.000148025
-1.75,0.000150305,0.000154665,0.000148117
-1.7,0.000150525,0.000154627,0.000148216
-1.65,0.000150753,0.000154512,0.000148321
-1.6,0.00015099,0.000154306,0.000148433
-1.55,0.000151235,0.000153997,0.000148551
-1.5,0.000151488,0.000153567,0.000148678
-1.45,0.000151747,0.000153001,0.000148812
-1.4,0.000152012,0.000152282,0.000148954
-1.35,0.00015228,0.000151389,0.000149105
-1.3,0.00015255,0.000150302,0.000149265
-1.25,0.000152821,0.000149002,0.000149433
-1.2,0.000153089,0.000147467,0.00014961
-1.15,0.000153351,0.000145675,0.000149797
-1.1,0.000153603,0.000143606,0.000149993
-1.05,0.000153843,0.000141238,0.000150199
-1,0.000154063,0.000138552,0.000150413
-0.95,0.00015426,0.000135488,0.000150637
-0.9,0.000154426,0.000132039,0.00015087
-0.85,0.000154555,0.000128167,0.000151111
-0.8,0.000154638,0.000123806,0.00015136
-0.75,0.000154665,0.000118844,0.000151616
-0.7,0.000154626,0.000113072,0.000151878
-0.65,0.00015451,0.000106159,0.000152145
-0.6,0.000154303,9.77902E-05,0.000152415
-0.55,0.000153992,8.93834E-05,0.000152685
-0.5,0.000153561,8.3674E-05,0.000152955
-0.45,0.000152994,7.81842E-05,0.00015322
-0.4,0.000152272,7.31141E-05,0.000153478
-0.35,0.000151376,6.86378E-05,0.000153725
-0.3,0.000150288,6.47515E-05,0.000153955
-0.25,0.000148985,6.13838E-05,0.000154165
-0.2,0.000147361,5.84182E-05,0.000154257
-0.15,0.000145444,5.58031E-05,0.000154273
-0.1,0.000143256,5.34917E-05,0.000154247
-0.05,0.000140777,5.14329E-05,0.000154172
1.20737E-15,0.00013799,4.95856E-05,0.000154036
0.05,0.000134836,4.7917E-05,0.000153831
0.1,0.000131312,4.64007E-05,0.000153544
0.15,0.000127382,4.50152E-05,0.000153162
0.2,0.000122985,4.3743E-05,0.000152673
0.25,0.000118014,4.25695E-05,0.000152059
0.3,0.000112274,4.14828E-05,0.000151307
0.35,0.000105453,4.04726E-05,0.000150398
0.4,9.7244E-05,3.95305E-05,0.000149316
0.45,8.87838E-05,3.8649E-05,0.00014804
0.5,8.30751E-05,3.78221E-05,0.000146552
0.55,7.76379E-05,3.70441E-05,0.000144834
0.6,7.25903E-05,3.63106E-05,0.000142865
0.65,6.81168E-05,3.56174E-05,0.000140627
0.7,6.42234E-05,3.4961E-05,0.000138103
0.75,6.08443E-05,3.43381E-05,0.000135264
0.8,5.78993E-05,3.37461E-05,0.000132069
0.85,5.53148E-05,3.31824E-05,0.000128507
0.9,5.30292E-05,3.26448E-05,0.000124538
0.95,5.09923E-05,3.21314E-05,0.000120094
1,4.91641E-05,3.16404E-05,0.000115051
1.05,4.75124E-05,3.11702E-05,0.000109193
1.1,4.60112E-05,3.07194E-05,0.000102199
1.15,4.46393E-05,3.02867E-05,9.38511E-05
1.2,4.33795E-05,2.98708E-05,8.62728E-05
1.25,4.22175E-05,2.94707E-05,8.08499E-05
1.3,4.11412E-05,2.90855E-05,7.55987E-05
1.35,4.01407E-05,2.87142E-05,7.0772E-05
1.4,3.92076E-05,2.8356E-05,6.64377E-05
1.45,3.83346E-05,2.80101E-05,6.20276E-05
1.5,3.75155E-05,2.76759E-05,5.32842E-05
1.55,3.67451E-05,2.73526E-05,2.77157E-05
1.6,3.60186E-05,2.70398E-05,6.43255E-06
1.65,3.5332E-05,2.67368E-05,1.9802E-06
1.7,3.46818E-05,2.64432E-05,1.25415E-06
1.75,3.40649E-05,2.61584E-05,1.01997E-06
1.8,3.34786E-05,2.58821E-05,8.71769E-07
1.85,3.29201E-05,2.56138E-05,7.56592E-07
1.9,3.23861E-05,2.53531E-05,6.63023E-07
1.95,3.1861E-05,2.50997E-05,5.85757E-07
2,3.12092E-05,2.48532E-05,5.21224E-07
