vgs,cgs_21_2,cgs_21_0
-2,1.05525E-06,1.05525E-06
-1.95,1.05692E-06,1.05692E-06
-1.9,1.0586E-06,1.0586E-06
-1.85,1.0603E-06,1.0603E-06
-1.8,1.06202E-06,1.06202E-06
-1.75,1.06377E-06,1.06377E-06
-1.7,1.06554E-06,1.06554E-06
-1.65,1.06733E-06,1.06733E-06
-1.6,1.06914E-06,1.06914E-06
-1.55,1.07098E-06,1.07098E-06
-1.5,1.07284E-06,1.07284E-06
-1.45,1.07473E-06,1.07473E-06
-1.4,1.07664E-06,1.07664E-06
-1.35,1.07857E-06,1.07857E-06
-1.3,1.08054E-06,1.08054E-06
-1.25,1.08253E-06,1.08253E-06
-1.2,1.08455E-06,1.08455E-06
-1.15,1.0866E-06,1.0866E-06
-1.1,1.08867E-06,1.08867E-06
-1.05,1.09078E-06,1.09078E-06
-1,1.09291E-06,1.09291E-06
-0.95,1.09508E-06,1.09508E-06
-0.9,1.09727E-06,1.09727E-06
-0.85,1.0995E-06,1.0995E-06
-0.8,1.10176E-06,1.10176E-06
-0.75,1.10406E-06,1.10406E-06
-0.7,1.10639E-06,1.10639E-06
-0.65,1.10875E-06,1.10875E-06
-0.6,1.11114E-06,1.11114E-06
-0.55,1.11356E-06,1.11356E-06
-0.5,1.11602E-06,1.11602E-06
-0.45,1.1185E-06,1.1185E-06
-0.4,1.121E-06,1.121E-06
-0.35,1.12352E-06,1.12352E-06
-0.3,1.12603E-06,1.12603E-06
-0.25,1.12851E-06,1.12851E-06
-0.2,1.13093E-06,1.13093E-06
-0.15,1.13322E-06,1.13322E-06
-0.1,1.13531E-06,1.13531E-06
-0.05,1.13711E-06,1.13711E-06
1.20737E-15,1.13857E-06,1.13857E-06
0.05,1.13966E-06,1.13966E-06
0.1,1.14044E-06,1.14044E-06
0.15,1.14097E-06,1.14097E-06
0.2,1.14132E-06,1.14132E-06
0.25,1.14155E-06,1.14155E-06
0.3,1.14171E-06,1.14171E-06
0.35,1.14181E-06,1.14181E-06
0.4,1.14188E-06,1.14188E-06
0.45,1.14193E-06,1.14193E-06
0.5,1.14197E-06,1.14197E-06
0.55,1.142E-06,1.142E-06
0.6,1.14202E-06,1.14202E-06
0.65,1.14203E-06,1.14203E-06
0.7,1.14204E-06,1.14204E-06
0.75,1.14205E-06,1.14205E-06
0.8,1.14206E-06,1.14206E-06
0.85,1.14207E-06,1.14207E-06
0.9,1.14207E-06,1.14207E-06
0.95,1.14207E-06,1.14207E-06
1,1.14208E-06,1.14208E-06
1.05,1.14208E-06,1.14208E-06
1.1,1.14208E-06,1.14208E-06
1.15,1.14208E-06,1.14208E-06
1.2,1.14209E-06,1.14209E-06
1.25,1.14209E-06,1.14209E-06
1.3,1.14209E-06,1.14209E-06
1.35,1.14209E-06,1.14209E-06
1.4,1.14209E-06,1.14209E-06
1.45,1.14209E-06,1.14209E-06
1.5,1.14209E-06,1.14209E-06
1.55,1.14209E-06,1.14209E-06
1.6,1.14209E-06,1.14209E-06
1.65,1.14209E-06,1.14209E-06
1.7,1.14209E-06,1.14209E-06
1.75,1.14209E-06,1.1421E-06
1.8,1.14209E-06,1.14213E-06
1.85,1.14209E-06,1.14249E-06
1.9,1.14209E-06,1.14609E-06
1.95,1.14209E-06,1.18271E-06
2,1.1421E-06,1.54657E-06
