vds,ciss_24_0
0,0.0309666
0.05,0.0304295
0.1,0.0298355
0.15,0.0292281
0.2,0.0286443
0.25,0.0281062
0.3,0.0276225
0.35,0.0271929
0.4,0.0268129
0.45,0.0264765
0.5,0.0261778
0.55,0.0259113
0.6,0.0256722
0.65,0.0254566
0.7,0.0252611
0.75,0.025083
0.8,0.02492
0.85,0.0247701
0.9,0.0246317
0.95,0.0245035
1,0.0243843
1.05,0.0242731
1.1,0.0241691
1.15,0.0240715
1.2,0.0239798
1.25,0.0238933
1.3,0.0238116
1.35,0.0237342
1.4,0.0236609
1.45,0.0235912
1.5,0.0235249
1.55,0.0234617
1.6,0.0234014
1.65,0.0233437
1.7,0.0232885
1.75,0.0232356
1.8,0.0231848
1.85,0.0231361
1.9,0.0230892
1.95,0.0230441
2,0.0230006
