vgs,cgs_21_1
-2,1.21972E-06
-1.95,1.22155E-06
-1.8,1.22717E-06
-1.75,1.22909E-06
-1.7,1.23105E-06
-1.65,1.23304E-06
-1.6,1.23505E-06
-1.55,1.2371E-06
-1.5,1.23917E-06
-1.45,1.24129E-06
-1.4,1.24343E-06
-1.35,1.24562E-06
-1.3,1.24784E-06
-1.25,1.25011E-06
-1.2,1.25244E-06
-1.15,1.25483E-06
-1.1,1.2573E-06
-1.05,1.25989E-06
-1,1.26264E-06
-0.95,1.26561E-06
-0.9,1.26893E-06
-0.85,1.27276E-06
-0.8,1.27739E-06
-0.75,1.28328E-06
-0.7,1.29113E-06
-0.65,1.30207E-06
-0.6,1.31785E-06
-0.55,1.34123E-06
-0.5,1.37646E-06
-0.45,1.43012E-06
-0.4,1.51237E-06
-0.35,1.63911E-06
-0.3,1.83552E-06
-0.25,2.14164E-06
-0.2,2.62035E-06
-0.15,3.36783E-06
-0.1,4.52565E-06
-0.05,6.29131E-06
1.20737E-15,8.91784E-06
0.05,1.26834E-05
0.1,1.78067E-05
0.15,2.43047E-05
0.2,3.18536E-05
0.25,3.97854E-05
0.3,4.72973E-05
0.35,5.37565E-05
0.4,5.88793E-05
0.45,6.27018E-05
0.5,6.54396E-05
0.55,6.73552E-05
0.6,6.86842E-05
0.65,6.96098E-05
0.7,7.02637E-05
0.75,7.07364E-05
0.8,7.10883E-05
0.85,7.13592E-05
0.9,7.15751E-05
0.95,7.1753E-05
1,7.19041E-05
1.05,7.20358E-05
1.1,7.21529E-05
1.15,7.22588E-05
1.2,7.23558E-05
1.25,7.24456E-05
1.3,7.25292E-05
1.35,7.26076E-05
1.4,7.26814E-05
1.45,7.27511E-05
1.5,7.28173E-05
1.55,7.28801E-05
1.6,7.294E-05
1.65,7.29972E-05
1.7,7.30518E-05
1.75,7.31041E-05
1.8,7.31543E-05
1.85,7.32025E-05
1.9,7.32488E-05
1.95,7.32933E-05
2,7.33363E-05
