vds,crss_25_0
0,0.0326228
0.05,0.0316653
0.1,0.030629
0.15,0.0295711
0.2,0.0285546
0.25,0.0276179
0.3,0.0267758
0.35,0.0260279
0.4,0.0253664
0.45,0.024781
0.5,0.024261
0.55,0.023797
0.6,0.0233809
0.65,0.0230055
0.7,0.0226653
0.75,0.0223552
0.8,0.0220714
0.85,0.0218105
0.9,0.0215697
0.95,0.0213465
1,0.021139
1.05,0.0209454
1.1,0.0207644
1.15,0.0205946
1.2,0.0204349
1.25,0.0202843
1.3,0.0201421
1.35,0.0200075
1.4,0.0198798
1.45,0.0197585
1.5,0.0196431
1.55,0.0195331
1.6,0.0194281
1.65,0.0193277
1.7,0.0192316
1.75,0.0191395
1.8,0.0190511
1.85,0.0189663
1.9,0.0188847
1.95,0.0188062
2,0.0187305
