 v-sweep         i(v_s_19_1)     v(g_19_2)       v(g_12_4)       v(g_11_2)       i(v_s_11_2)     v(g_14_2)       i(v_s_18_2)     v(g_10_0)       v(g_18_1)       v(g_11_1)       i(v_s_19_3)     i(v_s_12_4)     v(g_16_1)       v(g_12_1)       i(v_s_15_4)     i(v_s_14_2)     v(g_19_4)       i(v_s_14_1)     i(v_s_15_1)     v(g_15_4)       i(v_s_18_0)     i(v_s_18_1)     v(g_12_0)       i(v_s_10_3)     i(v_s_16_4)     i(v_s_19_2)     i(v_s_11_4)     v(g_18_0)       i(v_s_12_3)     v(g_10_4)       i(v_s_19_0)     i(v_s_13_3)     v(g_17_1)       v(g_13_2)       i(v_s_13_2)     i(v_s_10_4)     i(v_s_17_3)     v(g_13_0)       i(v_s_14_3)     v(g_14_0)       v(g_16_2)       v(g_17_4)       i(v_s_11_0)     i(v_s_15_0)     i(v_s_16_2)     v(g_16_3)       i(v_s_15_2)     v(g_19_1)       v(g_12_3)       v(g_14_1)       v(g_11_0)       v(g_17_3)       v(g_18_4)       i(v_s_11_3)     i(v_s_17_1)     i(v_s_16_0)     i(v_s_17_4)     v(g_17_2)       i(v_s_17_0)     v(g_14_4)       v(g_12_2)       v(g_10_1)       i(v_s_12_0)     v(g_10_3)       v(g_19_3)       i(v_s_18_4)     i(v_s_19_4)     v(g_13_3)       v(g_13_4)       v(g_15_3)       v(g_15_0)       v(g_19_0)       v(g_11_3)       v(g_18_2)       i(v_s_12_1)     v(g_10_2)       i(v_s_10_0)     i(v_s_10_1)     i(v_s_13_4)     v(g_15_1)       v(g_17_0)       i(v_s_13_0)     i(v_s_12_2)     i(v_s_14_0)     v(g_14_3)       v(g_16_0)       i(v_s_16_1)     v(g_11_4)       v(g_18_3)       i(v_s_10_2)     i(v_s_17_2)     i(v_s_14_4)     i(v_s_15_3)     i(v_s_11_1)     i(v_s_18_3)     v(g_16_4)       v(g_13_1)       v(g_15_2)       i(v_s_13_1)     i(v_s_16_3)    
-5.00000000e-01 -7.50100500e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00101000e-13 -5.00000000e-01 -5.00100500e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100494e-13  2.00090907e-28 -5.00000000e-01 -5.00000000e-01  6.65791548e-28 -5.00100100e-13 -5.00000000e-01 -7.50100100e-13 -7.50100100e-13 -5.00000000e-01 -1.00010050e-12 -7.50100500e-13 -5.00000000e-01 -2.50100994e-13  9.38995034e-28 -5.00100500e-13  5.15869624e-28 -5.00000000e-01 -2.50100494e-13 -5.00000000e-01 -1.00010050e-12 -2.50100494e-13 -5.00000000e-01 -5.00000000e-01 -5.00100500e-13  4.86778818e-28 -2.50100994e-13 -5.00000000e-01 -2.50100094e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -1.00010100e-12 -1.00010010e-12 -5.00101000e-13 -5.00000000e-01 -5.00100100e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100994e-13 -7.50101000e-13 -1.00010100e-12  9.97088698e-28 -5.00000000e-01 -1.00010100e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -1.00010050e-12 -5.00000000e-01 -5.00000000e-01  1.03848572e-28  1.10071900e-28 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -7.50100500e-13 -5.00000000e-01 -1.00010100e-12 -7.50101000e-13  2.12505494e-28 -5.00000000e-01 -5.00000000e-01 -1.00010050e-12 -5.00100500e-13 -1.00010010e-12 -5.00000000e-01 -5.00000000e-01 -7.50101000e-13 -5.00000000e-01 -5.00000000e-01 -5.00101000e-13 -5.00101000e-13  6.17789420e-28 -2.50100094e-13 -7.50101000e-13 -2.50100494e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -7.50100500e-13 -2.50100994e-13 
-4.00000000e-01 -7.50100500e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -5.00101000e-13 -4.00000000e-01 -5.00100500e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100494e-13  9.63468664e-28 -4.00000000e-01 -4.00000000e-01  3.20590007e-27 -5.00100100e-13 -4.00000000e-01 -7.50100100e-13 -7.50100100e-13 -4.00000000e-01 -1.00010050e-12 -7.50100500e-13 -4.00000000e-01 -2.50100994e-13  4.52140916e-27 -5.00100500e-13  2.48399492e-27 -4.00000000e-01 -2.50100494e-13 -4.00000000e-01 -1.00010050e-12 -2.50100494e-13 -4.00000000e-01 -4.00000000e-01 -5.00100500e-13  2.34391802e-27 -2.50100994e-13 -4.00000000e-01 -2.50100094e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -1.00010100e-12 -1.00010010e-12 -5.00101000e-13 -4.00000000e-01 -5.00100100e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100994e-13 -7.50101000e-13 -1.00010100e-12  4.80113931e-27 -4.00000000e-01 -1.00010100e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -1.00010050e-12 -4.00000000e-01 -4.00000000e-01  5.00046238e-28  5.30012479e-28 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -7.50100500e-13 -4.00000000e-01 -1.00010100e-12 -7.50101000e-13  1.02324682e-27 -4.00000000e-01 -4.00000000e-01 -1.00010050e-12 -5.00100500e-13 -1.00010010e-12 -4.00000000e-01 -4.00000000e-01 -7.50101000e-13 -4.00000000e-01 -4.00000000e-01 -5.00101000e-13 -5.00101000e-13  2.97476094e-27 -2.50100094e-13 -7.50101000e-13 -2.50100494e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -7.50100500e-13 -2.50100994e-13 
-3.00000000e-01 -7.50100500e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -5.00101000e-13 -3.00000000e-01 -5.00100500e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50100494e-13  4.12119633e-25 -3.00000000e-01 -3.00000000e-01  1.37131707e-24 -5.00100100e-13 -3.00000000e-01 -7.50100100e-13 -7.50100100e-13 -3.00000000e-01 -1.00010050e-12 -7.50100500e-13 -3.00000000e-01 -2.50100994e-13  1.93401654e-24 -5.00100500e-13  1.06252039e-24 -3.00000000e-01 -2.50100494e-13 -3.00000000e-01 -1.00010050e-12 -2.50100494e-13 -3.00000000e-01 -3.00000000e-01 -5.00100500e-13  1.00260297e-24 -2.50100994e-13 -3.00000000e-01 -2.50100094e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -1.00010100e-12 -1.00010010e-12 -5.00101000e-13 -3.00000000e-01 -5.00100100e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50100994e-13 -7.50101000e-13 -1.00010100e-12  2.05367011e-24 -3.00000000e-01 -1.00010100e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -1.00010050e-12 -3.00000000e-01 -3.00000000e-01  2.13892247e-25  2.26710155e-25 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -7.50100500e-13 -3.00000000e-01 -1.00010100e-12 -7.50101000e-13  4.37689484e-25 -3.00000000e-01 -3.00000000e-01 -1.00010050e-12 -5.00100500e-13 -1.00010010e-12 -3.00000000e-01 -3.00000000e-01 -7.50101000e-13 -3.00000000e-01 -3.00000000e-01 -5.00101000e-13 -5.00101000e-13  1.27244808e-24 -2.50100094e-13 -7.50101000e-13 -2.50100494e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -7.50100500e-13 -2.50100994e-13 
-2.00000000e-01 -7.50100500e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -5.00101000e-13 -2.00000000e-01 -5.00100500e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50100494e-13  1.87033266e-23 -2.00000000e-01 -2.00000000e-01  6.22348212e-23 -5.00100100e-13 -2.00000000e-01 -7.50100100e-13 -7.50100100e-13 -2.00000000e-01 -1.00010050e-12 -7.50100500e-13 -2.00000000e-01 -2.50100994e-13  8.77718964e-23 -5.00100500e-13  4.82206113e-23 -2.00000000e-01 -2.50100494e-13 -2.00000000e-01 -1.00010050e-12 -2.50100494e-13 -2.00000000e-01 -2.00000000e-01 -5.00100500e-13  4.55013652e-23 -2.50100994e-13 -2.00000000e-01 -2.50100094e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -1.00010100e-12 -1.00010010e-12 -5.00101000e-13 -2.00000000e-01 -5.00100100e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50100994e-13 -7.50101000e-13 -1.00010100e-12  9.32021606e-23 -2.00000000e-01 -1.00010100e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -1.00010050e-12 -2.00000000e-01 -2.00000000e-01  9.70712249e-24  1.02888406e-23 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -7.50100500e-13 -2.00000000e-01 -1.00010100e-12 -7.50101000e-13  1.98637694e-23 -2.00000000e-01 -2.00000000e-01 -1.00010050e-12 -5.00100500e-13 -1.00010010e-12 -2.00000000e-01 -2.00000000e-01 -7.50101000e-13 -2.00000000e-01 -2.00000000e-01 -5.00101000e-13 -5.00101000e-13  5.77477921e-23 -2.50100094e-13 -7.50101000e-13 -2.50100494e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -7.50100500e-13 -2.50100994e-13 
-1.00000000e-01 -7.50100500e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -5.00101000e-13 -1.00000000e-01 -5.00100500e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.50100494e-13  8.48771304e-22 -1.00000000e-01 -1.00000000e-01  2.82426296e-21 -5.00100100e-13 -1.00000000e-01 -7.50100100e-13 -7.50100100e-13 -1.00000000e-01 -1.00010050e-12 -7.50100500e-13 -1.00000000e-01 -2.50100994e-13  3.98315589e-21 -5.00100500e-13  2.18828839e-21 -1.00000000e-01 -2.50100494e-13 -1.00000000e-01 -1.00010050e-12 -2.50100494e-13 -1.00000000e-01 -1.00000000e-01 -5.00100500e-13  2.06488692e-21 -2.50100994e-13 -1.00000000e-01 -2.50100094e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00010100e-12 -1.00010010e-12 -5.00101000e-13 -1.00000000e-01 -5.00100100e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.50100994e-13 -7.50101000e-13 -1.00010100e-12  4.22958544e-21 -1.00000000e-01 -1.00010100e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00010050e-12 -1.00000000e-01 -1.00000000e-01  4.40516661e-22  4.66915476e-22 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -7.50100500e-13 -1.00000000e-01 -1.00010100e-12 -7.50101000e-13  9.01433090e-22 -1.00000000e-01 -1.00000000e-01 -1.00010050e-12 -5.00100500e-13 -1.00010010e-12 -1.00000000e-01 -1.00000000e-01 -7.50101000e-13 -1.00000000e-01 -1.00000000e-01 -5.00101000e-13 -5.00101000e-13  2.62063822e-21 -2.50100094e-13 -7.50101000e-13 -2.50100494e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -7.50100500e-13 -2.50100994e-13 
-2.77555756e-17 -7.50100500e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -5.00101000e-13 -2.77555756e-17 -5.00100500e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.50100494e-13  3.85152204e-20 -2.77555756e-17 -2.77555756e-17  1.28158027e-19 -5.00100100e-13 -2.77555756e-17 -7.50100100e-13 -7.50100100e-13 -2.77555756e-17 -1.00010050e-12 -7.50100500e-13 -2.77555756e-17 -2.50100994e-13  1.80746076e-19 -5.00100500e-13  9.92992965e-20 -2.77555756e-17 -2.50100494e-13 -2.77555756e-17 -1.00010050e-12 -2.50100494e-13 -2.77555756e-17 -2.77555756e-17 -5.00100500e-13  9.36996325e-20 -2.50100993e-13 -2.77555756e-17 -2.50100091e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -1.00010100e-12 -1.00010010e-12 -5.00101000e-13 -2.77555756e-17 -5.00100100e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.50100994e-13 -7.50101000e-13 -1.00010100e-12  1.91928458e-19 -2.77555756e-17 -1.00010100e-12 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -1.00010050e-12 -2.77555756e-17 -2.77555756e-17  1.99895982e-20  2.11875137e-20 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -7.50100500e-13 -2.77555756e-17 -1.00010100e-12 -7.50101000e-13  4.09048869e-20 -2.77555756e-17 -2.77555756e-17 -1.00010050e-12 -5.00100500e-13 -1.00010010e-12 -2.77555756e-17 -2.77555756e-17 -7.50101000e-13 -2.77555756e-17 -2.77555756e-17 -5.00101000e-13 -5.00101000e-13  1.18918043e-19 -2.50100090e-13 -7.50101000e-13 -2.50100494e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -7.50100500e-13 -2.50100993e-13 
 1.00000000e-01 -7.50100500e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -5.00101000e-13  1.00000000e-01 -5.00100500e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.50100490e-13  1.74760312e-18  1.00000000e-01  1.00000000e-01  5.81499595e-18 -5.00100093e-13  1.00000000e-01 -7.50100099e-13 -7.50100099e-13  1.00000000e-01 -1.00010050e-12 -7.50100500e-13  1.00000000e-01 -2.50100978e-13  8.20122026e-18 -5.00100500e-13  4.50563547e-18  1.00000000e-01 -2.50100487e-13  1.00000000e-01 -1.00010050e-12 -2.50100487e-13  1.00000000e-01  1.00000000e-01 -5.00100500e-13  4.25155467e-18 -2.50100961e-13  1.00000000e-01 -2.50099938e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -1.00010100e-12 -1.00010010e-12 -5.00101000e-13  1.00000000e-01 -5.00100092e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.50100977e-13 -7.50101000e-13 -1.00010100e-12  8.70861265e-18  1.00000000e-01 -1.00010100e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01 -1.00010050e-12  1.00000000e-01  1.00000000e-01  9.07015426e-19  9.61370085e-19  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -7.50100500e-13  1.00000000e-01 -1.00010100e-12 -7.50101000e-13  1.85603269e-18  1.00000000e-01  1.00000000e-01 -1.00010050e-12 -5.00100500e-13 -1.00010010e-12  1.00000000e-01  1.00000000e-01 -7.50101000e-13  1.00000000e-01  1.00000000e-01 -5.00101000e-13 -5.00101000e-13  5.39574423e-18 -2.50099925e-13 -7.50101000e-13 -2.50100490e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -7.50100500e-13 -2.50100963e-13 
 2.00000000e-01 -7.50100500e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01 -5.00100995e-13  2.00000000e-01 -5.00100499e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01 -2.50100320e-13  7.92892648e-17  2.00000000e-01  2.00000000e-01  2.63800155e-16 -5.00099757e-13  2.00000000e-01 -7.50100076e-13 -7.50100074e-13  2.00000000e-01 -1.00010050e-12 -7.50100500e-13  2.00000000e-01 -2.50100262e-13  3.72086997e-16 -5.00100499e-13  2.04420272e-16  2.00000000e-01 -2.50100180e-13  2.00000000e-01 -1.00010050e-12 -2.50100159e-13  2.00000000e-01  2.00000000e-01 -5.00100498e-13  1.92892649e-16 -2.50099489e-13  2.00000000e-01 -2.50092960e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01 -1.00010100e-12 -1.00010010e-12 -5.00100990e-13  2.00000000e-01 -5.00099726e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -2.50100215e-13 -7.50101000e-13 -1.00010100e-12  3.95107244e-16  2.00000000e-01 -1.00010100e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01 -1.00010050e-12  2.00000000e-01  2.00000000e-01  4.11516718e-17  4.36177656e-17  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -7.50100500e-13  2.00000000e-01 -1.00010100e-12 -7.50101000e-13  8.42087458e-17  2.00000000e-01  2.00000000e-01 -1.00010050e-12 -5.00100498e-13 -1.00010010e-12  2.00000000e-01  2.00000000e-01 -7.50101000e-13  2.00000000e-01  2.00000000e-01 -5.00100995e-13 -5.00100989e-13  2.44780594e-16 -2.50092361e-13 -7.50101000e-13 -2.50100331e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01 -7.50100500e-13 -2.50099582e-13 
 3.00000000e-01 -7.50100499e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01 -5.00100749e-13  3.00000000e-01 -5.00100445e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01 -2.50092539e-13  3.59663283e-15  3.00000000e-01  3.00000000e-01  1.19576946e-14 -5.00084255e-13  3.00000000e-01 -7.50098989e-13 -7.50098884e-13  3.00000000e-01 -1.00010050e-12 -7.50100499e-13  3.00000000e-01 -2.50067437e-13  1.68767479e-14 -5.00100441e-13  9.27216111e-15  3.00000000e-01 -2.50086096e-13  3.00000000e-01 -1.00010050e-12 -2.50085142e-13  3.00000000e-01  3.00000000e-01 -5.00100387e-13  8.74928745e-15 -2.50032038e-13  3.00000000e-01 -2.49773258e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01 -1.00010100e-12 -1.00009999e-12 -5.00100547e-13  3.00000000e-01 -5.00082834e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01 -2.50065301e-13 -7.50100995e-13 -1.00010100e-12  1.79208771e-14  3.00000000e-01 -1.00010100e-12  3.00000000e-01  3.00000000e-01  3.00000000e-01 -1.00010050e-12  3.00000000e-01  3.00000000e-01  1.86671274e-15  1.97857912e-15  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01 -7.50100499e-13  3.00000000e-01 -1.00010100e-12 -7.50100997e-13  3.81978494e-15  3.00000000e-01  3.00000000e-01 -1.00010050e-12 -5.00100395e-13 -1.00010000e-12  3.00000000e-01  3.00000000e-01 -7.50100995e-13  3.00000000e-01  3.00000000e-01 -5.00100765e-13 -5.00100515e-13  1.10955643e-14 -2.49745774e-13 -7.50100997e-13 -2.50093016e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01 -7.50100499e-13 -2.50036310e-13 
 4.00000000e-01 -7.50100469e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01 -5.00089422e-13  4.00000000e-01 -5.00097971e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01 -2.49736011e-13  1.62983875e-13  4.00000000e-01  4.00000000e-01  5.39288460e-13 -4.99369228e-13  4.00000000e-01 -7.50048576e-13 -7.50043692e-13  4.00000000e-01 -1.00010050e-12 -7.50100471e-13  4.00000000e-01 -2.48563530e-13  7.64338172e-13 -5.00097801e-13  4.20013659e-13  4.00000000e-01 -2.49440824e-13  4.00000000e-01 -1.00010050e-12 -2.49397118e-13  4.00000000e-01  4.00000000e-01 -5.00095293e-13  3.96328336e-13 -2.46941760e-13  4.00000000e-01 -2.35139072e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01 -1.00010100e-12 -1.00009477e-12 -5.00080097e-13  4.00000000e-01 -4.99303665e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01 -2.48465704e-13 -7.50100755e-13 -1.00010100e-12  8.11626192e-13  4.00000000e-01 -1.00010100e-12  4.00000000e-01  4.00000000e-01  4.00000000e-01 -1.00010050e-12  4.00000000e-01  4.00000000e-01  8.46022328e-14  8.96721863e-14  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01 -7.50100444e-13  4.00000000e-01 -1.00010100e-12 -7.50100882e-13  1.73096166e-13  4.00000000e-01  4.00000000e-01 -1.00010050e-12 -5.00095634e-13 -1.00009525e-12  4.00000000e-01  4.00000000e-01 -7.50100772e-13  4.00000000e-01  4.00000000e-01 -5.00090150e-13 -5.00078639e-13  5.00406627e-13 -2.33880995e-13 -7.50100873e-13 -2.49757883e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01 -7.50100440e-13 -2.47137449e-13 
