vgs,cgs_21_1
-2,3.79211E-07
-1.95,3.80843E-07
-1.8,3.86125E-07
-1.75,3.8803E-07
-1.7,3.90016E-07
-1.65,3.92088E-07
-1.6,3.94253E-07
-1.55,3.96517E-07
-1.5,3.9889E-07
-1.45,4.01379E-07
-1.4,4.03994E-07
-1.35,4.06747E-07
-1.3,4.0965E-07
-1.25,4.12716E-07
-1.2,4.15963E-07
-1.15,4.19406E-07
-1.1,4.23068E-07
-1.05,4.26972E-07
-1,4.31146E-07
-0.95,4.3562E-07
-0.9,4.40432E-07
-0.85,4.45626E-07
-0.8,4.51252E-07
-0.75,4.57372E-07
-0.7,4.64057E-07
-0.65,4.71394E-07
-0.6,4.79487E-07
-0.55,4.88461E-07
-0.5,4.98466E-07
-0.45,5.09679E-07
-0.4,5.22308E-07
-0.35,5.36591E-07
-0.3,5.52797E-07
-0.25,5.71283E-07
-0.2,5.92828E-07
-0.15,6.20236E-07
-0.1,6.6519E-07
-0.05,7.75175E-07
1.20737E-15,1.12696E-06
0.05,2.31473E-06
0.1,6.35981E-06
0.15,1.88301E-05
0.2,4.3522E-05
0.25,6.69154E-05
0.3,7.85689E-05
0.35,8.31023E-05
0.4,8.50132E-05
0.45,8.60049E-05
0.5,8.6619E-05
0.55,8.70371E-05
0.6,8.73317E-05
0.65,8.75386E-05
0.7,8.76795E-05
0.75,8.77688E-05
0.8,8.7817E-05
0.85,8.78319E-05
0.9,8.78194E-05
0.95,8.77843E-05
1,8.77301E-05
1.05,8.76601E-05
1.1,8.75764E-05
1.15,8.74813E-05
1.2,8.73764E-05
1.25,8.7263E-05
1.3,8.71425E-05
1.35,8.70157E-05
1.4,8.68836E-05
1.45,8.67469E-05
1.5,8.66063E-05
1.55,8.64624E-05
1.6,8.63157E-05
1.65,8.61666E-05
1.7,8.60155E-05
1.75,8.58628E-05
1.8,8.57088E-05
1.85,8.55537E-05
1.9,8.5398E-05
1.95,8.52416E-05
2,8.5085E-05
