vgs,cgg_23_2,cgg_23_1
-2,0.000175533,0.000211876
-1.9,0.000162032,0.000212163
-1.85,0.000152607,0.00021229
-1.8,0.000141084,0.000212402
-1.75,0.00012829,0.000212497
-1.7,0.000116707,0.000212572
-1.65,0.000106261,0.000212624
-1.6,9.68761E-05,0.00021265
-1.55,8.87554E-05,0.000212646
-1.5,8.18778E-05,0.000212609
-1.45,7.60903E-05,0.000212534
-1.4,7.12079E-05,0.000212416
-1.35,6.70598E-05,0.000212251
-1.3,6.35036E-05,0.000212033
-1.25,6.04258E-05,0.000211756
-1.2,5.77372E-05,0.000211415
-1.15,5.5368E-05,0.000211001
-1.1,5.32636E-05,0.00021051
-1.05,5.13806E-05,0.000209932
-1,4.96848E-05,0.000209261
-0.95,4.81483E-05,0.000208487
-0.9,4.67489E-05,0.000207602
-0.85,4.54681E-05,0.000206597
-0.8,4.42908E-05,0.000205463
-0.75,4.32045E-05,0.00020419
-0.7,4.21988E-05,0.000202726
-0.65,4.12647E-05,0.000201076
-0.6,4.03949E-05,0.000199228
-0.55,3.95831E-05,0.000197161
-0.5,3.88239E-05,0.000194846
-0.45,3.81127E-05,0.000192244
-0.4,3.74458E-05,0.000189304
-0.35,3.68198E-05,0.000185945
-0.3,3.62319E-05,0.00018205
-0.25,3.56796E-05,0.000177436
-0.2,3.51602E-05,0.000171831
-0.15,3.45677E-05,0.000164354
-0.1,3.39859E-05,0.000155082
-0.05,3.34324E-05,0.000143936
1.20737E-15,3.29017E-05,0.000131475
0.05,3.23894E-05,0.000120416
0.1,3.18926E-05,0.000113501
0.15,3.14106E-05,0.000116518
0.2,3.09432E-05,0.000135724
0.25,3.04908E-05,0.000158073
0.3,3.00534E-05,0.000169928
0.35,2.96307E-05,0.000174481
0.4,2.92226E-05,0.000176242
0.45,2.88292E-05,0.000177031
0.5,2.84541E-05,0.000177439
0.55,2.81203E-05,0.00017766
0.6,2.79568E-05,0.000177767
0.65,2.86077E-05,0.000177795
0.7,3.2874E-05,0.000177762
0.75,5.21128E-05,0.000177682
0.8,0.00010006,0.000177563
0.85,0.000140869,0.000177411
0.9,0.000156273,0.000177232
0.95,0.000161635,0.00017703
1,0.000164196,0.000176808
1.05,0.000165793,0.00017657
1.1,0.000166913,0.000176317
1.15,0.000167731,0.000176051
1.2,0.000168335,0.000175775
1.25,0.000168777,0.000175489
1.3,0.000169096,0.000175196
1.35,0.000169317,0.000174895
1.4,0.000169459,0.000174589
1.45,0.000169538,0.000174278
1.5,0.000169564,0.000173963
1.55,0.000169546,0.000173644
1.6,0.000169492,0.000173322
1.65,0.000169407,0.000172998
1.7,0.000169296,0.000172672
1.75,0.000169163,0.000172345
1.8,0.000169011,0.000172018
1.85,0.000168842,0.000171689
1.9,0.00016866,0.000171361
1.95,0.000168465,0.000171033
2,0.00016826,0.000170705
