vgs,cgd_20_2,cgd_20_1,cgd_20_0
-2,6.25952E-07,6.25952E-07,6.25952E-07
-1.95,6.27583E-07,6.27583E-07,6.27583E-07
-1.9,6.29276E-07,6.29276E-07,6.29276E-07
-1.85,6.31036E-07,6.31036E-07,6.31036E-07
-1.8,6.32865E-07,6.32865E-07,6.32865E-07
-1.75,6.34771E-07,6.34771E-07,6.34771E-07
-1.7,6.36756E-07,6.36756E-07,6.36756E-07
-1.65,6.38828E-07,6.38828E-07,6.38828E-07
-1.6,6.40993E-07,6.40993E-07,6.40993E-07
-1.55,6.43257E-07,6.43257E-07,6.43257E-07
-1.5,6.4563E-07,6.4563E-07,6.4563E-07
-1.45,6.48119E-07,6.48119E-07,6.48119E-07
-1.4,6.50734E-07,6.50734E-07,6.50734E-07
-1.35,6.53487E-07,6.53487E-07,6.53487E-07
-1.3,6.5639E-07,6.5639E-07,6.5639E-07
-1.25,6.59457E-07,6.59457E-07,6.59457E-07
-1.2,6.62703E-07,6.62703E-07,6.62703E-07
-1.15,6.66146E-07,6.66146E-07,6.66146E-07
-1.1,6.69808E-07,6.69808E-07,6.69808E-07
-1.05,6.73713E-07,6.73713E-07,6.73713E-07
-1,6.77886E-07,6.77886E-07,6.77886E-07
-0.95,6.8236E-07,6.8236E-07,6.8236E-07
-0.9,6.87173E-07,6.87173E-07,6.87173E-07
-0.85,6.92366E-07,6.92366E-07,6.92366E-07
-0.8,6.97993E-07,6.97993E-07,6.97993E-07
-0.75,7.04112E-07,7.04112E-07,7.04112E-07
-0.7,7.10797E-07,7.10797E-07,7.10797E-07
-0.65,7.18134E-07,7.18134E-07,7.18134E-07
-0.6,7.26227E-07,7.26227E-07,7.26227E-07
-0.55,7.35201E-07,7.35201E-07,7.35201E-07
-0.5,7.45206E-07,7.45206E-07,7.45206E-07
-0.45,7.56417E-07,7.56419E-07,7.56417E-07
-0.4,7.69042E-07,7.69048E-07,7.69042E-07
-0.35,7.83305E-07,7.83331E-07,7.83305E-07
-0.3,7.99431E-07,7.99537E-07,7.99431E-07
-0.25,8.17588E-07,8.18023E-07,8.17588E-07
-0.2,8.37783E-07,8.39568E-07,8.37783E-07
-0.15,8.59696E-07,8.66976E-07,8.59696E-07
-0.1,8.82494E-07,9.1193E-07,8.82494E-07
-0.05,9.04791E-07,1.02192E-06,9.04791E-07
1.20737E-15,9.24952E-07,1.3737E-06,9.24952E-07
0.05,9.41698E-07,2.56147E-06,9.417E-07
0.1,9.54581E-07,6.60655E-06,9.54595E-07
0.15,9.6394E-07,1.90769E-05,9.6402E-07
0.2,9.7051E-07,4.37687E-05,9.70961E-07
0.25,9.75057E-07,6.71621E-05,9.77604E-07
0.3,9.78208E-07,7.88157E-05,9.92476E-07
0.35,9.80425E-07,8.33491E-05,1.05929E-06
0.4,9.8209E-07,8.52599E-05,1.40112E-06
0.45,9.8383E-07,8.62517E-05,3.02648E-06
0.5,9.88196E-07,8.68658E-05,1.02597E-05
0.55,1.00894E-06,8.72839E-05,3.34998E-05
0.6,1.1215E-06,8.75784E-05,6.30019E-05
0.65,1.70668E-06,8.77853E-05,7.67802E-05
0.7,4.46832E-06,8.79262E-05,8.12041E-05
0.75,1.62757E-05,8.80155E-05,8.29521E-05
0.8,4.50841E-05,8.80637E-05,8.39147E-05
0.85,6.90981E-05,8.80786E-05,8.45558E-05
0.9,7.78626E-05,8.80661E-05,8.50143E-05
0.95,8.07617E-05,8.8031E-05,8.53491E-05
1,8.20866E-05,8.79769E-05,8.55932E-05
1.05,8.28967E-05,8.79068E-05,8.57681E-05
1.1,8.34623E-05,8.78232E-05,8.58888E-05
1.15,8.38755E-05,8.77281E-05,8.59663E-05
1.2,8.4181E-05,8.76231E-05,8.6009E-05
1.25,8.4406E-05,8.75098E-05,8.60229E-05
1.3,8.45687E-05,8.73892E-05,8.60132E-05
1.35,8.46823E-05,8.72624E-05,8.59837E-05
1.4,8.47566E-05,8.71303E-05,8.59376E-05
1.45,8.47988E-05,8.69937E-05,8.58773E-05
1.5,8.48146E-05,8.68531E-05,8.58051E-05
1.55,8.48084E-05,8.67092E-05,8.57226E-05
1.6,8.47839E-05,8.65624E-05,8.56313E-05
1.65,8.47439E-05,8.64133E-05,8.55325E-05
1.7,8.46906E-05,8.62622E-05,8.54272E-05
1.75,8.46262E-05,8.61095E-05,8.53163E-05
1.8,8.45522E-05,8.59555E-05,8.52006E-05
1.85,8.44699E-05,8.58005E-05,8.50809E-05
1.9,8.43806E-05,8.56447E-05,8.49576E-05
1.95,8.42851E-05,8.54884E-05,8.48314E-05
2,8.41845E-05,8.53318E-05,8.47027E-05
