 v-sweep         v(g_10_4)       i(v_s_14_2)     i(v_s_16_2)     i(v_s_11_2)     i(v_s_17_2)     v(g_10_1)       v(g_11_0)       v(g_11_2)       v(g_16_4)       i(v_s_18_3)     v(g_11_1)       i(v_s_10_3)     v(g_12_1)       i(v_s_15_1)     v(g_16_2)       i(v_s_17_1)     v(g_13_0)       i(v_s_16_3)     v(g_14_0)       v(g_13_3)       i(v_s_11_0)     i(v_s_11_1)     v(g_18_3)       v(g_19_0)       i(v_s_14_1)     i(v_s_12_1)     i(v_s_11_4)     i(v_s_13_0)     v(g_12_4)       v(g_17_3)       v(g_14_1)       i(v_s_16_4)     i(v_s_10_0)     i(v_s_14_3)     v(g_19_1)       i(v_s_19_2)     i(v_s_14_4)     i(v_s_12_4)     v(g_13_1)       i(v_s_13_4)     v(g_14_4)       v(g_15_4)       i(v_s_17_3)     v(g_14_2)       i(v_s_15_4)     i(v_s_15_2)     i(v_s_15_3)     v(g_12_3)       v(g_18_2)       v(g_14_3)       v(g_11_4)       v(g_15_2)       i(v_s_15_0)     v(g_12_2)       i(v_s_18_4)     v(g_18_1)       i(v_s_14_0)     v(g_16_0)       v(g_19_2)       v(g_10_3)       i(v_s_19_0)     v(g_19_3)       i(v_s_18_0)     v(g_16_1)       i(v_s_19_4)     v(g_17_4)       i(v_s_12_2)     v(g_17_0)       i(v_s_17_0)     i(v_s_19_3)     i(v_s_19_1)     i(v_s_17_4)     v(g_15_0)       i(v_s_18_2)     v(g_17_2)       v(g_10_0)       v(g_18_4)       v(g_15_3)       v(g_13_4)       i(v_s_10_1)     i(v_s_13_3)     v(g_10_2)       i(v_s_13_1)     i(v_s_10_4)     v(g_13_2)       v(g_18_0)       v(g_15_1)       i(v_s_11_3)     i(v_s_12_0)     i(v_s_10_2)     i(v_s_12_3)     v(g_17_1)       v(g_12_0)       i(v_s_18_1)     i(v_s_13_2)     i(v_s_16_1)     i(v_s_16_0)     v(g_11_3)       v(g_16_3)       v(g_19_4)      
-5.00000000e-01 -5.00000000e-01 -5.00100100e-13 -5.00101000e-13 -5.00101000e-13 -5.00101000e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100494e-13 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01 -7.50100100e-13 -5.00000000e-01 -7.50101000e-13 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01 -5.00000000e-01 -1.00010100e-12 -7.50101000e-13 -5.00000000e-01 -5.00000000e-01 -7.50100100e-13 -7.50100500e-13  2.14566161e-22 -1.00010050e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  5.24143145e-23 -1.00010100e-12 -2.50100094e-13 -5.00000000e-01 -5.00100500e-13  1.18704835e-24  1.79982932e-23 -5.00000000e-01  1.17787952e-22 -5.00000000e-01 -5.00000000e-01 -2.50100994e-13 -5.00000000e-01  8.36865698e-24 -5.00100100e-13 -2.50100094e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -1.00010010e-12 -5.00000000e-01  1.13720001e-23 -5.00000000e-01 -1.00010010e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -1.00010050e-12 -5.00000000e-01 -1.00010050e-12 -5.00000000e-01  7.36765975e-23 -5.00000000e-01 -5.00100500e-13 -5.00000000e-01 -1.00010100e-12 -2.50100494e-13 -7.50100500e-13  3.43028765e-22 -5.00000000e-01 -5.00100500e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -7.50101000e-13 -2.50100494e-13 -5.00000000e-01 -7.50100500e-13  3.31179045e-23 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100994e-13 -1.00010050e-12 -5.00101000e-13 -2.50100494e-13 -5.00000000e-01 -5.00000000e-01 -7.50100500e-13 -5.00100500e-13 -7.50101000e-13 -1.00010100e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 
-4.00000000e-01 -4.00000000e-01 -5.00100100e-13 -5.00101000e-13 -5.00101000e-13 -5.00101000e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100494e-13 -4.00000000e-01 -2.50100994e-13 -4.00000000e-01 -7.50100100e-13 -4.00000000e-01 -7.50101000e-13 -4.00000000e-01 -2.50100994e-13 -4.00000000e-01 -4.00000000e-01 -1.00010100e-12 -7.50101000e-13 -4.00000000e-01 -4.00000000e-01 -7.50100100e-13 -7.50100500e-13  9.82167663e-22 -1.00010050e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  2.39924341e-22 -1.00010100e-12 -2.50100094e-13 -4.00000000e-01 -5.00100500e-13  5.43366435e-24  8.23864371e-23 -4.00000000e-01  5.39169441e-22 -4.00000000e-01 -4.00000000e-01 -2.50100994e-13 -4.00000000e-01  3.83071789e-23 -5.00100100e-13 -2.50100094e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -1.00010010e-12 -4.00000000e-01  5.20548567e-23 -4.00000000e-01 -1.00010010e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -1.00010050e-12 -4.00000000e-01 -1.00010050e-12 -4.00000000e-01  3.37251554e-22 -4.00000000e-01 -5.00100500e-13 -4.00000000e-01 -1.00010100e-12 -2.50100494e-13 -7.50100500e-13  1.57019988e-21 -4.00000000e-01 -5.00100500e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -7.50101000e-13 -2.50100494e-13 -4.00000000e-01 -7.50100500e-13  1.51595828e-22 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100994e-13 -1.00010050e-12 -5.00101000e-13 -2.50100494e-13 -4.00000000e-01 -4.00000000e-01 -7.50100500e-13 -5.00100500e-13 -7.50101000e-13 -1.00010100e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 
-3.00000000e-01 -3.00000000e-01 -5.00100100e-13 -5.00100999e-13 -5.00100998e-13 -5.00100997e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50100493e-13 -3.00000000e-01 -2.50100991e-13 -3.00000000e-01 -7.50100100e-13 -3.00000000e-01 -7.50101000e-13 -3.00000000e-01 -2.50100989e-13 -3.00000000e-01 -3.00000000e-01 -1.00010100e-12 -7.50101000e-13 -3.00000000e-01 -3.00000000e-01 -7.50100100e-13 -7.50100500e-13  2.74727326e-19 -1.00010050e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  6.71105134e-20 -1.00010100e-12 -2.50100094e-13 -3.00000000e-01 -5.00100499e-13  1.51987964e-21  2.30447501e-20 -3.00000000e-01  1.50813962e-19 -3.00000000e-01 -3.00000000e-01 -2.50100961e-13 -3.00000000e-01  1.07151083e-20 -5.00100100e-13 -2.50100093e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -1.00010010e-12 -3.00000000e-01  1.45605411e-20 -3.00000000e-01 -1.00010010e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -1.00010050e-12 -3.00000000e-01 -1.00010050e-12 -3.00000000e-01  9.43344280e-20 -3.00000000e-01 -5.00100500e-13 -3.00000000e-01 -1.00010100e-12 -2.50100487e-13 -7.50100500e-13  4.39208959e-19 -3.00000000e-01 -5.00100500e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -7.50101000e-13 -2.50100483e-13 -3.00000000e-01 -7.50100500e-13  4.24036730e-20 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50100973e-13 -1.00010050e-12 -5.00101000e-13 -2.50100492e-13 -3.00000000e-01 -3.00000000e-01 -7.50100500e-13 -5.00100499e-13 -7.50101000e-13 -1.00010100e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 
-2.00000000e-01 -2.00000000e-01 -5.00100100e-13 -5.00100980e-13 -5.00100919e-13 -5.00100871e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50100454e-13 -2.00000000e-01 -2.50100877e-13 -2.00000000e-01 -7.50100100e-13 -2.00000000e-01 -7.50100983e-13 -2.00000000e-01 -2.50100809e-13 -2.00000000e-01 -2.00000000e-01 -1.00010100e-12 -7.50100989e-13 -2.00000000e-01 -2.00000000e-01 -7.50100100e-13 -7.50100499e-13  9.83040036e-18 -1.00010050e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  2.40137523e-18 -1.00010100e-12 -2.50100090e-13 -2.00000000e-01 -5.00100472e-13  5.43850345e-20  8.24596768e-19 -2.00000000e-01  5.39648750e-18 -2.00000000e-01 -2.00000000e-01 -2.50099776e-13 -2.00000000e-01  3.83412949e-19 -5.00100097e-13 -2.50100065e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -1.00010010e-12 -2.00000000e-01  5.21011181e-19 -2.00000000e-01 -1.00010010e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -1.00010050e-12 -2.00000000e-01 -1.00010050e-12 -2.00000000e-01  3.37551271e-18 -2.00000000e-01 -5.00100493e-13 -2.00000000e-01 -1.00010100e-12 -2.50100233e-13 -7.50100496e-13  1.57159506e-17 -2.00000000e-01 -5.00100496e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -7.50100998e-13 -2.50100077e-13 -2.00000000e-01 -7.50100494e-13  1.51730477e-18 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50100230e-13 -1.00010050e-12 -5.00100988e-13 -2.50100431e-13 -2.00000000e-01 -2.00000000e-01 -7.50100499e-13 -5.00100456e-13 -7.50100997e-13 -1.00010100e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 
-1.00000000e-01 -1.00000000e-01 -5.00100084e-13 -5.00100264e-13 -5.00097950e-13 -5.00096139e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.50099022e-13 -1.00000000e-01 -2.50096692e-13 -1.00000000e-01 -7.50100085e-13 -1.00000000e-01 -7.50100343e-13 -1.00000000e-01 -2.50094196e-13 -1.00000000e-01 -1.00000000e-01 -1.00010093e-12 -7.50100587e-13 -1.00000000e-01 -1.00000000e-01 -7.50100098e-13 -7.50100466e-13  3.47803003e-16 -1.00010046e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  8.49616324e-17 -1.00010099e-12 -2.50099944e-13 -1.00000000e-01 -5.00099459e-13  1.92418428e-18  2.91746332e-17 -1.00000000e-01  1.90930343e-16 -1.00000000e-01 -1.00000000e-01 -2.50056273e-13 -1.00000000e-01  1.35654446e-17 -5.00099987e-13 -2.50099033e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00010010e-12 -1.00000000e-01  1.84336034e-17 -1.00000000e-01 -1.00010010e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00010048e-12 -1.00000000e-01 -1.00010050e-12 -1.00000000e-01  1.19427116e-16 -1.00000000e-01 -5.00100249e-13 -1.00000000e-01 -1.00010089e-12 -2.50090907e-13 -7.50100359e-13  5.56036725e-16 -1.00000000e-01 -5.00100341e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -7.50100937e-13 -2.50085195e-13 -1.00000000e-01 -7.50100276e-13  5.36827735e-17 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.50072971e-13 -1.00010049e-12 -5.00100534e-13 -2.50098168e-13 -1.00000000e-01 -1.00000000e-01 -7.50100479e-13 -5.00098841e-13 -7.50100901e-13 -1.00010098e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 
-2.77555756e-17 -2.77555756e-17 -5.00099517e-13 -5.00074016e-13 -4.99989183e-13 -4.99922785e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.50047908e-13 -2.77555756e-17 -2.49947283e-13 -2.77555756e-17 -7.50099537e-13 -2.77555756e-17 -7.50076420e-13 -2.77555756e-17 -2.49858126e-13 -2.77555756e-17 -2.77555756e-17 -1.00009849e-12 -7.50085562e-13 -2.77555756e-17 -2.77555756e-17 -7.50100021e-13 -7.50099237e-13  1.19810037e-14 -1.00009914e-12 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  2.92675804e-15 -1.00010062e-12 -2.50094742e-13 -2.77555756e-17 -5.00062348e-13  6.62882548e-17  1.00502061e-15 -2.77555756e-17  6.57725252e-15 -2.77555756e-17 -2.77555756e-17 -2.48503231e-13 -2.77555756e-17  4.67330314e-16 -5.00095957e-13 -2.50062196e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -1.00010001e-12 -2.77555756e-17  6.35003910e-16 -2.77555756e-17 -1.00010009e-12 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -1.00009965e-12 -2.77555756e-17 -1.00010037e-12 -2.77555756e-17  4.11404562e-15 -2.77555756e-17 -5.00091293e-13 -2.77555756e-17 -1.00009701e-12 -2.49757985e-13 -7.50095243e-13  1.91543513e-14 -2.77555756e-17 -5.00094666e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -7.50098647e-13 -2.49553892e-13 -2.77555756e-17 -7.50092130e-13  1.84924657e-15 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.49099808e-13 -1.00010030e-12 -5.00083902e-13 -2.50017406e-13 -2.77555756e-17 -2.77555756e-17 -7.50099699e-13 -5.00039692e-13 -7.50097290e-13 -1.00010040e-12 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 
 1.00000000e-01  1.00000000e-01 -5.00079277e-13 -4.99137651e-13 -4.96109058e-13 -4.93738578e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.48270863e-13  1.00000000e-01 -2.44753013e-13  1.00000000e-01 -7.50079616e-13  1.00000000e-01 -7.49206189e-13  1.00000000e-01 -2.41650888e-13  1.00000000e-01  1.00000000e-01 -1.00000819e-12 -7.49539011e-13  1.00000000e-01  1.00000000e-01 -7.50097223e-13 -7.50054505e-13  4.01910956e-13 -1.00005030e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01  9.81854547e-14 -1.00008689e-12 -2.49913852e-13  1.00000000e-01 -4.98738422e-13  2.22457365e-15  3.37184492e-14  1.00000000e-01  2.20666859e-13  1.00000000e-01  1.00000000e-01 -1.94510087e-13  1.00000000e-01  1.56831810e-14 -4.99952192e-13 -2.48781363e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -1.00009676e-12  1.00000000e-01  2.13034220e-14  1.00000000e-01 -1.00009963e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01 -1.00006894e-12  1.00000000e-01 -1.00009570e-12  1.00000000e-01  1.38020006e-13  1.00000000e-01 -4.99771790e-13  1.00000000e-01 -9.99953343e-13 -2.38183488e-13 -7.49909127e-13  6.42580802e-13  1.00000000e-01 -4.99892216e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -7.50015338e-13 -2.31082173e-13  1.00000000e-01 -7.49795791e-13  6.20342465e-14  1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.15267334e-13 -1.00009294e-12 -4.99490574e-13 -2.47209537e-13  1.00000000e-01  1.00000000e-01 -7.50071329e-13 -4.97929592e-13 -7.49965934e-13 -1.00007877e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01 
 2.00000000e-01  2.00000000e-01 -4.99375763e-13 -4.66597570e-13 -3.61273519e-13 -2.78828136e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -1.88098372e-13  2.00000000e-01 -6.88963511e-14  2.00000000e-01 -7.49373625e-13  2.00000000e-01 -7.18368754e-13  2.00000000e-01  3.62395855e-14  2.00000000e-01  2.00000000e-01 -9.96758690e-13 -7.30171700e-13  2.00000000e-01  2.00000000e-01 -7.49998072e-13 -7.48469373e-13  1.31121943e-11 -9.98292591e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  3.20426575e-12 -9.99592885e-13 -2.43785295e-13  2.00000000e-01 -4.52729181e-13  7.27412850e-14  1.10086093e-12  2.00000000e-01  7.20445503e-12  2.00000000e-01  2.00000000e-01  1.63365390e-12  2.00000000e-01  5.12823925e-13 -4.94955051e-13 -2.05386681e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -9.99979852e-13  2.00000000e-01  6.95348531e-13  2.00000000e-01 -1.00008324e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01 -9.98964129e-13  2.00000000e-01 -9.99927741e-13  2.00000000e-01  4.50499327e-12  2.00000000e-01 -4.88668060e-13  2.00000000e-01 -9.94783564e-13  1.53740186e-13 -7.43313889e-13  2.09704571e-11  2.00000000e-01 -4.92856641e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -7.47063235e-13  3.94438746e-13  2.00000000e-01 -7.39294571e-13  2.02385124e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01  9.30160992e-13 -9.99828297e-13 -4.78872252e-13 -1.52124692e-13  2.00000000e-01  2.00000000e-01 -7.49066024e-13 -4.24597034e-13 -7.45311219e-13 -9.99300414e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01 
 3.00000000e-01  3.00000000e-01 -4.75541529e-13  6.34449980e-13  4.20020354e-12  6.99301510e-12  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.79188590e-12  3.00000000e-01  5.71274646e-12  3.00000000e-01 -7.24986855e-13  3.00000000e-01  3.46321355e-13  3.00000000e-01  9.17752423e-12  3.00000000e-01  3.00000000e-01 -8.82809895e-13 -6.15493777e-14  3.00000000e-01  3.00000000e-01 -7.46573123e-13 -6.93735480e-13  4.11881757e-10 -9.36651119e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  1.00835252e-10 -9.82269804e-13 -4.14737894e-14  3.00000000e-01  1.10423523e-12  2.31421081e-12  3.47239105e-11  3.00000000e-01  2.27232643e-10  3.00000000e-01  3.00000000e-01  6.17711048e-11  3.00000000e-01  1.63150508e-11 -3.25657776e-13  1.22712677e-12  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01 -9.95879289e-13  3.00000000e-01  2.19019190e-11  3.00000000e-01 -9.99508461e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01 -9.60220091e-13  3.00000000e-01 -9.94037598e-13  3.00000000e-01  1.41886220e-10  3.00000000e-01 -1.12853205e-13  3.00000000e-01 -8.13491277e-13  1.30499479e-11 -5.15597837e-13  6.59862381e-10  3.00000000e-01 -2.54770781e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01 -6.45147070e-13  2.09866668e-11  3.00000000e-01 -3.76692231e-13  6.35805379e-11  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.85880230e-11 -9.90547414e-13  2.18645082e-13  2.97809890e-12  3.00000000e-01  3.00000000e-01 -7.14355482e-13  2.05740191e-12 -5.84602994e-13 -9.72005308e-13  3.00000000e-01  3.00000000e-01  3.00000000e-01 
 4.00000000e-01  4.00000000e-01  3.10922589e-13  3.67092549e-11  1.53479559e-10  2.45240157e-10  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  6.41590052e-11  4.00000000e-01  1.86981531e-10  4.00000000e-01  9.61545114e-14  4.00000000e-01  3.60959034e-11  4.00000000e-01  2.96645915e-10  4.00000000e-01  4.00000000e-01  3.00878466e-12  2.23791105e-11  4.00000000e-01  4.00000000e-01 -6.31249630e-13  1.14521790e-12  1.17885812e-08  1.16947603e-12  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.91928375e-09 -3.90648943e-13  6.44587389e-12  4.00000000e-01  5.21462234e-11  7.08788789e-11  1.01700218e-09  4.00000000e-01  6.64340407e-09  4.00000000e-01  4.00000000e-01  1.95242129e-09  4.00000000e-01  4.99628701e-10  5.26067798e-12  4.71617249e-11  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01 -8.55644520e-13  4.00000000e-01  6.36947909e-10  4.00000000e-01 -9.79851501e-13  4.00000000e-01  4.00000000e-01  4.00000000e-01  3.63356276e-13  4.00000000e-01 -7.92818002e-13  4.00000000e-01  4.11712574e-09  4.00000000e-01  1.22192914e-11  4.00000000e-01  5.37919055e-12  4.19169701e-10  7.13238160e-12  1.90553071e-08  4.00000000e-01  7.55063192e-12  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.77543993e-12  6.71136341e-10  4.00000000e-01  1.18060053e-11  1.82552887e-09  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.21885488e-09 -6.73443838e-13  2.30466470e-11  1.01825683e-10  4.00000000e-01  4.00000000e-01  4.51423923e-13  8.35008472e-11  4.81159746e-12 -3.96431942e-14  4.00000000e-01  4.00000000e-01  4.00000000e-01 
