name,mode,min,default,max,scale
a0,variable,0.1,1.0,3.0,lin
a1,variable,0.0,0.0,0.1,lin
a2,variable,0.0,1.0,1.0,lin
acde,variable,0.1,1.0,1.6,lin
ags,variable,0.0,0.0,1.5,lin
cf,variable,0.0,0.0,2e-10,lin
cgdl,variable,0.0,1e-10,5.1e-09,lin
cgdo,variable,1e-12,1e-10,4e-10,lin
ckappas,variable,0.1,0.6,20.0,lin
clc,variable,0.0,1e-07,3e-07,lin
cle,variable,0.2,0.6,1.0,lin
dlc,variable,-1e-07,0.0,1e-07,lin
drout,variable,0.1,0.56,2.0,lin
dsub,variable,0.1,0.56,1.0,lin
dvt0,variable,0.0,2.2,20.0,lin
dvt0w,variable,-1.0,0.0,10.0,lin
dvt1,variable,0.1,0.53,1.5,lin
dvt1w,variable,0.1,5300000.0,10000000.0,log
dvt2,variable,-0.12,-0.032,0.12,lin
dvt2w,variable,-0.05,-0.032,0.0,lin
dwg,variable,-1.5e-08,0.0,1e-07,lin
eta0,variable,0.0,0.08,1.0,lin
etab,variable,-0.5,-0.07,0.0,lin
k1,variable,0.0,0.53,1.2,lin
k2,variable,-0.05,-0.0186,0.05,lin
k3,variable,-100.0,80.0,100.0,lin
k3b,variable,-30.0,0.0,30.0,lin
keta,variable,-0.1,-0.0047,0.0,lin
lint,variable,-1e-07,0.0,1e-07,lin
ll,variable,-1e-15,0.0,1e-13,lin
moin,variable,5.0,15.0,25.0,lin
ndep,variable,1e+16,1e+17,1e+19,log
nfactor,variable,0.0,1.0,2.5,lin
ngate,variable,1e+18,1e+20,1e+25,log
noff,variable,0.1,1.0,4.0,lin
pclm,variable,1e-08,1.3,5.0,log
pdiblc1,variable,1e-07,0.39,1.0,log
pdiblc2,variable,1e-06,0.086,0.1,log
pdiblcb,variable,-1.0,0.0,0.5,lin
pvag,variable,-1.0,0.0,5.0,lin
rdsw,variable,0.0,200.0,3000.0,lin
toxp,variable,2e-09,5e-09,8e-09,lin
u0,variable,3.0,670.0,700.0,lin
ua,variable,-1e-08,1e-09,2e-09,log
ub,variable,1e-21,1e-19,1e-17,log
uc,variable,-1e-08,-4.65e-11,1e-08,lin
voff,variable,-0.18,-0.08,0.0,lin
voffcv,variable,-0.5,0.0,0.5,lin
vsat,variable,5000.0,80000.0,500000.0,log
vth0,variable,-2.0,0.5,2.0,lin
w0,variable,1.5e-11,2.5e-06,5e-06,log
wint,variable,-1e-07,0.0,1.5e-07,lin
ww,variable,-1e-13,0.0,1e-15,lin
wwl,variable,-1e-19,0.0,1e-19,lin
lwl,variable,-1e-19,0.0,1e-19,lin
voffl,variable,-1e-07,0.0,1e-08,lin
xpart,variable,0.0,0.0,1.0,lin
bin_pvsat,variable,0.0,0.0,1.0,lin
bin_prdsw,variable,0.0,0.0,1.0,lin
bin_ppclm,variable,0.0,0.0,1.0,lin
bin_wketa,variable,0.0,0.0,1.0,lin
bin_lketa,variable,0.0,0.0,1.0,lin
bin_pketa,variable,0.0,0.0,1.0,lin
bin_wk3,variable,0.0,0.0,1.0,lin
bin_wk3b,variable,0.0,0.0,1.0,lin
