vds,crss_25_0
0,0.00924952
0.05,0.00904792
0.1,0.00882494
0.15,0.00859696
0.2,0.00837783
0.25,0.00817588
0.3,0.00799431
0.35,0.00783305
0.4,0.00769042
0.45,0.00756418
0.5,0.00745206
0.55,0.00735202
0.6,0.00726228
0.65,0.00718135
0.7,0.00710797
0.75,0.00704112
0.8,0.00697993
0.85,0.00692366
0.9,0.00687173
0.95,0.0068236
1,0.00677886
1.05,0.00673713
1.1,0.00669809
1.15,0.00666147
1.2,0.00662703
1.25,0.00659457
1.3,0.0065639
1.35,0.00653488
1.4,0.00650735
1.45,0.00648119
1.5,0.0064563
1.55,0.00643258
1.6,0.00640993
1.65,0.00638828
1.7,0.00636756
1.75,0.00634771
1.8,0.00632866
1.85,0.00631036
1.9,0.00629277
1.95,0.00627583
2,0.00625952
