vgs,cgs_21_1
-2,3.79211E-07
-1.95,3.80843E-07
-1.8,3.86125E-07
-1.75,3.8803E-07
-1.7,3.90016E-07
-1.65,3.92088E-07
-1.6,3.94253E-07
-1.55,3.96517E-07
-1.5,3.9889E-07
-1.45,4.01379E-07
-1.4,4.03994E-07
-1.35,4.06747E-07
-1.3,4.0965E-07
-1.25,4.12716E-07
-1.2,4.15963E-07
-1.15,4.19406E-07
-1.1,4.23068E-07
-1.05,4.26972E-07
-1,4.31146E-07
-0.95,4.3562E-07
-0.9,4.40432E-07
-0.85,4.45626E-07
-0.8,4.51252E-07
-0.75,4.57372E-07
-0.7,4.64057E-07
-0.65,4.71396E-07
-0.6,4.79494E-07
-0.55,4.88487E-07
-0.5,4.98571E-07
-0.45,5.1011E-07
-0.4,5.24075E-07
-0.35,5.43834E-07
-0.3,5.82397E-07
-0.25,6.90925E-07
-0.2,1.06021E-06
-0.15,2.33763E-06
-0.1,6.75954E-06
-0.05,2.0375E-05
1.20737E-15,4.62775E-05
0.05,6.91994E-05
0.1,8.00278E-05
0.15,8.41829E-05
0.2,8.59666E-05
0.25,8.69193E-05
0.3,8.75222E-05
0.35,8.79376E-05
0.4,8.8232E-05
0.45,8.84397E-05
0.5,8.85814E-05
0.55,8.86713E-05
0.6,8.87199E-05
0.65,8.87348E-05
0.7,8.8722E-05
0.75,8.86861E-05
0.8,8.86309E-05
0.85,8.85593E-05
0.9,8.84739E-05
0.95,8.83766E-05
1,8.82691E-05
1.05,8.81529E-05
1.1,8.80291E-05
1.15,8.78989E-05
1.2,8.77631E-05
1.25,8.76224E-05
1.3,8.74775E-05
1.35,8.73291E-05
1.4,8.71776E-05
1.45,8.70235E-05
1.5,8.68672E-05
1.55,8.67091E-05
1.6,8.65495E-05
1.65,8.63887E-05
1.7,8.62269E-05
1.75,8.60644E-05
1.8,8.59014E-05
1.85,8.57381E-05
1.9,8.55747E-05
1.95,8.54114E-05
2,8.52483E-05
