vgs,cgb_22_1,cgb_22_0,cgb_22_2
-2,0.000211383,0.000208636,0.000137783
-1.95,0.000211474,0.000207926,0.000125627
-1.9,0.000211545,0.000207108,0.000114842
-1.85,0.000211593,0.000206144,0.000105179
-1.8,0.000211615,0.000205047,9.63585E-05
-1.75,0.000211606,0.000203803,8.85632E-05
-1.7,0.000211564,0.000202398,8.18302E-05
-1.65,0.000211484,0.000200814,7.60741E-05
-1.6,0.000211361,0.000199034,7.11601E-05
-1.55,0.000211191,0.000197033,6.69494E-05
-1.5,0.000210967,0.000194782,6.3318E-05
-1.45,0.000210684,0.000192245,6.01621E-05
-1.4,0.000210336,0.00018937,5.73976E-05
-1.35,0.000209916,0.000186089,5.49571E-05
-1.3,0.000209417,0.000182301,5.27866E-05
-1.25,0.000208831,0.000177866,5.08429E-05
-1.2,0.000208152,0.000172581,4.90913E-05
-1.15,0.000207369,0.000166183,4.75035E-05
-1.1,0.000206449,0.000158362,4.60565E-05
-1.05,0.000205393,0.000148858,4.47314E-05
-1,0.000204195,0.00013764,4.35126E-05
-0.95,0.00020284,0.000125486,4.23869E-05
-0.9,0.000201312,0.000114721,4.13433E-05
-0.85,0.000199593,0.000105067,4.03726E-05
-0.8,0.000197662,9.62587E-05,3.94667E-05
-0.75,0.00019549,8.84762E-05,3.86189E-05
-0.7,0.000193044,8.17556E-05,3.78233E-05
-0.65,0.000190278,7.60104E-05,3.70748E-05
-0.6,0.000187128,7.11057E-05,3.6369E-05
-0.55,0.000183506,6.69027E-05,3.57021E-05
-0.5,0.000179284,6.32775E-05,3.50705E-05
-0.45,0.000174281,6.01268E-05,3.44714E-05
-0.4,0.000168249,5.73666E-05,3.3902E-05
-0.35,0.000160883,5.49296E-05,3.33601E-05
-0.3,0.000151882,5.2762E-05,3.28433E-05
-0.25,0.000141068,5.08208E-05,3.235E-05
-0.2,0.000128642,4.90713E-05,3.18783E-05
-0.15,0.000115681,4.73385E-05,3.13289E-05
-0.1,0.000100904,4.57312E-05,3.0783E-05
-0.05,7.85083E-05,4.42607E-05,3.02603E-05
1.20737E-15,4.78935E-05,4.29089E-05,2.97593E-05
0.05,2.42867E-05,4.16602E-05,2.92784E-05
0.1,1.35473E-05,4.04981E-05,2.88165E-05
0.15,9.19464E-06,3.93903E-05,2.83723E-05
0.2,7.06222E-06,3.82071E-05,2.79446E-05
0.25,5.74173E-06,3.63043E-05,2.75324E-05
0.3,4.79645E-06,3.09485E-05,2.71337E-05
0.35,4.07162E-06,1.79597E-05,2.67424E-05
0.4,3.49726E-06,6.08611E-06,2.63264E-05
0.45,3.03343E-06,2.09804E-06,2.57107E-05
0.5,2.65374E-06,1.2117E-06,2.39951E-05
0.55,2.3394E-06,9.94944E-07,1.81081E-05
0.6,2.07658E-06,9.08113E-07,7.79818E-06
0.65,1.85485E-06,8.49259E-07,2.0884E-06
0.7,1.66624E-06,7.99248E-07,6.6733E-07
0.75,1.50459E-06,7.54163E-07,3.87766E-07
0.8,1.36509E-06,7.12927E-07,3.27815E-07
0.85,1.24392E-06,6.7503E-07,3.07993E-07
0.9,1.13807E-06,6.40105E-07,2.95843E-07
0.95,1.04508E-06,6.07848E-07,2.85521E-07
1,9.62974E-07,5.77994E-07,2.75947E-07
1.05,8.90142E-07,5.50312E-07,2.66898E-07
1.1,8.2525E-07,5.24596E-07,2.58308E-07
1.15,7.67196E-07,5.00664E-07,2.5014E-07
1.2,7.1506E-07,4.78357E-07,2.42367E-07
1.25,6.68072E-07,4.5753E-07,2.34964E-07
1.3,6.2558E-07,4.38056E-07,2.27907E-07
1.35,5.87033E-07,4.19821E-07,2.21175E-07
1.4,5.51961E-07,4.02721E-07,2.14749E-07
1.45,5.19961E-07,3.86665E-07,2.0861E-07
1.5,4.90686E-07,3.7157E-07,2.02742E-07
1.55,4.63838E-07,3.57361E-07,1.97128E-07
1.6,4.39157E-07,3.43969E-07,1.91755E-07
1.65,4.16418E-07,3.31334E-07,1.86608E-07
1.7,3.95422E-07,3.19399E-07,1.81676E-07
1.75,3.75997E-07,3.08115E-07,1.76947E-07
1.8,3.57991E-07,2.97434E-07,1.72409E-07
1.85,3.4127E-07,2.87314E-07,1.68052E-07
1.9,3.25714E-07,2.77718E-07,1.63868E-07
1.95,3.11219E-07,2.68609E-07,1.59846E-07
2,2.9769E-07,2.59955E-07,1.55979E-07
