vgs,cgg_23_0
-2,0.000209642
-1.95,0.000208935
-1.9,0.00020812
-1.85,0.00020716
-1.8,0.000206066
-1.75,0.000204826
-1.7,0.000203424
-1.65,0.000201845
-1.6,0.000200069
-1.55,0.000198072
-1.5,0.000195827
-1.45,0.000193294
-1.4,0.000190425
-1.35,0.000187149
-1.3,0.000183367
-1.25,0.000178938
-1.2,0.00017366
-1.15,0.000167269
-1.1,0.000159455
-1.05,0.000149959
-1,0.000138749
-0.95,0.000126604
-0.9,0.000115849
-0.85,0.000106205
-0.8,9.7408E-05
-0.75,8.96377E-05
-0.7,8.29304E-05
-0.65,7.71999E-05
-0.6,7.23114E-05
-0.55,6.81263E-05
-0.5,6.45212E-05
-0.45,6.13929E-05
-0.4,5.86579E-05
-0.35,5.62494E-05
-0.3,5.41142E-05
-0.25,5.22093E-05
-0.2,5.05001E-05
-0.15,4.88112E-05
-0.1,4.72495E-05
-0.05,4.58237E-05
1.20737E-15,4.45131E-05
0.05,4.3303E-05
0.1,4.21958E-05
0.15,4.12708E-05
0.2,4.09762E-05
0.25,4.32991E-05
0.3,5.67529E-05
0.35,9.77248E-05
0.4,0.000141244
0.45,0.000159556
0.5,0.00016582
0.55,0.000168651
0.6,0.000170347
0.65,0.000171509
0.7,0.000172341
0.75,0.000172943
0.8,0.000173374
0.85,0.000173674
0.9,0.000173872
0.95,0.000173987
1,0.000174036
1.05,0.00017403
1.1,0.00017398
1.15,0.000173891
1.2,0.000173771
1.25,0.000173624
1.3,0.000173453
1.35,0.000173263
1.4,0.000173057
1.45,0.000172836
1.5,0.000172602
1.55,0.000172358
1.6,0.000172105
1.65,0.000171843
1.7,0.000171575
1.75,0.000171302
1.8,0.000171023
1.85,0.000170741
1.9,0.000170455
1.95,0.000170166
2,0.000169876
