vgs,cgg_23_1,cgg_23_2
-2,0.000212388,0.000138788
-1.9,0.000212557,0.000115854
-1.85,0.000212608,0.000106194
-1.8,0.000212634,9.73775E-05
-1.75,0.000212629,8.9586E-05
-1.7,0.000212591,8.2857E-05
-1.65,0.000212515,7.7105E-05
-1.6,0.000212397,7.21954E-05
-1.55,0.000212231,6.79892E-05
-1.5,0.000212011,6.43625E-05
-1.45,0.000211733,6.12116E-05
-1.4,0.000211391,5.84524E-05
-1.35,0.000210976,5.60174E-05
-1.3,0.000210483,5.38527E-05
-1.25,0.000209904,5.19151E-05
-1.2,0.00020923,5.01699E-05
-1.15,0.000208454,4.8589E-05
-1.1,0.000207542,4.71494E-05
-1.05,0.000206494,4.58321E-05
-1,0.000205304,4.46216E-05
-0.95,0.000203958,4.35049E-05
-0.9,0.00020244,4.2471E-05
-0.85,0.000200731,4.15106E-05
-0.8,0.000198811,4.0616E-05
-0.75,0.000196652,3.97804E-05
-0.7,0.000194219,3.89981E-05
-0.65,0.000191467,3.82643E-05
-0.6,0.000188334,3.75747E-05
-0.55,0.00018473,3.69257E-05
-0.5,0.000180528,3.63142E-05
-0.45,0.000175547,3.57375E-05
-0.4,0.000169544,3.51934E-05
-0.35,0.000162218,3.46799E-05
-0.3,0.000153293,3.41955E-05
-0.25,0.000142697,3.37384E-05
-0.2,0.000131009,3.33071E-05
-0.15,0.000120603,3.28015E-05
-0.1,0.00011467,3.23012E-05
-0.05,0.000119505,3.18231E-05
1.20737E-15,0.000140695,3.13624E-05
0.05,0.000162932,3.09151E-05
0.1,0.00017385,3.04789E-05
0.15,0.000177807,3.00535E-05
0.2,0.000179242,2.96392E-05
0.25,0.000179827,2.92378E-05
0.3,0.000180088,2.88552E-05
0.35,0.000180193,2.85251E-05
0.4,0.000180208,2.84341E-05
0.45,0.00018016,2.95025E-05
0.5,0.000180063,3.57911E-05
0.55,0.000179929,6.23446E-05
0.6,0.000179763,0.000114556
0.65,0.000179571,0.000148244
0.7,0.000179357,0.000159714
0.75,0.000179124,0.000163981
0.8,0.000178874,0.00016622
0.85,0.000178609,0.000167688
0.9,0.000178333,0.000168737
0.95,0.000178045,0.000169509
1,0.000177748,0.000170079
1.05,0.000177443,0.000170497
1.1,0.00017713,0.000170796
1.15,0.000176812,0.000171002
1.2,0.000176488,0.000171131
1.25,0.00017616,0.000171198
1.3,0.000175827,0.000171214
1.35,0.000175492,0.000171187
1.4,0.000175154,0.000171123
1.45,0.000174814,0.000171029
1.5,0.000174472,0.000170909
1.55,0.000174129,0.000170767
1.6,0.000173785,0.000170606
1.65,0.00017344,0.000170428
1.7,0.000173096,0.000170236
1.75,0.000172751,0.000170031
1.8,0.000172408,0.000169816
1.85,0.000172064,0.000169592
1.9,0.000171722,0.00016936
1.95,0.000171381,0.000169121
2,0.000171041,0.000168877
