vgs,cgd_20_0,cgd_20_2,cgd_20_1
-2,6.25952E-07,6.25952E-07,6.25952E-07
-1.95,6.27583E-07,6.27583E-07,6.27583E-07
-1.9,6.29276E-07,6.29276E-07,6.29276E-07
-1.85,6.31036E-07,6.31036E-07,6.31036E-07
-1.8,6.32865E-07,6.32865E-07,6.32865E-07
-1.75,6.34771E-07,6.34771E-07,6.34771E-07
-1.7,6.36756E-07,6.36756E-07,6.36756E-07
-1.65,6.38828E-07,6.38828E-07,6.38828E-07
-1.6,6.40993E-07,6.40993E-07,6.40993E-07
-1.55,6.43257E-07,6.43257E-07,6.43257E-07
-1.5,6.4563E-07,6.4563E-07,6.4563E-07
-1.45,6.48119E-07,6.48119E-07,6.48119E-07
-1.4,6.50734E-07,6.50734E-07,6.50734E-07
-1.35,6.53487E-07,6.53487E-07,6.53487E-07
-1.3,6.5639E-07,6.5639E-07,6.5639E-07
-1.25,6.59457E-07,6.59457E-07,6.59457E-07
-1.2,6.62703E-07,6.62703E-07,6.62703E-07
-1.15,6.66146E-07,6.66146E-07,6.66146E-07
-1.1,6.69808E-07,6.69808E-07,6.69808E-07
-1.05,6.73713E-07,6.73713E-07,6.73713E-07
-1,6.77886E-07,6.77886E-07,6.77886E-07
-0.95,6.8236E-07,6.8236E-07,6.8236E-07
-0.9,6.87173E-07,6.87173E-07,6.87173E-07
-0.85,6.92366E-07,6.92366E-07,6.92366E-07
-0.8,6.97993E-07,6.97993E-07,6.97993E-07
-0.75,7.04112E-07,7.04112E-07,7.04112E-07
-0.7,7.10797E-07,7.10797E-07,7.10798E-07
-0.65,7.18134E-07,7.18134E-07,7.18136E-07
-0.6,7.26227E-07,7.26227E-07,7.26234E-07
-0.55,7.35201E-07,7.35201E-07,7.35227E-07
-0.5,7.45206E-07,7.45206E-07,7.45311E-07
-0.45,7.56417E-07,7.56417E-07,7.5685E-07
-0.4,7.69042E-07,7.69042E-07,7.70815E-07
-0.35,7.83305E-07,7.83305E-07,7.90574E-07
-0.3,7.99431E-07,7.99431E-07,8.29138E-07
-0.25,8.17588E-07,8.17588E-07,9.37665E-07
-0.2,8.37783E-07,8.37783E-07,1.30695E-06
-0.15,8.59698E-07,8.59696E-07,2.58437E-06
-0.1,8.82509E-07,8.82494E-07,7.00628E-06
-0.05,9.04882E-07,9.04791E-07,2.06217E-05
1.20737E-15,9.25482E-07,9.24952E-07,4.65243E-05
0.05,9.44768E-07,9.41698E-07,6.94461E-05
0.1,9.72212E-07,9.54586E-07,8.02746E-05
0.15,1.0636E-06,9.63968E-07,8.44297E-05
0.2,1.50787E-06,9.70679E-07,8.62134E-05
0.25,3.62081E-06,9.76058E-07,8.71661E-05
0.3,1.30256E-05,9.84095E-07,8.77689E-05
0.35,4.0006E-05,1.01472E-06,8.81843E-05
0.4,6.77023E-05,1.1772E-06,8.84788E-05
0.45,7.88522E-05,2.01923E-06,8.86864E-05
0.5,8.24273E-05,6.02141E-06,8.88281E-05
0.55,8.39513E-05,2.22416E-05,8.89181E-05
0.6,8.4843E-05,5.35025E-05,8.89666E-05
0.65,8.54532E-05,7.32012E-05,8.89815E-05
0.7,8.58943E-05,7.96465E-05,8.89687E-05
0.75,8.62178E-05,8.19198E-05,8.89328E-05
0.8,8.6454E-05,8.30696E-05,8.88776E-05
0.85,8.6623E-05,8.38133E-05,8.88061E-05
0.9,8.67392E-05,8.4344E-05,8.87206E-05
0.95,8.6813E-05,8.4735E-05,8.86233E-05
1,8.68524E-05,8.50249E-05,8.85158E-05
1.05,8.68634E-05,8.52384E-05,8.83996E-05
1.1,8.68509E-05,8.53924E-05,8.82759E-05
1.15,8.68186E-05,8.54991E-05,8.81457E-05
1.2,8.67696E-05,8.55676E-05,8.80098E-05
1.25,8.67064E-05,8.56049E-05,8.78691E-05
1.3,8.6631E-05,8.56163E-05,8.77243E-05
1.35,8.65452E-05,8.56061E-05,8.75758E-05
1.4,8.64504E-05,8.55776E-05,8.74244E-05
1.45,8.63479E-05,8.55338E-05,8.72703E-05
1.5,8.62387E-05,8.54767E-05,8.7114E-05
1.55,8.61237E-05,8.54084E-05,8.69559E-05
1.6,8.60037E-05,8.53304E-05,8.67962E-05
1.65,8.58794E-05,8.5244E-05,8.66354E-05
1.7,8.57513E-05,8.51504E-05,8.64736E-05
1.75,8.56201E-05,8.50505E-05,8.63111E-05
1.8,8.54862E-05,8.49453E-05,8.61481E-05
1.85,8.535E-05,8.48354E-05,8.59848E-05
1.9,8.52119E-05,8.47214E-05,8.58215E-05
1.95,8.50722E-05,8.46041E-05,8.56581E-05
2,8.49313E-05,8.44838E-05,8.5495E-05
