vds,ciss_24_0
0,0.0160422
0.05,0.0158376
0.1,0.0156143
0.15,0.0153862
0.2,0.0151671
0.25,0.0149651
0.3,0.0147835
0.35,0.0146223
0.4,0.0144796
0.45,0.0143534
0.5,0.0142413
0.55,0.0141412
0.6,0.0140515
0.65,0.0139705
0.7,0.0138972
0.75,0.0138303
0.8,0.0137691
0.85,0.0137129
0.9,0.0136609
0.95,0.0136128
1,0.0135681
1.05,0.0135263
1.1,0.0134873
1.15,0.0134507
1.2,0.0134162
1.25,0.0133838
1.3,0.0133531
1.35,0.0133241
1.4,0.0132965
1.45,0.0132704
1.5,0.0132455
1.55,0.0132218
1.6,0.0131991
1.65,0.0131775
1.7,0.0131568
1.75,0.0131369
1.8,0.0131178
1.85,0.0130995
1.9,0.013082
1.95,0.013065
2,0.0130487
