 v-sweep         i(v_s_13_2)     v(g_16_0)       v(g_17_4)       v(g_15_0)       i(v_s_12_3)     v(g_17_0)       i(v_s_12_2)     i(v_s_13_0)     v(g_10_0)       v(g_14_1)       v(g_19_4)       i(v_s_13_1)     i(v_s_15_4)     i(v_s_17_4)     v(g_13_0)       i(v_s_12_4)     i(v_s_16_4)     i(v_s_19_4)     i(v_s_14_0)     v(g_18_0)       i(v_s_10_3)     i(v_s_18_1)     i(v_s_15_2)     v(g_13_4)       i(v_s_10_1)     v(g_17_1)       v(g_19_2)       i(v_s_17_2)     i(v_s_15_3)     i(v_s_16_3)     i(v_s_16_0)     i(v_s_14_3)     v(g_13_3)       v(g_16_3)       v(g_14_3)       i(v_s_19_2)     v(g_11_1)       i(v_s_10_4)     i(v_s_11_0)     i(v_s_14_2)     v(g_18_2)       v(g_11_3)       i(v_s_15_1)     v(g_14_0)       v(g_19_1)       v(g_11_4)       v(g_11_0)       v(g_10_1)       i(v_s_15_0)     v(g_12_4)       v(g_15_4)       i(v_s_10_2)     v(g_17_3)       v(g_15_2)       v(g_17_2)       v(g_10_2)       i(v_s_13_3)     i(v_s_19_0)     v(g_18_4)       i(v_s_19_1)     i(v_s_13_4)     i(v_s_11_2)     i(v_s_16_2)     i(v_s_17_0)     v(g_14_2)       v(g_12_3)       v(g_19_0)       i(v_s_11_4)     i(v_s_12_1)     v(g_15_3)       v(g_12_1)       v(g_10_4)       i(v_s_14_4)     v(g_16_4)       v(g_16_2)       v(g_12_2)       i(v_s_18_3)     v(g_13_2)       i(v_s_10_0)     i(v_s_17_1)     i(v_s_11_1)     v(g_12_0)       v(g_16_1)       i(v_s_18_4)     i(v_s_12_0)     v(g_18_3)       v(g_15_1)       i(v_s_17_3)     i(v_s_18_0)     v(g_18_1)       v(g_10_3)       i(v_s_16_1)     i(v_s_19_3)     v(g_13_1)       v(g_19_3)       v(g_14_4)       i(v_s_11_3)     i(v_s_18_2)     i(v_s_14_1)     v(g_11_2)      
-5.00000000e-01 -5.00100499e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100492e-13 -5.00000000e-01 -5.00100500e-13 -1.00010050e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -7.50100500e-13  1.18422263e-20  4.86728159e-19 -5.00000000e-01  2.55132044e-20  7.43339760e-20  1.04503694e-19 -1.00010010e-12 -5.00000000e-01 -2.50100991e-13 -7.50100500e-13 -5.00100100e-13 -5.00000000e-01 -7.50101000e-13 -5.00000000e-01 -5.00000000e-01 -5.00100996e-13 -2.50100093e-13 -2.50100988e-13 -1.00010100e-12 -2.50100094e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00100499e-13 -5.00000000e-01  4.69849111e-20 -1.00010100e-12 -5.00100100e-13 -5.00000000e-01 -5.00000000e-01 -7.50100100e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -1.00010010e-12 -5.00000000e-01 -5.00000000e-01 -5.00101000e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100482e-13 -1.00010050e-12 -5.00000000e-01 -7.50100500e-13  1.67052357e-19 -5.00100998e-13 -5.00100999e-13 -1.00010100e-12 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  3.04487075e-19 -7.50100500e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01  1.67630282e-21 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100493e-13 -5.00000000e-01 -1.00010100e-12 -7.50101000e-13 -7.50101000e-13 -5.00000000e-01 -5.00000000e-01  1.61260165e-20 -1.00010050e-12 -5.00000000e-01 -5.00000000e-01 -2.50100958e-13 -1.00010050e-12 -5.00000000e-01 -5.00000000e-01 -7.50101000e-13 -2.50100486e-13 -5.00000000e-01 -5.00000000e-01 -5.00000000e-01 -2.50100971e-13 -5.00100500e-13 -7.50100100e-13 -5.00000000e-01 
-4.00000000e-01 -5.00100494e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100485e-13 -4.00000000e-01 -5.00100499e-13 -1.00010050e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -7.50100499e-13  5.42072956e-20  2.22797749e-18 -4.00000000e-01  1.16785614e-19  3.40260620e-19  4.78361228e-19 -1.00010010e-12 -4.00000000e-01 -2.50100978e-13 -7.50100500e-13 -5.00100100e-13 -4.00000000e-01 -7.50101000e-13 -4.00000000e-01 -4.00000000e-01 -5.00100983e-13 -2.50100090e-13 -2.50100969e-13 -1.00010100e-12 -2.50100093e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -5.00100496e-13 -4.00000000e-01  2.15071432e-19 -1.00010100e-12 -5.00100100e-13 -4.00000000e-01 -4.00000000e-01 -7.50100100e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -1.00010010e-12 -4.00000000e-01 -4.00000000e-01 -5.00100998e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100437e-13 -1.00010050e-12 -4.00000000e-01 -7.50100500e-13  7.64675095e-19 -5.00100989e-13 -5.00100997e-13 -1.00010100e-12 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  1.39377663e-18 -7.50100500e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01  7.67320602e-21 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100489e-13 -4.00000000e-01 -1.00010100e-12 -7.50100998e-13 -7.50100999e-13 -4.00000000e-01 -4.00000000e-01  7.38161571e-20 -1.00010050e-12 -4.00000000e-01 -4.00000000e-01 -2.50100826e-13 -1.00010050e-12 -4.00000000e-01 -4.00000000e-01 -7.50101000e-13 -2.50100458e-13 -4.00000000e-01 -4.00000000e-01 -4.00000000e-01 -2.50100889e-13 -5.00100499e-13 -7.50100100e-13 -4.00000000e-01 
-3.00000000e-01 -5.00098648e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50097895e-13 -3.00000000e-01 -5.00100220e-13 -1.00010046e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -7.50100250e-13  1.51625678e-17  6.23190268e-16 -3.00000000e-01  3.26663283e-17  9.51747081e-17  1.33803129e-16 -1.00010010e-12 -3.00000000e-01 -2.50096182e-13 -7.50100476e-13 -5.00099974e-13 -3.00000000e-01 -7.50100930e-13 -3.00000000e-01 -3.00000000e-01 -5.00095571e-13 -2.50098910e-13 -2.50093393e-13 -1.00010098e-12 -2.50099927e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -5.00099338e-13 -3.00000000e-01  6.01577767e-17 -1.00010093e-12 -5.00100082e-13 -3.00000000e-01 -3.00000000e-01 -7.50100083e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -1.00010010e-12 -3.00000000e-01 -3.00000000e-01 -5.00100479e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50083387e-13 -1.00010047e-12 -3.00000000e-01 -7.50100343e-13  2.13888739e-16 -5.00097593e-13 -5.00100178e-13 -1.00010088e-12 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  3.89854211e-16 -7.50100462e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01  2.14630715e-18 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50098848e-13 -3.00000000e-01 -1.00010099e-12 -7.50100267e-13 -7.50100539e-13 -3.00000000e-01 -3.00000000e-01  2.06472269e-17 -1.00010049e-12 -3.00000000e-01 -3.00000000e-01 -2.50050966e-13 -1.00010050e-12 -3.00000000e-01 -3.00000000e-01 -7.50100889e-13 -2.50089773e-13 -3.00000000e-01 -3.00000000e-01 -3.00000000e-01 -2.50069642e-13 -5.00100322e-13 -7.50100098e-13 -3.00000000e-01 
-2.00000000e-01 -5.00029939e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50004006e-13 -2.00000000e-01 -5.00089821e-13 -1.00009893e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -7.50090798e-13  5.42545087e-16  2.22975446e-14 -2.00000000e-01  1.16880606e-15  3.40532003e-15  4.78745716e-15 -1.00010009e-12 -2.00000000e-01 -2.49922350e-13 -7.50099571e-13 -5.00095302e-13 -2.00000000e-01 -7.50098272e-13 -2.00000000e-01 -2.00000000e-01 -4.99894109e-13 -2.50056156e-13 -2.49818831e-13 -1.00010030e-12 -2.50093901e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -5.00056224e-13 -2.00000000e-01  2.15240476e-15 -1.00009809e-12 -5.00099426e-13 -2.00000000e-01 -2.00000000e-01 -7.50099449e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -1.00010000e-12 -2.00000000e-01 -2.00000000e-01 -5.00081153e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.49465426e-13 -1.00009951e-12 -2.00000000e-01 -7.50094406e-13  7.65297074e-15 -4.99971177e-13 -5.00069690e-13 -1.00009637e-12 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  1.39487212e-14 -7.50099036e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01  7.67988916e-17 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.50039406e-13 -2.00000000e-01 -1.00010056e-12 -7.50072496e-13 -7.50083096e-13 -2.00000000e-01 -2.00000000e-01  7.38754879e-16 -1.00010026e-12 -2.00000000e-01 -2.00000000e-01 -2.48243794e-13 -1.00010035e-12 -2.00000000e-01 -2.00000000e-01 -7.50096700e-13 -2.49702508e-13 -2.00000000e-01 -2.00000000e-01 -2.00000000e-01 -2.48937113e-13 -5.00093731e-13 -7.50100009e-13 -2.00000000e-01 
-1.00000000e-01 -4.97442418e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.46559505e-13 -1.00000000e-01 -4.99698223e-13 -1.00003912e-12 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -7.49727707e-13  1.91937891e-14  7.88539266e-13 -1.00000000e-01  4.13373793e-14  1.20427108e-13  1.69310759e-13 -1.00009953e-12 -1.00000000e-01 -2.43545256e-13 -7.50064817e-13 -4.99919366e-13 -1.00000000e-01 -7.49996169e-13 -1.00000000e-01 -1.00000000e-01 -4.92307361e-13 -2.48487467e-13 -2.39746211e-13 -1.00007382e-12 -2.49872812e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -4.98432594e-13 -1.00000000e-01  7.61141236e-14 -9.99987476e-13 -5.00074708e-13 -1.00000000e-01 -1.00000000e-01 -7.50075088e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00009603e-12 -1.00000000e-01 -1.00000000e-01 -4.99353374e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.26794286e-13 -1.00006192e-12 -1.00000000e-01 -7.49866345e-13  2.70664008e-13 -4.95210582e-13 -4.98921533e-13 -9.99920406e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  4.93259717e-13 -7.50044256e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01  2.71693869e-15 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.47858688e-13 -1.00000000e-01 -1.00008375e-12 -7.49005783e-13 -7.49413080e-13 -1.00000000e-01 -1.00000000e-01  2.61264291e-14 -1.00009126e-12 -1.00000000e-01 -1.00000000e-01 -1.81945714e-13 -1.00009464e-12 -1.00000000e-01 -1.00000000e-01 -7.49935766e-13 -2.35495123e-13 -1.00000000e-01 -1.00000000e-01 -1.00000000e-01 -2.07389767e-13 -4.99845514e-13 -7.50096594e-13 -1.00000000e-01 
-2.77555756e-17 -4.02667061e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -1.23674387e-13 -2.77555756e-17 -4.85354819e-13 -9.97769801e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -7.36162886e-13  6.60849691e-13  2.70918257e-11 -2.77555756e-17  1.42088347e-12  4.13752501e-12  5.81805216e-12 -1.00007846e-12 -2.77555756e-17 -1.60946864e-14 -7.48766436e-13 -4.93474029e-13 -2.77555756e-17 -7.46181806e-13 -2.77555756e-17 -2.77555756e-17 -2.14435018e-13 -1.92494024e-13  1.19549944e-13 -9.99068986e-13 -2.41981156e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -4.38964308e-13 -2.77555756e-17  2.61418237e-12 -9.95790014e-13 -4.99169168e-13 -2.77555756e-17 -2.77555756e-17 -7.49164900e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -9.99945370e-13 -2.77555756e-17 -2.77555756e-17 -4.72698703e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  5.82015261e-13 -9.98635402e-13 -2.77555756e-17 -7.41346254e-13  9.30347178e-12 -3.20855383e-13 -4.56869136e-13 -9.93243055e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  1.69412120e-11 -7.47997691e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  9.35452794e-14 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17 -1.70066769e-13 -2.77555756e-17 -9.99445787e-13 -7.09154870e-13 -7.24382560e-13 -2.77555756e-17 -2.77555756e-17  8.97789151e-13 -9.99749757e-13 -2.77555756e-17 -2.77555756e-17  2.18294424e-12 -9.99877821e-13 -2.77555756e-17 -2.77555756e-17 -7.43923497e-13  2.71319261e-13 -2.77555756e-17 -2.77555756e-17 -2.77555756e-17  1.27447064e-12 -4.90754137e-13 -7.49969026e-13 -2.77555756e-17 
 1.00000000e-01  2.97356585e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01  4.13150837e-12  1.00000000e-01  2.56083352e-14 -9.13953758e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01 -2.42991225e-13  2.21045908e-11  8.95173238e-10  1.00000000e-01  4.70758855e-11  1.36727703e-10  1.92438432e-10 -9.99299942e-13  1.00000000e-01  7.84838846e-12 -7.01564969e-13 -2.63618722e-13  1.00000000e-01 -6.07532469e-13  1.00000000e-01  1.00000000e-01  9.68136989e-12  1.75236983e-12  1.25504881e-11 -9.61957786e-13  3.21260138e-14  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.67911954e-12  1.00000000e-01  8.62248279e-11 -8.40772634e-13 -4.66875558e-13  1.00000000e-01  1.00000000e-01 -7.16059546e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01 -9.94380007e-13  1.00000000e-01  1.00000000e-01  4.76340576e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  1.00000000e-01  2.85887228e-11 -9.45949455e-13  1.00000000e-01 -4.31606131e-13  3.08214079e-10  5.88704960e-12  1.04073528e-12 -7.46631483e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  5.58703722e-10 -6.73591410e-13  1.00000000e-01  1.00000000e-01  1.00000000e-01  3.12898783e-12  1.00000000e-01  1.00000000e-01  1.00000000e-01  2.52227761e-12  1.00000000e-01 -9.75885190e-13  7.39520856e-13  1.85458522e-13  1.00000000e-01  1.00000000e-01  2.96981705e-11 -9.87136420e-13  1.00000000e-01  1.00000000e-01  8.40026130e-11 -9.91870146e-13  1.00000000e-01  1.00000000e-01 -5.25363154e-13  1.78117838e-11  1.00000000e-01  1.00000000e-01  1.00000000e-01  5.25115879e-11 -1.66945906e-13 -7.45329115e-13  1.00000000e-01 
 2.00000000e-01  1.19335483e-10  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.44960775e-10  2.00000000e-01  1.76364916e-11  2.09807551e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.71763797e-11  7.09457367e-10  2.68807075e-08  2.00000000e-01  1.43673003e-09  4.11900875e-09  5.81017527e-09 -9.71293603e-13  2.00000000e-01  2.66019151e-10  9.64952170e-13  7.70895038e-12  2.00000000e-01  4.28385908e-12  2.00000000e-01  2.00000000e-01  3.50139425e-10  6.72503742e-11  4.22025225e-10  3.71285183e-13  9.26349702e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01  7.46011563e-11  2.00000000e-01  2.57361383e-09  4.72712077e-12  6.53235786e-13  2.00000000e-01  2.00000000e-01  4.56187296e-13  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01 -7.94170984e-13  2.00000000e-01  2.00000000e-01  3.30872589e-11  2.00000000e-01  2.00000000e-01  2.00000000e-01  2.00000000e-01  9.55275288e-10  9.47046470e-13  2.00000000e-01  1.05041611e-11  9.38516915e-09  2.19191452e-10  5.25669968e-11  8.11303259e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.66090117e-08  1.95453302e-12  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.00442723e-10  2.00000000e-01  2.00000000e-01  2.00000000e-01  9.13729247e-11  2.00000000e-01 -1.29637607e-13  5.18726831e-11  3.22833519e-11  2.00000000e-01  2.00000000e-01  8.99209145e-10 -5.33860795e-13  2.00000000e-01  2.00000000e-01  2.77820847e-09 -7.04155620e-13  2.00000000e-01  2.00000000e-01  7.18910000e-12  5.96493821e-10  2.00000000e-01  2.00000000e-01  2.00000000e-01  1.73376144e-09  1.09816478e-11 -5.81031746e-13  2.00000000e-01 
 3.00000000e-01  3.87545938e-09  3.00000000e-01  3.00000000e-01  3.00000000e-01  4.26177438e-09  3.00000000e-01  5.86663268e-10  1.06875891e-10  3.00000000e-01  3.00000000e-01  3.00000000e-01  6.07343533e-10  2.04190642e-08  5.73948163e-07  3.00000000e-01  3.40256021e-08  9.35576845e-08  1.26797283e-07  9.01859046e-15  3.00000000e-01  7.53825803e-09  5.73007170e-11  2.74512150e-10  3.00000000e-01  1.68904883e-10  3.00000000e-01  3.00000000e-01  1.12328166e-08  2.15730390e-09  1.21337161e-08  4.66716583e-11  3.03988804e-10  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.41458673e-09  3.00000000e-01  5.68471739e-08  1.97835892e-10  3.81403837e-11  3.00000000e-01  3.00000000e-01  4.07531521e-11  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  6.21377819e-12  3.00000000e-01  3.00000000e-01  1.06995647e-09  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.78583856e-08  6.67290458e-11  3.00000000e-01  3.80110264e-10  2.12006703e-07  6.98931354e-09  1.70190316e-09  3.15775823e-10  3.00000000e-01  3.00000000e-01  3.00000000e-01  3.41147912e-07  9.10089221e-11  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.90432069e-09  3.00000000e-01  3.00000000e-01  3.00000000e-01  2.65439933e-09  3.00000000e-01  2.92218872e-11  1.77731112e-09  1.11224067e-09  3.00000000e-01  3.00000000e-01  2.07572928e-08  1.52344250e-11  3.00000000e-01  3.00000000e-01  7.90930328e-08  9.29433274e-12  3.00000000e-01  3.00000000e-01  2.67564342e-10  1.71470562e-08  3.00000000e-01  3.00000000e-01  3.00000000e-01  4.85274593e-08  3.69165546e-10  5.06688396e-12  3.00000000e-01 
 4.00000000e-01  1.00467317e-07  4.00000000e-01  4.00000000e-01  4.00000000e-01  8.75819698e-08  4.00000000e-01  1.55797782e-08  3.52478946e-09  4.00000000e-01  4.00000000e-01  4.00000000e-01  1.84582178e-08  3.99028307e-07  5.20648680e-06  4.00000000e-01  4.38643624e-07  1.08899403e-06  1.20076573e-06  3.31407255e-11  4.00000000e-01  1.40920768e-07  1.74946308e-09  8.49567188e-09  4.00000000e-01  5.01081050e-09  4.00000000e-01  4.00000000e-01  2.78823469e-07  5.82555513e-08  2.35550129e-07  1.54440425e-09  8.32233861e-09  4.00000000e-01  4.00000000e-01  4.00000000e-01  6.09739227e-08  4.00000000e-01  6.18713996e-07  6.39302705e-09  1.19558747e-09  4.00000000e-01  4.00000000e-01  1.36052549e-09  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.43048087e-10  4.00000000e-01  4.00000000e-01  2.67856695e-08  4.00000000e-01  4.00000000e-01  4.00000000e-01  4.00000000e-01  5.16940075e-07  2.20009395e-09  4.00000000e-01  1.14179639e-08  2.14875731e-06  1.68335186e-07  4.36203653e-08  1.02551792e-08  4.00000000e-01  4.00000000e-01  4.00000000e-01  2.88830262e-06  2.79717542e-09  4.00000000e-01  4.00000000e-01  4.00000000e-01  6.14150224e-08  4.00000000e-01  4.00000000e-01  4.00000000e-01  5.27023921e-08  4.00000000e-01  9.72399513e-10  5.28768713e-08  3.26174806e-08  4.00000000e-01  4.00000000e-01  2.51676891e-07  5.30067812e-10  4.00000000e-01  4.00000000e-01  1.35449411e-06  3.33921178e-10  4.00000000e-01  4.00000000e-01  8.02964644e-09  3.02963412e-07  4.00000000e-01  4.00000000e-01  4.00000000e-01  7.87843922e-07  9.60172293e-09  1.90103179e-10  4.00000000e-01 
