vgs,cgs_21_2,cgs_21_0
-2,3.79211E-07,3.79211E-07
-1.95,3.80843E-07,3.80843E-07
-1.9,3.82536E-07,3.82536E-07
-1.85,3.84296E-07,3.84296E-07
-1.8,3.86125E-07,3.86125E-07
-1.75,3.8803E-07,3.8803E-07
-1.7,3.90016E-07,3.90016E-07
-1.65,3.92088E-07,3.92088E-07
-1.6,3.94253E-07,3.94253E-07
-1.55,3.96517E-07,3.96517E-07
-1.5,3.9889E-07,3.9889E-07
-1.45,4.01379E-07,4.01379E-07
-1.4,4.03994E-07,4.03994E-07
-1.35,4.06747E-07,4.06747E-07
-1.3,4.0965E-07,4.0965E-07
-1.25,4.12716E-07,4.12716E-07
-1.2,4.15963E-07,4.15963E-07
-1.15,4.19406E-07,4.19406E-07
-1.1,4.23068E-07,4.23068E-07
-1.05,4.26972E-07,4.26972E-07
-1,4.31146E-07,4.31146E-07
-0.95,4.3562E-07,4.3562E-07
-0.9,4.40432E-07,4.40432E-07
-0.85,4.45626E-07,4.45626E-07
-0.8,4.51252E-07,4.51252E-07
-0.75,4.57372E-07,4.57372E-07
-0.7,4.64057E-07,4.64057E-07
-0.65,4.71394E-07,4.71394E-07
-0.6,4.79487E-07,4.79487E-07
-0.55,4.88461E-07,4.88461E-07
-0.5,4.98465E-07,4.98465E-07
-0.45,5.09677E-07,5.09677E-07
-0.4,5.22302E-07,5.22302E-07
-0.35,5.36565E-07,5.36565E-07
-0.3,5.52691E-07,5.52691E-07
-0.25,5.70848E-07,5.70848E-07
-0.2,5.91043E-07,5.91043E-07
-0.15,6.12955E-07,6.12955E-07
-0.1,6.35754E-07,6.35754E-07
-0.05,6.58051E-07,6.58051E-07
1.20737E-15,6.78212E-07,6.78212E-07
0.05,6.94958E-07,6.9496E-07
0.1,7.07841E-07,7.07855E-07
0.15,7.172E-07,7.17279E-07
0.2,7.2377E-07,7.24221E-07
0.25,7.28317E-07,7.30864E-07
0.3,7.31468E-07,7.45736E-07
0.35,7.33685E-07,8.1255E-07
0.4,7.3535E-07,1.15438E-06
0.45,7.3709E-07,2.77974E-06
0.5,7.41455E-07,1.00129E-05
0.55,7.62204E-07,3.32531E-05
0.6,8.7476E-07,6.27551E-05
0.65,1.45994E-06,7.65335E-05
0.7,4.22158E-06,8.09573E-05
0.75,1.60289E-05,8.27054E-05
0.8,4.48374E-05,8.3668E-05
0.85,6.88513E-05,8.4309E-05
0.9,7.76159E-05,8.47676E-05
0.95,8.0515E-05,8.51024E-05
1,8.18398E-05,8.53465E-05
1.05,8.265E-05,8.55214E-05
1.1,8.32155E-05,8.56421E-05
1.15,8.36288E-05,8.57196E-05
1.2,8.39343E-05,8.57622E-05
1.25,8.41592E-05,8.57762E-05
1.3,8.43219E-05,8.57665E-05
1.35,8.44356E-05,8.5737E-05
1.4,8.45098E-05,8.56908E-05
1.45,8.4552E-05,8.56306E-05
1.5,8.45678E-05,8.55583E-05
1.55,8.45617E-05,8.54758E-05
1.6,8.45372E-05,8.53845E-05
1.65,8.44971E-05,8.52857E-05
1.7,8.44439E-05,8.51804E-05
1.75,8.43795E-05,8.50695E-05
1.8,8.43054E-05,8.49539E-05
1.85,8.42232E-05,8.48341E-05
1.9,8.41338E-05,8.47109E-05
1.95,8.40384E-05,8.45847E-05
2,8.39378E-05,8.4456E-05
