name,min,default,max,scale,mode
R14,10e3,32.4e3,200e3,log,variable
R11,10e3,95.3e3,200e3,log,variable
R13,10e3,33.8e3,200e3,log,variable
R12,10e3,33.8e3,200e3,log,variable
R15,1e3,10e3,100e3,log,variable
R16,1e3,10e3,100e3,log,variable
R21,10e3,26.7e3,200e3,log,variable
R22,10e3,16.2e3,200e3,log,variable
R23,10e3,16.2e3,200e3,log,variable
R24,10e3,16.2e3,200e3,log,variable
R25,1e3,10e3,100e3,log,variable
R26,1e3,10e3,100e3,log,variable
R31,10e3,12.7e3,200e3,log,variable
R32,10e3,16.2e3,200e3,log,variable
R33,10e3,16.2e3,200e3,log,variable
R34,10e3,16.2e3,200e3,log,variable
R35,1e3,10e3,100e3,log,variable
R36,1e3,10e3,100e3,log,variable
R41,1e3,4.22e3,100e3,log,variable
R42,1e3,12.2e3,100e3,log,variable
C11,100e-12,1200e-12,10e-9,log,variable
C12,100e-12,1200e-12,10e-9,log,variable
C21,100e-12,1800e-12,10e-9,log,variable
C22,100e-12,1800e-12,10e-9,log,variable
C31,100e-12,2200e-12,10e-9,log,variable
C32,100e-12,2200e-12,10e-9,log,variable
C41,100e-12,1200e-12,10e-9,log,variable
gain,1,5,20,log,variable
