name,mode,min,default,max,scale
a0,variable,-1,1,3,lin
a1,variable,-0.1,0,0.1,lin
a2,variable,0,1,2,lin
acde,variable,0.4,1,1.6,lin
ags,variable,-1.5,0,1.5,lin
cf,variable,-2E-10,0,2E-10,lin
cgdl,variable,-0.0000000051,1E-10,0.0000000051,lin
cgdo,variable,1E-12,1E-10,4E-10,lin
ckappas,variable,0.1,0.6,20,lin
clc,variable,0,0.0000001,0.0000003,lin
cle,variable,0.2,0.6,1,lin
dlc,variable,-0.0000001,0,0.0000001,lin
drout,variable,0.1,0.56,1,lin
dsub,variable,0.1,0.56,1,lin
dvt0,variable,0,2.2,4.4,lin
dvt0w,variable,-10,0,10,lin
dvt1,variable,0.1,0.53,1.5,lin
dvt1w,variable,0.1,5300000,10000000,log
dvt2,variable,-0.12,-0.032,0.12,lin
dvt2w,variable,-0.05,-0.03,-0.01,lin
dwg,variable,-1.50E-08,0,1.50E+08,lin
eta0,variable,-1,0.08,1,lin
etab,variable,-0.5,-0.07,0.5,lin
k1,variable,0,0.53,1.2,lin
k2,variable,-0.05,-0.0186,0.05,lin
k3,variable,60,80,100,lin
k3b,variable,-30,0,30,lin
keta,variable,-0.1,-0.005,0.1,lin
lint,variable,-1.00E-07,0,1.00E-07,lin
ll,variable,-1E-15,0,1.00E-15,lin
moin,variable,5,15,25,lin
ndep,variable,1.00E+16,1.00E+17,1.00E+19,log
nfactor,variable,0,1.25,2.5,lin
ngate,variable,1.00E+18,1.00E+20,1.00E+22,log
noff,variable,0,2,4,lin
pclm,variable,0,2.5,5,lin
pdiblc1,variable,0,0.5,1,lin
pdiblc2,variable,1.00E-04,1.00E-02,1.00E-01,log
pdiblcb,variable,-1,0,1,lin
pvag,variable,-5,0,5,lin
rdsw,variable,0,1500,3000,lin
toxp,variable,0.000000002,0.000000005,0.000000008,lin
u0,variable,3,670,1000,lin
ua,variable,1.00E-11,1.00E-09,1.00E-07,log
ub,variable,1E-21,1E-19,1E-17,log
uc,variable,-0.00000001,0,0.00000001,lin
voff,variable,-0.18,-0.08,0,lin
voffcv,variable,-0.5,0,0.5,lin
vsat,variable,5.00E+03,5.00E+04,5.00E+05,log
vth0,variable,-1,0.5,2,lin
w0,variable,1.5E-11,0.0000025,0.000005,log
wint,variable,-0.00000015,0,0.00000015,lin
ww,variable,-1E-15,0,1E-15,lin
wwl,variable,-1E-19,0,1E-19,lin
lwl,variable,-1E-19,0,1E-19,lin
voffl,variable,-0.00000001,0,0.00000001,lin
xpart,variable,-1,0,1,lin
bin_pvsat,variable,-1,0,1,lin
bin_prdsw,variable,-1,0,1,lin
bin_ppclm,variable,-1,0,1,lin
bin_wketa,variable,-1,0,1,lin
bin_lketa,variable,-1,0,1,lin
bin_pketa,variable,-1,0,1,lin
bin_wk3,variable,-1,0,1,lin
bin_wk3b,variable,-1,0,1,lin
