name,mode,min,default,max,scale
vto,variable,0,0.5,3,lin
kp,variable,1e-10,2e-5,1e-3,log
gamma,variable,0,0.1,0.5,lin
phi,variable,0,0.6,1,lin
rd,variable,0,0.2,2,lin
rs,variable,0,0.1,2,lin
cbd,variable,1e-20,1e-16,1e-15,log
cbs,variable,1e-20,1e-16,1e-15,log
is,variable,1e-20,1e-14,1e-10,log
pb,variable,0,0.8,2,lin
cgso,variable,1e-20,2e-11,1e-10,log
cgdo,variable,1e-20,1e-11,1e-10,log
cgbo,variable,1e-20,1e-12,1e-10,log
rsh,variable,0,1,20,lin
cj,variable,1e-10,1e-4,1e-2,log
mj,variable,0,0.5,1,lin
cjsw,variable,1e-15,1e-10,1e-8,log
mjsw,variable,0,0.33,1,lin
tox,variable,1e-10,1e-7,1e-5,log
nsub,variable,1e10,4e15,1e20,log
nss,variable,1e5,1e10,1e15,log
nfs,variable,1e5,1e10,1e15,log
tpg,variable,0,1,5,lin
xj,variable,1e-15,1e-10,1e-5,log
ld,variable,1e-15,1e-10,1e-5,log
uo,variable,200,600,1000,log
vmax,variable,1e2,2e4,1e7,log
kf,variable,1e-30,1e-25,1e-20,log
af,variable,0,1,5,lin
fc,variable,0,0.5,5,lin

