Generated Airfoil
1.000000 0.000000
0.988128 0.003071
0.976125 0.005962
0.963998 0.008674
0.951750 0.011213
0.939389 0.013581
0.926917 0.015783
0.914342 0.017822
0.901667 0.019701
0.888898 0.021425
0.876040 0.022997
0.863098 0.024421
0.850078 0.025700
0.836984 0.026838
0.823822 0.027839
0.810597 0.028707
0.797313 0.029444
0.783977 0.030055
0.770593 0.030544
0.757166 0.030913
0.743702 0.031168
0.730205 0.031310
0.716681 0.031345
0.703135 0.031276
0.689572 0.031106
0.675997 0.030839
0.662416 0.030479
0.648833 0.030029
0.635253 0.029494
0.621682 0.028876
0.608125 0.028179
0.594588 0.027408
0.581074 0.026565
0.567590 0.025655
0.554140 0.024681
0.540729 0.023647
0.527364 0.022556
0.514048 0.021412
0.500787 0.020219
0.487586 0.018980
0.474451 0.017700
0.461386 0.016381
0.448397 0.015028
0.435488 0.013643
0.422665 0.012232
0.409933 0.010797
0.397298 0.009342
0.384763 0.007871
0.372335 0.006387
0.360019 0.004895
0.347819 0.003397
0.335741 0.001898
0.323790 0.000401
0.311971 -0.001091
0.300289 -0.002573
0.288749 -0.004042
0.277358 -0.005494
0.266118 -0.006925
0.255037 -0.008333
0.244119 -0.009712
0.233368 -0.011061
0.222791 -0.012374
0.212392 -0.013648
0.202177 -0.014880
0.192150 -0.016065
0.182318 -0.017201
0.172684 -0.018284
0.163254 -0.019309
0.154033 -0.020273
0.145027 -0.021173
0.136240 -0.022005
0.127678 -0.022765
0.119345 -0.023450
0.111248 -0.024055
0.103390 -0.024578
0.095778 -0.025014
0.088416 -0.025360
0.081309 -0.025612
0.074463 -0.025767
0.067883 -0.025820
0.061574 -0.025769
0.055540 -0.025609
0.049788 -0.025337
0.044322 -0.024949
0.039148 -0.024442
0.034270 -0.023812
0.029694 -0.023055
0.025425 -0.022167
0.021468 -0.021145
0.017827 -0.019985
0.014510 -0.018684
0.011519 -0.017238
0.008861 -0.015642
0.006541 -0.013895
0.004564 -0.011991
0.002935 -0.009927
0.001658 -0.007700
0.000741 -0.005305
0.000186 -0.002740
0.000000 0.000000
0.000189 0.002813
0.000753 0.005596
0.001687 0.008347
0.002984 0.011066
0.004641 0.013751
0.006651 0.016403
0.009009 0.019020
0.011710 0.021601
0.014748 0.024146
0.018119 0.026654
0.021816 0.029123
0.025835 0.031554
0.030169 0.033944
0.034815 0.036295
0.039766 0.038603
0.045017 0.040870
0.050563 0.043093
0.056399 0.045273
0.062518 0.047408
0.068917 0.049497
0.075589 0.051540
0.082528 0.053536
0.089731 0.055484
0.097191 0.057382
0.104903 0.059232
0.112862 0.061030
0.121062 0.062777
0.129499 0.064473
0.138166 0.066115
0.147058 0.067703
0.156171 0.069237
0.165498 0.070715
0.175035 0.072137
0.184776 0.073501
0.194715 0.074808
0.204848 0.076056
0.215169 0.077244
0.225673 0.078372
0.236354 0.079439
0.247207 0.080443
0.258227 0.081385
0.269408 0.082263
0.280745 0.083076
0.292233 0.083824
0.303866 0.084505
0.315639 0.085120
0.327547 0.085666
0.339585 0.086144
0.351746 0.086553
0.364026 0.086891
0.376419 0.087157
0.388921 0.087352
0.401525 0.087474
0.414226 0.087522
0.427019 0.087496
0.439899 0.087394
0.452861 0.087216
0.465898 0.086961
0.479006 0.086629
0.492179 0.086217
0.505413 0.085726
0.518701 0.085155
0.532038 0.084503
0.545419 0.083769
0.558839 0.082952
0.572292 0.082051
0.585773 0.081066
0.599277 0.079995
0.612798 0.078839
0.626331 0.077596
0.639871 0.076264
0.653411 0.074845
0.666948 0.073335
0.680476 0.071736
0.693988 0.070045
0.707481 0.068263
0.720948 0.066388
0.734385 0.064419
0.747785 0.062356
0.761144 0.060198
0.774456 0.057943
0.787717 0.055592
0.800919 0.053143
0.814059 0.050596
0.827131 0.047949
0.840130 0.045202
0.853049 0.042354
0.865885 0.039405
0.878631 0.036352
0.891283 0.033196
0.903834 0.029936
0.916280 0.026571
0.928615 0.023100
0.940834 0.019521
0.952931 0.015836
0.964902 0.012042
0.976741 0.008138
0.988442 0.004125
1.000000 0.000000
