name,member_1,member_2,member_3,member_4,member_5,member_6,member_7,member_8,member_9,member_10,member_11,member_12,member_13,member_14,member_15,member_16,member_17,member_18,member_19,member_20,member_21,member_22,member_23,member_24,member_25,member_26,member_27,member_28,member_29,member_30
bv,82925963834.32175,7653847.6859821025,721195950967284.1,1936376449.029716,928799991491318.2,25885886392.307365,41574034128112.984,5.267875797356856e+16,11744116991.281868,7207088537764338.0,342148015.66244113,55819176558100.85,5798038663501560.0,664866636056919.1,774531563.9492173,101238110212205.1,1195565594686.3193,33794662444840.64,732903834.5090069,516379060794.64124,4.3726363257559286e+18,692672549830011.6,366491290208718.7,6.066773839937689e+18,1.0739286244555538e+16,172865054618998.44,285186448.0665156,164564535285212.12,179627261718.79117,3246425797.250051
ibv,1.8005546378152657e-05,0.0012684523348482596,0.00022801564273209506,0.00020631012809207131,2.4624599233715654e-05,8.004869278145366e-06,1.1864408653102297e-05,0.0014462949026302545,3.0177886837162282e-05,0.0008064224367049744,1.2498675426064268e-06,0.00022865496220193899,0.010299750949787377,0.025894894298617323,0.00015932322923788278,0.002222920830226763,0.0011582671317285887,0.00010752288053831512,6.91345989602433e-06,0.0002063441325136639,0.00037739349312502845,0.00014608589263993412,2.0451425819989652e-05,0.00015663003732415643,9.97381474699195e-05,0.0001521370310476879,0.045145204955154186,0.0012748101116967607,0.0003775198704095972,1.4296421559532921e-06
ikf,2.063522885330059e-05,2.060725291084989e-05,2.076409535686946e-05,2.066656163357322e-05,2.080143389894108e-05,2.0702853159527606e-05,2.0538754876314956e-05,2.0691345373411767e-05,2.056089819105535e-05,2.062904121700399e-05,2.063987128750451e-05,2.0755126290289404e-05,2.0615454385198204e-05,2.059553287545151e-05,2.079511309907298e-05,2.0789657506309442e-05,2.0630081031453893e-05,2.0505094234738944e-05,2.0705367891255243e-05,2.0653664997220125e-05,2.0806928360185564e-05,2.0617771830798306e-05,2.06344381783375e-05,2.0812724993669516e-05,2.0806548944966977e-05,2.0727553571138398e-05,2.0546516273368026e-05,2.0725029809455362e-05,2.062448280979172e-05,2.0653872418108946e-05
ikr,0.010660584643809246,0.00011892034066517975,0.04367152416362809,0.010747011365510097,1.5351582949613592e-07,3.215495737409578e-05,0.00010507225334470384,1.836226607589559e-05,0.0010784941205682873,0.0030308685830615465,0.0016720583895315495,2.6563269404631144e-05,0.0021959186503634374,0.0008059108624127768,0.04684896787633767,7.335627603465706e-06,0.009570204783309397,0.044843104077523725,0.00131898669108901,0.0012420604891494127,0.05345004606660379,8.400043211389969e-06,0.004381371512242495,0.00011797938976969462,0.04414012218048518,1.2428344264252446e-05,0.0278114139782482,0.019685862379436238,0.01726078571806176,0.0004484320467560824
is,3.478586339710866e-18,1.8449471980477797e-19,1.4601551895481067e-18,1.395636099698038e-18,1.0527166295407134e-19,1.138546328542346e-18,2.4065323059621384e-20,2.2464113118580047e-20,2.6659563759650317e-18,1.3243580588377538e-19,2.7956053528343612e-18,1.5157328798914167e-18,1.4405284627166487e-20,9.781848451791567e-20,2.7077846748387647e-19,4.6997885914241923e-20,6.836568405346725e-19,5.869961849759955e-19,3.857850171196814e-18,4.381259089684433e-19,2.0912299761422355e-18,4.098642394524962e-19,3.9391496168056646e-19,7.249634410820637e-20,1.768945747650882e-18,2.5807043444675276e-19,1.496615382605081e-20,1.8105686042269856e-19,2.280190253496619e-19,1.0090780172513316e-16
jsw,1.6836138798341693e-18,2.0548826774635678e-16,7.636069716621094e-17,6.130314129342289e-19,5.495993045318864e-17,7.425581028438976e-18,4.2809941848768344e-16,1.3735787786185508e-18,1.0276393153819033e-16,8.644930537987613e-18,3.906595514989253e-17,3.4932653587081514e-19,4.28846693121589e-17,1.6775888739357947e-18,5.928560686160188e-19,2.6997522156409455e-18,8.12179995232088e-18,4.9971226853263415e-17,1.2518750160307303e-18,2.7050826258395655e-17,1.3105417645399538e-17,3.4312371255862537e-15,3.940630763506236e-18,3.3753846819240233e-16,1.529784995368792e-17,1.140841311650232e-19,1.087781638829006e-15,1.2414780876838233e-18,3.588971185761138e-16,4.2206812982973816e-18
n,1.9362967663365445,1.8218827359919172,1.853813848642917,1.855868684033259,1.5578098186393294,1.9397135576362605,1.4830244550611602,1.973434255113824,1.9423170314741696,1.8129889530126249,1.9105244939258508,1.5784642161195093,1.9523460893910993,1.724727277624078,1.6749175481366492,1.6909093289825547,1.8775810001633029,1.9224177065063417,1.6590533723845806,1.9585547065294682,1.3857898491240779,1.2991749611418362,1.8771542909563612,1.371858755713008,1.8971576419816456,1.6587672858979423,1.3758287758567866,1.9720318733892732,1.99607780443931,1.8355775497423328
nbv,1.4949497204769948,0.606568049962953,1.1469847281329706,1.9758860856346379,0.5709485554453017,0.4616806664409783,1.009513097518296,1.6964729348892686,1.2662397839090862,1.185005871625212,1.0532895436812582,0.22210456232734227,0.2497091419308741,0.4115442614492754,1.211741636340337,0.5442003296098188,1.5665930320297143,1.4599445948912861,0.6369471920663605,1.0257371032726468,1.051211989896107,0.6656794580308323,1.4609047579537413,1.5435500834441427,1.2247518571438296,1.5601276133706423,0.8471699627471799,1.5473021746009672,1.7002607343092506,1.399199085415866
rs,1.0004215498613117e-06,1.0000950345501171e-06,1.0004446490757098e-06,1.0002657993595753e-06,1.0004206025712127e-06,1.0001672584084871e-06,1.0001720918110906e-06,1.0004496222425703e-06,1.0001881219602908e-06,1.0003173653380057e-06,1.000259171474203e-06,1.0004723416707801e-06,1.0003337836034784e-06,1.0003278535386667e-06,1.000336941580997e-06,1.0004815819580777e-06,1.000204774317476e-06,1.000123808090154e-06,1.0003642509429564e-06,1.0002387733340297e-06,1.0005092870469296e-06,1.0002907077668202e-06,1.000280290493326e-06,1.0005418511469135e-06,1.0005240110256557e-06,1.0003461795663195e-06,1.0001306898323653e-06,1.000375449740277e-06,1.0001698771668946e-06,1.0001936326026427e-06
trs1,0.0049817957714012664,0.0050367568609109145,0.005007792894084746,0.0049928287453154365,0.004991313781646802,0.005013178059871563,0.005023597877497826,0.005002487148125357,0.004996967763752421,0.004994623082988811,0.005018472128804001,0.005011423294806986,0.00500751773861488,0.004987198683511357,0.005014736536229221,0.004996805199949485,0.005024643329182601,0.005005020101272067,0.004985656858201906,0.005018745429941271,0.0049878781283311645,0.004980097401593803,0.004989999473612417,0.004993038598214509,0.0049752844657762006,0.005041118667389837,0.005028154711899174,0.005023803815621121,0.005019419446458202,0.005010786774617129
