name,min,default,max,scale,mode
delta_L,8.0,9.66,12.0,linear,variable
kappa_0,0.02,0.05,0.98,linear,variable
kappa_1,0.02,0.15,0.98,linear,variable
kappa_2,0.02,0.25,0.98,linear,variable
kappa_3,0.02,0.35,0.98,linear,variable
kappa_4,0.02,0.45,0.98,linear,variable
kappa_5,0.02,0.50,0.98,linear,variable
kappa_6,0.02,0.50,0.98,linear,variable
kappa_7,0.02,0.50,0.98,linear,variable
kappa_8,0.02,0.45,0.98,linear,variable
kappa_9,0.02,0.35,0.98,linear,variable
kappa_10,0.02,0.25,0.98,linear,variable
kappa_11,0.02,0.15,0.98,linear,variable
kappa_12,0.02,0.05,0.98,linear,variable
