Optimiser DataOutputFile 
Itn (U),FValue,w2,w3,w4,l1,l2,l3,d1
1, 0.438510, 1.500000,10.000000,10.000000,500.000000,200.000000,500.000000, 5.000000
2, 0.442742, 1.593755, 9.975483,10.000000,499.999996,200.000893,500.000029, 5.018571
3, 0.469386, 2.393179, 9.632478,10.000000,499.999952,200.009144,500.000193, 5.249200
4, 0.480635, 2.814421, 9.578835,10.000000,500.000547,200.009666,499.997327, 5.569689
5, 0.411339, 4.499390, 9.364265,10.000000,500.002930,200.011757,499.985865, 6.851643
6, 0.481972, 3.189906, 9.531019,10.000000,500.001078,200.010132,499.994773, 5.855364
7, 0.485206, 3.278607, 9.497962,10.170656,500.001067,200.004902,499.994270, 5.743277
8, 0.485522, 3.276440, 9.513806,10.167206,500.000912,200.004196,499.994599, 5.741909
9, 0.485616, 3.250514, 9.566901,10.185245,500.000294,200.000726,499.995926, 5.695939
10, 0.485390, 3.308203, 9.590482,10.198947,499.999842,199.998626,499.996657, 5.674824
11, 0.485634, 3.254374, 9.568479,10.186162,500.000264,200.000586,499.995975, 5.694526
12, 0.486000, 3.557429, 9.566108,10.226060,499.999436,199.997543,499.996688, 5.671512
13, 0.479356, 5.000000, 9.557802,10.417957,499.995610,199.983093,499.999371, 5.663820
14, 0.483179, 3.908819, 9.564085,10.272803,499.998504,199.994023,499.997341, 5.669639
15, 0.486069, 3.580628, 9.565975,10.229146,499.999374,199.997310,499.996731, 5.671389
16, 0.485320, 3.623127, 9.565730,10.234799,499.999262,199.996885,499.996810, 5.671162
17, 0.485640, 3.582787, 9.565962,10.229433,499.999368,199.997289,499.996735, 5.671377
18, 0.486069, 3.580628, 9.565975,10.229146,499.999374,199.997310,499.996731, 5.671389
19, 0.479392, 5.000000, 9.531242,10.376838,499.995748,199.983733,499.999226, 5.711149
20, 0.483151, 3.909736, 9.557921,10.263391,499.998533,199.994162,499.997309, 5.680608
21, 0.485085, 3.657278, 9.564099,10.237122,499.999178,199.996577,499.996865, 5.673536
22, 0.485279, 3.588688, 9.565778,10.229984,499.999354,199.997233,499.996745, 5.671615
23, 0.486069, 3.580779, 9.565971,10.229161,499.999374,199.997309,499.996731, 5.671393
24, 0.486069, 3.580651, 9.565974,10.229148,499.999374,199.997310,499.996731, 5.671389
25, 0.486069, 3.580632, 9.565975,10.229146,499.999374,199.997310,499.996731, 5.671389
26, 0.486069, 3.580629, 9.565975,10.229146,499.999374,199.997310,499.996731, 5.671389
27, 0.486069, 3.580628, 9.565975,10.229146,499.999374,199.997310,499.996731, 5.671389
28, 0.486069, 3.580628, 9.565975,10.229146,499.999374,199.997310,499.996731, 5.671389
29, 0.486069, 3.580628, 9.565975,10.229146,499.999374,199.997310,499.996731, 5.671389
30, 0.486069, 3.580628, 9.565975,10.229146,499.999374,199.997310,499.996731, 5.671389
31, 0.486069, 3.580628, 9.565975,10.229146,499.999374,199.997310,499.996731, 5.671389
32, 0.486069, 3.580628, 9.565975,10.229146,499.999374,199.997310,499.996731, 5.671389
33, 0.486069, 3.580628, 9.565975,10.229146,499.999374,199.997310,499.996731, 5.671389
