w1,w2,w3,w4,w5,w6,w7,w8,w9
10.0,5.05,5.05,0.1,0.1,10.0,0.1,5.05,10.0
5.05,10.0,0.1,0.1,5.05,10.0,5.05,10.0,5.05
10.0,5.05,5.05,10.0,0.1,10.0,5.05,0.1,0.1
10.0,5.05,10.0,5.05,10.0,10.0,10.0,0.1,0.1
5.05,10.0,10.0,0.1,5.05,0.1,10.0,0.1,5.05
0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.05,0.1
10.0,5.05,0.1,0.1,10.0,5.05,0.1,5.05,5.05
10.0,0.1,10.0,0.1,5.05,0.1,5.05,10.0,10.0
5.05,10.0,10.0,0.1,10.0,0.1,0.1,10.0,10.0
0.1,10.0,10.0,0.1,0.1,5.05,10.0,0.1,10.0
10.0,10.0,5.05,5.05,0.1,10.0,0.1,5.05,0.1
0.1,10.0,10.0,10.0,5.05,0.1,10.0,5.05,10.0
10.0,5.05,0.1,10.0,0.1,0.1,5.05,10.0,10.0
5.05,5.05,0.1,0.1,10.0,10.0,10.0,5.05,10.0
5.05,0.1,0.1,5.05,0.1,5.05,10.0,0.1,5.05
10.0,5.05,0.1,5.05,5.05,10.0,0.1,10.0,10.0
5.05,5.05,5.05,10.0,0.1,0.1,5.05,5.05,5.05
5.05,0.1,0.1,0.1,5.05,0.1,0.1,5.05,5.05
5.05,0.1,0.1,5.05,5.05,10.0,5.05,0.1,10.0
5.05,0.1,10.0,0.1,10.0,5.05,5.05,0.1,10.0
0.1,0.1,0.1,10.0,5.05,10.0,5.05,5.05,0.1
10.0,5.05,5.05,5.05,0.1,0.1,10.0,0.1,0.1
0.1,10.0,0.1,5.05,5.05,5.05,0.1,0.1,0.1
5.05,0.1,5.05,0.1,10.0,10.0,10.0,0.1,10.0
0.1,0.1,5.05,5.05,5.05,0.1,0.1,10.0,10.0
10.0,10.0,10.0,5.05,5.05,5.05,5.05,0.1,5.05
5.05,10.0,5.05,0.1,5.05,5.05,0.1,10.0,5.05
