Optimiser DataOutputFile 
Itn (U),FValue,w1,w2,w3,w4,w5,w6,w7,w8,w9
1, 0.101333, 0.300000, 0.490000, 1.540000, 1.270000, 2.310000, 1.790000, 4.740000, 3.320000, 5.250000
2, 0.167394, 0.350473, 0.624181, 1.541779, 1.260989, 2.168394, 1.659191, 4.740105, 3.315901, 5.258532
3, 0.271153, 0.430681, 0.817698, 1.530616, 1.259275, 2.011185, 1.506091, 4.736348, 3.311211, 5.271821
4, 0.435744, 0.751511, 1.591770, 1.485964, 1.252421, 1.382348, 0.893690, 4.721320, 3.292450, 5.324976
5, 0.486455, 1.015041, 2.316902, 1.638873, 1.171219, 1.495474, 0.876192, 4.562319, 3.237023, 5.357100
6, 0.519329, 1.227618, 2.566249, 1.813788, 1.177787, 1.328772, 0.969045, 4.302680, 3.200380, 5.382991
7, 0.562886, 1.291166, 2.587799, 1.884690, 1.280292, 1.181295, 1.166187, 3.782708, 3.171407, 5.401168
8, 0.615121, 1.107315, 2.297970, 1.808921, 1.388776, 1.081118, 1.347626, 2.944386, 3.137106, 5.397436
9, 0.410997, 0.471241, 1.015808, 1.342486, 1.522369, 0.927130, 1.419974, 0.775590, 3.026961, 5.369724
10, 0.632026, 1.043701, 2.169742, 1.762273, 1.402136, 1.065718, 1.354862, 2.727486, 3.126091, 5.394665
11, 0.456650, 0.906740, 1.182106, 1.385063, 1.517675, 1.207984, 1.340500, 1.399272, 2.994015, 5.378460
12, 0.654538, 1.015516, 1.966495, 1.684647, 1.425913, 1.094995, 1.351906, 2.454152, 3.098911, 5.391330
13, 0.669032, 1.022548, 1.653751, 1.576572, 1.501428, 1.271870, 1.315265, 2.306110, 3.059114, 5.370972
14, 0.666576, 1.053322, 1.741070, 1.610429, 1.480972, 1.285683, 1.271445, 2.550693, 3.048409, 5.361504
15, 0.669731, 1.030207, 1.675485, 1.584999, 1.496337, 1.275308, 1.304358, 2.366987, 3.056449, 5.368615
16, 0.671956, 1.080033, 1.734190, 1.617843, 1.463722, 1.222827, 1.279090, 2.492134, 3.021314, 5.359585
17, 0.683029, 1.178512, 1.682529, 1.650625, 1.438919, 1.215129, 1.289805, 2.600076, 2.899099, 5.322004
18, 0.458807, 3.072030, 0.434689, 2.192695, 1.006044, 1.142298, 1.534502, 4.288384, 0.534103, 4.577180
19, 0.703211, 1.399008, 1.537221, 1.713748, 1.388512, 1.206648, 1.318299, 2.796676, 2.623700, 5.235271
20, 0.725174, 2.189422, 1.185848, 1.860352, 1.253517, 1.324464, 1.413301, 3.128786, 1.675767, 4.951682
21, 0.735455, 2.121837, 1.309268, 1.803852, 1.238759, 1.233633, 1.363107, 3.071726, 1.668002, 4.964285
22, 0.733821, 2.222613, 1.303318, 1.762880, 1.216627, 1.182825, 1.388241, 3.000383, 1.390529, 4.907564
23, 0.738248, 2.164511, 1.306748, 1.786502, 1.229387, 1.212118, 1.373750, 3.041516, 1.550505, 4.940266
24, 0.748292, 1.984702, 1.400884, 1.683493, 1.273509, 1.141001, 1.438263, 2.789505, 1.669974, 4.978551
25, 0.753802, 2.008057, 1.369561, 1.616144, 1.272005, 1.130166, 1.489282, 2.725527, 1.701545, 4.963901
26, 0.768884, 2.271352, 1.241709, 1.333184, 1.240733, 1.103019, 1.706870, 2.545292, 1.777903, 4.861249
27, 0.764599, 2.134715, 1.308058, 1.480027, 1.256962, 1.117107, 1.593952, 2.638825, 1.738277, 4.914520
28, 0.778048, 2.311442, 1.304425, 1.226826, 1.244266, 1.088746, 1.774719, 2.433257, 1.846901, 4.844245
29, 0.784139, 2.252596, 1.396160, 1.227180, 1.236569, 1.092433, 1.769194, 2.408289, 1.889740, 4.851302
30, 0.789502, 2.286990, 1.516566, 1.098817, 1.199053, 1.055304, 1.801502, 2.316816, 1.992772, 4.817052
31, 0.792149, 2.293472, 1.580152, 1.086014, 1.150299, 0.986890, 1.705894, 2.321314, 2.036518, 4.798462
32, 0.795696, 2.387047, 1.597677, 1.022537, 1.112414, 0.946266, 1.685775, 2.270077, 2.080935, 4.753749
33, 0.807259, 2.636644, 1.573662, 1.025020, 1.044092, 0.905015, 1.582028, 2.197951, 2.141400, 4.650706
34, 0.819871, 2.942995, 1.568943, 1.085883, 0.953661, 0.875215, 1.431672, 2.103808, 2.221521, 4.509680
35, 0.828503, 3.121946, 1.604692, 1.211852, 0.906385, 0.877922, 1.291595, 2.044199, 2.255446, 4.393514
