w1,w2,w3,w4,w5,w6,w7,w8,w9,power
10.0,5.05,5.05,0.1,0.1,10.0,0.1,5.05,10.0,0.32197114618984024
5.05,10.0,0.1,0.1,5.05,10.0,5.05,10.0,5.05,0.45892485931230825
10.0,5.05,5.05,10.0,0.1,10.0,5.05,0.1,0.1,0.42615641176825547
10.0,5.05,10.0,5.05,10.0,10.0,10.0,0.1,0.1,0.32308021736530496
5.05,10.0,10.0,0.1,5.05,0.1,10.0,0.1,5.05,0.22562162954031661
0.1,0.1,0.1,0.1,0.1,0.1,0.1,5.05,0.1,0.3831298441976313
10.0,5.05,0.1,0.1,10.0,5.05,0.1,5.05,5.05,0.3616998294192398
10.0,0.1,10.0,0.1,5.05,0.1,5.05,10.0,10.0,0.2401008079074936
5.05,10.0,10.0,0.1,10.0,0.1,0.1,10.0,10.0,0.31768574131281574
0.1,10.0,10.0,0.1,0.1,5.05,10.0,0.1,10.0,0.25942717194914133
10.0,10.0,5.05,5.05,0.1,10.0,0.1,5.05,0.1,0.2579777784865108
0.1,10.0,10.0,10.0,5.05,0.1,10.0,5.05,10.0,0.31203769875914644
10.0,5.05,0.1,10.0,0.1,0.1,5.05,10.0,10.0,0.29862786647691103
5.05,5.05,0.1,0.1,10.0,10.0,10.0,5.05,10.0,0.44602258967397523
5.05,0.1,0.1,5.05,0.1,5.05,10.0,0.1,5.05,0.2707989255520016
10.0,5.05,0.1,5.05,5.05,10.0,0.1,10.0,10.0,0.37349619410815876
5.05,5.05,5.05,10.0,0.1,0.1,5.05,5.05,5.05,0.46744375698031876
5.05,0.1,0.1,0.1,5.05,0.1,0.1,5.05,5.05,0.3704086340686344
5.05,0.1,0.1,5.05,5.05,10.0,5.05,0.1,10.0,0.33681505563358605
5.05,0.1,10.0,0.1,10.0,5.05,5.05,0.1,10.0,0.18992873773685623
0.1,0.1,0.1,10.0,5.05,10.0,5.05,5.05,0.1,0.35698773806829864
10.0,5.05,5.05,5.05,0.1,0.1,10.0,0.1,0.1,0.39331069913914285
0.1,10.0,0.1,5.05,5.05,5.05,0.1,0.1,0.1,0.22262187603298933
5.05,0.1,5.05,0.1,10.0,10.0,10.0,0.1,10.0,0.27120283900609826
0.1,0.1,5.05,5.05,5.05,0.1,0.1,10.0,10.0,0.38553489048166906
10.0,10.0,10.0,5.05,5.05,5.05,5.05,0.1,5.05,0.39123111029909485
5.05,10.0,5.05,0.1,5.05,5.05,0.1,10.0,5.05,0.3676522947151631
10.0,5.05,0.1,10.0,10.0,0.1,5.05,0.1,10.0,0.23833242748555486
5.05,5.05,10.0,0.1,5.05,0.1,0.1,10.0,10.0,0.32714655086579597
10.0,5.05,10.0,5.05,5.05,10.0,0.1,0.1,5.05,0.37038111302138893
0.1,10.0,0.1,10.0,0.1,10.0,5.05,5.05,5.05,0.21976289012259678
0.1,10.0,0.1,0.1,10.0,10.0,5.05,10.0,10.0,0.2514011668262933
10.0,10.0,5.05,10.0,10.0,5.05,10.0,10.0,5.05,0.329404089773897
5.05,10.0,0.1,0.1,5.05,10.0,10.0,0.1,0.1,0.406874623426873
0.1,5.05,10.0,5.05,0.1,0.1,10.0,10.0,5.05,0.36314896486595005
5.05,10.0,0.1,0.1,0.1,10.0,5.05,5.05,10.0,0.3599154570332189
5.05,0.1,5.05,0.1,0.1,0.1,5.05,10.0,10.0,0.33035436522311873
5.05,5.05,10.0,10.0,0.1,10.0,5.05,0.1,10.0,0.3248057031583597
5.05,5.05,10.0,0.1,0.1,5.05,0.1,0.1,10.0,0.33228334462146125
10.0,0.1,5.05,5.05,10.0,0.1,5.05,5.05,5.05,0.29366075238739925
10.0,5.05,5.05,10.0,10.0,5.05,5.05,0.1,5.05,0.4378238991407239
0.1,10.0,10.0,0.1,0.1,5.05,10.0,0.1,5.05,0.2331870285644668
10.0,10.0,5.05,0.1,10.0,0.1,0.1,0.1,0.1,0.3452462352929682
5.05,0.1,10.0,5.05,10.0,0.1,0.1,0.1,0.1,0.41266015909956794
5.05,10.0,10.0,0.1,0.1,0.1,10.0,10.0,0.1,0.34719533747459036
0.1,5.05,0.1,5.05,10.0,5.05,5.05,0.1,10.0,0.17294528658380864
10.0,10.0,0.1,0.1,5.05,10.0,10.0,10.0,10.0,0.400724719544765
5.05,10.0,10.0,5.05,0.1,5.05,10.0,5.05,10.0,0.48910076227118626
0.1,0.1,5.05,0.1,5.05,10.0,5.05,0.1,5.05,0.25196092327208613
5.05,0.1,5.05,0.1,10.0,0.1,5.05,10.0,10.0,0.19039571611734638
10.0,0.1,0.1,0.1,10.0,0.1,10.0,0.1,0.1,0.2623851568223795
0.1,0.1,10.0,0.1,10.0,10.0,0.1,5.05,5.05,0.2200292104653785
5.05,0.1,5.05,5.05,0.1,10.0,0.1,5.05,10.0,0.21680349124043446
0.1,5.05,10.0,5.05,10.0,0.1,10.0,5.05,10.0,0.3651364042512525
5.05,0.1,5.05,10.0,0.1,10.0,10.0,5.05,0.1,0.30172097209365945
0.1,5.05,0.1,0.1,10.0,10.0,0.1,5.05,0.1,0.21335616275127134
0.1,0.1,5.05,10.0,10.0,10.0,10.0,5.05,5.05,0.4330658874384633
5.05,5.05,5.05,5.05,0.1,10.0,5.05,10.0,0.1,0.3817774348727371
10.0,0.1,5.05,10.0,5.05,5.05,0.1,5.05,10.0,0.3435876425157484
10.0,5.05,5.05,5.05,5.05,10.0,0.1,10.0,0.1,0.3442618890864915
5.05,5.05,10.0,10.0,5.05,5.05,10.0,10.0,10.0,0.41535688164861245
5.05,5.05,0.1,10.0,10.0,5.05,10.0,5.05,10.0,0.418739983192064
10.0,10.0,5.05,5.05,5.05,0.1,5.05,5.05,0.1,0.4094373946300222
5.05,10.0,0.1,10.0,10.0,0.1,0.1,0.1,5.05,0.3543810896452035
10.0,10.0,5.05,5.05,0.1,5.05,10.0,10.0,0.1,0.4175981533451439
0.1,5.05,0.1,5.05,10.0,10.0,10.0,10.0,5.05,0.2674577193369812
10.0,0.1,10.0,10.0,0.1,10.0,10.0,10.0,5.05,0.3294673744996269
0.1,0.1,10.0,10.0,0.1,0.1,10.0,0.1,0.1,0.30289224590600683
5.05,5.05,10.0,10.0,5.05,5.05,0.1,0.1,0.1,0.4982654175282164
0.1,10.0,5.05,10.0,0.1,10.0,0.1,10.0,0.1,0.22321687922968148
5.05,10.0,10.0,0.1,5.05,10.0,5.05,0.1,5.05,0.3732936801340132
10.0,10.0,5.05,0.1,0.1,10.0,0.1,10.0,5.05,0.37099840738615025
0.1,0.1,5.05,5.05,5.05,0.1,10.0,5.05,0.1,0.3187443123024352
0.1,5.05,10.0,10.0,0.1,5.05,5.05,0.1,0.1,0.298061891757526
10.0,5.05,10.0,10.0,10.0,0.1,10.0,5.05,0.1,0.36705919027847717
0.1,5.05,5.05,5.05,10.0,5.05,5.05,10.0,0.1,0.407706139455479
0.1,5.05,10.0,0.1,0.1,5.05,5.05,5.05,0.1,0.27391357522946946
10.0,5.05,0.1,5.05,10.0,0.1,0.1,5.05,10.0,0.34148084416344
0.1,0.1,0.1,5.05,0.1,5.05,10.0,10.0,0.1,0.2885351345952975
0.1,10.0,5.05,5.05,10.0,5.05,10.0,5.05,10.0,0.38825069637832416
0.1,5.05,0.1,10.0,5.05,0.1,5.05,5.05,5.05,0.2157548202981506
3.602626828627495,5.996915331485149,7.228010220194821,5.317684989426669,0.8156429215799429,5.601878039974377,4.853295998062254,0.7494861200342396,6.242968326324061,0.49314652941083753
1.9633093206881744,7.468885635361723,1.812606548605944,9.159973793104852,5.224661997551945,0.7805513105674483,3.498098637872777,6.41471327823356,7.275128382558198,0.4068790962525364
1.3464790373550457,9.826468631164811,1.1100357947498274,2.620588282949248,0.5213758083085923,7.767835505929889,8.188661240776772,4.387471454076132,4.166087648537248,0.1302868792451139
8.301123241959164,9.61631099342509,3.386724128308785,2.097926905357056,9.93714332086137,9.717774744197705,8.00463437457667,7.094353900069562,3.298198669968025,0.5747150041054087
0.2378123400646383,5.226133974048508,6.358777501306697,1.6894091912041544,1.4873508774569255,0.6945119972852587,3.325085405967417,3.240163922280434,9.848035785908076,0.13421812310986844
7.741864284121542,5.770670471857381,3.847496553317899,9.587556704691734,7.45178548206098,6.7144917536119415,6.356929916087332,0.1099496478862495,3.753060824535854,0.46243458223064654
8.828138451768723,0.957845523202465,3.633029863535692,3.708649226525121,6.867536564838072,3.634110527014802,5.694329212545791,9.323094897534656,3.3456845016697923,0.5929279546306359
4.714945243524546,6.173293100729862,0.3939122430227122,1.0146814990817423,8.97612555542512,8.361580787753043,0.3398146529039222,4.298099611665984,0.9920572802698572,0.44930973372822464
1.049990429732436,5.286782239928983,3.2554229011821456,0.2113212956824057,6.112914100244008,3.0622471381215184,5.801460417267135,6.783691683024155,8.94741177460261,0.27447122059074675
9.643760757542928,1.8605819048596128,8.592986943276973,1.4784633428182767,7.547751612799239,1.599186854309797,0.4211005589696075,6.8667705133854176,5.746296729956017,0.42156819853863264
7.342221382551947,5.624410319590719,6.930112778171144,8.702384568999099,1.8618149184808648,8.478565909378151,3.386476720375474,8.950392677913696,2.805585152638368,0.4970948483020811
7.037241333576272,2.695230838354852,9.444509479368818,6.7969809260399146,3.371305995968878,7.899346611230833,5.561151816788768,5.703214128091011,5.8841878447599685,0.6230988993275048
8.848426391441235,0.456360597063925,9.35067250544846,4.182725356101877,8.31645731069248,4.536887058823177,8.305867405866868,9.334524397508492,6.1065515451459165,0.3848303845884379
4.635653781740984,6.705571409399296,1.0645337926053693,3.1635260444241267,6.638375300692804,1.4876037574776273,7.673734412266996,5.171574350119013,6.566309322671944,0.4480599899979256
0.9087714877564448,9.343831528949671,9.775545180613866,8.761134579739071,3.086375356631437,4.95173593173578,2.202823107302659,0.4853398706949898,4.621004468936317,0.45363945737936834
0.1792769753074898,1.9613407176970212,1.8719620764465723,9.727594538948882,7.383299450227533,6.617736881076141,9.71554495049508,3.134096544497402,8.38915964463891,0.19557425707447654
6.537890918223005,2.545068993661189,8.975711193522246,8.37163605849908,9.778681843580827,4.784810256192049,7.16121757855916,8.777525970327487,1.6608650843491464,0.5896994096780018
7.9725110938547425,9.709916718141614,5.651444277288559,8.17335371089083,9.113223891053106,2.130521024824636,5.1307493607392445,2.8808038037262174,4.837659346554673,0.49115118599585583
7.168641993067156,9.880763915285543,1.2601790241247273,3.078453192889338,2.6688261857226045,7.6036796134133295,6.988606664788577,1.406430193026775,0.1667449021321606,0.5898539528005451
0.2857221124137992,6.316523470107352,0.5567352158124795,1.1213576821756048,1.3154454046987818,5.291186819845096,4.0651309233404085,6.241457711597948,3.003170932404581,0.11072679444194922
6.0071131920657965,7.246163132084531,4.9572500402982325,3.4779552904848017,9.477123366032876,5.073968889329612,4.633179079424918,1.9477003953539676,1.422532104606936,0.5945831876794382
8.66149268200172,8.934717080585145,1.2854739850539882,4.361470220261459,2.816011279157549,8.774427159778615,3.818188983240809,6.493516543345282,8.493876724794706,0.6026800774667411
5.827993997826725,6.664286351749994,8.454888373443119,9.368609050768168,2.9104754145859952,4.161815802591775,9.116083945072608,0.3623388205061284,3.835359644774989,0.49573519681303396
8.947448471032569,3.212631527170472,3.264663593714288,6.649268611483058,8.756228743221591,1.2421375850987442,9.308944363818494,3.0296058799060472,1.946358695974716,0.6974979638911042
7.198415256427796,5.004045652662271,6.57384754959205,4.697393279513336,4.243465377421069,1.312968483687832,5.345192425574492,3.551976483758722,8.043601540295958,0.6430453357008565
1.7944727341577824,7.823267125029634,0.992632571150014,5.472656229181703,4.384113653118531,2.356094833234009,2.854214556630069,3.947794862676607,9.421130449120737,0.2936527675105444
5.0222420984888565,9.256314432126894,0.8606048722135243,5.96511198812552,7.6316159702045345,5.463065461907832,1.938932914339136,2.817417690889531,4.445145509550135,0.5652073562950606
0.4324540399813025,3.9438270422144055,2.2886490029950703,1.7857318616380582,1.080516522713834,8.053420122097913,0.1400387568068788,5.611737379502802,9.34788391573484,0.09696794752031412
4.058297886439456,7.839673143879697,6.00718509391295,2.717878752579816,5.630874402411515,0.9398284569482172,1.5489530249316297,8.686956709203477,2.436353590248041,0.5017044464088998
9.13065336428203,4.222700838193985,2.980036876739225,2.24525461315402,8.60894135104484,5.358028857691709,9.54459843212907,9.10041397011827,8.619416631749571,0.6926145241985028
9.806238595601837,0.1834189997632517,3.5020280495120364,0.672343525836707,0.6017474145276007,2.474187380733203,0.2444558681207096,1.7429805202720032,2.221485200526697,0.16725409568128333
0.5802094671005774,0.5168334436945008,4.672151031301491,7.552741595137663,1.3723360543694465,5.936339357508959,4.710203206668196,9.802014649350737,3.5876183299348305,0.45334958198131486
2.1793622783246938,3.613396689847032,3.5888209914952305,3.7668049650663233,6.829080774511544,8.893363747694952,7.838923675588826,8.42309445608681,5.021507824888226,0.5370368657636537
5.373760542421163,2.105898047136497,5.565659693983354,1.2706760573013254,9.541689706972097,0.2509849701519868,3.725573872808422,1.4850946977497048,9.919868757352472,0.3032171769170017
1.257575779246289,7.976377267862907,9.334255300981091,2.8058589153268367,6.689082069438125,2.8619442258034744,6.461974278364898,7.080177433160698,0.5704919327127066,0.4821880960369225
5.665806101991749,4.899355322759901,7.142752271652889,0.4247017166148868,4.959897230994476,6.30501550845042,9.79790042863884,4.650251366753412,9.685390275944322,0.46087989540868274
7.530153209232861,5.438009321370992,7.073431275230978,7.8646183514406305,7.33594307749856,0.4485465682308124,8.614247084907877,5.287269824848616,4.972682556428767,0.4125108227366191
4.132984863039319,3.268547098661064,1.5595087762940705,6.083806921645252,1.1853249171449447,3.746689282513164,7.453902387329805,1.2564736614318597,8.314950057636576,0.2675617493732954
2.391951526454273,4.099270045745616,1.6157394838738666,0.2831067330946906,1.7231364364258273,7.722752324984108,6.753350265972696,7.65616415237184,1.4589994914193092,0.13015685357195836
5.460814897896727,3.077954049935805,6.4277747559424725,3.652729016207617,7.143138373108118,3.2851964428113387,0.6402721077014507,3.3947256930287826,5.820779706631258,0.4981754854674655
6.930733877472582,6.867504527671635,6.768198299444306,8.056883358093048,2.0675101624559,1.847568944426052,0.9339321096301582,0.6295150371430974,1.024280541454884,0.45775140524301716
0.6238991746770787,1.215918274644392,8.84388531130089,0.1156932160439167,7.898134824433846,7.126437633514921,4.542553761979823,2.934725534708092,8.518367318294814,0.282734894613974
4.581675025171898,2.910526422383553,2.7182828179243703,6.234832961645795,0.2073469113832329,6.957626832852704,5.229593839134394,2.5958733159017027,1.894353033580375,0.36153432087236104
6.767419931922161,0.4022134808781564,5.9309280284286,1.9900840592744136,2.75565511123308,6.807099940706262,6.781060819751648,9.84990332552821,7.0020281801730135,0.37132061256812887
3.360516336332546,8.286079399329754,6.748451345020009,8.482244191750368,5.703107630000867,9.30975940590695,3.182879696398677,6.725212929285186,6.0178017215306845,0.5623160686981172
1.863651523745077,0.6777793631401581,8.37152101489446,4.958751703962469,3.696874288892014,6.572236170860082,8.14251054991908,8.631561408242696,7.678063635323143,0.4790971469472031
8.574889947583879,8.620774630135365,4.1866073819055,8.647752130420912,0.3147445235865693,2.7109697020384957,8.692440053366546,7.544691020789976,6.322392756927519,0.38391894954136885
2.5888226698421284,1.3629782371481334,5.764379421178027,3.9244765920763314,1.8143055274441504,2.342764544662754,4.202821676739465,4.806220298947321,6.000043136019398,0.199360722156037
1.3785189158082802,4.48027655260219,9.009821757392404,0.6935678389877435,0.9619646556072232,3.4263291074687787,2.042094216831832,5.461987913315049,7.964544879482083,0.28817576001628575
6.617293037266872,0.7876363391252276,6.662894900338338,9.435819988253147,0.7022791011047025,4.209109968702723,9.84449376128799,7.485184542034057,0.2121342788965329,0.31064419131891435
1.5217593805082243,2.327254454933263,3.707264107877296,0.8231090600490522,4.858584824845394,7.447020998430313,1.2057723749141465,3.8721646500006464,9.212206413751908,0.20620763191501254
0.7120110666894065,8.497390210578441,4.107207371662576,9.231909393528852,4.458017150007534,9.084602176830568,1.3431734452406363,8.265228023296615,5.1217499166361335,0.48664703079068866
1.620171989959684,5.511968352038723,1.5025306776653138,7.39143137938452,6.038014552716474,7.311190059498506,8.805032418175722,1.3298615075169862,0.6439918051184406,0.5669641639028635
3.278528629762304,7.522332075247399,4.564808928810716,2.5002962903868293,2.431310272195265,8.159358881651496,5.671614667244937,7.297671206097704,2.635805847022634,0.7388840680618376
6.917395328538857,6.794469714264126,9.581873723065549,2.892321325965877,4.027461928854795,0.105085893187178,2.114253403443123,3.3383161322294064,5.28801475614864,0.5822874212997162
7.767924259306068,2.241305446809665,8.004424798191895,6.717008684508572,4.782575825538984,4.725925210688225,0.7672677073970814,4.716424495540194,4.753555482176604,0.6156096435899079
1.4518018093319105,6.928492749279418,2.9255201688499786,2.5594861810787246,9.609491863012448,4.861091178007902,2.775559052769477,3.6292200535927335,6.8912915087796085,0.3877657722120632
8.235956041297756,7.276949537526608,7.653393292799319,4.122263644048818,8.33801300266814,3.5021691202639613,1.7979895064862934,2.5683447994190285,7.178324304462293,0.6740755306607956
